create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/20 14:06:16,196,전라남도 장성군,205395,"오늘 오후~내일 오전까지 강풍과 국지성 집중 호우가 예상되니, 하천변 및 저지대 출입금지, 위험지역 사전대피, 외출자재 등 안전에 유의 바랍니다.",cbs,장성군,,,"[('안전에 유의', 0.6929)]"
2023/09/16 16:10:11,196,전라남도 장성군,205221,"호우주의보 발효 중. 내일까지 많은 비가 예상되니 하천변 및 저지대 출입금지, 산사태 위험지역 위험징후 시 사전대피, 외출자제 등 안전에 유의 바랍니다",cbs,장성군,,,"[('출입금지 산사태 위험지역', 0.7315)]"
2023/08/15 13:12:13,196,전라남도 장성군,203349,"폭염주의보 발효 중. 수분을 충분히 섭취하고, 야외활동 및 외출을 자제하시기 바랍니다.",cbs,장성군,,,"[('섭취하고 야외활동', 0.3039)]"
2023/08/09 09:29:50,196,전라남도 장성군,201848,6호 태풍 카눈 북상중. 우리 군은 10일(목) 03시 160km 근접하여 통과 전망입니다. 외출자제 및 주변 시설물 점검 등 안전에 유의 바랍니다.,cbs,장성군,목,,"[('03시 160km', 0.5497)]"
2023/08/08 15:12:09,196,전라남도 장성군,201778,"금일 13시부터 장성호(초당 100ton) 방류 중입니다. 하천 수위 상승이 예상되니, 하천 주변 접근을 금지 하고 안전한 곳으로 이동 바랍니다.",cbs,장성군,초당 100ton,,"[('하고 안전한 곳으로 이동', 0.5659)]"
2023/08/02 09:10:26,196,전라남도 장성군,200696,"폭염 경보 발효 중. 충분한 수분 섭취, 야외활동 자제, 실외 작업시 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의하시기 바랍니다.",cbs,장성군,"물, 그늘, 휴식",,"[('발효 충분한 수분 섭취', 0.7145)]"
2023/07/24 10:01:24,196,전라남도 장성군,199654,"농어촌공사에서 금일 11시부터 장성호 방류 예정입니다. 하천수위가 상승될 것으로 예상되오니, 하천주변 접근금지 및 안전한 곳으로 이동바랍니다.",cbs,장성군,,,"[('장성호 방류 예정입니다', 0.5753)]"
2023/07/23 20:39:29,196,전라남도 장성군,199566,"호우경보 발효중. 내일까지 많은 비가 예상되니 하천변 출입금지, 산사태 위험지역 사전대피 등 위험 징후가 있는 곳에서는 즉시 안전한곳으로 대피바랍니다.",cbs,장성군,,,"[('산사태 위험지역 사전대피 위험', 0.7104)]"
2023/07/23 20:04:17,196,전라남도 장성군,199559,"호우경보 발효중. 삼계면 지방도 734, 893호선 일부 도로 침수피해가 발생중이니 차량통행 시 각별히 유의하시기 바랍니다.",cbs,장성군,,,"[('호우경보 발효중', 0.6733)]"
2023/07/23 13:15:40,196,전라남도 장성군,199503,"호우예비특보 발효중. 내일 새벽 집중호우가 예보중입니다. 하천변 출입금지, 위험지역 사전대피, 재난방송 청취 등 안전에 유의바랍니다.",cbs,장성군,,,"[('집중호우가 예보중입니다 하천변', 0.7296)]"
2023/07/18 17:27:19,196,전라남도 장성군,198755,호우경보 발효중. 지속적인 강우로 지반이 약해져 있으니 산사태 · 비탈면 · 축대 등 위험 징후 발견 즉시 안전한 곳으로 대피하시기 바랍니다.,cbs,장성군,,,"[('즉시 안전한', 0.7381)]"
2023/07/17 16:46:31,196,전라남도 장성군,198434,"호우경보 발효중. 오늘 밤부터 많은 비가 예상되니 산사태 취약지역, 하천변, 저지대 등 위험지역에 접근을 금지하시고 외출을 자제바랍니다.",cbs,장성군,,,"[('취약지역 하천변 저지대', 0.7081)]"
2023/07/15 22:37:38,196,전라남도 장성군,198124,"호우경보 발효중. 오늘밤 많은 비가 예보되어 있어 산사태 위험지역, 하천변 산책로 등 위험지역에 접근금지하시고 외출을 자제하여주시기 바랍니다.",cbs,장성군,,,"[('접근금지하시고 외출을 자제하여주시기', 0.6635)]"
2023/07/15 17:39:32,196,전라남도 장성군,197962,"호우경보 발효중. 하천 변 등 위험지역 접근금지, 재난방송 청취, 위험 징후 시 마을회관으로 즉시 대피 등 안전에 유의하시기 바랍니다.",cbs,장성군,,,"[('유의하시기 바랍니다', 0.7294)]"
