create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2022/12/23 17:38:33,196,전라남도 장성군,187032,"대설경보 발효중 내일새벽까지 대설이 예보중입니다. 외출자재, 조기귀가 등 안전에 유의바라며 노약자, 취약계층의 안부를 살피고 재난방송 청취바랍니다",cbs,장성군청,,,"[('안부를 살피고', 0.6524)]"
2022/12/19 08:11:18,196,전라남도 장성군,185905,12세이상 기초접종 완료자는 마지막 접종일로부터 3개월 후 동절기 추가접종 가능(보건소 ☎061-390-7575),cbs,장성군청,보건소 ☎061-390-7575,12세,"[('기초접종 완료자는 마지막', 0.5639)]"
2022/11/29 11:09:48,196,전라남도 장성군,182874,18세이상 기초접종 완료자는 마지막 접종일로부터 3개월 후 동절기 추가접종 가능(보건소 ☎061-390-7575),cbs,장성군청,보건소 ☎061-390-7575,18세,"[('3개월 동절기', 0.6061)]"
2022/11/24 07:30:55,196,전라남도 장성군,182108,18세이상 기초접종 완료자는 마지막 접종일로부터 3개월 후 동절기 추가접종 가능(보건소 ☎061-390-7575),cbs,장성군청,보건소 ☎061-390-7575,18세,"[('3개월 동절기', 0.6061)]"
2022/11/07 20:15:42,196,전라남도 장성군,180058,18세이상 기초접종 완료자는 마지막 접종일로부터 4개월 후 동절기 추가접종 가능(보건소 ☎061-390-7575) ▲접종사전예약시스템,cbs,장성군청,보건소 ☎061-390-7575,18세,"[('기초접종 완료자는 마지막', 0.6095)]"
2022/09/16 13:59:42,196,전라남도 장성군,173148,50세이상 4차접종 대상자는 접종참여바랍니다. ▲모두의 건강을 위해 접종참여 ☎061-390-7575▲접종사전예약시스템 ncvr.kdca.go.kr,cbs,장성군청,,50세,"[('접종참여바랍니다 모두의 건강을 위해', 0.4465)]"
2022/09/07 13:51:19,196,전라남도 장성군,171947,50세 이상 4차 접종 대상자는 접종 참여 바랍니다. ▲접종예약 콜센터 ☎ 061-390-7575 ▲접종 사전예약시스템 ncvr.kdca.go.kr,cbs,장성군청,,50세,"[('4차 접종', 0.4759)]"
2022/09/05 10:43:01,196,전라남도 장성군,171057,50세이상 4차 접종 대상자는 접종참여 바랍니다. ▲접종예약 콜센터 ☎ 061-390-7575 ▲접종 사전예약 시스템 ncvr.kdca.go.kr,cbs,장성군청,,50세,"[('접종 대상자는 접종참여 바랍니다', 0.4885)]"
2022/05/05 17:03:09,196,전라남도 장성군,154974,"5.5.(수) 17시 기준 확진자 44명(PCR 12, 전문가용 신속항원검사 32) 손씻기,자주환기하기 등 생활방역수칙을 준수하시기 바랍니다.",cbs,장성군청,수,,"[('32 손씻기 자주환기하기 생활방역수칙을', 0.4422)]"
2022/05/04 18:04:54,196,전라남도 장성군,154845,"5.4.(수)18시기준 확진자 58명 발생(PCR 검사 19, 전문가용신속항원검사 39) ▲마스크착용, 손씻기, 환기 및 소독 등 생활방역수칙 준수 .",cbs,장성군청,수,,"[('소독 생활방역수칙', 0.3982)]"
2022/05/03 18:01:36,196,전라남도 장성군,154708,"5.3.(화)18시 기준 확진자 82명 발생(PCR검사 13, 전문가용신속항원검사 69) ▲개인방역수칙 준수 ▲60세이상 4차 예방접종 적극 참여",cbs,장성군청,화,60세,"[('60세이상 4차', 0.4699)]"
2022/05/02 18:06:11,196,전라남도 장성군,154568,"5.2.(월)18시 기준 확진자 76명 발생(PCR 검사 31, 전문가용 신속항원검사 45) ▲마스크착용, 손씻기, 환기 및 소독 등 생활방역수칙 준수",cbs,장성군청,월,,"[('45 마스크착용 손씻기', 0.3853)]"
2022/05/01 15:01:19,196,전라남도 장성군,154400,"5.1.(일) 15시 기준 확진자 36명 발생(PCR 검사 7명, 전문가용 신속항원검사 29명) ▲마스크 착용 등 개인생활방역수칙 준수",cbs,장성군청,일,,"[('신속항원검사 29명 마스크', 0.3853)]"
2022/04/30 15:11:55,196,전라남도 장성군,154274,"4.30.(토) 15시 기준 확진자 52명 발생(PCR검사 18, 전문가용 신속항원검사 34) ▲개인방역수칙 준수 ▲60세이상 4차 예방접종 적극 참여",cbs,장성군청,토,60세,"[('34 개인방역수칙 준수', 0.5377)]"
2022/04/29 18:10:00,196,전라남도 장성군,154170,"4.29.(금) 18시기준 확진자 82명 발생(PCR검사 20, 전문가용신속항원검사 62) ▲마스크 착용, 손씻기, 환기 및 소독 등 생활방역수칙 준수",cbs,장성군청,금,,"[('전문가용신속항원검사 62 마스크 착용', 0.4777)]"
2022/04/28 18:08:53,196,전라남도 장성군,154028,"4.28.(목) 18시 기준 확진자 116명 발생(PCR검사 50, 전문가용 신속항원검사 66) ▲개인방역수칙 준수 ▲60세이상 4차 예방접종 적극참여",cbs,장성군청,목,60세,"[('50 전문가용 신속항원검사', 0.4794)]"
