create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/07/29 20:27:04,213,전라북도 장수군,200208,규모3.5지진 발생으로 인해서 피해가 있으신 군민들은 안전재난과(350-1635)로 연락주시기 바랍니다.,cbs,장수군,350-1635,,"[('있으신 군민들은', 0.4265)]"
2023/07/29 19:36:59,213,전라북도 장수군,200203,"7월 29일 19:07 장수군 북쪽 17km 지역 규모 3.5 지진발생/낙하물로부터 몸 보호, 진동 멈춘 후 야외 대피하며 여진 주의",cbs,장수군,,,"[('멈춘 야외 대피하며 여진', 0.5405)]"
2023/07/22 13:00:18,213,전라북도 장수군,199307,"오늘 번암면 독극물 테러로 의심되는 소포가 접수되었으며, 이와 같은 소포 수령시 개봉하지 마시고 즉시 119, 112에 신고 바랍니다.",cbs,장수군,,,"[('112에 신고 바랍니다', 0.6651)]"
2023/07/21 20:30:46,213,전라북도 장수군,199220,"인근 진안군 국제소포 우편물에서 독극물 테러로 의심되는 소포가 접수 되었으며, 이와 같은 소포 수령시 개봉하지 마시고 즉시 119,112에 신고바랍니다",cbs,장수군,,,"[('테러로 의심되는 소포가 접수', 0.6982)]"
2023/07/15 15:39:09,213,전라북도 장수군,197918,"기상청 집중호우 주의 안내 현재 장수군에 강한 비가 내리는 곳이 있어 하천변, 계곡, 산림 등 위험지역 접근을 금지하고 외출을 자제하여 주시기 바랍니다",cbs,장수군,,,"[('금지하고 외출을 자제하여', 0.6408)]"
2023/07/15 14:53:24,213,전라북도 장수군,197902,"지속되는 강우로 사면이 불안정하오니, 산사태 취약지역 및 산림 인접지역 주민은 유사시 대피장소(마을회관, 학교 등)로 대피하여 주시기 바랍니다.",cbs,장수군,"마을회관, 학교 등",,"[('대피장소 마을회관 학교 대피하여', 0.6879)]"
2023/07/15 14:34:16,213,전라북도 장수군,197896,오늘14시 장수읍 개정삼거리(개정리 663-5)~안양삼거리(용계리 744-9) 침수로 국도13호선 현재 통행 차단중입니다. 우회통행하여 주시기바랍니다,cbs,장수군,개정리 663-5,,"[('개정리 663', 0.5418)]"
2023/07/15 09:50:09,213,전라북도 장수군,197797,금일 09시 산사태경보 발효. 많은 비로 인해 산사태위험이 매우 높으므로 산림주변 위험지역 거주주민은 유사시 대피장소(마을회관 등)로 대피 바랍니다.,cbs,장수군,마을회관 등,,"[('매우 높으므로 산림주변 위험지역', 0.7431)]"
2023/07/15 09:16:24,213,전라북도 장수군,197786,금일 09시 산사태주의보 발효. 많은 비로 인해 산사태위험이 매우 높으므로 산림주변 위험지역 거주주민은 유사시 대피장소(마을회관 등)로 대피 바랍니다.,cbs,장수군,마을회관 등,,"[('비로 인해 산사태위험이 매우', 0.7314)]"
2023/07/15 09:06:13,213,전라북도 장수군,197781,"호우주의보 발효중으로 금일 매우 강하고 많은 비가 예상되오니 하천변 산책로, 계곡, 산림등 위험지역 접근을 금지하고 외출을 자제하여 주시기 바랍니다.",cbs,장수군,,,"[('계곡 산림등 위험지역 접근을', 0.7458)]"
2023/07/14 19:54:51,213,전라북도 장수군,197559,오늘19시 장수읍 개정삼거리(개정리 663-5)~안양삼거리(용계리 744-9) 침수로 국도13호선 현재 통행 차단중입니다. 우회통행하여주시기 바랍니다.,cbs,장수군,개정리 663-5,,"[('오늘19시 장수읍', 0.5527)]"
2023/07/14 19:50:56,213,전라북도 장수군,197555,오늘 장수군 지역에 많은 비로 인해 산사태 위험이 매우 높으므로 산림지역 위험지역 주민분들은 근처 마을회관으로 즉시 대피하여주시기 바랍니다.,cbs,장수군,,,"[('주민분들은 근처', 0.69)]"
2023/07/14 07:58:31,213,전라북도 장수군,197305,오늘 06:27 장수군 산사태주의보 발령. 많은 비로 인해 산사태 위험이 매우 높으므로 대피명령이 있을 시 마을회관 등 안전한 곳으로 대피 바랍니다.,cbs,장수군,,,"[('산사태주의보 발령 많은 비로', 0.6396)]"
2023/06/27 21:55:10,213,전라북도 장수군,195966,장수군내 낙뢰를 동반한 많은 비가 예상되오니 하천주변등 야외활동 자제·낙뢰 발생시 실내이동등 안전에 유의하시기 바랍니다.,cbs,장수군,,,"[('동반한 많은 비가', 0.6646)]"
2023/06/27 21:33:51,213,전라북도 장수군,195958,장수군내 호우주의보 발효/ 세월교 통행 주의/ 산간계곡 등 급류지역 안전사고 주의/ 하천둔치주차장 등 저지대 이용 금지 등 안전에 유의해주시기 바랍니다,cbs,장수군,,,"[('이용 금지 안전에 유의해주시기', 0.6577)]"
2023/06/27 00:07:03,8760,전라북도 장수군,195921,오늘 22시 호우로 인한 통제 구간(개정삼거리~용계삼거리) 긴급복구로 인한 23:40 교통 통제 해제 안내. 이후 통행에 주의해주시기 바랍니다.,cbs,장수군,개정삼거리~용계삼거리,,"[('긴급복구로 인한 23 40', 0.5401)]"
2023/06/26 22:26:28,213,전라북도 장수군,195920,오늘 22시 장수읍 개정삼거리(개정리663-5)~안양삼거리(용계리744-9) 국도13호선 침수로 현재 통행차단 중입니다. 우회통행하여주시기 바랍니다.,cbs,장수군,개정리663-5,,"[('개정삼거리 개정리663 안양삼거리 용계리744', 0.4641)]"
2023/06/14 17:39:13,213,전라북도 장수군,195603,금일(6. 14.) 오후부터 낙뢰를 동반한 소나기 및 우박이 예상되오니 하천주변등 야외활동 자제·낙뢰 발생시 실내 이동등 안전에 유의하시기 바랍니다.,cbs,장수군,6. 14.,,"[('안전에 유의하시기', 0.6362)]"
2023/06/11 13:41:12,213,전라북도 장수군,195520,"오늘(6.11)오후부터 밤사이 우리지역에 소나기, 돌풍, 번개와 우박예보가 있습니다. 낙뢰에 주의하여 주시고 피해예방에 만전을 기해주시기 바랍니다.",cbs,장수군,6.11,,"[('낙뢰에 주의하여 주시고 피해예방에', 0.5681)]"
2023/05/25 13:32:41,"8763,8766","전라북도 장수군,전라북도 장수군",195204,오늘 12:30경 장수군 장계면 금덕리 산 60 산불 발생. 입산을 자제하고 인근 주민과 등산객은 안전사고 발생에 주의하시기 바랍니다.,cbs,장수군,,,"[('주의하시기 바랍니다', 0.5669)]"
2022/12/22 07:57:05,213,전라북도 장수군,186536,"현재 장수군 대설주의보 발효중. 내린 눈이 얼면서 결빙구간이 우려되니 출퇴근길 가급적 대중교통을 이용바라며, 외출시 낙상사고에 주의바랍니다.",cbs,장수군,,,"[('발효중 내린 눈이', 0.7496)]"
2021/10/16 11:29:25,213,전라북도 장수군,126383,"오늘 21시 장수군 한파경보 발효. 노약자 보온 유지, 야외활동 자제, 수도관 등 보온조치, 온열기 화재방지, 농작물피해예방 등 주의 바랍니다.",cbs,장수군,,,"[('장수군 한파경보 발효 노약자', 0.5872)]"
2021/07/14 17:25:47,213,전라북도 장수군,112616,"코로나19예방접종(62~66년생)사전예약(7.14 20시~7.24 18시)/온라인ncvr.kdca.go.kr,콜센터9시~18시(350-1561,2744)",cbs,장수군,62~66년생,,"[('코로나19예방접종 62', 0.5395)]"
