create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/17 22:05:51,197,전라남도 장흥군,205321,"21:10 장흥군 호우주의보 발효. 하천, 계곡, 해안가, 급경사지 등 위험지역 출입자제하시고, 침수위험 시 즉시 대피 등 안전에 유의바랍니다.",cbs,장흥군,,,"[('해안가 급경사지 위험지역', 0.6133)]"
2023/09/16 14:17:34,197,전라남도 장흥군,205204,"13:40 장흥군 호우경보 발효 하천, 계곡, 해안가 등 위험지역 출입자제하시고 등산객, 벌초객 들은 즉시 안전한 곳으로 대피 바랍니다.",cbs,장흥군,,,"[('해안가 위험지역 출입자제하시고', 0.4591)]"
2023/08/30 11:06:08,197,전라남도 장흥군,204646,"금일 11시 현재 장흥군 호우경보 발효중 야외활동 및 외출자제, 하천변 산책로·산사태 취약지역 접근 금지, 위험징후 발견 시 안전한 곳으로 대피 바랍니다",cbs,장흥군,,,"[('금일 11시', 0.6048)]"
2023/08/09 18:04:23,197,전라남도 장흥군,202149,통행제한 안내 ▲제6호 태풍에 따른 긴급통행제한 ▲교량명: 정남진대교(장재도) ▲제한기간: 8. 9.(수) 20시부터~ 기상특보 해제시까지,cbs,장흥군,장재도,,"[('통행제한 안내 제6호 태풍에', 0.5651)]"
2023/08/09 14:59:29,197,전라남도 장흥군,202012,8.9.(수)~10.(목) 태풍 카눈이 우리군에 영향을 줄 것으로 예상 ▲외출자제 ▲시설물 결박 ▲배수구 정비 등 사전 예방조치로 안전에 유의 바랍니다,cbs,장흥군,수,,"[('외출자제 시설물 결박 배수구', 0.4735)]"
2023/07/24 09:53:31,197,전라남도 장흥군,199652,금일 9시 장흥군 장동면 산사태주의보 발령. 산림 및 발생 우려지역 주민과 방문객 입산 금지. 이상징후 감지시 안전한 곳으로 대피해 주시기 바랍니다.,cbs,장흥군,,,"[('장동면 산사태주의보 발령', 0.6828)]"
2023/07/22 09:39:10,197,전라남도 장흥군,199260,"금일 호우주의보 발효. 산사태위험지역 인근 주민은 이상징후시 마을회관 등 안전한 곳으로 대피바랍니다. 또한, 장흥댐 방류로 탐진강 출입제한협조 바랍니다.",cbs,장흥군,,,"[('산사태위험지역 인근 주민은 이상징후시', 0.6263)]"
2023/07/18 17:31:32,"8779,8783,8784,8785","전라남도 장흥군,전라남도 장흥군,전라남도 장흥군,전라남도 장흥군",198759,"금일 16시 장흥, 안양, 장동, 장평 지역 산사태주의보 발령. 산림 및 발생 우려지역 주민과 방문객은 입산 금지 및 안전한 곳으로 대피해 주시기 바람",cbs,장흥군,,,"[('안양 장동 장평 지역', 0.7363)]"
2021/12/13 18:06:55,197,전라남도 장흥군,133666,확진자 2명 발생 ▶12.11(토) 12:20~13:20 정남진한들한우식당(장흥읍) ▶12.6(월)~11(토) 한진택배영업소 방문자는 검사바람(소독완료),cbs,장흥군,토,,"[('검사바람 소독완료', 0.541)]"
2021/01/06 10:28:29,197,전라남도 장흥군,81389,"오늘(6일)밤부터 주말(10일)까지 대설, 한파예보, 출퇴근길 결빙, 노약자 외출 자제, 수도관 동파방지 및 화재예방 등 피해에 주의하시기 바랍니다.",cbs,장흥군,6일,,"[('자제 수도관 동파방지 화재예방', 0.5291)]"
2020/08/07 17:22:34,197,전라남도 장흥군,42776,"오늘 16시30분 장흥군 호우주의보 발효중, 국지성 호우가 예상되니 ▶산사태,옹벽, 저지대 등 위험지역 사전대피▶계곡,하천,해안 등 출입 금지▶외출 자제",cbs,장흥군,,,"[('국지성 호우가 예상되니 산사태', 0.7465)]"
