create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/18 07:22:34,202,전라북도 전체,206833,"밤새 내린 눈·비로 결빙이 우려. 외출 시 가급적 대중교통 이용, 운전 시 감속 운행, 미끄럼 사고 등 안전에 주의 바랍니다.",cbs,전라북도,,,"[('가급적 대중교통 이용 운전', 0.6778)]"
2023/07/31 11:01:42,202,전라북도 전체,200451,"도내 전지역 폭염경보. 체감온도 35도 이상, 온열질환 사망자 발생. 야외활동 자제, 충분한 물 마시기와 휴식 등 건강에 유의하시기 바랍니다.",cbs,전라북도,,,"[('전지역 폭염경보 체감온도 35도', 0.7064)]"
2023/07/29 19:25:11,202,전라북도 전체,200200,"7월 29일 19:07 장수군 17km 지역 규모 3.5. 지진발생/낙하물로부터 몸 보호, 진동 멈춘 후 야외 대피하며 여진 주의",cbs,전라북도,,,"[('지역 규모 지진발생', 0.5486)]"
2023/07/21 20:12:56,202,전라북도 전체,199209,"국제소포 우편물에서 독극물로 의심되는 사례가 있으니, 개봉하지 마시고 즉시 119, 112에 신고 바랍니다.",cbs,전라북도,,,"[('독극물로 의심되는 사례가 있으니', 0.6208)]"
2023/07/14 17:41:32,202,전라북도 전체,197513,"계속되는 호우로 하천수위 상승, 도로 침수 등이 발생 중이니 위험지역 출입을 삼가하고, 위험징후 발견 즉시 안전한 곳으로 대피하여 주시기 바랍니다.",cbs,전라북도,,,"[('출입을 삼가하고 위험징후', 0.6945)]"
2023/05/22 10:37:43,202,전라북도 전체,195147,금일(5. 22.) 황사 위기 경보에 따른 황사 ‘관심’ 단계가 발령되었습니다. ▲실외 활동 자제 ▲마스크 착용 등 건강관리에 유의하시기 바랍니다.,cbs,전라북도,5. 22.,,"[('실외 활동 자제', 0.672)]"
2023/04/12 07:06:34,202,전라북도 전체,194377,금일(4.12.) 황사 위기경보에 따른 황사 ‘주의’단계가 발령되었습니다. 실외활동 자제 및 마스크 착용 등 건강관리에 유의하시기 바랍니다.,cbs,전라북도,4.12.,,"[('황사 위기경보에 따른 황사', 0.6237)]"
2023/04/12 07:00:37,"203,204,205,208,215","전라북도 고창군,전라북도 군산시,전라북도 김제시,전라북도 부안군,전라북도 정읍시",194376,"금일 4시 군산, 정읍, 김제, 고창, 부안지역 황사로 인한 미세먼지(PM10) 경보 발령. 실외활동 자제, 마스크 착용 등 건강관리에 유의바랍니다.",cbs,전라북도,PM10,,"[('4시 군산 정읍 김제', 0.51)]"
2023/04/06 14:04:01,"210,211","전라북도 완주군,전라북도 익산시",194206,"오늘 14시 전주, 익산, 완주지역 초미세먼지 경보발령으로 어린이, 노약자 실외활동 자제하여 주시고 마스크착용 등으로 건강관리에 유의 바랍니다.",cbs,전라북도,,,"[('등으로 건강관리에', 0.5958)]"
2023/04/06 13:13:00,202,전라북도 전체,194205,"오늘 12시 군산,정읍,김제,고창,부안지역 미세먼지 경보발령으로 어린이, 노약자 실외활동 자제하여 주시고 마스크착용 등으로 건강관리에 유의 바랍니다.",cbs,전라북도,,,"[('주시고 마스크착용', 0.5556)]"
2023/01/07 09:03:17,202,전라북도 전체,189165,도내 전역에 미세먼지 비상저감조치 발령 중입니다. 실외 활동을 자제하시고 마스크 착용 등 건강관리에 유의하시기 바랍니다.,cbs,전라북도,,,"[('건강관리에 유의하시기', 0.5346)]"
2022/12/23 11:27:41,202,전라북도 전체,186969,"도내에 많은 눈이 내려 가설건축물, 축사, 인삼재배사, 비닐하우스 등에 쌓인 눈을 치워 붕괴 피해를 예방하여 주시기 바랍니다.",cbs,전라북도,,,"[('가설건축물 축사', 0.692)]"
