create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2022/12/22 21:49:30,202,전라북도 전체,186771,22일 밤부터 24일까지 많은 눈과 한파가 예상되니 대중교통을 이용해 주시고 운전 시 안전운행과 외출시 미끄럼 사고등 안전에 주의 바랍니다.,cbs,전라북도청,,,"[('이용해 주시고', 0.6362)]"
2022/12/13 18:24:48,202,전라북도 전체,184935,"도내 한파주의보 발표와 내일 새벽에 눈이 내려 도로결빙이 우려되니 출근시 대중교통을 이용해 주시고, 야외활동 자제하시기 바랍니다.",cbs,전라북도청,,,"[('이용해 주시고', 0.6501)]"
2022/12/13 17:33:52,202,전라북도 전체,184900,오늘(12.13일) 미세먼지 경보발령에 따른 황사 ‘주의단계’ 가 발령되었습니다. 실외활동 자제 및 마스크 착용 등 건강관리에 유의하시기 바랍니다.,cbs,전라북도청,12.13일,,"[('착용 건강관리에 유의하시기', 0.466)]"
2022/10/11 11:46:53,202,전라북도 전체,176513,"최근 보일러 일산화탄소 누출사고로 6명의 사상자가 발생하였습니다. 보일러 가동전에 연통고정상태, 이물질 막힘 등을 반드시 점검하여 주시기 바랍니다.",cbs,전라북도청,,,"[('점검하여 주시기 바랍니다', 0.659)]"
2022/08/11 10:48:38,202,전라북도 전체,167451,"도내 4개시군(군산,익산,김제,부안)에 호우경보 발효로 도민 여러분은 피해가 없도록 외출을 자제하시고 안전사고에 각별히 주의하여 주시기 바랍니다.",cbs,전라북도청,"군산,익산,김제,부안",,"[('군산 익산 김제 부안', 0.6114)]"
2022/07/10 10:30:05,202,전라북도 전체,163004,"지금 전파되고 있는 코로나19 변이 바이러스(BA.5)는 전파력이 매우 강력하여, 환기(3회, 10분 이상) 하지 않으면 집단감염될 수 있습니다.",cbs,전라북도청,BA.5,,"[('ba 전파력이', 0.7145)]"
2022/07/06 17:00:10,202,전라북도 전체,162563,"코로나19 재유행 대비, 1일 최소 3회 10분이상 창문 열어 환기하기, 냉방 중에는 2시간마다 10분이상 환기하기 등을 통하여 집단감염을 예방합시다",cbs,전라북도청,,,"[('10분이상 창문', 0.6962)]"
2022/06/08 15:17:39,202,전라북도 전체,159222,"진드기 매개 감염병(중증열성혈소판감소증후군-SFTS) 도내에서 2명 발생, 도민들께서는 야외활동, 농작업 시 각별한 주의를 바랍니다.",cbs,전라북도청,중증열성혈소판감소증후군-SFTS,,"[('농작업 각별한', 0.477)]"
2022/04/17 10:29:50,202,전라북도 전체,152373,"4.18일부터 사적모임 인원, 운영시간 제한을 해제합니다. 단, 실내취식 금지(종교시설 등 18종), 실내·외 마스크 착용은 유지",cbs,전라북도청,종교시설 등 18종,,"[('제한을 해제합니다 실내취식', 0.6656)]"
2022/04/08 11:05:17,202,전라북도 전체,151013,4.11일부터 보건소 선별진료소 신속항원검사가 종료됩니다. 이후 포털사이트 검색 등을 통하여 가까운 동네병의원을 이용하시기 바랍니다.,cbs,전라북도청,,,"[('이후 포털사이트 검색 등을', 0.5317)]"
