create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2021/12/13 14:09:21,202,전라북도 전체,133611,"방역패스는 출입자가 증명해야 출입 가능합니다. 전자증명서(COOV앱 등), 예방접종증명서 또는 예방접종스티커가 있어야 출입이 가능합니다.",cbs,전라북도청1,COOV앱 등,,"[('coov앱 예방접종증명서 또는', 0.5826)]"
2021/10/31 18:15:42,202,전라북도 전체,127956,단계적 일상회복을 위한 거리두기(1차개편) 행정명령이 11.1. 05시부터 12.12. 24시까지 시행됩니다.,cbs,전라북도청1,1차개편,,"[('위한 거리두기', 0.5125)]"
2021/08/22 16:23:20,202,전라북도 전체,118822,"8.23.0시~9.5.24시까지 전주·군산·익산·완주 혁신도시·무주 무풍면은 3단계, 그 외 11개 시·군은 2단계가 연장됩니다.",cbs,전라북도청1,,,"[('24시까지 전주 군산 익산', 0.4764)]"
2021/06/30 11:32:32,202,전라북도 전체,110425,"새로운 거리두기 시행 ▶기간: 7월 1일~7월 14일 ▶전주,군산,익산,완주(혁신도시): 사적모임 8인까지 가능 ▶그 외 지역: 사적모임 제한없음",cbs,전라북도청1,혁신도시,,"[('완주 혁신도시 사적모임', 0.6657)]"
2021/04/13 17:25:36,202,전라북도 전체,102046,"4.1(목) ~ 4.11(일) 핫케밥(전주시 덕진구 삼송5길 14-23, 금암동)/위 기간 방문자는 281-6341~4로 문의 및",cbs,전라북도청1,목,,"[('11 핫케밥 전주시 덕진구', 0.5036)]"
2021/04/05 16:09:03,"204,210,211,214","전라북도 군산시,전라북도 완주군,전라북도 익산시,전라북도 전주시",101408,"전주, 군산, 익산, 완주 지역 코로나19 확진자 급증으로 해당 시군 임시선별진료소에서 무증상, 역학적 연관성 관계없이 무료 검사를 실시하오니",cbs,전라북도청1,,,"[('역학적 연관성 관계없이 무료', 0.7262)]"
2021/03/29 10:54:57,202,전라북도 전체,100597,"확진자 동선안내 3.26(금)~3.28(일) 전주패밀리랜드(전주시 완산구 정여립로 625, 상림동) / 위 기간에 여성 목욕탕, 사우나 방문자는",cbs,전라북도청1,금,,"[('28 전주패밀리랜드 전주시', 0.5595)]"
2021/02/13 11:03:25,202,전라북도 전체,91464,<사회적거리두기 1.5단계 조정방안> ▶기간:2.15(월) 0시~2.28(일) 24시 ▶5인 이상 사적모임 금지 유지,cbs,전라북도청1,월,,"[('24시 5인', 0.5125)]"
2021/01/31 17:31:35,202,전라북도 전체,88842,전북 도내 사회적 거리두기 2단계 조치가 2.1(월) 0시부터 2.14(일) 24시까지 2주간 연장됩니다. ▶설 연휴 포함 5인이상 사적모임 금지,cbs,전라북도청1,월,,"[('포함 5인이상 사적모임', 0.581)]"
2020/11/24 15:07:21,202,전라북도 전체,67068,"전북239번째(전주69번) 확진자 관련 11.15.(일)~11.23.(월) 진성정밀(주)제2공장 (전주시 덕진구 비석날로 59-24, 여의동)",cbs,전라북도청1,전주69번,,"[('확진자 관련', 0.4595)]"
