create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/10/19 18:27:55,204,전라북도 군산시,206139,"군산시에서 실종된 이두엽씨(남, 83세)를 찾습니다 -160cm, 짧은백발머리, 남색잠바, 검정바지, 검정운동화 vo.la/cNAY8 / ☎182",cbs,전북경찰청,"남, 83세",83세,"[('검정바지 검정운동화 vo la', 0.3875)]"
2023/10/15 09:45:31,211,전라북도 익산시,206057,"익산시에서 배회중인 김옥태씨(남,62세)를 찾습니다 -157cm,53kg,회색계통점퍼,초록색계통바지,노란색자전거 vo.la/5dwsQ / ☎182",cbs,전북경찰청,"남,62세",62세,"[('찾습니다 157cm', 0.5)]"
2023/10/04 16:46:03,211,전라북도 익산시,205858,"익산시에서 배회중인 한채린(여, 16세)을 찾습니다 -160cm, 보통체격, 검정색후드티, 반바지, 크록스착용 vo.la/z4AwG / ☎182",cbs,전북경찰청,"여, 16세",16세,"[('16세 찾습니다 160cm', 0.5139)]"
2023/10/04 16:39:20,211,전라북도 익산시,205857,"익산시에서 배회중인 강현모(남, 16세)를 찾습니다 -174cm, 65kg, 보통체격, 검정짧은머리, 아디폼Q신발 vo.la/tQD56 / ☎182",cbs,전북경찰청,"남, 16세",16세,"[('보통체격 검정짧은머리 아디폼q신발 vo', 0.5482)]"
2023/09/01 08:29:07,210,전라북도 완주군,204762,"완주군에서 배회중인 민도식씨(남,70세)를 찾습니다-160cm,회색줄무늬티,검정칠부등산바지,검정운동화,지팡이 vo.la/TXWtJ / ☎182",cbs,전북경찰청,"남,70세",70세,"[('회색줄무늬티 검정칠부등산바지 검정운동화', 0.4892)]"
2023/09/01 08:22:00,"11187,11234","전라북도 전주시 완산구,전라북도 전주시 덕진구",204761,"전주시에서 실종된 민도식씨(남,70세)를 찾습니다-160cm,55kg,회색줄무늬티,검정칠부등산바지,검정운동화,지팡이 vo.la/TXWtJ/ ☎182",cbs,전북경찰청,"남,70세",70세,"[('검정운동화 지팡이 vo la', 0.5052)]"
2023/08/29 14:01:28,"11187,11234","전라북도 전주시 완산구,전라북도 전주시 덕진구",204547,"전주시에서 실종된 김준기씨(남, 62세)를 찾습니다 -176cm,반백스포츠머리, 흰색체크남방,검정바지,청색운동화 vo.la/0pAZ3 / ☎182",cbs,전북경찰청,"남, 62세",62세,"[('전주시에서 실종된 김준기씨', 0.4911)]"
2023/08/28 14:05:06,211,전라북도 익산시,204518,"익산시에서 배회중인 김진국씨(남, 93세)를 찾습니다 -158cm, 회색상의, 검정하의, 머리숱 없는 짧은 백발 vo.la/XEjjP / ☎182",cbs,전북경찰청,"남, 93세",93세,"[('회색상의 검정하의 머리숱 없는', 0.5008)]"
2023/08/10 07:51:18,206,전라북도 남원시,202412,"남원시에서 배회중인 김용성씨(남, 38세)를 찾습니다 -170cm, 마른체형, 검정가방, 청바지 착용 vo.la/mKFuZ / ☎182",cbs,전북경찰청,"남, 38세",38세,"[('38세 찾습니다 170cm', 0.5254)]"
2023/07/26 14:15:19,206,전라북도 남원시,199841,"남원시에서 배회중인 이종윤씨(남,47세)를 찾습니다-180cm,70kg,남색티,남색바지,주황조끼,흰운동화,검정모자 vo.la/oNY4R/ ☎182",cbs,전북경찰청,"남,47세",47세,"[('180cm 70kg', 0.5057)]"
2023/07/21 16:35:29,216,전라북도 진안군,199123,"진안군에서 실종된 최봉준씨(남, 58세)를 찾습니다 - 150cm, 55kg, 회색반팔상의, 회색7부바지, 슬리퍼 vo.la/doO7H / ☎182",cbs,전북경찰청,"남, 58세",58세,"[('회색7부바지 슬리퍼 vo', 0.4805)]"
2023/07/14 19:55:51,210,전라북도 완주군,197561,"완주군에서 배회중인 박백천씨(남,58세)를 찾습니다 - 178cm,80kg,짧은머리,흰색반팔티,남색바지 vo.la/HqCQf / ☎182",cbs,전북경찰청,"남,58세",58세,"[('짧은머리 흰색반팔티 남색바지 vo', 0.5341)]"
2023/07/14 19:55:21,205,전라북도 김제시,197560,"김제시에서 배회중인 박백천씨(남,58세)를 찾습니다 - 178cm,80kg,짧은머리,흰색반팔티,남색바지 vo.la/HqCQf / ☎182",cbs,전북경찰청,"남,58세",58세,"[('짧은머리 흰색반팔티 남색바지', 0.5111)]"
2023/07/14 19:51:26,"11187,11234","전라북도 전주시 완산구,전라북도 전주시 덕진구",197556,"전주시에서 실종된 박백천씨(남,58세)를 찾습니다 - 178cm,80kg,짧은머리,흰색반팔티,남색바지 vo.la/HqCQf / ☎182",cbs,전북경찰청,"남,58세",58세,"[('짧은머리 흰색반팔티 남색바지 vo', 0.5284)]"
2023/07/07 18:02:02,210,전라북도 완주군,196596,"완주군에서 배회중인 김미순씨(여, 73세)를 찾습니다 -155cm,마른체형,안경착용,밤색계통무늬원피스,검정구두 vo.la/EOYrf / ☎182",cbs,전북경찰청,"여, 73세",73세,"[('마른체형 안경착용 밤색계통무늬원피스 검정구두', 0.5129)]"
2023/07/07 18:01:31,"11187,11234","전라북도 전주시 완산구,전라북도 전주시 덕진구",196595,"전주시에서 실종된 김미순씨(여, 73세)를 찾습니다 -155cm,마른체형,안경착용,밤색계통무늬원피스,검정구두 vo.la/EOYrf / ☎182",cbs,전북경찰청,"여, 73세",73세,"[('검정구두 vo la eoyrf', 0.4873)]"
2023/07/03 17:48:31,"11187,11234","전라북도 전주시 완산구,전라북도 전주시 덕진구",196397,"전주시에서 실종된 박명순씨(여, 87세)를 찾습니다-150cm,50kg,분홍색상의,검정바지,검정슬리퍼,손전등소지 vo.la/iWboY / ☎182",cbs,전북경찰청,"여, 87세",87세,"[('87세 찾습니다 150cm', 0.5128)]"
2023/06/27 10:16:03,205,전라북도 김제시,195926,"김제시에서 실종된 김상옥씨(여, 52세)를 찾습니다 -165cm,보통체격,검정단발,파란줄 셔츠,밤색 반바지 vo.la/q0zUs / ☎182",cbs,전북경찰청,"여, 52세",52세,"[('검정단발 파란줄 셔츠', 0.5066)]"
2023/06/14 10:21:38,204,전라북도 군산시,195582,"군산시에서 배회중인 이OO씨(남, 64세)를 찾습니다 -172cm,회색반팔티(팔부위 검정),검정바지,검정등산화 vo.la/kcwr3 / ☎182",cbs,전북경찰청,"남, 64세",64세,"[('64세 찾습니다 172cm', 0.4101)]"
2023/06/14 10:20:58,205,전라북도 김제시,195581,"김제시에서 배회중인 이OO씨(남, 64세)를 찾습니다 -172cm,회색반팔티(팔부위 검정),검정바지,검정등산화 vo.la/kcwr3 / ☎182",cbs,전북경찰청,"남, 64세",64세,"[('64세 찾습니다 172cm', 0.3999)]"
2023/06/14 10:20:14,211,전라북도 익산시,195580,"익산시에서 실종된 이OO씨(남, 64세)를 찾습니다 - 172cm,회색반팔티(팔부위 검정),검정바지,검정등산화 vo.la/kcwr3 / ☎182",cbs,전북경찰청,"남, 64세",64세,"[('검정 검정바지', 0.4166)]"
2023/05/04 15:47:29,11234,전라북도 전주시 덕진구,194832,"덕진구에서 배회중인 김환식씨(남, 70세)를 찾습니다-170cm,53kg,환자복상의,빨강조끼,검정바지,검정운동화 vo.la/MUKS4 / ☎182",cbs,전북경찰청,"남, 70세",70세,"[('환자복상의 빨강조끼 검정바지', 0.4884)]"
2023/05/04 15:46:59,11187,전라북도 전주시 완산구,194831,"완산구에서 실종된 김환식씨(남, 70세)를 찾습니다 - 170cm,53kg,환자복상의,빨강조끼,검정바지,검정운동화 vo.la/MUKS4 / ☎182",cbs,전북경찰청,"남, 70세",70세,"[('환자복상의 빨강조끼 검정바지', 0.4912)]"
2023/02/09 10:53:05,214,전라북도 전주시,192844,"전주시에서 실종된 김영훈씨(남,81세)를 찾습니다-170cm, 검정롱패딩(허리에 도움 필요 문구부착),검정캡모자 vo.la/EbrsPK / ☎182",cbs,전북경찰청,"남,81세",81세,"[('검정롱패딩 허리에 도움', 0.5177)]"
2023/01/18 13:06:32,190,전라남도 순천시,190786,"순천시에서 배회중인 염기복씨(남, 52세)를 찾습니다 - 170cm, 65kg, 검정색상하의, 검정색운동화 vo.la/nwjFuc / ☎182",cbs,전북경찰청,"남, 52세",52세,"[('검정색상하의 검정색운동화', 0.498)]"
2023/01/17 15:10:39,184,전라남도 구례군,190665,"경찰은 구례군에서 목격된 염기복씨(남, 52세)를 찾습니다 - 170cm, 65kg, 검정색상하의,검정색운동화 vo.la/nwjFuc / ☎182",cbs,전북경찰청,"남, 52세",52세,"[('검정색상하의 검정색운동화 vo', 0.4704)]"
2023/01/17 15:10:05,206,전라북도 남원시,190664,"경찰은 남원시에서 실종된 염기복씨(남, 52세)를 찾습니다 - 170cm, 65kg, 검정색상하의,검정색운동화 vo.la/nwjFuc / ☎182",cbs,전북경찰청,"남, 52세",52세,"[('경찰은 남원시에서', 0.5569)]"
2023/01/07 09:54:43,214,전라북도 전주시,189197,"전주시에서 실종된 황성철씨(남, 76세)를 찾습니다 - 155cm, 파란색점퍼,검정바지, 끈없는회색운동화, 안경 vo.la/XwQJLe / ☎182",cbs,전북경찰청,"남, 76세",76세,"[('76세 찾습니다 155cm', 0.5171)]"
2022/11/13 10:56:59,204,전라북도 군산시,180770,"군산시에서 실종된 김혜경씨(여,45세)를 찾습니다 -161cm, 45kg, 검정점퍼, 갈색골덴바지, 검정뿔테안경 vo.la/FYoioc / ☎182",cbs,전북경찰청,"여,45세",45세,"[('갈색골덴바지 검정뿔테안경 vo la', 0.4421)]"
