create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2021/12/31 17:25:13,202,전라북도 전체,136374,"현재 거리두기 방역수칙이 '22년 1월 16일까지 2주간 연장되며, 도내 해넘이·해맞이 행사 취소 및 현장통제하오니 이동을 자제하여 주시기 바랍니다.",cbs,전북도청,,,"[('거리두기 방역수칙이 22년', 0.655)]"
2021/12/17 17:53:58,202,전라북도 전체,134319,"내일 0시부터 방역수칙이 강화됩니다. 사적모임 4인까지, 운영시간 제한(식당·카페 등 21시이후, PC방 등 22시이후) 등 url.kr/pxdk2j",cbs,전북도청,"식당·카페 등 21시이후, PC방 등 22시이후",,"[('운영시간 제한 식당', 0.4569)]"
2021/11/16 09:56:21,202,전라북도 전체,129657,"주간평균 확진자 48명 발생, 타지역 방문 시 의심되면 검사를 꼭 받으시고, 마스크 쓰기, 자주환기 등 기본방역 수칙 준수가 일상회복에 첫걸음입니다.",cbs,전북도청,,,"[('발생 타지역', 0.6903)]"
2021/10/17 16:36:02,202,전라북도 전체,126524,2-2. ▶사적모임 예방접종완료자 포함 최대 10명까지 가능(미접종자 4명까지) ▶기본 방역수칙 철저 준수 및 증상있으면 검사를 받으시기 바랍니다.,cbs,전북도청,미접종자 4명까지,,"[('검사를 받으시기 바랍니다', 0.3534)]"
2021/10/17 16:33:18,202,전라북도 전체,126523,"2-1. 전주·군산·익산·완주 혁신도시(갈산리) 3단계, 그 외 2단계가 10.31(일)까지 2주 연장됩니다. https://url.kr/75ts8o",cbs,전북도청,갈산리,,"[('군산 익산 완주', 0.487)]"
2021/09/20 10:10:59,202,전라북도 전체,122944,"9.20.(월) 0시 기준 도내 확진자 38명 발생, 실내에서 만남보다는 마스크를 착용하고, 인적이 드문 천리길 탐방으로 명절을 보내시기 바랍니다.",cbs,전북도청,월,,"[('발생 실내에서', 0.5473)]"
2021/08/13 16:18:31,202,전라북도 전체,117423,"8월 14일부터 8월 16일까지 서울일대 '광복절 불법집회 참가 금지 행정명령'이 시행되었으니, 개인차량 등을 이용하여 참가하지 말아 주시기 바랍니다.",cbs,전북도청,,,"[('등을 이용하여', 0.5527)]"
2021/07/18 17:21:35,"204,210,211,214","전라북도 군산시,전라북도 완주군,전라북도 익산시,전라북도 전주시",113242,"7.19.0시~8.1.24시 전주·군산·익산·완주혁신도시 유흥시설·노래연습장 등 24~05시 운영제한, 식당·카페는 24~05시 포장배달만 허용됩니다.",cbs,전북도청,,,"[('05시 운영제한 식당', 0.5832)]"
2021/07/18 17:10:31,202,전라북도 전체,113238,"7.19. 0시~8.1. 24시까지 도내전체 사적모임 4명까지로 제한하며, 전주·군산·익산·완주혁신도시는 2단계, 그외시·군은 1단계 거리두기 적용 함",cbs,전북도청,,,"[('제한하며 전주 군산 익산', 0.6492)]"
2021/05/17 15:29:25,202,전라북도 전체,105825,"60～74세 코로나19 예방접종 6월3일까지 예약 진행중, 온라인(자녀 및 대리자 예약가능) ncvr.kdca.go.kr 및 콜센터 예약(☎1339)",cbs,전북도청,자녀 및 대리자 예약가능,74세,"[('예약 진행중 온라인 자녀', 0.545)]"
2020/12/30 13:31:02,202,전라북도 전체,79075,"코로나19 누구도, 어떤장소도 안전하지 않습니다. 해맞이·해넘이 명소를 폐쇄하며(~1.3) 연말연시 모임자제 등 방역수칙을 철저히 지켜주시기 바랍니다.",cbs,전북도청,~1.3,,"[('해맞이 해넘이', 0.6434)]"
