create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2021/08/08 16:11:49,202,전라북도 전체,116573,"8.9.0시~8.22.24시까지 전주·군산·익산·김제·완주혁신도시·부안은 3단계, 그 외 9개 시·군 2단계가 연장되오니, 방역수칙 준수 바랍니다.",cbs,전북도청1,,,"[('전주 군산 익산 김제', 0.4987)]"
2021/07/26 17:37:27,202,전라북도 전체,114629,"'21년7월27일(화) 0시~8월8일(일) 24시까지 전주·군산·익산·완주혁신도시는 3단계, 그외 11개 시·군 2단계로 격상 됩니다.",cbs,전북도청1,화,,"[('전주 군산', 0.503)]"
2021/06/18 17:39:03,"203,205,206,207,208,209,210,212,213,215,216","전라북도 고창군,전라북도 김제시,전라북도 남원시,전라북도 무주군,전라북도 부안군,전라북도 순창군,전라북도 완주군,전라북도 임실군,전라북도 장수군,전라북도 정읍시,전라북도 진안군",109412,"전주, 군산, 익산, 완주-혁신도시를 제외한 11개 시·군에서 사회적 거리두기 개편안 시범적용(1단계) ▶기간: 6월 21일(월) ~ 7월4일(일)",cbs,전북도청1,1단계,,"[('6월 21일 7월4일', 0.6131)]"
2021/04/14 10:01:30,202,전라북도 전체,102095,"<확진자 이동경로 안내> 4.1(목)~4.11(일) (식당명칭) 우즈베김 처이허나스(완주군 삼례읍 동학로 103), 에스키샤하르(삼례읍 동학로 91)",cbs,전북도청1,목,,"[('우즈베김 처이허나스', 0.5355)]"
2020/12/11 11:36:10,202,전라북도 전체,72154,"전북479번(전주)확진자관련 12.8.화~10.목 06:00~07:30, 12.8.화11:00~12:00 전주농수산물도매시장(송천동)내 전주청과(주)",cbs,전북도청1,전주,,"[('화11 00 12', 0.4636)]"
2020/12/07 18:14:36,202,전라북도 전체,71025,12월 8일 0시부터 무주·장수군을 제외한 전라북도 전역에 사회적 거리두기가 2단계로 격상되오니 시설·활동별 강화된 방역수칙을 반드시 준수바랍니다.,cbs,전북도청1,,,"[('전라북도 전역에 사회적', 0.5)]"
2020/12/06 14:14:19,202,전라북도 전체,70631,"전북393번째(남원) 확진자 경로 안내 11.29.(일) 20:40~22:00 역전할머니맥주(남원 도통점) 카드결제 2팀(4명, 2명)",cbs,전북도청1,남원,,"[('안내 11', 0.4975)]"
2020/12/03 10:17:16,202,전라북도 전체,69614,"전북377,380~382번 확진자 관련 11.21.(토)부터 오늘까지 새소망교회 (전주시 덕진구 백석로 50, 송천동 2가) 방문하신 분들은",cbs,전북도청1,토,,"[('송천동 2가 방문하신', 0.6564)]"
2020/11/27 13:41:32,202,전라북도 전체,67969,전북286번째(군산) 확진자 경로 안내 11.25.(수) 12:50~14:10 전주대 스타센터 푸드코트 내 팬도로시(완산구 천잠로 303),cbs,전북도청1,군산,,"[('14 10 전주대 스타센터', 0.5294)]"
2020/10/28 13:27:33,202,전라북도 전체,62599,"162번, 163번 확진자 관련 10.26(월) 11:30-13:00 미소정(덕진구 만성동), 12:00-13:40 고수닭갈비 혁신점(덕진구 중동)",cbs,전북도청1,월,,"[('미소정 덕진구 만성동', 0.5808)]"
2020/09/16 15:08:14,202,전라북도 전체,57209,"9.3~9.10 GMB글로벌(전주시 덕진구 기린대로319, 2층), 9.9(수)12:00~13:30 짬뽕일번지(전주시 덕진구 팔달로363,금암동)",cbs,전북도청1,"전주시 덕진구 기린대로319, 2층",,"[('짬뽕일번지 전주시 덕진구 팔달로363', 0.4229)]"
2020/05/09 10:16:52,202,전라북도 전체,34707,"이태원클럽 집단감염 발생으로 5.8.~6.7.까지 1개월간 클럽,유흥주점,감성주점,콜라텍 운영자제 권고, 방역지침 철저준수 보건복지부장관 행정명령",cbs,전북도청1,,,"[('감성주점 콜라텍 운영자제', 0.6375)]"
2020/03/24 21:08:10,202,전라북도 전체,31181,"코로나19 행정명령 대상시설 긴급지원금, 신청기한 26일18시까지 연장 시군 상담전화는 09~18시까지 운영 상담전화 전주280-5152",cbs,전북도청1,,,"[('상담전화는 09 18시까지 운영', 0.6417)]"
