create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/18 07:34:28,"11187,11234","전라북도 전주시 완산구,전라북도 전주시 덕진구",206838,"밤사이 내린 눈과 영하의 기온으로 인해 결빙이 우려되오니 운전 시 서행하여 주시기 바라며, 외출 시 미끄럼 사고에 유의하여 주시기 바랍니다",cbs,전주시청,,,"[('서행하여 주시기 바라며', 0.7766)]"
2023/05/29 09:04:28,214,전라북도 전주시,195263,"우리지역에 새벽부터 많은 양의 비가 내림에 따라, 피해가 발생하지 않도록 주의바라며, 삼천변 아래차로 일부가 통제되었으니 우회하여 통행하시기 바랍니다.",cbs,전주시청,,,"[('우회하여 통행하시기 바랍니다', 0.7284)]"
2023/03/08 10:35:45,214,전라북도 전주시,193365,"1.30부터 실내마스크 착용 권고 ▲단, 의료기관,약국,대중교통,입소형감염취약시설 의무 유지 ▲주기적 실내환기 등 개인방역수칙 준수",cbs,전주시청,,,"[('실내마스크 착용 권고', 0.6442)]"
2023/02/22 10:17:38,214,전라북도 전주시,193134,"1.30부터 실내마스크 착용 권고 ▲단, 의료기관,약국,대중교통,입소형감염취약시설 의무 유지 ▲주기적 실내환기 등 개인방역수칙 준수",cbs,전주시청,,,"[('실내마스크 착용 권고', 0.6442)]"
2023/02/15 11:06:37,214,전라북도 전주시,193049,"1.30부터 실내마스크 착용 권고 ▲단, 의료기관,약국,대중교통,입소형감염취약시설 의무 유지 ▲주기적 실내환기 등 개인방역수칙 준수",cbs,전주시청,,,"[('실내마스크 착용 권고', 0.6442)]"
2023/02/08 10:24:20,214,전라북도 전주시,192807,"1.30부터 실내마스크 착용 권고 ▲단, 의료기관,약국,대중교통,입소형감염취약시설 의무 유지 ▲주기적 실내환기 등 개인방역수칙 준수",cbs,전주시청,,,"[('실내마스크 착용 권고', 0.6442)]"
2023/02/06 10:30:24,214,전라북도 전주시,192733,"2.6(월) 0시기준 코로나 63명 ▲1.30부터 실내마스크 착용 권고(단, 의료기관,약국,대중교통,입소형감염취약시설 의무 유지) ▲개인방역수칙 준수",cbs,전주시청,월,,"[('대중교통 입소형감염취약시설 의무 유지', 0.5563)]"
2023/02/05 10:20:56,214,전라북도 전주시,192692,"2.5(일) 0시기준 코로나228명 발생 ▲1.30부터 실내마스크 착용 권고(단, 의료기관,약국,대중교통,입소형감염취약시설 의무) ▲개인방역수칙 준수",cbs,전주시청,일,,"[('입소형감염취약시설 의무 개인방역수칙', 0.5309)]"
2023/02/03 11:34:45,214,전라북도 전주시,192602,"2.3(금) 0시기준 코로나225명 발생 ▲1.30부터 실내마스크 착용 권고(단, 의료기관,약국,대중교통,입소형감염취약시설 의무) ▲개인방역수칙 준수",cbs,전주시청,금,,"[('대중교통 입소형감염취약시설 의무', 0.5194)]"
2023/02/02 10:58:54,214,전라북도 전주시,192551,"2.2(목) 0시기준 코로나275명 발생 ▲1.30부터 실내마스크 착용 권고(단, 의료기관,약국,대중교통,입소형감염취약시설 의무) ▲개인방역수칙 준수",cbs,전주시청,목,,"[('개인방역수칙 준수', 0.4842)]"
2023/02/01 10:11:21,214,전라북도 전주시,192476,"2.1(수) 0시기준 코로나 336명 발생 ▲1.30부터 실내마스크 착용 권고(단, 의료기관,약국,대중교통,입소형감염취약시설 의무) ▲개인방역수칙 준수",cbs,전주시청,수,,"[('의료기관 약국 대중교통', 0.4927)]"
2023/01/31 11:38:46,214,전라북도 전주시,192416,"1.31(화) 0시기준 코로나357명 발생 ▲1.30부터 실내마스크 착용 권고(단, 의료기관,약국,대중교통,입소형감염취약시설 의무) ▲개인방역수칙 준수",cbs,전주시청,화,,"[('발생 30부터', 0.5678)]"
2023/01/30 10:14:54,214,전라북도 전주시,192338,"1.30(월) 0시기준 코로나 118명 O1.30부터 실내마스크 착용 권고(단, 의료기관,약국,대중교통,입소형감염취약시설 의무) O개인방역수칙 준수",cbs,전주시청,월,,"[('입소형감염취약시설 의무 o개인방역수칙', 0.5139)]"
2023/01/29 10:42:13,214,전라북도 전주시,192260,1.29(일) 0시기준 코로나375명 발생 O선별진료소 운영 안내 -화산선별진료소(화산체육관) -임시선별진료소(덕진보건소1층)-1.29.까지,cbs,전주시청,일,,"[('화산선별진료소 화산체육관 임시선별진료소 덕진보건소1층', 0.5279)]"
2023/01/28 10:15:16,214,전라북도 전주시,192179,1.28(토) 0시기준 코로나372명 발생 O선별진료소 운영 안내 -화산선별진료소(화산체육관) -임시선별진료소(덕진보건소1층)-1.29.까지,cbs,전주시청,토,,"[('28 0시기준', 0.5537)]"
2023/01/27 11:37:06,214,전라북도 전주시,192076,1.27(금) 0시기준 코로나523명 발생 O선별진료소 운영 안내 -화산선별진료소(화산체육관) -임시선별진료소(덕진보건소1층)-1.29.까지,cbs,전주시청,금,,"[('안내 화산선별진료소 화산체육관 임시선별진료소', 0.5106)]"
2023/01/26 11:01:22,214,전라북도 전주시,191947,1.26(목) 0시기준 코로나520명 발생 O선별진료소 운영 안내 -화산선별진료소(화산체육관) -임시선별진료소(덕진보건소1층)-1.29.까지,cbs,전주시청,목,,"[('o선별진료소 운영', 0.5563)]"
2023/01/25 11:32:39,214,전라북도 전주시,191811,1.25(수) 0시기준 코로나246명 발생 O선별진료소 운영 안내(9시~17시) -화산선별(화산체육관) -임시선별진료소(덕진보건소1층)-1.29.까지,cbs,전주시청,수,,"[('17시 화산선별 화산체육관', 0.5336)]"
2023/01/25 07:22:56,214,전라북도 전주시,191747,"한파주의보 발효중, 도로 결빙과 미끄럼 안전사고에 주의하시고, 수도관 동파 방지 등 시설물 관리에 유의 바랍니다.",cbs,전주시청,,,"[('발효중 도로 결빙과 미끄럼', 0.7192)]"
2023/01/24 10:17:51,214,전라북도 전주시,191602,1.24(화) 0시기준 코로나218명 발생 O설연휴 선별진료소 운영(9시~17시) -화산선별(화산체육관) -임시선별진료소(덕진보건소1층)-1.29.까지,cbs,전주시청,화,,"[('임시선별진료소 덕진보건소1층 29', 0.5005)]"
2023/01/24 06:45:40,214,전라북도 전주시,191529,"새벽부터 눈이 내려 도로 결빙이 우려되오니, 보행 시 안전에 주의하여 주시고, 가급적 대중교통 이용 및 운전 시 서행 운전하시기 바랍니다.",cbs,전주시청,,,"[('가급적 대중교통 이용', 0.7554)]"
2023/01/23 21:00:01,214,전라북도 전주시,191514,"오늘밤부터 큰 폭의 기온 하강으로 인한 한파 피해가 예상되오니 ▲노약자 한랭질환예방, ▲수도동파예방, ▲전열기구 화재예방 등 안전에 유의하시기 바랍니다",cbs,전주시청,,,"[('하강으로 인한', 0.6494)]"
2023/01/23 10:09:07,214,전라북도 전주시,191344,1.23(월) 0시기준 코로나149명 발생 O설연휴 선별진료소 운영(9시~17시) -화산선별(화산체육관) -임시선별진료소(덕진보건소1층)-1.29.까지,cbs,전주시청,월,,"[('임시선별진료소 덕진보건소1층 29 까지', 0.5482)]"
2023/01/22 10:25:11,214,전라북도 전주시,191254,1.22(일) 0시 코로나311명 발생 O설연휴 선별진료소 운영(9-17시) -화산선별진료소(화산체육관) -임시선별진료소(덕진보건소1층)-1.29.까지,cbs,전주시청,일,,"[('17시 화산선별진료소 화산체육관', 0.4921)]"
2023/01/21 10:00:21,214,전라북도 전주시,191140,1.21(토) 0시기준 코로나374명 발생 O선별진료소 운영(9시~17시/정비시간]) O방역수칙준수로 안전한 설명절 보내세요.,cbs,전주시청,토,,"[('정비시간 o방역수칙준수로', 0.5697)]"
2023/01/20 10:48:32,214,전라북도 전주시,191015,"1.20(금) 0시기준 코로나 415명 발생 O화산선별진료소 평일 야간연장운영(9시~21시) O마스크 착용, 주기적 환기, 방역수칙준수",cbs,전주시청,금,,"[('o마스크 착용 주기적 환기', 0.5135)]"
2023/01/19 10:10:28,214,전라북도 전주시,190886,"1.19(목) 0시기준 코로나 446명 발생 O화산선별진료소 평일 야간연장운영(9시~21시) O마스크 착용, 주기적 환기, 방역수칙준수",cbs,전주시청,목,,"[('o화산선별진료소 평일 야간연장운영 9시', 0.5713)]"
2023/01/18 10:07:08,214,전라북도 전주시,190756,"1.18(수) 0시기준 코로나 529명 발생 O화산선별진료소 평일 야간연장운영(9시~21시) O마스크 착용, 주기적 환기, 방역수칙준수",cbs,전주시청,수,,"[('529명 발생', 0.5118)]"
2023/01/17 10:12:17,214,전라북도 전주시,190633,"1.17(화) 0시기준 코로나 516명 발생 O화산선별진료소 평일 야간연장운영(9시~21시) O마스크 착용, 주기적 환기, 방역수칙준수",cbs,전주시청,화,,"[('o화산선별진료소 평일 야간연장운영 9시', 0.5601)]"
2023/01/16 10:43:45,214,전라북도 전주시,190512,"1.16(월) 0시기준 코로나 166명 발생 O화산선별진료소 평일 야간연장운영(9시~21시) O마스크 착용, 주기적 환기, 방역수칙준수",cbs,전주시청,월,,"[('평일 야간연장운영 9시 21시', 0.5586)]"
2023/01/15 10:00:24,214,전라북도 전주시,190321,"1.15(일) 0시기준 코로나 485명 발생 O화산선별진료소 주말 운영(9시~18시) O마스크 착용, 주기적 환기, 방역수칙준수",cbs,전주시청,일,,"[('o마스크 착용 주기적 환기', 0.5665)]"
2023/01/14 10:03:05,214,전라북도 전주시,190184,"1.14(토) 0시기준 코로나 535명 발생 O화산선별진료소 주말 운영(9시~18시) O마스크 착용, 주기적 환기, 방역수칙준수",cbs,전주시청,토,,"[('18시 o마스크 착용 주기적', 0.5926)]"
2023/01/13 11:11:54,214,전라북도 전주시,190064,"1.13(금) 0시기준 코로나 531명 발생 O화산선별진료소 평일 야간연장운영(9시~21시) O마스크 착용, 주기적 환기, 방역수칙준수",cbs,전주시청,금,,"[('발생 o화산선별진료소', 0.4689)]"
2023/01/12 10:09:14,214,전라북도 전주시,189894,"1.12(목) 0시기준 코로나 566명 발생 O화산선별진료소 평일 야간연장운영(9시~21시) O마스크 착용, 주기적 환기, 방역수칙준수",cbs,전주시청,목,,"[('평일 야간연장운영 9시 21시', 0.5313)]"
2023/01/11 11:22:59,214,전라북도 전주시,189786,"1.11(수) 0시기준 코로나 721명 발생 O화산선별진료소 평일 야간연장운영(9시~21시) O마스크 착용, 주기적 환기, 방역수칙준수",cbs,전주시청,수,,"[('9시 21시 o마스크', 0.3781)]"
2023/01/10 10:31:53,214,전라북도 전주시,189642,"1.10(화) 0시기준 코로나 762명 발생 O화산선별진료소 평일 야간연장운영(9시~21시) O마스크 착용, 주기적 환기, 방역수칙준수",cbs,전주시청,화,,"[('평일 야간연장운영 9시 21시', 0.5493)]"
