create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/06/29 11:38:01,215,전라북도 정읍시,196124,"11시30분 정읍시 호우주의보 발효되었습니다. 내일까지 많은비가 예상되니 야외활동 및 농작물 보호행위 자제, 위험지역 접근 금지하여 주시기 바랍니다.",cbs,정읍시청,,,"[('호우주의보 발효되었습니다 내일까지 많은비가', 0.5138)]"
2023/06/28 09:36:33,215,전라북도 정읍시,196052,"금일 09시경 산내면 장금리 933-1 사실재터널(산내-순창방면) 산사태로 인해 도로 통제중이니,통행차량은 국도30호선으로 우회하여 주시기 바랍니다.",cbs,정읍시청,산내-순창방면,,"[('금일 09시경 산내면 장금리', 0.614)]"
2023/06/25 20:30:03,215,전라북도 정읍시,195874,"내일 새벽부터 장마가 시작되오니 저지대, 침수우려지역 등 위험지역에서는 가족, 이웃과 정보를 공유하고 외출 자제 등 안전에 유의하여 주시기를 바랍니다.",cbs,정읍시청,,,"[('이웃과 정보를 공유하고 외출', 0.7713)]"
2023/06/11 13:40:21,215,전라북도 정읍시,195519,"오늘(11일) 오후부터 밤사이 소나기,돌풍,천둥,번개와 우박예보가 있습니다. 특히, 낙뢰에 주의하여 주시고 피해 예방에 만전을 기해 주시기 바랍니다.",cbs,정읍시청,11일,,"[('예방에 만전을 기해 주시기', 0.5339)]"
2023/04/03 06:26:08,215,전라북도 정읍시,194064,오늘 03:47경 정읍시 산외면 화죽리 90-2 산불 발생. 입산을 자제하고 인근 주민과 등산객은 안전사고 발생에 주의하시기 바랍니다.,cbs,정읍시청,,,"[('인근 주민과', 0.5854)]"
2023/03/10 15:43:05,215,전라북도 정읍시,193422,"오늘 13:40 정읍시 입암면 매봉산 산불 발생.입산을 자제하고 인근 주민과 등산객은 안전사고 발생에 주의하시기 바랍니다. 산불재난 위기경보 ""경계""",cbs,정읍시청,,,"[('주민과 등산객은', 0.4963)]"
2023/02/07 09:02:37,215,전라북도 정읍시,192771,2. 7.(화) 9시기준 확진자 24명 발생▲감염취약시설 등은 마스크 착용 의무가 유지됩니다. pf.kakao.com/_axcMvK,cbs,정읍시청,화,,"[('발생 감염취약시설 등은', 0.4375)]"
2023/02/06 09:03:08,215,전라북도 정읍시,192723,2. 6.(월) 9시기준 확진자 7명 발생▲감염병 예방을 위해 자율적인 마스크 착용 당부드립니다. pf.kakao.com/_axcMvK,cbs,정읍시청,월,,"[('마스크 착용 당부드립니다 pf', 0.3881)]"
2023/02/05 09:10:15,215,전라북도 정읍시,192682,2. 5.(일) 9시 기준 확진자 34명 발생 ▲ 감염병 예방을 위해 자율적인 마스크 착용 당부 드립니다. pf.kakao.com/_axcMvK,cbs,정읍시청,일,,"[('착용 당부 드립니다 pf', 0.3838)]"
2023/02/04 09:35:22,215,전라북도 정읍시,192644,2. 4.(토) 9시 기준 확진자 28명 발생 ▲감염취약시설 등은 마스크 착용 의무가 유지됩니다. pf.kakao.com/_axcMvK,cbs,정읍시청,토,,"[('착용 의무가 유지됩니다', 0.378)]"
