create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2021/05/18 10:19:15,215,전라북도 정읍시,105917,"5월12일(수) 15:10~16:28 차우림찻집, 이용자는 정읍시 선별진료소에서 검사바랍니다.(063-539-6734~7)",cbs,정읍시청2,수,,"[('정읍시 선별진료소에서 검사바랍니다 063', 0.4537)]"
2021/04/14 14:18:29,215,전라북도 정읍시,102126,blog.naver.com/jeongeupnews/222305604589 /3.31(수)~4.12(월) 금성주단(시기동)방문자는 즉시 검사바랍니다.,cbs,정읍시청2,수,,"[('naver com jeongeupnews', 0.3478)]"
2021/04/13 10:40:14,215,전라북도 정읍시,102001,세부내용은 정읍시 블로그 참고바랍니다. / blog.naver.com/jeongeupnews/222305604589,cbs,정읍시청2,,,"[('naver com', 0.2284)]"
2021/04/10 21:59:56,215,전라북도 정읍시,101789,4월1일부터 4월9일까지 바른재활의학과의원(상동) 방문자는 보건소 선별진료소에서 4월11일 08:00시부터 검사바랍니다. (539-6734~7),cbs,정읍시청2,상동,,"[('선별진료소에서 4월11일 08 00시부터', 0.5703)]"
2021/03/30 14:35:44,215,전라북도 정읍시,100915,"광주시2208번 확진자 정읍방문 관련/3.27(토) 15:00~15:30 화순옥(시기동,소독완료) 방문자는 보건소 검사바랍니다.(539-6734~7)",cbs,정읍시청2,토,,"[('보건소 검사바랍니다', 0.6074)]"
2021/03/26 16:24:05,215,전라북도 정읍시,100032,"코로나19 예방을 위해 타지역 방문 및 외부인 접촉 자제, 마스크 착용, 시설 소독 및 환기 등 생활방역수칙을 준수하여 주시기 바랍니다.",cbs,정읍시청2,,,"[('방문 외부인 접촉', 0.6722)]"
2021/03/12 11:41:20,215,전라북도 정읍시,97281,"직계가족, 상견례, 6세 미만의 영유아는 8인까지 모임이 허용되고 돌잔치 전문점은 4㎡당 1명으로 인원제한됩니다.",cbs,정읍시청2,,6세,"[('허용되고 돌잔치 전문점은', 0.5317)]"
2021/02/26 14:45:24,215,전라북도 정읍시,94775,"유흥·단란주점,콜라텍 등 유흥시설(8㎡당1명),방문판매등 직접판매홍보관(4㎡당1명)은 인원제한되고 22시~익일05시까지 영업제한 현행대로 유지됩니다.",cbs,정읍시청2,8㎡당1명,,"[('콜라텍 유흥시설 당1명', 0.6024)]"
2021/02/15 14:00:38,215,전라북도 정읍시,92022,"유흥시설 22시까지 영업/방역수칙 준수, 자율방역 실천을 당부드리며 2021년 2월 15일부터 거리두기 1.5단계 조정으로",cbs,정읍시청2,,,"[('유흥시설 22시까지', 0.6657)]"
2021/02/13 11:02:57,215,전라북도 정읍시,91461,"유흥시설 6종(유흥·단란주점, 콜라텍 등)은 당초 집합금지에서 운영시간이 22시로 운영제한 됩니다.",cbs,정읍시청2,"유흥·단란주점, 콜라텍 등",,"[('유흥시설 6종', 0.6671)]"
2021/01/17 11:21:27,215,전라북도 정읍시,84909,"식당, 카페 등 21시~익일 05시까지 포장,배달만 허용됩니다.자세한 내용은 정읍시홈페이지 등에서 확인할 수 있습니다. 발열, 감기 등 증상 시 검사",cbs,정읍시청2,,,"[('익일 05시까지 포장', 0.6404)]"
2021/01/03 16:09:25,215,전라북도 정읍시,80541,입장 금지됩니다. 또한 유흥시설 집합금지/ 식당21시~익일05시까지 포장배달만 허용/ 카페는 포장배달만 허용/ 숙박시설 객실수의 2/3 이내로,cbs,정읍시청2,,,"[('금지됩니다 또한 유흥시설 집합금지', 0.6412)]"
2020/12/28 16:09:43,215,전라북도 정읍시,78344,"유흥시설 집합금지/식당 5인이상 예약동반입장금지/21시~익일 05시까지 포장배달만 허용/카페 포장배달만허용/숙박시설 객실수의 50%이내,정원초과금지등",cbs,정읍시청2,,,"[('집합금지 식당 5인이상 예약동반입장금지', 0.5834)]"
2020/12/26 14:21:56,215,전라북도 정읍시,77644,"롯데마트정읍점 2회]/동시간대 방문자는 선별진료소 방문, 검사바랍니다.",cbs,정읍시청2,월,,"[('롯데마트정읍점 2회', 0.4322)]"
2020/12/09 09:11:25,215,전라북도 정읍시,71482,"12.4.(금), 12.5.(토), 12.7.(월), 12.8.(화) 각요일별 11:20~11:45 돈아식당(신정동/소독완료)",cbs,정읍시청2,금,,"[('12 12 12', 0.3728)]"
2020/12/08 23:20:42,215,전라북도 정읍시,71458,역학조사 및 이동동선 파악중입니다. (539-6734~7),cbs,정읍시청2,539-6734~7,,"[('539 6734', 0.3368)]"
2020/12/07 17:57:39,215,전라북도 정읍시,71003,음식점은 21시 이후 포장배달만 가능함을 알려드립니다.(539-6901~6905),cbs,정읍시청2,539-6901~6905,,"[('539 6901 6905', 0.1428)]"
2020/12/07 07:29:51,215,전라북도 정읍시,70746,"12.4(금) 12:00~12:38 새미찬식당(초산동), 19:50~20:45 청자다방(상동점)/ 12.5(토) 19:04~21:04 츠츠허허(상동)",cbs,정읍시청2,금,,"[('초산동 19', 0.5481)]"
2020/12/05 23:25:25,215,전라북도 정읍시,70498,12.1(화)11:20~11:35돈아식당(신정동)12.3(목)11:20~11:40돈아식당(신정동)12.3(목)18:00~19:09명품왕족발보쌈(상동),cbs,정읍시청2,화,,"[('20 11 35돈아식당 신정동', 0.5282)]"
2020/11/12 18:45:29,215,전라북도 정읍시,64238,개인방역수칙을 준수하여 주시기 바랍니다 안내번호(063-539-6734~7) blog.naver.com/jeongeupnews/222142236174,cbs,정읍시청2,063-539-6734~7,,"[('com jeongeupnews 222142236174', 0.305)]"
2020/10/28 08:53:07,215,전라북도 정읍시,62565,"10.25(일) 18:36~19:34황금코다리식당,20:10~21:35까로치아커피숍 -소독완료,동시간대 방문자는 선별진료소에 방문하여 검사 바랍니다.",cbs,정읍시청2,일,,"[('방문하여 검사', 0.6101)]"
2020/10/28 08:17:26,215,전라북도 정읍시,62561,"수성동 황금코다리, 10.25(일) 20:10~21:35 북면 까로치아 커피숍 / 동시간대 방문자는 가까운 선별진료소에 방문하여 검사바랍니다.",cbs,정읍시청2,일,,"[('방문자는 가까운 선별진료소에', 0.6321)]"
2020/10/28 00:19:44,215,전라북도 정읍시,62555,"평통사무실, 건설과), 시청 2관 2층(지역경제과), 3층(첨단산업과)은 28일(수) 오전 10시까지 일시폐쇄함을 알려드립니다.",cbs,정읍시청2,지역경제과,,"[('건설과 시청', 0.646)]"
