create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/01/23 17:13:24,217,제주특별자치도 전체,191447,"내일(24일) 아침부터 항공기, 여객선 운항에 차질이 예상되어 사전 운항 정보 확인 후 이동 바랍니다.",cbs,제주,24일,,"[('차질이 예상되어 사전', 0.6321)]"
2023/01/23 17:12:09,217,제주특별자치도 전체,191446,"23일 밤~24일 낮까지 눈(산지30~50cm, 산지 제외5~20cm)이 예상됨. 대중교통 이용·월동장구 장착 및 제주경찰청 도로통제상황 확인 바랍니다.",cbs,제주,"산지30~50cm, 산지 제외5~20cm",,"[('제외5 20cm', 0.564)]"
2021/11/14 16:04:04,217,제주특별자치도 전체,129485,제주시 용담해수사우나(남탕) 11.7(일). 13시~15시 / 서귀포시 삼진탕(여탕) 11.11(목). 08:30~10:30 방문자 보건소 상담 및 검사,cbs,제주,남탕,,"[('서귀포시 삼진탕', 0.5721)]"
2021/11/07 15:58:56,217,제주특별자치도 전체,128706,표선면 성산포수협 표선복지회관목욕탕 여탕 11.3.(수) 17:30~19:30 방문자 보건소상담 및 검사 covid19.jeju.go.kr/info.jsp,cbs,제주,수,,"[('19 30 방문자 보건소상담', 0.4387)]"
2021/11/07 15:58:43,217,제주특별자치도 전체,128705,남원읍 남원사우나 여탕 10.31. 16:00~20:30 / 11.2. 13:30~17:30 / 11.4. 12:30~17:00 방문자 보건소상담 및 검사,cbs,제주,,,"[('31 16 00 20', 0.2627)]"
2021/11/07 15:58:24,217,제주특별자치도 전체,128704,일도이동 대유대림사우나여탕 11.1. 15:00~18:30/11.2. 06:30~10:30/11.2.~5. 15:00~18:30 방문자 보건소상담 및 검사,cbs,제주,,,"[('11 15', 0.3411)]"
2021/09/04 17:09:01,217,제주특별자치도 전체,120960,"거리두기4단계연장(9.6~9.22),사적모임4인(18시이후2인)식당.카페,접종완료자포함6명 https://covid19.jeju.go.kr/info.jsp",cbs,제주,9.6~9.22,,"[('18시이후2인 식당 카페 접종완료자포함6명', 0.3753)]"
2021/08/16 18:29:07,217,제주특별자치도 전체,117900,"거리두기4단계(8.18~8.29),사적모임4인(18시이후2인),마트(300㎡이상)22시,노래연습장집합금지 covid19.jeju.go.kr/info.jsp",cbs,제주,8.18~8.29,,"[('마트 300 이상 22시', 0.4444)]"
2020/12/18 09:11:41,217,제주특별자치도 전체,74523,"18일,0시 기준 확진자 총181명. 한라사우나 15,부민장례식장 1,수도권거주자 2,김녕성당 7 추가 covid19.jeju.go.kr/info.jsp",cbs,제주,,,"[('15 부민장례식장 수도권거주자 김녕성당', 0.5365)]"
2020/12/15 20:32:51,217,제주특별자치도 전체,73760,"부민장례식장(3분향실 12월10일 08:00~12월11일 09:30, 2분향실 12월11일 09:30~12월12일 08:00)방문자 선별진료소 방문검사",cbs,제주,"3분향실 12월10일 08:00~12월11일 09:30, 2분향실 12월11일 09:30~12월12일 08:00",,"[('12월12일 08', 0.6568)]"
2020/09/07 06:55:47,217,제주특별자치도 전체,54862,"제10호 태풍으로 인해 한북로(제대사거리 ↔ 아라요양병원) 도로 침수 발생, 차량통제하고 있으니, 우회하여 주시고, 인근 주민은 안전에 유의하세요.",cbs,제주,제대사거리 ↔ 아라요양병원,,"[('주시고 인근', 0.5861)]"
2020/09/02 22:44:52,217,제주특별자치도 전체,53302,"현재 태풍의 영향으로 제주도 전지역에 정전이 다수 발생하여 지역적으로 단수가 예상되니, 전기가 복구되는 대로 정상적으로 물공급이 되도록 하겠습니다.",cbs,제주,,,"[('발생하여 지역적으로 단수가', 0.8102)]"
2020/09/02 21:06:08,217,제주특별자치도 전체,53245,"제9호 태풍으로 인해 평화로, 제2산록도로, 애조로, 교래교 등 도로침수가 발생하는 곳이 많으니 차량운행과 외출을 자제 해 주시기 바랍니다.",cbs,제주,,,"[('외출을 자제 주시기', 0.6652)]"
2020/09/02 20:57:49,217,제주특별자치도 전체,53232,"태풍영향으로 버스(111번, 112번, 122번, 131번, 132번, 211번, 212번, 222번, 231번, 232번) 운행이 21시부터 중단됩니다.",cbs,제주,"111번, 112번, 122번, 131번, 132번, 211번, 212번, 222번, 231번, 232번",,"[('222번 231번 232번', 0.7394)]"
2020/09/02 17:53:41,217,제주특별자치도 전체,53045,제주시 재난안전대책본부에서 알려드립니다. 태풍 영향으로 집중호우에 따른 월대천 범람이 우려됨에 따라 인근 주민께서는 월대마을회관으로 대피하시기 바랍니다.,cbs,제주,,,"[('따른 월대천', 0.5785)]"
2020/07/16 20:40:21,217,제주특별자치도 전체,40778,△ 7월13일(18:30 ~ 20:05) : 흑돈본가(한림읍 한림상로 193),cbs,제주,18:30 ~ 20:05,,"[('30 20 05', 0.1986)]"
2020/07/16 20:39:57,217,제주특별자치도 전체,40777,"△ 7월9일~7월16일 : 한림읍 사랑방 다방(한림읍 한수풀로 2), △ 7월10일~7월16일 : 한림읍 해빈사우나(여탕, 한림읍 한림로 19길 12),",cbs,제주,한림읍 한수풀로 2,,"[('다방 한림읍 한수풀로', 0.6541)]"
2020/07/16 20:39:35,217,제주특별자치도 전체,40776,"제주방문 광진구 확진자 접촉자 3명 코로나19 확진발생, 다음 장소에 해당 기간 방문자는 관할 보건소 문의 후 코로나19 검사를 받으시길 바랍니다.",cbs,제주,,,"[('방문자는 관할', 0.6539)]"
