create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/17 18:03:33,217,제주특별자치도 전체,206785,"제주산지, 서부, 북부, 북부중산간에 강풍경보 발효에 따라 시설물 고정 및 안전조치 하여 주시고, 방파제·해안가에서는 너울성 파도로 접근금지 바랍니다.",cbs,제주도,,,"[('너울성 파도로 접근금지', 0.6869)]"
2023/11/14 10:06:03,217,제주특별자치도 전체,206715,"빈대 확인 시 열 소독 또는 진공청소기를 이용 제거 바라며, 여행 시 침대 등 빈대 확인 및 귀가 시 여행용품 소독에 철저 바랍니다.",cbs,제주도,,,"[('확인 소독', 0.6567)]"
2023/11/06 06:51:06,217,제주특별자치도 전체,206499,"제주 전지역 강풍특보 발효 중. 공사장, 간판 등 시설물 고정 및 안전조치 하여 주시고, 방파제·해안가에서는 너울성 파도에 주의하여 주시기 바랍니다.",cbs,제주도,,,"[('공사장 간판 시설물', 0.726)]"
2023/09/17 22:55:04,10426,제주특별자치도 제주시,205322,"현재 우도면 일부지역에 낙뢰로 인해 정전중입니다, 한전에서는 심야 복구작업 어려움으로 내일 오전 중으로 복구에 착수 할 예정이니 안전에 유의 바랍니다",cbs,제주도,,,"[('우도면 일부지역에 낙뢰로', 0.571)]"
2023/09/17 22:01:16,217,제주특별자치도 전체,205320,"산지, 중산간, 동부, 남부에 호우경보 발효, 많은 비가 내리고 있으니, 해안가, 하천변, 공사현장, 침수지역 등 안전사고에 유의 바랍니다.",cbs,제주도,,,"[('많은 비가 내리고', 0.7003)]"
2023/09/05 14:09:43,"10380,10381,10382,10383,10384,10385,10390,10391,10408","제주특별자치도 제주시,제주특별자치도 제주시,제주특별자치도 제주시,제주특별자치도 제주시,제주특별자치도 제주시,제주특별자치도 제주시,제주특별자치도 제주시,제주특별자치도 제주시,제주특별자치도 제주시",204907,"한일베라체 인근정비공사 중 상수도관 일부 파손. 일부지역 간헐적 단수 및 저수압 발생이 예상되며, 15시30분까지 복구토록 하겠습니다. 양해바랍니다.",cbs,제주도,,,"[('저수압 발생이 예상되며', 0.7682)]"
2023/08/23 09:34:51,217,제주특별자치도 전체,204089,"남부, 북부, 중산간, 산지지역에 집중호우가 예상되니 저지대, 하천변, 상습침수, 외출자제 등 안전에 유의바랍니다.",cbs,제주도,,,"[('상습침수 외출자제 안전에 유의바랍니다', 0.698)]"
2023/08/23 09:00:45,217,제주특별자치도 전체,204074,"금일.14시부터 20분간 민방위훈련, 제주시 S중앙병원~뜨란채아파트, 한마음병원~탐라중, 서귀포 법화사사거리~제주라포즈팬션 구간 15분간 차량통제",cbs,제주도,,,"[('법화사사거리 제주라포즈팬션', 0.7417)]"
2023/08/23 07:32:11,217,제주특별자치도 전체,204065,"서부, 북부, 남부, 중산간, 추자도에 호우주의보 발효, 많은 비가 내리고 있으니, 해안가, 하천변, 공사현장, 침수지역 등 안전사고에 유의 바랍니다",cbs,제주도,,,"[('비가 내리고 있으니 해안가', 0.7188)]"
2023/08/22 15:31:14,217,제주특별자치도 전체,203986,"8.23.14시부터 20분간 민방위훈련 실시, 차량통제는 제주시S병원~뜨란체APT입구, 한마음병원사거리~탐라중 입구, 서귀포법화사사거리일대 15분간 실시",cbs,제주도,,,"[('15분간 실시', 0.6253)]"
2023/08/22 10:31:53,217,제주특별자치도 전체,203940,"제주지역에 폭염특보 발효 중, 낮 시간 야외활동(밭, 공사장 등) 자제, 무더위쉼터 이용, 충분한 수분 섭취, 물놀이 안전 등에 유의바랍니다.",cbs,제주도,"밭, 공사장 등",,"[('공사장 자제 무더위쉼터 이용', 0.6735)]"
2023/08/21 10:56:49,"10422,10426,10451,10453","제주특별자치도 제주시,제주특별자치도 제주시,제주특별자치도 서귀포시,제주특별자치도 서귀포시",203875,"제주 동부지역 폭염경보 발효 중이오니, 낮 시간 야외활동(밭, 공사장 등) 자제, 무더위쉼터 이용, 충분한 수분 섭취, 물놀이 안전 등에 유의 바랍니다",cbs,제주도,"밭, 공사장 등",,"[('섭취 물놀이', 0.6376)]"
2023/08/21 10:30:41,217,제주특별자치도 전체,203870,"제주지역에 폭염특보 발효 중, 낮 시간 야외활동(밭, 공사장 등) 자제, 무더위쉼터 이용, 충분한 수분 섭취 및 휴식, 물놀이 안전 등에 유의 바랍니다",cbs,제주도,"밭, 공사장 등",,"[('이용 충분한', 0.6755)]"
2023/08/20 10:01:18,217,제주특별자치도 전체,203744,"제주지역에 폭염주의보 발효 중, 낮 시간 야외활동(밭, 공사장 등) 자제, 무더위쉼터 이용, 충분한 수분 섭취 및 휴식, 물놀이 안전 등에 유의바랍니다",cbs,제주도,"밭, 공사장 등",,"[('이용 충분한', 0.6892)]"
2023/08/19 11:02:03,217,제주특별자치도 전체,203684,"현재 제주도 지역에 폭염주의보 발효 중, 낮 시간 야외활동 자제, 무더위쉼터 이용, 충분한 수분 섭취 및 휴식, 물놀이 안전 등에 유의바랍니다",cbs,제주도,,,"[('자제 무더위쉼터 이용 충분한', 0.7445)]"
2023/08/18 11:16:32,217,제주특별자치도 전체,203597,"현재 제주도 지역에 폭염주의보 발효 중, 낮 시간 야외활동 자제, 무더위쉼터 이용, 충분한 수분 섭취 및 휴식, 물놀이 안전 등에 유의바랍니다.",cbs,제주도,,,"[('지역에 폭염주의보 발효', 0.7364)]"
2023/08/16 10:41:09,217,제주특별자치도 전체,203418,"현재 폭염특보 발효 중, 낮 시간 야외활동 자제, 무더위쉼터 이용, 충분한 수분 섭취 및 휴식, 물놀이 안전 등에 유의바랍니다.",cbs,제주도,,,"[('충분한 수분 섭취', 0.7227)]"
2023/08/15 10:37:09,217,제주특별자치도 전체,203314,"제주도남부,북부,동부,서부지역에 폭염주의보가 발효 중이오니, 야외활동 자제, 무더위쉼터 이용, 충분한 수분 섭취, 물놀이 안전 등에 유의 바랍니다.",cbs,제주도,,,"[('유의 바랍니다', 0.6565)]"
2023/08/14 10:05:03,217,제주특별자치도 전체,203206,"제주도북부, 동부, 서부지역에 폭염주의보가 발효 중이오니, 야외활동 자제, 무더위쉼터 이용, 충분한 수분 섭취, 물놀이 안전 등에 유의 바랍니다.",cbs,제주도,,,"[('충분한 수분', 0.6445)]"
2023/08/13 10:32:33,217,제주특별자치도 전체,203121,"제주도북부, 동부, 서부지역에 폭염주의보가 발효 중이오니, 야외활동 자제, 무더위쉼터 이용, 충분한 수분 섭취, 물놀이 안전 등에 유의 바랍니다.",cbs,제주도,,,"[('충분한 수분', 0.6445)]"
2023/08/12 11:21:04,217,제주특별자치도 전체,203078,"오늘 11시를 기하여 제주도북부, 동부에 폭염주의보 발효, 야외활동 자제, 무더위쉼터 이용, 충분한 수분 섭취, 물놀이 안전 등에 유의 바랍니다.",cbs,제주도,,,"[('이용 충분한', 0.5788)]"
2023/08/09 16:14:13,217,제주특별자치도 전체,202070,"태풍 카눈 북상으로 인한 119신고폭주가 예상되오니 비긴급신고는 120번, 긴급재난신고는 119를 이용하여 주시기 바랍니다.",cbs,제주도,,,"[('120번 긴급재난신고는', 0.7538)]"
2023/08/09 12:06:45,217,제주특별자치도 전체,201938,"현재 제주 전지역에 태풍주의보가 발효중이오니, 상가 입간판 고정, 현수막 철거 등 피해가 발생하지 않도록 주변 안전조치 바랍니다.",cbs,제주도,,,"[('태풍주의보가 발효중이오니 상가 입간판', 0.6592)]"
2023/08/09 11:48:20,217,제주특별자치도 전체,201933,"현재 제주 전지역에 태풍주의보가 발효중이오니, 외출자제, 하천, 해안가 위험지역 출입금지, 침수지역 안전운전 등 인명피해가 발생하지 않도록 주의바랍니다.",cbs,제주도,,,"[('안전운전 인명피해가', 0.634)]"
2023/08/09 09:04:29,217,제주특별자치도 전체,201839,"태풍 ‘카눈’ 북상에 따라 오늘 9시부로 제주도 전 해안가(갯바위, 방파제, 연안절벽 등)에 대피명령을 발령하였으니 접근을 자제하여 주시기 바랍니다.",cbs,제주도,"갯바위, 방파제, 연안절벽 등",,"[('제주도 해안가 갯바위', 0.4292)]"
2023/08/07 10:28:15,217,제주특별자치도 전체,201541,"현재 폭염특보 발효 중, 낮 시간 야외활동 자제, 무더위쉼터 이용, 충분한 수분 섭취 및 휴식, 물놀이 안전 등에 유의바랍니다.",cbs,제주도,,,"[('충분한 수분 섭취', 0.7227)]"
2023/08/04 21:18:41,217,제주특별자치도 전체,201133,"오늘 자정부터 내일 새벽사이 제주지역에 폭풍해일주의보가 발효될 가능성이 높으니, 해안가 접근을 자제하여 주시고, 해안저지대 주민들은 안전에 유의바랍니다.",cbs,제주도,,,"[('가능성이 높으니', 0.6533)]"
2023/08/02 13:10:58,217,제주특별자치도 전체,200771,"동부,서부,북부에 폭염경보, 남부,추자도,중산간에는 폭염주의보 발효 중, 야외활동 자제, 충분한 수분 섭취 및 휴식, 물놀이 안전 등에 유의 바랍니다.",cbs,제주도,,,"[('충분한 수분 섭취 휴식', 0.6673)]"
2023/07/30 12:58:53,217,제주특별자치도 전체,200311,"동부,서부,북부에 폭염경보, 남부,추자도,중산간에는 폭염주의보 발효 중, 야외활동 자제, 충분한 수분 섭취 및 휴식, 물놀이 안전 등에 유의 바랍니다.",cbs,제주도,,,"[('충분한 수분 섭취 휴식', 0.6673)]"
2023/07/29 10:31:29,217,제주특별자치도 전체,200127,"동부,서부,북부에 폭염경보, 남부,추자도,중산간에는 폭염주의보 발효 중, 야외활동 자제, 충분한 수분 섭취 및 휴식, 물놀이 안전 등에 유의 바랍니다.",cbs,제주도,,,"[('충분한 수분 섭취 휴식', 0.6673)]"
2023/07/28 10:51:36,217,제주특별자치도 전체,200032,"동부,서부,북부에 폭염경보, 남부, 중산간에는 폭염주의보 발효 중, 야외활동 자제, 충분한 수분 섭취 및 휴식, 물놀이 안전 등에 유의 바랍니다.",cbs,제주도,,,"[('휴식 물놀이', 0.6858)]"
2023/07/27 11:14:43,217,제주특별자치도 전체,199949,"제주(동부,서부,북부)에 폭염경보, 제주(남부)에는 폭염주의보 발효 중, 야외활동 자제, 충분한 수분 섭취 및 휴식, 물놀이 안전 등 유의 바랍니다.",cbs,제주도,"동부,서부,북부",,"[('제주 동부 서부 북부', 0.5908)]"
2023/07/18 10:10:09,"10401,10402,10403,10404,10405,10406,10407,10417,10419","제주특별자치도 제주시,제주특별자치도 제주시,제주특별자치도 제주시,제주특별자치도 제주시,제주특별자치도 제주시,제주특별자치도 제주시,제주특별자치도 제주시,제주특별자치도 제주시,제주특별자치도 제주시",198581,"금일 08:05분경 제주시 내도동 196-1 하효전기창고 화재로 유해가스가 다량 발생하여 확산중, 인근 주민은 통행 및 안전에 유의하여 주시기 바랍니다",cbs,제주도,,,"[('발생하여 확산중 인근', 0.6934)]"
2023/07/18 09:25:02,"10402,10403,10419","제주특별자치도 제주시,제주특별자치도 제주시,제주특별자치도 제주시",198571,"금일 08:05경 외도동 하효전기 창고에서 화재 발생하여 검은연기가 서쪽으로 다량 발생 중, 인근 주민은 통행 및 안전에 유의하여 주시기 바랍니다.",cbs,제주도,,,"[('하효전기 창고에서', 0.7641)]"
