create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/08/06 10:02:50,217,제주특별자치도 전체,201350,"연일 계속되는 폭염으로 주말에도 쉼터를 개방하오니 이용 바랍니다. - 개방시설 : 주민센터1층, 복지회관, 무더위 쉼터, 마을화관 등",cbs,제주특별자치도,,,"[('폭염으로 주말에도', 0.5807)]"
2023/08/05 10:34:39,217,제주특별자치도 전체,201186,"연일 계속되는 폭염으로 주말에도 쉼터를 개방하오니 이용 바랍니다. - 개방시설 : 주민센터1층, 복지회관, 무더위 쉼터, 마을화관 등",cbs,제주특별자치도,,,"[('폭염으로 주말에도', 0.5807)]"
2023/08/04 14:45:32,217,제주특별자치도 전체,201097,"연일 계속되는 폭염으로 주말에도 쉼터를 개방하오니 이용 바랍니다 - 개방시설 : 주민센터 1층, 복지회관, 무더위 쉼터, 마을회관 등",cbs,제주특별자치도,,,"[('연일 계속되는 폭염으로 주말에도', 0.6479)]"
2023/06/30 17:27:18,217,제주특별자치도 전체,196246,7월 1일부터 도내 해수욕장이 개장됨에 따라 지정된 물놀이 장소 이용 및 안전수칙을 준수하여 안전사고가 발생하지 않도록 유의 바랍니다.,cbs,제주특별자치도,,,"[('안전사고가 발생하지 않도록', 0.5447)]"
2023/06/25 06:01:14,217,제주특별자치도 전체,195823,"내일(26일)까지 강풍을 동반한 많은 비가 예상됨에 따라 해안가 등 위험지역 출입금지, 야외활동을 자제하시기 바랍니다.",cbs,제주특별자치도,26일,,"[('위험지역 출입금지 야외활동을', 0.6832)]"
2023/06/24 20:00:13,217,제주특별자치도 전체,195822,"오늘(24일) 밤부터 모레(26일)까지 강풍을 동반한 많은 비가 예상됨에 따라 해안가 등 위험지역 출입금지, 야외활동을 자제하시기 바랍니다.",cbs,제주특별자치도,24일,,"[('해안가 위험지역 출입금지', 0.5701)]"
2023/04/22 06:40:34,217,제주특별자치도 전체,194591,"4월 22일 01시를 기하여 제주권역에 미세먼지(PM-10) 경보 발령(310 ug/㎥). 야외활동 자제, 마스크 착용 등 건강에 유의바랍니다.",cbs,제주특별자치도,PM-10,,"[('01시를 기하여 제주권역에', 0.5331)]"
2023/04/12 07:09:46,217,제주특별자치도 전체,194381,"4월 12일 07시를 기하여 제주권역에 미세먼지(PM-10) 경보 발령(438 ug/㎥). 야외활동 자제, 마스크 착용 등 건강에 유의바랍니다.",cbs,제주특별자치도,PM-10,,"[('12일 07시를 기하여 제주권역에', 0.507)]"
2023/04/04 16:58:12,217,제주특별자치도 전체,194151,"4월 4일 ~ 6일 사이 강풍을 동반한 많은 비가 예상됨에 따라 침수지역 출입금지, 간판, 선박 고정 등 안전관리에 유의하시기 바랍니다.",cbs,제주특별자치도,,,"[('간판 선박 고정', 0.5995)]"
2023/03/11 16:14:42,217,제주특별자치도 전체,193449,"들불축제 행사장 진,출입 차량으로 인해 평화로 새별오름 ~ 어음 교차로 일대 3km 구간 정체 중이므로 우회바랍니다.",cbs,제주특별자치도,,,"[('차량으로 인해 평화로 새별오름', 0.5517)]"
