create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/16 17:50:46,245,충청북도 제천시,206748,"금일 밤 늦게까지 비가 내리고 비가 그친 후 도로결빙이 예상되오니, 운전 시 차량 감속운행 및 안전거리 유지 등 미끄럼 사고에 주의 바랍니다.",cbs,제천시,,,"[('예상되오니 운전 차량 감속운행', 0.7295)]"
2023/10/26 21:49:42,245,충청북도 제천시,206295,현재 낙뢰로 인해 제천시 다수지역에서 신호등 고장으로 현재 복구중이므로 운전에 주의하여 주시기 바랍니다.,cbs,제천시,,,"[('운전에 주의하여', 0.77)]"
2023/08/28 07:10:43,"11449,11450,11451,11452,11453,11454,11455,11456,11457,11458,11459,11460,11461,11462,11463,11464,11465,11466,11467,11468,11469,11470,11471,11472,11473,11474,11475,11476","충청북도 제천시,충청북도 제천시,충청북도 제천시,충청북도 제천시,충청북도 제천시,충청북도 제천시,충청북도 제천시,충청북도 제천시,충청북도 제천시,충청북도 제천시,충청북도 제천시,충청북도 제천시,충청북도 제천시,충청북도 제천시,충청북도 제천시,충청북도 제천시,충청북도 제천시,충청북도 제천시,충청북도 제천시,충청북도 제천시,충청북도 제천시,충청북도 제천시,충청북도 제천시,충청북도 제천시,충청북도 제천시,충청북도 제천시,충청북도 제천시,충청북도 제천시",204512,새마을금고 교동점에서 도미노피자 구간 수도관이 파열되어 현재 복구중이며 양방향 도로통제 및 일부 세대 단수가 예상되오니 참고해 주시기 바랍니다.,cbs,제천시,,,"[('일부 세대 단수가 예상되오니', 0.7062)]"
2023/08/20 18:46:05,245,충청북도 제천시,203839,"오늘 제천시 호우주의보 발효(18시10분). 침수우려지역, 하천변, 산사태 등 위험지역 접근금지(대피) 및 외출자재 등 안전에 유의해주시기 바랍니다",cbs,제천시,18시10분,,"[('18시10분 침수우려지역 하천변 산사태', 0.6863)]"
2023/08/16 10:12:34,245,충청북도 제천시,203413,"금일(8.16.) 폭염 주의보 발효. 야외 활동 자제(논밭, 공사장 등). 물, 그늘, 휴식을 통해 건강관리에 유의하시기 바랍니다.",cbs,제천시,8.16.,,"[('휴식을 통해 건강관리에', 0.6222)]"
2023/08/10 20:12:28,245,충청북도 제천시,203008,오늘 20시 관내 산사태 주의보 해제. 지반이 약해져 있으니 산림 주변 거주민께서는 안전에 유의 바랍니다.,cbs,제천시,,,"[('해제 지반이 약해져', 0.5871)]"
2023/08/10 16:01:10,245,충청북도 제천시,202918,"16시 현재 태풍(카눈)이 관내 최근접으로 북상중이오니, 산간지역, 하천변 등 위험지역 접근 금지, 외출 자제 등 안전에 유의하여 주시기 바랍니다.",cbs,제천시,카눈,,"[('북상중이오니 산간지역 하천변 위험지역', 0.5854)]"
2023/08/10 14:10:31,245,충청북도 제천시,202834,오늘 14시 관내 산사태 주의보 발령. 산림 주변 위험지역 접근을 자제하여 주시고 산림 인근 거주민께서는 안전지대로 사전대피 등 안전에 유의 바랍니다.,cbs,제천시,,,"[('안전에 유의', 0.5866)]"
2023/08/09 16:45:44,245,충청북도 제천시,202091,"제6호 태풍 카눈 북상으로 강한 바람과 많은 비가 예상됩니다. 간판, 창문 등 시설물 사전점검하여 주시고, 위험지역 접근자제 등 안전에 유의바랍니다.",cbs,제천시,,,"[('사전점검하여 주시고', 0.6783)]"
2023/08/08 10:28:20,245,충청북도 제천시,201686,"금일(8.8.) 폭염경보 발효 및 태풍 북상 중입니다. 폭염안전수칙(물,그늘,휴식)을 준수하시고 집주변 배수로를 미리 정비해주시기 바랍니다.",cbs,제천시,8.8.,,"[('그늘 휴식', 0.5533)]"
