create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/01/26 15:44:55,245,충청북도 제천시,191964,"현재 제천시 대설주의보 발효중으로 대중교통 이용, 낙상사고 등 안전에 유의 바라오며, 내집 앞 눈치우기 적극 협조바랍니다.",cbs,제천시청,,,"[('대설주의보 발효중으로 대중교통', 0.7307)]"
2023/01/20 09:41:25,245,충청북도 제천시,190982,1.20.(금) 0시 기준 87명 확진/ 동절기 추가접종 참여 / 설연휴(1.21.~1.24.) 보건소 선별진료소 운영시간 조정(10시~13시),cbs,제천시청,금,,"[('참여 설연휴 21 24', 0.5174)]"
2023/01/19 09:46:01,245,충청북도 제천시,190863,1.19.(목) 0시 기준 59명 확진/ 동절기 추가접종 참여 / 설연휴(1.21.~1.24.) 보건소 선별진료소 운영시간 조정(10시~13시),cbs,제천시청,목,,"[('59명 확진', 0.5887)]"
2023/01/18 10:23:13,245,충청북도 제천시,190761,1.18.(수) 0시 기준 88명 확진/ 12세 이상 기초접종완료자 동절기 코로나19 추가접종(2가백신) 예약 ncvr.kdca.go.kr,cbs,제천시청,수,12세,"[('확진 12세 이상 기초접종완료자', 0.4718)]"
2023/01/17 09:32:32,245,충청북도 제천시,190602,1.17.(화) 0시 기준 66명 확진/ 12세 이상 기초접종완료자 동절기 코로나19 추가접종(2가백신) 예약 ncvr.kdca.go.kr,cbs,제천시청,화,12세,"[('이상 기초접종완료자 동절기 코로나19', 0.487)]"
2023/01/16 09:33:38,245,충청북도 제천시,190467,1.16.(월) 0시 기준 23명 확진/ 12세 이상 기초접종완료자 동절기 코로나19 추가접종(2가백신) 예약 ncvr.kdca.go.kr,cbs,제천시청,월,12세,"[('동절기 코로나19 추가접종', 0.4347)]"
2023/01/15 09:27:01,245,충청북도 제천시,190305,1.15.(일) 0시 기준 56명 확진/ 12세 이상 기초접종완료자 동절기 코로나19 추가접종(2가백신) 예약 ncvr.kdca.go.kr,cbs,제천시청,일,12세,"[('15 0시 기준', 0.4493)]"
2023/01/14 09:28:23,245,충청북도 제천시,190155,1.14.(토) 0시 기준 62명 확진/ 12세 이상 기초접종완료자 동절기 코로나19 추가접종(2가백신)예약 ncvr.kdca.go.kr,cbs,제천시청,토,12세,"[('이상 기초접종완료자 동절기 코로나19', 0.4659)]"
2023/01/13 09:08:02,245,충청북도 제천시,190000,1.13(금) 0시 기준 74명 확진/ 12세 이상 기초접종완료자 동절기 코로나19 추가접종(2가백신) 예약 ncvr.kdca.go.kr,cbs,제천시청,금,12세,"[('확진 12세 이상', 0.4491)]"
2023/01/12 09:29:24,245,충청북도 제천시,189866,1.12(목) 0시 기준 95명 확진/ 12세 이상 기초접종완료자 동절기 코로나19 추가접종(2가백신) 예약 ncvr.kdca.go.kr,cbs,제천시청,목,12세,"[('2가백신 예약 ncvr', 0.4937)]"
2023/01/11 09:26:34,245,충청북도 제천시,189730,1.11(수) 0시 기준 97명 확진/ 12세 이상 기초접종완료자 동절기 코로나19 추가접종(2가백신) 예약 ncvr.kdca.go.kr,cbs,제천시청,수,12세,"[('기준 97명', 0.4368)]"
