create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/04/02 12:53:54,159,서울특별시 종로구,194023,오늘 11:53경 창의문로5가길 38 (부암로 362-5) 산불 발생. 입산을 자제하고 인근 주민과 등산객은 안전사고 발생에 주의하시기 바랍니다.,cbs,종로구청,부암로 362-5,,"[('인근 주민과', 0.564)]"
2023/04/02 12:43:17,159,서울특별시 종로구,194021,12:10경 서울 종로구 삼청동 산 2-27 인근 산불 발생. 입산을 자제하고 인근 주민과 등산객은 안전사고 발생에 주의하시기 바랍니다.,cbs,종로구청,,,"[('발생에 주의하시기', 0.55)]"
2023/01/17 10:38:51,159,서울특별시 종로구,190642,코로나 재유행 대비 안전하고 효과적인 2가 백신 12세이상 동절기접종 적극 참여 바랍니다. (접종간격: 마지막 접종일 기준 3개월 후),cbs,종로구청,접종간격: 마지막 접종일 기준 3개월 후,12세,"[('접종간격 마지막', 0.5548)]"
2023/01/03 14:21:44,159,서울특별시 종로구,188647,코로나 재유행 대비 안전하고 효과적인 2가 백신 12세이상 동절기접종 적극 참여 바랍니다. (접종간격: 마지막 접종일 기준 3개월 후),cbs,종로구청,접종간격: 마지막 접종일 기준 3개월 후,12세,"[('접종간격 마지막', 0.5548)]"
2022/12/31 21:15:04,159,서울특별시 종로구,188256,"제야의 종 타종행사 관련, 금일21:00부터 익일01:30까지 보신각 일대(종로,우정국로, 남대문로)교통통제 예정입니다. 주변도로로 우회바랍니다.",cbs,종로구청,"종로,우정국로, 남대문로",,"[('금일21 00부터 익일01', 0.6825)]"
2022/12/31 20:00:27,159,서울특별시 종로구,188250,"제야의 종 타종행사 관련, 금일21:00부터 익일01:30까지 보신각 일대(종로, 우정국로, 남대문로)교통통제 예정입니다. 주변도로로 우회바랍니다.",cbs,종로구청,"종로, 우정국로, 남대문로",,"[('금일21 00부터 익일01', 0.6825)]"
2022/12/28 09:41:54,159,서울특별시 종로구,187719,코로나 재유행 대비 안전하고 효과적인 2가 백신 12세이상 동절기접종 적극 참여 바랍니다. (접종간격: 마지막 접종일 기준 3개월 후),cbs,종로구청,접종간격: 마지막 접종일 기준 3개월 후,12세,"[('접종간격 마지막', 0.5548)]"
2022/12/22 17:30:37,159,서울특별시 종로구,186694,"밤사이 급격한 기온 하락으로 한파 피해가 예상되오니, 외출 자제, 수도관 동파 예방, 난방기기 화재주의, 보온유지 및 건강관리에 유의하시기 바랍니다.",cbs,종로구청,,,"[('밤사이 급격한 기온 하락으로', 0.7016)]"
2022/12/20 10:16:07,159,서울특별시 종로구,186108,코로나 재유행 대비 안전하고 효과적인 2가백신 18세이상 동절기접종 적극 참여 바랍니다. (접종간격: 마지막 접종일 기준 3개월 후),cbs,종로구청,접종간격: 마지막 접종일 기준 3개월 후,18세,"[('기준 3개월', 0.5585)]"
2022/12/15 09:28:55,159,서울특별시 종로구,185180,"오늘(15일,목) 서울 전역에 많은 눈이 내릴것으로 예상됩니다. 내 집·점포앞 눈치우기, 대중교통 이용하기, 미끄럼 사고방지 등 안전에 유의바랍니다.",cbs,종로구청,"15일,목",,"[('눈이 내릴것으로 예상됩니다', 0.5554)]"
2022/12/14 10:00:00,159,서울특별시 종로구,185040,코로나 재유행 대비 안전하고 효과적인 2가 백신 18세이상 동절기접종 적극 참여 바랍니다. (접종간격: 마지막 접종일 기준 3개월 후),cbs,종로구청,접종간격: 마지막 접종일 기준 3개월 후,18세,"[('2가 백신', 0.5586)]"
2022/12/13 18:30:07,159,서울특별시 종로구,184937,"금일 21시 한파주의보 발효, 14일 최저기온 -10도(체감온도-14도), 화재안전, 수도동파예방, 보온유지 및 건강관리에 유의하시기 바랍니다.",cbs,종로구청,체감온도-14도,,"[('화재안전 수도동파예방 보온유지', 0.6473)]"
2022/12/07 10:10:07,159,서울특별시 종로구,184005,코로나 재유행 대비 안전하고 효과적인 2가 백신 18세이상 동절기접종 적극 참여 바랍니다. (접종간격: 마지막 접종일 기준 3개월 후),cbs,종로구청,접종간격: 마지막 접종일 기준 3개월 후,18세,"[('2가 백신', 0.5586)]"
2022/11/30 13:15:29,159,서울특별시 종로구,183083,코로나 재유행 대비 안전하고 효과적인 2가 백신 18세이상 동절기접종 적극 참여 바랍니다. (접종간격: 마지막 접종일 기준 3개월 후),cbs,종로구청,접종간격: 마지막 접종일 기준 3개월 후,18세,"[('2가 백신', 0.5586)]"
2022/11/28 17:30:03,159,서울특별시 종로구,182762,금일 11.28. 광화문광장 카타르 월드컵 거리응원 및 호우 예상으로 인해 교통혼잡이 예상되오니 교통정보 확인 및 안전에 주의하시기 바랍니다.,cbs,종로구청,,,"[('인해 교통혼잡이 예상되오니', 0.6878)]"
2022/11/25 11:20:48,159,서울특별시 종로구,182324,코로나 재유행 대비 안전하고 효과적인 2가 백신 18세이상 동절기접종 적극 참여 바랍니다. (접종간격: 마지막 접종일 기준 3개월 후),cbs,종로구청,접종간격: 마지막 접종일 기준 3개월 후,18세,"[('2가 백신', 0.5586)]"
2022/11/24 17:30:02,159,서울특별시 종로구,182219,금일 11.24. 광화문광장 카타르 월드컵 거리응원으로 인해 교통혼잡이 예상되오니 교통정보 확인 및 우회 바랍니다.,cbs,종로구청,,,"[('교통정보 확인 우회 바랍니다', 0.6937)]"
2022/10/30 11:30:38,159,서울특별시 종로구,178910,"이태원 압사 사고 관련 각종 축제, 행사를 자제하여 주시고, 실종자 접수는 02-2199-8660,8664~8678, 다산콜120으로 연락바랍니다.",cbs,종로구청,,,"[('관련 각종', 0.6912)]"
2022/09/05 10:10:16,159,서울특별시 종로구,171043,태풍 ‘힌남노’ 가 북상 중으로 대규모 피해가 우려됨에 따라 태풍이 완전히 소멸될 때까지 종로구 관내 등산로를 폐쇄하오니 입산하지 않도록 바랍니다.,cbs,종로구청,,,"[('대규모 피해가', 0.5564)]"
2022/08/09 20:27:24,159,서울특별시 종로구,167161,"금일 종로구 구기동, 신영동, 평창동, 홍지동 지역 산사태 주의보 발령. 산사태 취약지역 및 산림 인근 주민 분들께서는 안전에 유의하시기 바랍니다.",cbs,종로구청,,,"[('지역 산사태 주의보', 0.735)]"
2022/01/20 17:16:56,159,서울특별시 종로구,139064,"종로구보건소 선별진료소는 1.20(목)부터 평일·공휴일 9~18시, 토요일 9~13시 운영, 일요일은 미운영합니다 https://han.gl/HzJnx",cbs,종로구청,목,,"[('공휴일 18시 토요일', 0.5439)]"
2021/10/05 18:00:11,159,서울특별시 종로구,125205,"18세이상(03.12.31.이전출생자)미접종자 종로구보건소에서 10.6.(수)~10.8(금), 10.12(화) 모더나 접종가능 ☎02-2148-3641",cbs,종로구청,03.12.31.이전출생자,18세,"[('12 모더나', 0.5848)]"
2021/09/23 13:30:08,159,서울특별시 종로구,123411,만30세 이상 얀센 백신접종(백신 소진 시까지) ☎02-2148-2060 (90일 이하 단기체류 외국인 제외) https://han.gl/psmmU,cbs,종로구청,백신 소진 시까지,30세,"[('백신접종 백신 소진', 0.4432)]"
2021/09/19 12:45:37,159,서울특별시 종로구,122851,9.15.(수)~9.17.(금) 종로구 부암동주민센터(창의문로 145) 방문자는 인근 보건소 선별진료소에서 코로나19 검사를 받으시기 바랍니다.,cbs,종로구청,수,,"[('인근 보건소 선별진료소에서 코로나19', 0.5756)]"
2021/09/02 11:10:49,159,서울특별시 종로구,120619,만30세 이상 얀센 백신접종(9.17.까지)신청안내 ☎02-2148-2060 (90일 이하 단기체류 외국인 제외) https://han.gl/psmmU,cbs,종로구청,9.17.까지,30세,"[('신청안내 02 2148', 0.4429)]"
2021/08/20 09:43:32,159,서울특별시 종로구,118387,코로나19 확진자 발생으로 종로구 청운효자동주민센터 8. 20.(금) 금일 하루 폐쇄. 방문계획이 있으신 주민께서는 인근 동주민센터를 이용바랍니다.,cbs,종로구청,금,,"[('확진자 발생으로 종로구 청운효자동주민센터', 0.5863)]"
2021/08/20 08:52:05,159,서울특별시 종로구,118370,8.17.(화)~8.19.(목) 종로구 청운효자동주민센터(자하문로92) 방문자는 인근 보건소 선별진료소에서 코로나19 검사를 받으시기 바랍니다.,cbs,종로구청,화,,"[('청운효자동주민센터 자하문로92 방문자는', 0.483)]"
2021/07/22 09:57:57,159,서울특별시 종로구,113863,"폭염피해 예방을 위해 코로나19 임시선별검사소(탑골공원, 종로구민회관) 점심·소독시간을 13시~15시까지 변경운영함을 알려드립니다.(7.22~8.31)",cbs,종로구청,"탑골공원, 종로구민회관",,"[('예방을 위해 코로나19', 0.5841)]"
2021/06/03 13:44:03,159,서울특별시 종로구,108096,60~74세(47~61년생) 백신예약 마지막날입니다. ① ncvr.kdca.go.kr ②종로구 02-2148-2060 ③동주민센터방문 가족대리예약가능,cbs,종로구청,47~61년생,74세,"[('ncvr kdca kr ②종로구', 0.5364)]"
2021/06/02 13:25:49,159,서울특별시 종로구,107917,60~74세 코로나19 예방접종 예약안내(6.3.마감) ① ncvr.kdca.go.kr ②종로구02-2148-2060 ③동주민센터방문 가족대리예약 가능,cbs,종로구청,6.3.마감,74세,"[('예약안내 마감 ncvr', 0.5294)]"
2021/05/28 18:30:25,159,서울특별시 종로구,107329,60~74세(47~61년생) 코로나19 예방접종 사전예약은 ncvr.kdca.go.kr 에서 신청해주세요. (6월3일까지) 가족대리예약도 가능합니다.,cbs,종로구청,47~61년생,74세,"[('60 74세 47', 0.5173)]"
2021/05/26 11:05:32,159,서울특별시 종로구,106966,60~74세 코로나19 예방접종 예약안내(~6.3.) ① ncvr.kdca.go.kr ②종로구02-2148-2060 ③동주민센터방문. 가족대리예약 가능,cbs,종로구청,~6.3.,74세,"[('가족대리예약 가능', 0.5035)]"
2021/05/17 15:18:33,159,서울특별시 종로구,105824,60~74세(47~61년생) 코로나19 예방접종 예약안내(~6.3) 온라인:ncvr.kdca.go.kr/종로콜센터:02-2148-2060/주민센터 방문,cbs,종로구청,47~61년생,74세,"[('kr 종로콜센터 02', 0.5251)]"
2021/03/25 18:38:57,159,서울특별시 종로구,99873,"75세 이상 백신(화이자) 접종신청 안내. 통장, 공무원이 세대방문하여 동의서 작성 또는 거주지 동주민센터 방문신청. https://lrl.kr/49n",cbs,종로구청,화이자,75세,"[('동의서 작성 또는 거주지', 0.6619)]"
2021/03/11 18:13:49,159,서울특별시 종로구,97166,3.6.(토)~3.10.(수) 종로구 장사동 진미식당(종로20길 5) 방문자는 인근 보건소 선별진료소에서 코로나19 검사를 받으시기 바랍니다.,cbs,종로구청,토,,"[('종로구 장사동 진미식당', 0.5206)]"
2021/02/25 18:17:54,159,서울특별시 종로구,94624,"관내577~578번(2명) 확진자발생. 역학조사 진행중. 거리두기,마스크 착용 등 방역수칙 준수바랍니다. blog.naver.com/jongno0401",cbs,종로구청,2명,,"[('관내577 578번', 0.6535)]"
2021/02/23 17:46:56,159,서울특별시 종로구,94188,"관내576번(1명) 확진자 발생. 역학조사 진행중. 거리두기, 마스크 착용 등 방역수칙 준수바랍니다. blog.naver.com/jongno0401",cbs,종로구청,1명,,"[('마스크 착용', 0.6666)]"
2021/02/22 18:20:13,159,서울특별시 종로구,93981,"관내575번(1명) 확진자 발생. 역학조사 진행중. 거리두기, 마스크 착용 등 방역수칙 준수바랍니다. blog.naver.com/jongno0401",cbs,종로구청,1명,,"[('마스크 착용', 0.6673)]"
2021/02/21 17:33:28,159,서울특별시 종로구,93730,"관내574번(1명) 확진자발생. 역학조사 진행중. 거리두기,마스크 착용 등 방역수칙 준수바랍니다. blog.naver.com/jongno0401",cbs,종로구청,1명,,"[('진행중 거리두기 마스크 착용', 0.6485)]"
2021/02/18 18:00:42,159,서울특별시 종로구,93020,"관내571~573번(3명) 확진자발생. 역학조사 진행중. 거리두기,마스크 착용 등 방역수칙 준수바랍니다. blog.naver.com/jongno0401",cbs,종로구청,3명,,"[('진행중 거리두기 마스크 착용', 0.631)]"
2021/02/17 17:49:43,159,서울특별시 종로구,92737,"관내569-570번(2명) 확진자발생. 역학조사 진행중. 거리두기,마스크 착용 등 방역수칙 준수바랍니다. blog.naver.com/jongno0401",cbs,종로구청,2명,,"[('진행중 거리두기 마스크 착용', 0.6328)]"
2021/02/15 18:16:45,159,서울특별시 종로구,92154,"관내568번(1명) 확진자 발생. 역학조사 진행중. 거리두기, 마스크 착용 등 방역수칙 준수바랍니다. blog.naver.com/jongno0401",cbs,종로구청,1명,,"[('발생 역학조사 진행중 거리두기', 0.681)]"
2021/02/14 17:47:47,159,서울특별시 종로구,91846,"관내565~567번(3명) 확진자발생. 역학조사 진행중. 거리두기,마스크 착용 등 방역수칙 준수바랍니다. blog.naver.com/jongno0401",cbs,종로구청,3명,,"[('거리두기 마스크 착용', 0.6499)]"
2021/02/13 17:29:25,159,서울특별시 종로구,91615,"관내 564번(1명) 확진자 발생. 역학조사 진행중. 거리두기, 마스크 착용 등 방역수칙 준수바랍니다. blog.naver.com/jongno0401",cbs,종로구청,1명,,"[('1명 확진자 발생 역학조사', 0.6593)]"
2021/02/12 17:56:16,159,서울특별시 종로구,91366,"관내 562~563번(2명) 확진자 발생.역학조사 진행중.거리두기,마스크 착용 등 방역수칙 준수바랍니다. blog.naver.com/jongno0401",cbs,종로구청,2명,,"[('확진자 발생', 0.5689)]"
2021/02/11 17:38:26,159,서울특별시 종로구,91186,"관내 561번(1명) 확진자 발생. 역학조사 진행중. 거리두기,마스크 착용 등 방역수칙 준수바랍니다. blog.naver.com/jongno0401",cbs,종로구청,1명,,"[('마스크 착용 방역수칙', 0.6549)]"
2021/02/10 18:04:54,159,서울특별시 종로구,90985,"관내 560번(1명) 확진자 발생. 역학조사 진행중. 거리두기,마스크 착용 등 방역수칙 준수바랍니다. blog.naver.com/jongno0401",cbs,종로구청,1명,,"[('확진자 발생 역학조사 진행중', 0.6839)]"
2021/02/09 18:07:04,159,서울특별시 종로구,90749,"관내 556~559번(4명)확진자 발생. 역학조사 진행중. 거리두기,마스크 착용 등 방역수칙 준수바랍니다.blog.naver.com/jongno0401",cbs,종로구청,4명,,"[('4명 확진자 발생 역학조사', 0.6336)]"
2021/02/08 18:02:17,159,서울특별시 종로구,90557,"관내 553~555번(3명) 확진자 발생.역학조사 진행중.거리두기,마스크 착용 등 방역수칙 준수바랍니다. blog.naver.com/jongno0401",cbs,종로구청,3명,,"[('역학조사 진행중 거리두기', 0.6077)]"
2021/02/07 17:29:20,159,서울특별시 종로구,90382,"관내 549~552번(4명) 확진자 발생.역학조사 진행중.거리두기,마스크 착용 등 방역수칙 준수바랍니다. blog.naver.com/jongno0401",cbs,종로구청,4명,,"[('4명 확진자 발생 역학조사', 0.6314)]"
2021/02/06 18:23:05,159,서울특별시 종로구,90201,"관내 547~548번(2명) 확진자 발생.역학조사 진행중.거리두기,마스크 착용 등 방역수칙 준수바랍니다. blog.naver.com/jongno0401",cbs,종로구청,2명,,"[('547 548번', 0.6438)]"
2021/02/05 18:17:16,159,서울특별시 종로구,89978,"관내 546번(1명) 확진자 발생. 역학조사 진행중. 거리두기, 마스크 착용 등 방역수칙 준수바랍니다. blog.naver.com/jongno0401",cbs,종로구청,1명,,"[('1명 확진자 발생 역학조사', 0.6662)]"
2021/02/04 18:03:11,159,서울특별시 종로구,89804,"관내 545번(1명) 확진자 발생. 역학조사 진행중. 거리두기, 마스크 착용 등 방역수칙 준수바랍니다. blog.naver.com/jongno0401",cbs,종로구청,1명,,"[('마스크 착용 방역수칙', 0.649)]"
2021/02/03 17:33:49,159,서울특별시 종로구,89533,"관내 544번(1명) 확진자 발생. 역학조사 진행중. 거리두기, 마스크 착용 등 방역수칙 준수바랍니다. blog.naver.com/jongno0401",cbs,종로구청,1명,,"[('1명 확진자 발생 역학조사', 0.6491)]"
2021/02/02 17:55:04,159,서울특별시 종로구,89302,"관내 542, 543번 확진자 발생. 역학조사 진행중. 거리두기, 마스크 착용 등 방역수칙 준수바랍니다. blog.naver.com/jongno0401",cbs,종로구청,,,"[('발생 역학조사 진행중', 0.6026)]"
2021/02/01 17:26:35,159,서울특별시 종로구,89100,"관내 539~541번 확진자 발생. 역학조사 진행중. 거리두기, 마스크 착용 등 방역수칙 준수바랍니다. blog.naver.com/jongno0401",cbs,종로구청,,,"[('관내 539 541번', 0.6491)]"
2021/01/30 17:48:10,159,서울특별시 종로구,88664,"관내 538번째(1명) 확진자 발생. 역학조사 진행중. 거리두기, 마스크 착용 등 방역수칙 준수바랍니다. blog.naver.com/jongno0401",cbs,종로구청,1명,,"[('착용 방역수칙 준수바랍니다 blog', 0.5219)]"
2021/01/29 17:43:52,159,서울특별시 종로구,88427,"관내 537번째(1명) 확진자 발생. 역학조사 진행중. 거리두기, 마스크 착용 등 방역수칙 준수바랍니다. blog.naver.com/jongno0401",cbs,종로구청,1명,,"[('착용 방역수칙 준수바랍니다 blog', 0.5219)]"
2021/01/27 17:38:05,159,서울특별시 종로구,87623,"관내 533~536번 확진자 발생. 역학조사 진행중. 거리두기, 마스크 착용 등 방역수칙 준수바랍니다. blog.naver.com/jongno0401",cbs,종로구청,,,"[('533 536번', 0.6429)]"
2021/01/25 18:35:46,159,서울특별시 종로구,87142,"관내 527~532번 확진자 발생. 역학조사 진행중. 거리두기, 마스크 착용 등 방역수칙 준수바랍니다. blog.naver.com/jongno0401",cbs,종로구청,,,"[('발생 역학조사 진행중', 0.6352)]"
2021/01/24 17:51:06,159,서울특별시 종로구,86924,"관내 524~526번 확진자 발생. 역학조사 진행중. 거리두기, 마스크 착용 등 방역수칙 준수바랍니다. blog.naver.com/jongno0401",cbs,종로구청,,,"[('발생 역학조사 진행중', 0.6256)]"
2021/01/23 17:38:31,159,서울특별시 종로구,86721,"관내 519~523번 확진자 발생. 역학조사 진행중. 거리두기, 마스크 착용 등 방역수칙 준수바랍니다. blog.naver.com/jongno0401",cbs,종로구청,,,"[('발생 역학조사 진행중 거리두기', 0.5958)]"
2021/01/22 17:40:11,159,서울특별시 종로구,86461,"관내 518번째(1명) 확진자 발생. 역학조사 진행중. 거리두기, 마스크 착용 등 방역수칙 준수바랍니다. blog.naver.com/jongno0401",cbs,종로구청,1명,,"[('착용 방역수칙 준수바랍니다 blog', 0.5219)]"
2021/01/21 17:53:50,159,서울특별시 종로구,86206,"관내 513~517번 확진자 발생. 역학조사 진행중. 거리두기, 마스크 착용 등 방역수칙 준수바랍니다. blog.naver.com/jongno0401",cbs,종로구청,,,"[('발생 역학조사 진행중 거리두기', 0.5682)]"
2021/01/20 18:21:51,159,서울특별시 종로구,86004,"관내 512번째(1명) 확진자 발생. 역학조사 진행중. 거리두기, 마스크 착용등 방역수칙 준수바랍니다. blog.naver.com/jongno0401",cbs,종로구청,1명,,"[('착용등 방역수칙 준수바랍니다 blog', 0.5155)]"
2021/01/19 18:34:08,159,서울특별시 종로구,85775,"관내 506~511번 확진자 발생. 역학조사 진행중. 거리두기, 마스크 착용 등 방역수칙 준수바랍니다. blog.naver.com/jongno0401",cbs,종로구청,,,"[('마스크 착용 방역수칙', 0.6375)]"
