create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/20 17:30:50,167,울산광역시 중구,205454,"오늘 밤부터 내일 새벽까지 많은 비와 강풍이 예상되오니 상습침수지역 및 산사태 우려지역, 척과천 징검다리 등 위험지역에 접근을 삼가해 주시기 바랍니다.",cbs,중구,,,"[('상습침수지역 산사태 우려지역', 0.6629)]"
2023/09/17 08:29:34,167,울산광역시 중구,205287,"오늘 오전 많은 비가 예상되오니 상습침수지역 및 산사태우려지역, 지하차도, 척과천 징검다리 등 위험지역에 접근을 삼가해 주시기 바랍니다.",cbs,중구,,,"[('오늘 오전 많은 비가', 0.7108)]"
2023/09/16 12:03:57,167,울산광역시 중구,205182,오늘부터 내일 오전까지 많은 비가 예상되오니 외출을 가급적 삼가하시고 척과천 및 태화강 징검다리 등 하천변이나 저지대 접근을 삼가해 주시기 바랍니다.,cbs,중구,,,"[('가급적 삼가하시고 척과천 태화강', 0.7028)]"
2023/09/01 20:29:36,167,울산광역시 중구,204813,오늘 밤부터 내일까지 많은 비가 예상되오니 척과천 및 태화강 징검다리 등 하천변이나 저지대 침수피해가 우려되는 곳에는 접근을 삼가해 주시기 바랍니다.,cbs,중구,,,"[('태화강 징검다리', 0.6911)]"
2023/08/31 21:25:12,167,울산광역시 중구,204744,오늘 밤부터 내일까지 많은 비가 예상되오니 척과천 및 태화강 징검다리 등 하천변이나 저지대 침수피해가 우려되는 곳에는 접근을 삼가해 주시기 바랍니다.,cbs,중구,,,"[('태화강 징검다리', 0.6911)]"
2023/08/24 06:04:11,167,울산광역시 중구,204319,"오늘 오전 3시30분 호우주의보 발효. 오전에 많은 비가 예상되니 척과천 및 태화강 등 하천변 산책로, 저지대 등 위험지역 접근을 삼가해 주시기 바랍니다.",cbs,중구,,,"[('예상되니 척과천 태화강', 0.6646)]"
2023/08/23 10:23:38,167,울산광역시 중구,204110,"오늘(23일) 14시부터 20분간 민방위 훈련 실시, 대피소 확인(네이버, 카카오, 티맵, 안전디딤돌앱), 교통 통제구간은 (옥교사거리~병영오거리)입니다",cbs,중구,23일,,"[('대피소 확인 네이버', 0.5565)]"
2023/08/18 09:36:01,167,울산광역시 중구,203575,"오늘 오전 많은 비가 예상되니 척과천 및 태화강 등 하천변 산책로, 산 인접지, 저지대 등 위험지역에 접근을 삼가해 주시기 바랍니다",cbs,중구,,,"[('비가 예상되니 척과천', 0.7148)]"
2023/08/09 19:45:31,167,울산광역시 중구,202188,"오늘 밤 태풍 북상으로 폭우와 강풍이 예상되오니 외부활동 자제 및 하천변 등 위험지역에 접근하지 마시고, 성남·옥성나들문 통제중이니 우회 바랍니다.",cbs,중구,,,"[('폭우와 강풍이 예상되오니 외부활동', 0.5813)]"
2023/07/23 21:20:40,167,울산광역시 중구,199576,"내일 새벽부터 많은 비가 예상되오니, 외출을 자제하시고 산사태 위험지역 및 비탈면, 하천변, 저지대 등 출입을 자제하여 주시기 바랍니다.",cbs,중구,,,"[('예상되오니 외출을 자제하시고 산사태', 0.7739)]"
2023/07/18 19:11:19,167,울산광역시 중구,198820,"금일 밤부터 내일까지 많은 비가 예상되오니 외출을 자제하시고 산사태 위험지역 및 비탈면, 하천변, 저지대 등 위험지역 출입을 자제하여 주시기 바랍니다.",cbs,중구,,,"[('산사태 위험지역 비탈면', 0.7456)]"
2023/06/27 23:50:10,167,울산광역시 중구,196007,"오늘 밤에 번개를 동반한 많은 비가 예상되오니 외출을 삼가시고 지하 공간 침수, 하천 범람, 산사태 등 안전에 각별히 유의하시기 바랍니다.",cbs,중구,,,"[('밤에 번개를 동반한', 0.6877)]"
2023/04/10 17:18:26,118,대전광역시 중구,194292,"오늘 10시 대전 지역 강풍주의보 예비특보가 발표됨에 따라 간판, 담장, 비닐하우스 등 시설물 피해 사전대비 철저, 외출을 자제하여 주시기 바랍니다.",cbs,중구,,,"[('따라 간판 담장', 0.6538)]"
2022/12/23 08:39:14,160,서울특별시 중구,186862,오늘 05:55경 서울시 다산로 128-4 화재 발생. 화재 진압 중 외부확대 우려 없음. 교통혼잡 및 주민불편이 예상되니 우회하시기 바랍니다.,cbs,중구,,,"[('진압 외부확대 우려', 0.5507)]"
2022/12/21 08:27:23,167,울산광역시 중구,186261,"전 지역에서 도로 결빙이 발생하여 교통 사고가 많이나고 있습니다. 안전운행 바랍니다. 특히 성안동, 태화동, 다전터널 등 일원은 더 주의하시기 바랍니다.",cbs,중구,,,"[('있습니다 안전운행', 0.548)]"
2020/09/08 09:25:09,178,인천광역시 중구,55460,남동정수장 수계전환실시(9.8.10시~9.10.16시). 중구(영종/용유제외)녹물발생시 충분한 방류 후 사용. 홈페이지 참조(중부수도사업소720-3371),cbs,중구,9.8.10시~9.10.16시,,"[('용유제외 녹물발생시', 0.6373)]"
2020/09/07 10:28:13,178,인천광역시 중구,55147,남동정수장수계전환실시(9.8.10시~9.10.16시).중구(영종/용유제외)녹물발생시 충분한 방류 후 사용. 홈페이지 참조(중부수도사업소720-3354),cbs,중구,9.8.10시~9.10.16시,,"[('참조 중부수도사업소720', 0.5189)]"
