create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/20 16:40:47,6406,충청북도 증평군,205430,"호우주의보 발효중. 집중호우 예상, 하천변 산책로, 저지대, 산사태위험지역 등 출입 금지, 위험지역 사전대피 등 안전에 유의하시기 바랍니다.",cbs,증평군,,,"[('예상 하천변 산책로', 0.7273)]"
2023/09/16 18:12:50,6406,충청북도 증평군,205246,"호우주의보 발효중. 새벽까지 많은 비가 예상되오니, 저지대, 하천변 산책로, 산사태위험지역 등 출입 금지, 안전한 지역으로 대피 바랍니다.",cbs,증평군,,,"[('금지 안전한', 0.7471)]"
2023/09/16 17:12:59,6406,충청북도 증평군,205238,"금일 16시15분 증평군지역 호우주의보 발효. 저지대, 침수 우려지역 위험지역 등 출입을 자제하여 주시기 바랍니다.",cbs,증평군,,,"[('위험지역 출입을 자제하여', 0.7289)]"
2023/08/21 11:07:19,6406,충청북도 증평군,203878,"현재 폭염주의보 발효중. 논·밭 영농작업 및 야외활동 자제, 충분한 수분 섭취 및 휴식, 무더위쉼터 이용 등 건강관리에 각별히 유의 바랍니다.",cbs,증평군,,,"[('현재 폭염주의보', 0.7148)]"
2023/08/18 13:04:25,6406,충청북도 증평군,203607,"폭염주의보 발효중. 낮 시간 야외 활동을 자제하시고, 충분한 물 섭취, 무더위쉼터에서 휴식하기 등 온열질환 예방과 건강관리에 유의하여 주시기 바랍니다.",cbs,증평군,,,"[('활동을 자제하시고', 0.735)]"
2023/08/17 13:51:11,6406,충청북도 증평군,203528,"폭염주의보 발효중. 야외활동 자제 및 충분한 수분 섭취, 무더위쉼터 이용, 실외작업장 안전수칙(물, 그늘, 휴식)지키기 등 건강에 유의하시기 바랍니다.",cbs,증평군,"물, 그늘, 휴식",,"[('폭염주의보 발효중 야외활동', 0.7206)]"
2023/08/16 09:21:14,6406,충청북도 증평군,203402,"현재 우리군에 폭염주의보가 발효중이니, 야외활동 및 작업을 자제하여 주시고 충분한 수분섭취와 그늘 및 무더위 쉼터를 이용하여 주시기 바랍니다.",cbs,증평군,,,"[('발효중이니 야외활동 작업을 자제하여', 0.6339)]"
2023/08/15 15:15:49,6406,충청북도 증평군,203372,"폭염주의보 발효중. 야외활동을 자제해 주시고 양산이나 모자 쓰기, 충분한 물 섭취, 휴식 등 건강 관리에 유의해 주세요.",cbs,증평군,,,"[('유의해 주세요', 0.6539)]"
2023/08/14 15:04:13,6406,충청북도 증평군,203265,"폭염지속에 따른 낮동안 논밭일등 야외활동 중지, 무더위쉼터에서 휴식과 충분한 물섭취, 활동시 양산쓰기 등으로 온열질환 예방에 협조 해주시기 바랍니다.",cbs,증평군,,,"[('예방에 협조 해주시기 바랍니다', 0.7554)]"
2023/08/14 09:38:59,6406,충청북도 증평군,203203,"폭염주의보 발효중. 낮 시간 논·밭 영농작업, 공사장 등 야외활동 자제, 충분한 수분 섭취, 무더위쉼터 이용 등 건강 관리에 각별히 유의 바랍니다.",cbs,증평군,,,"[('이용 건강', 0.6911)]"
2023/08/13 15:16:06,6406,충청북도 증평군,203170,"폭염주의보 발효중. 가급적 야외 활동을 자제하시고, 폭염 안전 수칙(충분한 물 섭취, 그늘 휴식)을 준수하시어 건강 관리에 유의 바랍니다.",cbs,증평군,"충분한 물 섭취, 그늘 휴식",,"[('자제하시고 폭염 안전', 0.7295)]"
