create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/10/26 16:40:01,198,전라남도 진도군,206281,"27일 06시~12시 강풍예보. 간판 등 부착물 고정, 선박 묶기, 비닐하우스 등 시설물 피해 주의, 해안가 접근 금지 등 안전에 주의 바랍니다.",cbs,진도군,,,"[('고정 선박 묶기 비닐하우스', 0.6376)]"
2023/10/04 16:49:37,198,전라남도 진도군,205859,"강풍예비특보(5일 새벽00~06시)발효/간판 등 부착물 고정, 선박 결박, 비닐하우스 등 시설물 피해 주의, 해안 접근 금지 등 안전에 주의 바랍니다.",cbs,진도군,5일 새벽00~06시,,"[('간판 부착물 고정 선박', 0.54)]"
2023/09/20 10:32:28,198,전라남도 진도군,205383,"호우예비특보 발표로 강풍동반한 많은비 예상. 간판 등 부착물고정,선박묶기,비닐하우스 등 시설물 피해주의. 위험지역(해안 등) 접근금지 등 안전유의바랍니다",cbs,진도군,해안 등,,"[('부착물고정 선박묶기 비닐하우스', 0.6521)]"
2023/09/16 12:52:17,198,전라남도 진도군,205188,"12시 40분 호우경보 발표. 내일까지 많은 비 예상.외출자제,하천,저지대,임야 등 위험지역 접근 금지, 피해 우려 시 마을회관 등으로 대피 바랍니다.",cbs,진도군,,,"[('호우경보 발표', 0.5606)]"
2023/09/16 11:14:58,198,전라남도 진도군,205166,"10:50 호우주의보 발효. 내일까지 많은 비가 예상되니 외출자제 및 위험지역(하천변, 산사태 등) 접근 금지, 위험 징후 발견 시 즉시 대피 바랍니다.",cbs,진도군,"하천변, 산사태 등",,"[('산사태 접근 금지 위험', 0.5454)]"
2023/08/29 17:06:34,198,전라남도 진도군,204564,"내일까지 많은 비 예보/하천, 저지대, 산사태, 사면 등 위험지역 접근 금지/위험 징후 발견 시 마을회관, 경로당 등으로 즉시 대피 바랍니다.",cbs,진도군,,,"[('접근 금지 위험 징후', 0.6587)]"
2023/08/22 20:56:28,198,전라남도 진도군,204038,"20시30분 호우주의보 발표로 낙뢰를 동반한 많은비 예상. 저지대, 하천변 등 접근금지하고, 비탈면 붕괴위험지역에서는 사전에 안전한곳으로 대피바랍니다.",cbs,진도군,,,"[('비탈면 붕괴위험지역에서는 사전에', 0.6843)]"
2023/08/10 05:51:25,198,전라남도 진도군,202302,"우리군 현재 태풍 카눈의 직접 영향권에 있어, 큰파도의 영향으로 위험한 해안 출입을 금지하고, 집안에 머무르기 바랍니다.",cbs,진도군,,,"[('큰파도의 영향으로 위험한', 0.6662)]"
2023/08/09 21:56:30,198,전라남도 진도군,202241,"내일 새벽5시~11시 태풍의 영향으로 강풍을 동반한 많은비 예상. 해안가, 하천변 등 외출자제하고, 위험예상지역에서는 안전한 곳으로 사전대피 바랍니다.",cbs,진도군,,,"[('곳으로 사전대피 바랍니다', 0.6514)]"
2023/08/09 18:51:29,198,전라남도 진도군,202175,"태풍주의보 발효중/태풍관련 정보공유/하천,해안가,산사태,붕괴위험지역 등 위험지역 접근금지 및 외출자제/선박, 농어업시설물 결박 등 안전에 유의바랍니다.",cbs,진도군,,,"[('선박 농어업시설물', 0.68)]"
2023/08/09 15:48:05,198,전라남도 진도군,202047,"강풍주의보 발표. 간판 등 부착물 고정, 선박 묶기, 비닐하우스 등 시설물 피해 주의하시고, 위험지역(해안가 등) 접근 금지 등 안전에 주의 바랍니다.",cbs,진도군,해안가 등,,"[('부착물 고정 선박 묶기', 0.6882)]"
2023/08/09 13:25:59,198,전라남도 진도군,201964,"제6호 태풍 카눈 북상중/강풍과 많은 비 예상/간판, 창문 등 시설물 고정/하천변, 해안가 등 위험지역 접근금지/어선 피항, 육상양륙 등 안전조치 요망",cbs,진도군,,,"[('시설물 고정 하천변 해안가', 0.7202)]"
2023/08/09 09:42:42,198,전라남도 진도군,201856,"제6호태풍 카눈 영향으로 오후부터 강풍 동반한 많은 비 예상. 배수로 정비, 간판·창문 등 미리 고정, 해안가 등 위험지역 접근자제 바랍니다",cbs,진도군,,,"[('미리 고정 해안가', 0.6855)]"
2023/08/08 18:02:03,198,전라남도 진도군,201808,"제6호태풍 카눈 북상중. 내일(9일)부터 전국 대부분 영향으로 주변 배수로 정비, 간판, 창문 등 미리 고정, 해안가 등 위험지역 접근 자제 바랍니다.",cbs,진도군,9일,,"[('영향으로 주변 배수로 정비', 0.6856)]"
2023/08/08 15:09:47,198,전라남도 진도군,201775,"제6호태풍 카눈 북상중. 내일(9일)부터 전국 대부분 영향으로 주변 배수로 정비, 간판, 창문 등 미리 고정, 해안가 등 위험지역 접근 자제 바랍니다.",cbs,진도군,9일,,"[('영향으로 주변 배수로 정비', 0.6856)]"
