create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/09 14:22:59,"11306,11307,11308","전라남도 진도군,전라남도 진도군,전라남도 진도군",205000,2023명량대첩축제 공군블랙이글스 축하비행으로 오늘 9. 9.(토) 14시 30분경 비행소음 발생이 우려되오니 양지하시기 바랍니다.,cbs,진도군청,토,,"[('30분경 비행소음 발생이 우려되오니', 0.529)]"
2023/06/29 11:03:19,198,전라남도 진도군,196112,"금일 현재 강우를 동반한 낙뢰가 발생하고 있으며 집중호우가 예상되오니, 야외할동을 자제하여 주시고 위험·침수지역 대피 등 안전에 주의바랍니다.",cbs,진도군청,,,"[('있으며 집중호우가', 0.7254)]"
2023/06/27 17:23:19,198,전라남도 진도군,195936,"전남 남부지역 호우주의보 발효중. 시간당 강한 비가 집중되는 지역이 있으니, 저지대·하천변 등 위험지역 접근을 자제하시고 안전에 유의 바랍니다.",cbs,진도군청,,,"[('비가 집중되는 지역이 있으니', 0.6944)]"
2023/04/22 10:58:58,198,전라남도 진도군,194603,"금일 황사 및 미세먼지 주의가 요구되니 어린이·노약자 실외활동 자제, 황사유입방지를 위한 창문 점검, 외출시 마스크착용 등 건강관리에 유의 바랍니다.",cbs,진도군청,,,"[('노약자 실외활동 자제 황사유입방지를', 0.7031)]"
2023/04/15 16:19:59,198,전라남도 진도군,194457,"건조하고 바람이 강해 산불 발생이 위험이 매우 높음 ▲산림근처 논밭두렁, 영농부산물, 쓰레기 소각 절대금지 협조바랍니다.",cbs,진도군청,,,"[('논밭두렁 영농부산물 쓰레기 소각', 0.682)]"
2023/04/12 08:37:38,198,전라남도 진도군,194387,"오늘 05시 미세먼지 경보. 어린이, 노약자 실외활동 금지, 대중교통 이용하기, 보건용 마스크 착용하기 등 건강관리에 유의 바랍니다.",cbs,진도군청,,,"[('오늘 05시', 0.6365)]"
2023/04/11 12:44:07,198,전라남도 진도군,194349,"현재 진도군 강풍주의보 발효중이니, 간판, 창문, 비닐하우스 등 시설물 관리 철저, 바닷가, 하천변 등 위험지역 방문을 자제하여 주시기 바랍니다.",cbs,진도군청,,,"[('위험지역 방문을 자제하여', 0.6924)]"
2023/04/07 09:31:59,198,전라남도 진도군,194224,"금일 06~21시 미세먼지 비상저감조치 시행, 5등급경유차 운행금지, 대중교통 이용동참, 외출 자제, 필요시 마스크 착용 등 건강관리에 유의 바랍니다",cbs,진도군청,,,"[('대중교통 이용동참', 0.7166)]"
2023/04/04 14:53:38,198,전라남도 진도군,194145,"금일 14시부로 강풍주의보가 발효되었고 내일까지 많은 비가 예상됩니다. 위험시설물 결박 및 바닷가, 하천변 등 위험지역 방문을 자제해 주시기 바랍니다.",cbs,진도군청,,,"[('위험지역 방문을 자제해', 0.6776)]"
2023/01/28 09:00:59,198,전라남도 진도군,192152,눈이 많이 내려 길이 미끄럽습니다. 현재 주요도로 제설작업 중/ 내집앞 눈 치우기 참여/ 저속운행/ 미끄럼 주의 등 안전사고에 유의하시기 바랍니다.,cbs,진도군청,,,"[('주의 안전사고에', 0.7226)]"
2023/01/27 22:29:52,198,전라남도 진도군,192139,강설에 따른 농어촌도로 102호선 초평~쏠비치 구간 금일 21시부터 통제 중이오니 쏠비치 출입차량은 송군마을 방면으로 우회하시기 바랍니다.,cbs,진도군청,,,"[('강설에 따른 농어촌도로', 0.6522)]"
2023/01/27 18:49:21,198,전라남도 진도군,192131,"영하의 날씨가 계속되고 있습니다. 노약자 외출자제, 외출시 방한용품 착용으로 체온 유지, 빙판길 주의, 난방 등 건강 관리에 유의하시기 바랍니다.",cbs,진도군청,,,"[('관리에 유의하시기', 0.5712)]"
2023/01/27 18:37:00,198,전라남도 진도군,192130,"대설주의보 발효 중! ▲수도관 동파방지 ▲온열기기 화재예방 ▲비닐하우스,축사,수산양식 시설물 보강 관리 등 안전사고 예방에 유의하시기 바랍니다.",cbs,진도군청,,,"[('수산양식 시설물 보강', 0.7292)]"
2023/01/27 17:41:33,198,전라남도 진도군,192112,"현재 우리군에 많은 눈이 내리고 있어 왕고개, 초평재 등 고갯길과 진도터널 및 기타 해안도로 등의 도로결빙이 예상되니 안전사고에 유의하시기 바랍니다.",cbs,진도군청,,,"[('우리군에 많은 눈이 내리고', 0.7289)]"
2023/01/27 09:35:43,198,전라남도 진도군,192036,"오전9시30분 우리군 대설주의보가 발효되었습니다. 눈으로 길이 미끄러우니 보행 시 낙상사고 유의하시고, 차량 운행 시 서행하여 안전에 유의바랍니다.",cbs,진도군청,,,"[('우리군 대설주의보가 발효되었습니다 눈으로', 0.7168)]"
2023/01/24 11:54:56,198,전라남도 진도군,191630,강설로 현재 군내버스 운행을 전면 중단하였으며 기상상태 및 도로상태 호전 시 운행 재개 예정이오니 일정에 참고하시기 바랍니다.,cbs,진도군청,,,"[('현재 군내버스', 0.6445)]"
2023/01/24 08:35:30,198,전라남도 진도군,191541,한파와 함께 많은 눈이 내리고 있어 야외 활동 자제해주시고 9시부터 두목재(사천~향동) 및 초평항~쏠비치 구간 통제하오니 차량이용자께서는 주의바랍니다.,cbs,진도군청,사천~향동,,"[('있어 야외 활동 자제해주시고', 0.6276)]"
2023/01/21 16:34:02,198,전라남도 진도군,191195,코로나19 선별진료소 정정 안내 ▲ 보건소(9시~17시) ▲ 1.21.(토)~1.24.(화) ※ 당번약국 홈페이지 참조 ☎540-6052,cbs,진도군청,9시~17시,,"[('당번약국 홈페이지 참조 540', 0.5666)]"
2023/01/21 15:10:50,198,전라남도 진도군,191185,"코로나19 선별진료소 안내 ▲보건소(09시~17시), 진도한국병원(0시~24시) ▲1.21.~1.24. ※당번 약국: 홈페이지 참조 ☎540-6033",cbs,진도군청,09시~17시,,"[('참조 540 6033', 0.6179)]"
2022/12/23 20:56:49,198,전라남도 진도군,187080,현재 우리 군에 강설 및 한파가 지속되고 있으니 계량기동파 등 시설물관리에 유의하여 주시고 운전 시 감속운행 및 우회도로를 이용하여 주시기 바랍니다.,cbs,진도군청,,,"[('운전 감속운행', 0.7413)]"
2022/12/23 18:18:41,198,전라남도 진도군,187063,현재 군도 15호선 두목재(의신사천~고군향동) 및 농어촌도로102호선(초평~쏠비치) 구간 지속 통제 중이며 매우 위험하니 반드시 우회 바랍니다.,cbs,진도군청,의신사천~고군향동,,"[('고군향동 농어촌도로102호선 초평 쏠비치', 0.6856)]"
2022/12/23 17:09:55,198,전라남도 진도군,187015,일몰 시간으로 접어들며 녹은 눈의 재결빙 우려가 있으니 퇴근길 차량운전에 유의하시고 농수산시설은 수시로 제설작업을 하시어 피해를 예방하시기 바랍니다.,cbs,진도군청,,,"[('녹은 눈의 재결빙', 0.7299)]"
2022/12/22 18:17:16,198,전라남도 진도군,186733,강설에 따라 농어촌도로 102호선 초평~쏠비치 구간 금일 18시 20분부터 통제 예정이오니 쏠비치 출입차량은 송군마을 방면으로 우회하시기 바랍니다.,cbs,진도군청,,,"[('20분부터 통제 예정이오니', 0.7062)]"
2022/12/22 17:41:18,198,전라남도 진도군,186702,강설로 현재 군내버스 운행을 전면 중단하였으며 기상상태 및 도로상태 호전 시 운행 재개 예정이오니 일정에 참고하시기 바랍니다.,cbs,진도군청,,,"[('현재 군내버스', 0.6445)]"
2022/12/22 17:21:20,198,전라남도 진도군,186688,현재 우리 군에 강풍을 동반한 매우 많은 눈이 내리고 있어 도로결빙이 예상되니 퇴근길 차량운전에 유의하시고 가급적 고갯길 등은 우회하시기 바랍니다.,cbs,진도군청,,,"[('있어 도로결빙이', 0.7088)]"
2022/12/22 08:21:59,198,전라남도 진도군,186541,강설에 따라 군도 15호선 두목재(의신사천~고군향동) 구간 금일 오전 8시부터 통제하였으니 차량은 국도 18호선으로 우회하시기 바랍니다.,cbs,진도군청,의신사천~고군향동,,"[('두목재 의신사천', 0.6835)]"
2022/12/22 07:24:24,198,전라남도 진도군,186527,"강설로 인해 왕고개, 초평재 등 고갯길, 진도터널 진출입구 등의 결빙이 예상되니 출근시 규정속도 미만으로 감속 운행하여 안전에 유의하시기 바랍니다",cbs,진도군청,,,"[('등의 결빙이 예상되니 출근시', 0.6856)]"
2022/12/21 21:05:00,198,전라남도 진도군,186485,"새벽부터 많은 눈이 예상되니 출근길 진도터널, 두목재 등 위험지역 통과 차량은 반드시 전조등을 켜시고 규정속도 미만으로 서행하시어 안전에 유의 바랍니다",cbs,진도군청,,,"[('눈이 예상되니 출근길 진도터널', 0.703)]"
2022/12/21 14:29:36,198,전라남도 진도군,186392,오늘 오전 10시40분 우리군 대설예비특보 발표. 내일 새벽부터 강풍을 동반한 많은 눈이 내릴 예정이니 미리 대비하시고 기상정보를 수시로 확인 바랍니다,cbs,진도군청,,,"[('기상정보를 수시로 확인', 0.6185)]"
2022/12/18 12:59:05,198,전라남도 진도군,185843,기습적으로 눈이 내리는 등 기상 상태가 매우 불안정하니 외출을 최대한 자제하시고 부득이한 차량 운행 시에는 규정 속도 미만으로 서행하시기 바랍니다.,cbs,진도군청,,,"[('불안정하니 외출을 최대한', 0.6997)]"
2022/12/18 08:51:05,198,전라남도 진도군,185754,강설로 현재 군내버스 운행을 전면 중단하였으며 오후 기상상태 및 도로상태 호전 시 운행 재개 예정이오니 일정에 참고하시기 바랍니다.,cbs,진도군청,,,"[('도로상태 호전 운행', 0.6595)]"
2022/12/17 21:51:26,198,전라남도 진도군,185721,강설에 따라 농어촌도로 102호선 초평~솔비치 구간 금일 22시 30분부터 통제 예정이오니 솔비치 출입차량은 송군마을 방면으로 우회하시기 바랍니다.,cbs,진도군청,,,"[('농어촌도로 102호선', 0.682)]"
2022/12/17 20:05:49,198,전라남도 진도군,185709,강설에 따라 군도 15호선 두목재(의신사천~고군향동) 구간 금일 21시부터 통제 예정이오니 차량은 국도 18호선으로 우회하시기 바랍니다.,cbs,진도군청,의신사천~고군향동,,"[('예정이오니 차량은 국도 18호선으로', 0.7023)]"
2022/12/17 16:51:16,198,전라남도 진도군,185667,매우 강한 바람을 동반한 강설이 시작되고 있으며 밤 사이 더 강해질 것으로 예상되니 군민들께서는 야외 활동을 신속히 마무리하신 후 귀가하시기 바랍니다.,cbs,진도군청,,,"[('시작되고 있으며 사이 강해질', 0.7127)]"
2022/12/17 08:54:32,198,전라남도 진도군,185520,8시30분 우리군 대설주의보 발효. 많은 눈이 내릴 예정이니 외출은 되도록 자제하시고 부득이한 차량 운행 시에는 서행하시어 안전에 유의하시기 바랍니다,cbs,진도군청,,,"[('자제하시고 부득이한', 0.6904)]"
2022/12/16 16:05:37,198,전라남도 진도군,185454,오늘 오후 4시 우리군에 대설예비특보가 발표되었으며 내일 오후 주의보로 격상 예정입니다. 많은 눈이 예상되니 기상정보를 수시로 확인하시어 대비 바랍니다,cbs,진도군청,,,"[('많은 눈이 예상되니 기상정보를', 0.6078)]"
2022/12/14 17:51:20,198,전라남도 진도군,185117,영하의 기온이 계속 유지되고 있어 일부 젖은 도로 및 보도의 결빙이 우려되니 차량 운행 및 보행 시 안전에 유의하시기 바랍니다.(두목재 지속 통제 중),cbs,진도군청,두목재 지속 통제 중,,"[('차량 운행 보행', 0.6911)]"
2022/12/14 10:01:57,198,전라남도 진도군,185045,강설로 인해 금일 오전 10시부터 두목재(의신사천~고군향동) 3.5km 구간을 통제하니 차량은 우회하시기 바랍니다.,cbs,진도군청,의신사천~고군향동,,"[('10시부터 두목재', 0.5348)]"
