create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/16 09:09:39,65,경상남도 진주시,205142,"진주시 호우주의보 발효 중, 시간당 20~40mm의 호우가 내리고 있습니다. 외출 자제 및 하천둔치·비탈면 접근 금지, 위험지역은 사전대피 바랍니다.",cbs,진주시청,,,"[('발효 시간당 20', 0.6136)]"
2023/08/30 07:09:12,65,경상남도 진주시,204603,"진주시 호우주의보 발효 중, 내일까지 80~120mm의 호우가 예상됩니다. 외출 자제 및 하천둔치·비탈면 접근 금지, 위험지역은 사전대피 바랍니다.",cbs,진주시청,,,"[('하천둔치 비탈면', 0.5829)]"
2023/08/23 21:48:23,65,경상남도 진주시,204292,"진주시 호우주의보 발효 중, 내일까지 50~120mm의 호우가 예상됩니다. 외출 자제 및 하천둔치·비탈면 접근 금지, 위험지역은 사전대피 바랍니다.",cbs,진주시청,,,"[('하천둔치 비탈면', 0.5805)]"
2023/07/24 13:54:37,65,경상남도 진주시,199681,"현재 집중호우로 인해 산사태 위험이 높습니다. 산림출입을 자제하시고, 산림 주변에 계신 주민들은 즉시 안전한 곳으로 대피 바랍니다.",cbs,진주시청,,,"[('현재 집중호우로', 0.753)]"
2023/07/18 18:45:33,65,경상남도 진주시,198803,"진주시 전 읍면동 산사태 경보 발령 유지 중입니다. 산림 주변 접근을 금지하시고, 산림 연접지 주민은 즉시 대피 바랍니다.",cbs,진주시청,,,"[('진주시 읍면동 산사태', 0.6123)]"
2023/07/18 13:20:44,65,경상남도 진주시,198640,"금일 12:00부로 진주시에 산사태경보 및 주의보가 발령되었으니 산림출입을 자제하시고, 산림 주변에 계신 주민들은 즉시 안전한 곳으로 대피바랍니다.",cbs,진주시청,,,"[('산사태경보 주의보가 발령되었으니 산림출입을', 0.6772)]"
2023/07/18 11:05:16,65,경상남도 진주시,198606,하대대림A→김시민대교(강변도로) / 공단사거리→남강교하부 / (구)삼삼주유소→김시민대교하부 통제중이오니 우회 바랍니다.,cbs,진주시청,강변도로,,"[('남강교하부 삼삼주유소 김시민대교하부 통제중이오니', 0.4801)]"
2023/07/18 10:24:36,65,경상남도 진주시,198584,"09:00부로 진주시 수곡면에 산사태 경보 / 집현,명석,대평,미천면에 산사태 주의보가 발령되었으니 산림주변 야외활동을 자제하시고 유사시 대피바랍니다",cbs,진주시청,,,"[('주의보가 발령되었으니 산림주변 야외활동을', 0.6993)]"
2023/07/18 09:02:40,65,경상남도 진주시,198563,"현재 호우로 인하여 진주교 하부 도로(포시즌 방면), 진양교 하부 도로(과기대 방면) 통제 중입니다. 우회하시기 바랍니다.",cbs,진주시청,포시즌 방면,,"[('중입니다 우회하시기 바랍니다', 0.7021)]"
2023/07/17 19:26:42,65,경상남도 진주시,198475,오늘 밤부터 호우가 예상되오니 남강둔치 출입을 금지합니다. 밤 9시부터 남강둔치 가로등을 소등하오니 하천변 접근금지 및 안전에 유의하시기 바랍니다.,cbs,진주시청,,,"[('남강둔치 출입을 금지합니다 9시부터', 0.6354)]"
