create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/20 16:46:58,246,충청북도 진천군,205433,현재 호우주의보 발효중 ▲하천변 접근 금지 ▲농수로 물꼬 확인 금지 ▲산사태우려지역 및 저지대 위험지역은 안전에 유의하시기 바랍니다.,cbs,진천군,,,"[('물꼬 확인 금지 산사태우려지역', 0.7798)]"
2023/08/23 16:05:11,246,충청북도 진천군,204240,현재 호우경보 발효중 ▲하천변 접근 금지 ▲농수로 물꼬 확인 금지 ▲산사태우려지역 및 저지대 침수지역은 안전에 각별히 유의하시기 바랍니다.,cbs,진천군,,,"[('산사태우려지역 저지대', 0.7881)]"
2023/08/11 08:53:39,246,충청북도 진천군,203041,태풍 '카눈'의 영향으로 백곡저수지 수위가 상승하여 방류량 증가 및 급격한 하천수위 상승이 예상되니 하천변 접근을 금지하여 주시기바랍니다.,cbs,진천군,,,"[('증가 급격한 하천수위 상승이', 0.4517)]"
2023/08/10 17:33:30,246,충청북도 진천군,202969,"태풍주의보 발효중▲하천변, 농배수로 출입금지▲산사태 우려지역은 안전한 곳으로 대피하여 주시고 강풍에 의한 낙하물 주의 등 외출을 자제하여 주시기 바랍니다",cbs,진천군,,,"[('산사태 우려지역은 안전한 곳으로', 0.7669)]"
2023/08/10 12:03:16,246,충청북도 진천군,202725,"태풍경보 발효▲하상주차장 통제▲하수종말처리장 앞 세월교~농다리 구간 통제▲외출을 자제하시고, 하천변 접근금지 및 산사태위험지역 사전 대피하시기 바랍니다.",cbs,진천군,,,"[('접근금지 산사태위험지역 사전', 0.7826)]"
2023/08/09 14:37:38,246,충청북도 진천군,202000,태풍 카눈 북상에 따라 금일(9일)15시부터 백곡저수지 방류예정으로 18시부터 백곡천 하상주차장 전면통제 계획이오니 주차장 내 주차를 삼가하시기바랍니다,cbs,진천군,9일,,"[('따라 금일 9일 15시부터', 0.6597)]"
2023/08/07 11:41:07,246,충청북도 진천군,201562,"폭염경보 발효중▲당분간 무더위 지속▲장시간 농작업, 나홀로 작업 및 비닐하우스 작업을 자제하고 충분한 휴식과 수분섭취 등 온열질환에 유의하기 바랍니다.",cbs,진천군,,,"[('당분간 무더위 지속 장시간', 0.7162)]"
2023/08/06 12:27:49,246,충청북도 진천군,201413,"폭염경보 발효중▲당분간 무더위 지속▲장시간 농작업, 나홀로 작업 및 비닐하우스 작업을 자제하고 충분한 휴식과 수분섭취 등 온열질환에 유의하기 바랍니다.",cbs,진천군,,,"[('당분간 무더위 지속 장시간', 0.7162)]"
2023/08/05 12:00:04,246,충청북도 진천군,201221,"폭염경보 발효중▲당분간 무더위 지속▲장시간 농작업, 나홀로 작업 및 비닐하우스 작업을 자제하고 충분한 휴식과 수분섭취 등 온열질환에 유의하기 바랍니다.",cbs,진천군,,,"[('당분간 무더위 지속 장시간', 0.7162)]"
2023/08/04 11:49:57,246,충청북도 진천군,201043,"폭염경보 발효중▲온열질환 사망자 발생▲장시간 농작업, 나홀로 작업 및 비닐하우스 작업을 자제하고 충분한 휴식과 수분섭취 등 온열질환에 유의하기 바랍니다.",cbs,진천군,,,"[('농작업 나홀로 작업 비닐하우스', 0.7155)]"
