create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2021/12/14 11:39:43,"2,21,53,74,98,104,113,119,136,162,168,179,202,217,222,238,6474","강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시",133758,"오늘 방역패스를 이용하실 분은 지금부터 편한 시간에 네이버, 카카오 등에서 예방접종증명서(QR코드)를 발급받아 사용해주시기 바랍니다.",cbs,질병관리청,QR코드,,"[('사용해주시기 바랍니다', 0.52)]"
2021/12/13 19:56:50,"2,21,53,74,98,104,113,119,136,162,168,179,202,217,222,238,6474","강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시",133680,방역패스 시스템 과부하로 시설 이용에 불편을 드려 대단히 죄송합니다. 오늘(12.13)은 방역패스를 적용하지 않음을 알려드립니다.(☎1339),cbs,질병관리청,12.13,,"[('적용하지 않음을', 0.5968)]"
2021/08/18 16:03:32,"2,21,53,74,98,104,113,119,136,162,168,179,202,217,222,238,6474","강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시",118167,"18~49세 예방접종 10부제 예약은 매일 20시~다음날 18시, 오늘 20시부터 내일 18시까지는 생일끝자리(주민등록상) “8번”이 해당됩니다.",cbs,질병관리청,주민등록상,49세,"[('오늘 20시부터', 0.6492)]"
2021/08/17 16:01:13,"2,21,53,74,98,104,113,119,136,162,168,179,202,217,222,238,6474","강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시",118002,"18~49세 예방접종 10부제 예약은 매일 20시~다음날 18시, 오늘 20시부터 내일 18시까지는 생일끝자리(주민등록상) “7번”이 해당됩니다.",cbs,질병관리청,주민등록상,49세,"[('20시 다음날 18시', 0.6249)]"
2021/08/16 16:00:02,"2,21,53,74,98,104,113,119,136,162,168,179,202,217,222,238,6474","강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시",117866,"18~49세 예방접종 10부제 예약은 매일 20시~다음날 18시, 오늘 20시부터 내일 18시까지는 생일끝자리(주민등록상) “6번”이 해당됩니다.",cbs,질병관리청,주민등록상,49세,"[('18시 오늘', 0.6324)]"
2021/08/15 16:11:00,"2,21,53,74,98,104,113,119,136,162,168,179,202,217,222,238,6474","강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시",117716,"18~49세 예방접종 10부제 예약은 매일 20시~다음날 18시, 오늘 20시부터 내일 18시까지는 생일끝자리(주민등록상) “5번”이 해당됩니다.",cbs,질병관리청,주민등록상,49세,"[('예약은 매일 20시', 0.6643)]"
2021/08/14 16:00:15,"2,21,53,74,98,104,113,119,136,162,168,179,202,217,222,238,6474","강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시",117575,"18~49세 예방접종 10부제 예약은 매일 20시~다음날 18시, 오늘 20시부터 내일 18시까지는 생일끝자리(주민등록상) “4번”이 해당됩니다.",cbs,질병관리청,주민등록상,49세,"[('18 49세 예방접종 10부제', 0.6449)]"
2021/08/13 16:03:27,"2,21,53,74,98,104,113,119,136,162,168,179,202,217,222,238,6474","강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시",117420,"18~49세 예방접종 10부제 예약은 매일 20시~다음날 18시, 오늘 20시부터 내일 18시까지는 생일끝자리(주민등록상) “3번”이 해당됩니다.",cbs,질병관리청,주민등록상,49세,"[('18 49세 예방접종 10부제', 0.62)]"
2021/08/12 16:00:00,"2,21,53,74,98,104,113,119,136,162,168,179,202,217,222,238,6474","강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시",117248,"18~49세 예방접종 10부제 예약은 매일 20시~다음날 18시, 오늘 저녁 20시부터 내일 18시까지는 주민번호 생일끝자리 “2번”이 해당됩니다.",cbs,질병관리청,,49세,"[('생일끝자리 2번 해당됩니다', 0.642)]"
2021/08/11 16:00:23,"2,21,53,74,98,104,113,119,136,162,168,179,202,217,222,238,6474","강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시",117084,"18~49세 예방접종 10부제 예약은 매일 20시~다음날 18시, 오늘 저녁 20시부터 내일 18시까지는 주민번호 생일끝자리 “1번”이 해당됩니다.",cbs,질병관리청,,49세,"[('예약은 매일 20시', 0.645)]"
