create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/16 16:13:03,67,경상남도 창녕군,205224,"금일 16:00 호우주의보 발효. 하천변 등 위험지역 접근 금지, 산사태, 상습침수 등 위험지역 대피, 외출자제 등 안전에 유의바랍니다.",cbs,창녕군,,,"[('상습침수 위험지역', 0.6719)]"
2023/09/04 16:17:50,67,경상남도 창녕군,204870,"폭염주의보 발효 중. 온열질환이 발생하지 않도록 ▲논밭, 건설현장 등 야외 작업 자제▲충분한 수분 섭취▲무더위쉼터 이용 등 안전에 유의 바랍니다.",cbs,창녕군,,,"[('논밭 건설현장 야외', 0.7438)]"
2023/08/30 12:52:18,67,경상남도 창녕군,204655,"금일12시30분 호우주의보 발효. 야외활동 및 외출 자제. 하천변, 급경사지, 산사태취약지역 접근 금지, 논밭 물꼬작업 금지 등 안전에 유의바랍니다.",cbs,창녕군,,,"[('안전에 유의바랍니다', 0.6616)]"
2023/08/23 13:14:14,67,경상남도 창녕군,204187,오늘 23일 14시 민방위 대피 훈련 실시. 공습경보 후 가가운 대피소 이동. 오리정~낙영교차로 구간 15분간 차량통제 실시. 적극적인 참여 바랍니다.,cbs,창녕군,,,"[('구간 15분간 차량통제', 0.613)]"
2023/08/23 12:58:08,67,경상남도 창녕군,204175,"폭염경보 발효 중 ▲논밭 작업, 건설현장 등 야외활동 자제▲충분한 수분 섭취▲무더위쉼터 이용 등으로 온열질환 발생 및 건강관리에 유의하시기 바랍니다.",cbs,창녕군,,,"[('작업 건설현장 야외활동', 0.7422)]"
2023/08/21 13:40:33,67,경상남도 창녕군,203896,"폭염경보 발효중. 취약시간(12~17시) 논·밭 영농작업 및 야외활동 자제, 충분한 수분 섭취 및 휴식, 무더위쉼터 이용 등 건강관리에 유의 바랍니다.",cbs,창녕군,12~17시,,"[('무더위쉼터 이용 건강관리에', 0.6613)]"
2023/08/20 17:57:40,67,경상남도 창녕군,203836,오늘 17시30분 폭염경보 발효 ▲취약시간(12~17시) 논·밭·건설현장 야외활동 자제 ▲주변 노약자 안부확인 ▲충분한 수분섭취 등 건강에 유의바랍니다.,cbs,창녕군,12~17시,,"[('폭염경보 발효 취약시간', 0.6511)]"
2023/08/16 13:11:25,67,경상남도 창녕군,203438,"폭염주의보 발효중. 충분한 수분섭취,그늘휴식,무더위 쉼터 이용,취약시간대(12~17시) 논·밭 등 실외 작업자제. 건강관리에 유의해 주시기 바랍니다.",cbs,창녕군,12~17시,,"[('작업자제 건강관리에', 0.6313)]"
2023/08/15 10:39:20,67,경상남도 창녕군,203315,"계성면에서 실종된 김점순(여, 76세)를 찾습니다. 163cm, 보통체격, 허리 많이 굽음, 보라색 상의, 얼룩무늬바지, 안경미착용",cbs,창녕군,"여, 76세",76세,"[('보라색 상의', 0.5542)]"
2023/08/15 10:22:26,67,경상남도 창녕군,203310,"폭염특보 발효 중 ▲논밭 작업, 건설현장 등 야외활동 자제▲충분한 물 마시기▲무더위쉼터 이용 등으로 온열질환 발생 및 건강관리에 유의하시기 바랍니다.",cbs,창녕군,,,"[('논밭 작업 건설현장 야외활동', 0.7564)]"
2023/08/14 11:36:12,67,경상남도 창녕군,203231,"폭염주의보 발효중. 낮 시간대 야외 활동·작업을 자제하여 주시고, 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의하여 주시기 바랍니다.",cbs,창녕군,"물, 그늘, 휴식",,"[('지키기 안전에 유의하여', 0.7008)]"
2023/08/13 11:50:23,67,경상남도 창녕군,203138,"폭염주의보 발효중. 낮시간(12~17시) 야외활동 자제, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 건강에 유의하시기 바랍니다.",cbs,창녕군,12~17시,,"[('자제 실외 작업장', 0.6655)]"
2023/08/10 11:33:36,67,경상남도 창녕군,202693,"태풍이 우리지역을 통과하고 있으니 ▲외출 자제 ▲간판 등 낙하물 주의 ▲축사,시설하우스 고정 ▲위험지역 접근금지 등 안전에 유의하시기 바랍니다.",cbs,창녕군,,,"[('고정 위험지역 접근금지', 0.6691)]"
