create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/03/10 17:59:54,67,경상남도 창녕군,193428,산불위기경보 '경계' 단계 발령 중. 고춧대 소각 등 쓰레기 불법소각 행위 엄금 및 화기 취급에 유의하여 주시기 바랍니다.,cbs,창녕군청,,,"[('엄금 화기 취급에 유의하여', 0.6239)]"
2023/02/10 06:10:59,67,경상남도 창녕군,192872,"금일 3시 대설주의보 발효. 새벽에 내린 눈으로 도로, 인도 결빙 우려 출근길 안전에 유의. 내 집 앞 눈치우기에 동참바랍니다.",cbs,창녕군청,,,"[('새벽에 내린 눈으로 도로', 0.6973)]"
2023/02/07 17:59:59,67,경상남도 창녕군,192799,2.7.(화) 18시 기준 확진자 25명 ▶ 2.8.(수)부터 코로나19 재난문자 중단⇒창녕군 누리집 참조,cbs,창녕군청,화,,"[('창녕군 누리집', 0.5939)]"
2023/02/06 17:59:59,67,경상남도 창녕군,192756,2.6.(월) 18시 기준 확진자 19명 ▶ 2.8.(수)부터 코로나19 재난문자 중단⇒창녕군 누리집 참조,cbs,창녕군청,월,,"[('창녕군 누리집 참조', 0.565)]"
2023/02/05 18:00:00,67,경상남도 창녕군,192715,"2.5.(일) 18시 기준 확진자 3명 ▲ 감염취약시설, 의료기관, 약국 및 대중교통수단 실내 마스크 착용 의무 유지해야함▲ 동절기 추가접종 참여",cbs,창녕군청,일,,"[('약국 대중교통수단 실내', 0.5138)]"
2023/02/04 18:00:01,67,경상남도 창녕군,192674,"2.4.(토) 18시 기준 확진자 12명▶감염취약시설, 의료기관, 약국 및 대중교통수단 실내 마스크 착용 의무 유지해야함 ▶동절기 추가접종 참여",cbs,창녕군청,토,,"[('기준 확진자 12명 감염취약시설', 0.5956)]"
2023/02/03 17:59:59,67,경상남도 창녕군,192628,"2.3.(금) 18시 기준 확진자 37명▶감염취약시설, 의료기관, 약국 및 대중교통수단 실내 마스크 착용 의무 유지해야함 ▶동절기 추가접종 참여",cbs,창녕군청,금,,"[('동절기 추가접종 참여', 0.5598)]"
2023/02/02 17:59:58,67,경상남도 창녕군,192571,"2.2.(목) 18시 기준 확진자 16명▶감염취약시설, 의료기관, 약국 및 대중교통수단 실내 마스크 착용 의무 유지해야함 ▶동절기 추가접종 참여",cbs,창녕군청,목,,"[('동절기 추가접종 참여', 0.556)]"
2023/02/01 18:00:49,67,경상남도 창녕군,192518,"2.1.(수) 18시 기준 확진자 21명▶감염취약시설, 의료기관, 약국 및 대중교통수단 실내 마스크 착용 의무 유지해야함 ▶동절기 추가접종 참여",cbs,창녕군청,수,,"[('약국 대중교통수단', 0.5266)]"
2023/01/31 18:00:02,67,경상남도 창녕군,192438,1.31.(화) 18시 기준 확진자 40명▶개인 방역수칙 준수 ▶코로나19 2가백신 추가접종 예약없이 당일 접종 가능 ☎ 530-7446,cbs,창녕군청,화,,"[('추가접종 예약없이 당일 접종', 0.4624)]"
2023/01/30 17:59:58,67,경상남도 창녕군,192373,1.30.(월) 18시 기준 확진자 17명▶개인 방역수칙 준수 ▶코로나19 2가백신 추가접종 예약없이 당일 접종 가능 ☎ 530-7446,cbs,창녕군청,월,,"[('추가접종 예약없이 당일', 0.3952)]"
2023/01/29 18:00:09,67,경상남도 창녕군,192298,1.29.(일) 18시 기준 확진자 6명 ▶개인 방역수칙 준수 ▶코로나19 2가백신 추가접종 예약없이 당일 접종 가능 ☎ 530-7446,cbs,창녕군청,일,,"[('확진자 6명 개인', 0.4654)]"
2023/01/28 18:00:00,67,경상남도 창녕군,192218,1.28.(토) 18시 기준 확진자 14명▶개인 방역수칙 준수 ▶코로나19 2가백신 추가접종 예약없이 당일 접종 가능 ☎ 530-7446,cbs,창녕군청,토,,"[('기준 확진자 14명', 0.4434)]"
2023/01/27 17:59:58,67,경상남도 창녕군,192118,1.27.(금) 18시 기준 확진자 20명▶개인 방역수칙 준수 ▶코로나19 2가백신 추가접종 예약없이 당일 접종 가능 ☎ 530-7446,cbs,창녕군청,금,,"[('기준 확진자 20명', 0.4115)]"
2023/01/26 18:00:15,67,경상남도 창녕군,191991,1.26.(목) 18시 기준 확진자 28명▶개인 방역수칙 준수 ▶코로나19 2가백신 추가접종 예약없이 당일 접종 가능 ☎ 530-7446,cbs,창녕군청,목,,"[('확진자 28명 개인', 0.4913)]"
2023/01/25 17:59:59,67,경상남도 창녕군,191844,1.25.(수) 18시 기준 확진자 18명▶개인 방역수칙 준수 ▶코로나19 2가백신 추가접종 예약없이 당일 접종 가능 ☎ 530-7446,cbs,창녕군청,수,,"[('접종 가능 530 7446', 0.4622)]"
2023/01/24 18:00:47,67,경상남도 창녕군,191704,1.24.(화)18시 기준 확진자 12명 ▶설연휴 원스톱진료기관 및 담당약국 운영현황: https://url.kr/nr2k8a,cbs,창녕군청,화,,"[('원스톱진료기관 담당약국', 0.4846)]"
