create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/28 10:00:08,"7586,7615","충청남도 천안시 동남구,충청남도 천안시 서북구",205767,"추석 연휴기간 운영하는 의료기관, 약국 안내드립니다. https://blog.naver.com/fastcheonan/223221953898",cbs,천안시청,,,"[('blog naver com fastcheonan', 0.3749)]"
2023/09/27 18:02:21,"7586,7615","충청남도 천안시 동남구,충청남도 천안시 서북구",205753,추석 연휴 기간 운영하는 의료기관과 약국을 안내드립니다. https://blog.naver.com/fastcheonan/223221953898,cbs,천안시청,,,"[('안내드립니다 https blog', 0.5634)]"
2023/07/15 14:36:41,"7586,7615","충청남도 천안시 동남구,충청남도 천안시 서북구",197897,"목천읍 동리교 옆(국립중앙청소년수련원 인근) 삼방로 약 100m구간 하천제방 유실로 도로통제하니, 우회하여 주시기 바랍니다.",cbs,천안시청,국립중앙청소년수련원 인근,,"[('유실로 도로통제하니 우회하여 주시기', 0.6085)]"
2023/02/28 10:41:09,234,충청남도 천안시,193209,"1.30.부터 실내마스크 착용 권고로 전환 되었습니다 ▲다수가 밀집한 상황에서 함성, 합창, 대화등 비말생성 행위가 많은 경우 마스크착용 권고 합니다",cbs,천안시청,,,"[('합창 대화등 비말생성 행위가', 0.5597)]"
2023/02/21 11:05:44,234,충청남도 천안시,193122,"1.30. 부터 실내마스크 착용 권고로 전환 되었습니다. ▲ 단 의료기관, 약국, 대중교통, 입소형 감염취약시설은 착용 의무 유지 됩니다.",cbs,천안시청,,,"[('부터 실내마스크 착용 권고로', 0.632)]"
2023/02/17 15:51:28,234,충청남도 천안시,193080,"1.30.부터 실내마스크 착용 권고로 전환 되었습니다 올바른 손 씻기, 기침예절, 주기적 환기로 감염병 예방에 함께해 주세요.",cbs,천안시청,,,"[('감염병 예방에', 0.5463)]"
2023/02/14 11:34:52,234,충청남도 천안시,193009,"1.30.부터 실내 마스크 착용 권고로 전환 되었습니다. ▲3밀(밀폐 ,밀집, 밀접)실내 환경에 있는 경우는 마스크 착용 적극 권고 드립니다.",cbs,천안시청,"밀폐 ,밀집, 밀접",,"[('밀집 밀접 실내', 0.5821)]"
2023/02/10 16:10:25,234,충청남도 천안시,192909,"23. 1. 30. 부터 실내마스크 착용 권고로 전환 되었습니다. ▲ 단, 의료기관, 약국, 대중교통, 입소형 감염취약시설은 착용 의무 유지 됩니다.",cbs,천안시청,,,"[('실내마스크 착용', 0.6738)]"
2023/02/07 09:52:48,234,충청남도 천안시,192775,"1. 30. 부터 실내마스크 착용 권고 ▲ 단, 의료기관, 약국, 대중교통, 입소형 감염취약시설은 착용 의무 유지 됩니다.",cbs,천안시청,,,"[('감염취약시설은 착용 의무', 0.5843)]"
2023/02/04 12:05:46,234,충청남도 천안시,192655,"1.30.(월)부터 실내 마스크 착용 권고 ▲단, 병원·의원·약국·보건소, 요양병원시설, 대중교통은 의무 유지바랍니다.",cbs,천안시청,월,,"[('요양병원시설 대중교통은 의무 유지바랍니다', 0.464)]"
