create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/06 16:09:59,14,강원특별자치도 철원군,206556,"금일 21시부로 강풍·한파주의보 발효. 강한 비바람이 예상되며, 강풍에 인한 피해가 없도록 농작물·농축산시설·부속물 고정으로 안전에 유의하시기 바랍니다",cbs,철원군,,,"[('농작물 농축산시설', 0.6861)]"
2023/08/11 10:53:00,14,강원특별자치도 철원군,203050,"태풍 카눈 북상 이후 강풍에 따른 외출자제, 간판 및 창문 고정, 농작물 및 비닐하우스 등 시설물 피해 주의, 하천 접근금지 등 안전에 주의 바랍니다.",cbs,철원군,,,"[('고정 농작물 비닐하우스 시설물', 0.6579)]"
2023/08/10 09:55:55,14,강원특별자치도 철원군,202554,"태풍주의보 발효로 많은 비와 강풍이 예상되오니 외출자제,하천변,산간계곡 등 위험지역 출입금지, 옥외시설물 고정 등 안전에 유의하시기 바랍니다.",cbs,철원군,,,"[('강풍이 예상되오니', 0.5962)]"
2023/08/09 17:14:13,14,강원특별자치도 철원군,202110,"태풍 카눈 북상으로 강한 바람과 많은 비가 예상됩니다. 간판, 창문 등 시설물 사전점검하여 주시고, 위험지역 접근자제 등 안전에 유의바랍니다.",cbs,철원군,,,"[('카눈 북상으로', 0.6721)]"
2023/08/08 13:30:32,14,강원특별자치도 철원군,201737,"태풍 북상에 따라 10~11일 많은 비와 강풍이 예상되오니, 주변 배수로 정비, 옥외시설물 및 농업시설물 고정 등 태풍대비에 철저를 기해주시기 바랍니다",cbs,철원군,,,"[('태풍 북상에 따라', 0.5562)]"
2023/08/05 14:04:47,14,강원특별자치도 철원군,201268,"현재 폭염이 지속되고 있습니다. 야외활동자제(논밭, 공사장 등)충분한 물 마시기와 휴식으로 건강에 유의 하시기 바랍니다.",cbs,철원군,"논밭, 공사장 등",,"[('현재 폭염이', 0.6175)]"
2023/07/26 10:00:11,14,강원특별자치도 철원군,199800,강우가 지속되고 있으니 산사태 및 상습침수 위험지역 주민은 비상시 인근 마을회관 등 안전한 곳으로 대피하시기 바랍니다.,cbs,철원군,,,"[('상습침수 위험지역', 0.7202)]"
2023/07/22 17:34:27,14,강원특별자치도 철원군,199354,"오늘 밤12시부터 많은 비가 예상되오니, 계곡 및 하천변 야영객들께서는 즉시 해당 지역을 벗어나 안전한 곳으로 대피하여 주시기 바랍니다",cbs,철원군,,,"[('즉시 해당 지역을 벗어나', 0.7077)]"
2023/07/09 09:44:37,14,강원특별자치도 철원군,196644,"오늘 08시 호우주의보 발효에 따라 저지대, 침수 우려지역 등 위험지역에서는 가족, 이웃과 정보를 공유하고 안전한 곳으로 대피하시기 바랍니다.",cbs,철원군,,,"[('공유하고 안전한 곳으로 대피하시기', 0.5941)]"
2023/06/09 23:49:33,14,강원도 철원군,195473,경기북부 인근지역 새벽시간에 많은 비가 예상됩니다. 둔치주차장 주차차량은 즉시 이동해주시고 하천변 계곡 등 야영객은 철수하시기 바랍니다.,cbs,철원군,,,"[('즉시 이동해주시고', 0.7598)]"
