create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/08/30 15:06:07,94,경상북도 청도군,204673,※현재대비 하류하천 최대 1.52m 상승 예상 ※수문 및 기상상황에 따라 탄력적 시행예정,cbs,청도군,,,"[('최대 52m', 0.4308)]"
2023/08/30 15:05:52,94,경상북도 청도군,204672,인명 및 시설물 피해가 없도록 대비하여 주시기 바랍니다. -방류일시 : 2023.08.30. 15:00~ -방류량 : 최대 200톤/초,cbs,청도군,,,"[('피해가 없도록', 0.6023)]"
2023/08/30 15:05:31,94,경상북도 청도군,204671,8.28.(월)~8.30.(수) 집중호우에 따라 운문댐의 홍수조절을 위해 수문방류됨을 알려드립니다. 방류기간 중 하류 하천수위상승이 예상되오니,cbs,청도군,월,,"[('수문방류됨을 알려드립니다', 0.5358)]"
2023/08/10 14:44:37,94,경상북도 청도군,202868,-월류량 : 최대 400㎥/s(방류량 150㎥/s 포함),cbs,청도군,방류량 150㎥/s 포함,,"[('400 방류량 150', 0.2549)]"
2023/08/10 14:44:17,94,경상북도 청도군,202867,"운문댐의 여수로 자연월류가 예상됨을 알려드리오니, 인명 및 시설물 피해가 없도록 대비하여 주시기 바랍니다. -월류예상일시 : 23.8.10. 15:00~",cbs,청도군,,,"[('시설물 피해가 없도록', 0.6764)]"
2023/08/10 14:09:07,94,경상북도 청도군,202832,태풍 '카눈'의 영향으로 운문댐 수위가 상승하여 자연월류로 인한 방류량 증가 및 급격한 하천수위 상승이 예상되니 인명·시설물 피해에 대비하시기 바랍니다.,cbs,청도군,,,"[('영향으로 운문댐', 0.4164)]"
2023/08/10 11:07:00,94,경상북도 청도군,202661,"청도지역 주민들은 홍수상황을 예의주시하시고, 하천변 이용을 자제하는 등 유의하시기 바랍니다.",cbs,청도군,,,"[('홍수상황을 예의주시하시고', 0.6486)]"
2023/08/10 11:06:38,94,경상북도 청도군,202660,"오늘 12:00 낙동강 밀양시(용평동)지점 홍수주의보 발령. 주의보수위(수위표기준3.50m,해발기준 14,650m)를 초과할 것이 예상되오니,",cbs,청도군,용평동,,"[('650m 초과할', 0.6414)]"
2023/08/10 07:45:34,94,경상북도 청도군,202401,"8월 10일 07:30 기준 태풍경보 발효. 새벽부터 강한 비가 내리니 하천변,산간계곡,저지대 등 위험지역 출입금지 및 외출자제하여 주시기 바랍니다.",cbs,청도군,,,"[('강한 비가 내리니', 0.6139)]"
2023/08/09 23:33:25,94,경상북도 청도군,202278,"8월 10일 00:00 기준 태풍주의보 발효. 새벽부터 강한 비가 예상되오니 하천변, 산간계곡, 저지대 등 위험지역 출입을 금해주기 바랍니다.",cbs,청도군,,,"[('예상되오니 하천변 산간계곡 저지대', 0.6241)]"
