create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/08/08 18:07:22,94,경상북도 청도군,201811,"제6호 태풍 카눈 북상에 따른 강풍 및 많은 비가 예상됩니다. 주변 배수로 및 지붕 등을 점검하시고 옥외 간판, 화분 등을 고정하여 주시기 바랍니다.",cbs,청도군청,,,"[('고정하여 주시기', 0.6996)]"
2023/08/08 14:05:58,94,경상북도 청도군,201754,방류개시시간 : 23.08.08.16시 이후 / 방류량 : 최대 200㎥/초 이내 현재 대비 하류하천 최대 1.05m 상승예상,cbs,청도군청,,,"[('이후 방류량 최대 200', 0.5551)]"
2023/08/08 14:05:29,94,경상북도 청도군,201753,6호 태풍 '카눈'의 북상에 따라 운문댐의 홍수조절을 위한 댐 수문방류 계획을 안내드리오니 인명 및 시설물 피해가 없도록 대비하여 주시기 바랍니다.,cbs,청도군청,,,"[('북상에 따라 운문댐의', 0.509)]"
2023/07/31 09:22:59,94,경상북도 청도군,200417,"현재 폭염경보 발효중. 무더위 시간대(12~17시) 야외활동·고령층 영농작업 자제 및 폭염안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.",cbs,청도군청,12~17시,,"[('휴식 지키기 안전에', 0.6288)]"
2023/07/21 14:17:35,94,경상북도 청도군,199109,"금일 14시 10분 청도군 호우주의보 발효. 강한 집중호우가 예상되오니 하천변, 산간계곡 등 위험지역 접근금지 및 안전한 곳으로 이동바랍니다.",cbs,청도군청,,,"[('위험지역 접근금지 안전한', 0.7171)]"
2023/07/18 13:26:30,94,경상북도 청도군,198643,"(일자정정)운문댐 방류일시: '23.07.18,16:00~, 방류량: 최대 200㎡/초 이내, 현재 대비 하류하천 최대 1.05m 상승 예상",cbs,청도군청,일자정정,,"[('이내 현재 대비', 0.5944)]"
2023/07/18 13:22:22,94,경상북도 청도군,198642,"방류일시: 23.07.17, 16:00~, 방류량: 최대 200m/초 이내, 현재 대비 하류하천 최대 1.05㎡ 상승예상.",cbs,청도군청,,,"[('하류하천 최대', 0.5614)]"
2023/07/18 13:21:02,94,경상북도 청도군,198641,청도군 운문댐 수문방류 실시안내. 운문댐의 홍수조절을 위한 댐 수문 방류 계획을 안내 드리오니 인명 및 시설물 피해가 없도록 대비하여 주시기 바랍니다.,cbs,청도군청,,,"[('안내 드리오니', 0.6963)]"
2023/07/18 13:17:19,94,경상북도 청도군,198638,"청도군 호우경보 발효중. 금일 오후부터 새벽까지 강한 집중호우가 예상되오니 하천변, 산간계곡 등 위험지역 접근금지 및 안전한 곳으로 이동바랍니다.",cbs,청도군청,,,"[('위험지역 접근금지 안전한 곳으로', 0.7661)]"
2023/07/16 13:03:35,94,경상북도 청도군,198233,"아울러, 기상특보상황이 종료될 때까지 안전에 특히 유의해주실 것을 당부드립니다. - 청도군 재난안전대책본부 -",cbs,청도군청,,,"[('아울러 기상특보상황이', 0.595)]"
2023/07/16 13:02:57,94,경상북도 청도군,198232,"잦은 비로 약해진 산비탈 및 축대 등의 산사태 우려시 신속하게 마을회관(경로당), 친척집 등 대피에 적극 협조해주시기 바랍니다.",cbs,청도군청,경로당,,"[('신속하게 마을회관 경로당 친척집', 0.7415)]"
2023/07/16 13:02:27,94,경상북도 청도군,198231,앞으로 50~100mm의 강한 비가 예보되고 있어 각별한 주의가 요구되는 상황입니다. 군민께서는 기상상황에 예의주시 및 호우시 가급적 이동을 자제바라며,cbs,청도군청,,,"[('군민께서는 기상상황에 예의주시', 0.4568)]"
