create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/17 16:55:27,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",206778,"오늘 23시까지 청주지역에 많은 눈 예상, 도로 결빙으로 미끄럼 사고 우려되니 퇴근 시 대중교통 이용 및 운전시 저속 운행 바랍니다.",cbs,청주시,,,"[('대중교통 이용 운전시', 0.6906)]"
2023/09/20 19:20:28,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",205497,"오늘 19시10분 청주지역 호우경보 발효. 저지대, 침수 우려지역 등 위험지역에서는 가족, 이웃과 정보를 공유하고 안전한 곳으로 대피하시기 바랍니다.",cbs,청주시,,,"[('침수 우려지역 위험지역에서는', 0.675)]"
2023/09/16 16:51:41,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",205235,"현재 많은 비가 내리고 있습니다. 하천변 산책로, 산간계곡은 범람이나 급류 휩쓸림 사고의 위험이 있으니 가까이 접근하지 마세요.",cbs,청주시,,,"[('있습니다 하천변', 0.715)]"
2023/08/31 06:54:09,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",204709,2023.08.31.(목) 07:00 무심천 하상도로 통행 제한 해제되었음을 알려드립니다.,cbs,청주시,목,,"[('통행 제한', 0.4612)]"
2023/08/30 15:40:35,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",204678,"2023.08.30.(수) 15:45 호우로 인한 무심천 하상도로 통제, 차량은 우회하여 주시기 바랍니다.",cbs,청주시,수,,"[('하상도로 통제', 0.4774)]"
2023/08/27 10:01:15,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",204484,물놀이 안전수칙 준수 ▲구명조끼 착용 ▲충분한 준비운동 ▲음주수영 금지 ▲야간수영 금지 ▲어린이는 보호자와 함께 물놀이,cbs,청주시,,,"[('준수 구명조끼 착용 충분한', 0.761)]"
2023/08/26 11:06:35,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",204467,물놀이 안전수칙 준수 ▲구명조끼 착용 ▲충분한 준비운동 ▲음주수영 금지 ▲야간수영 금지 ▲어린이는 보호자와 함께 물놀이,cbs,청주시,,,"[('준수 구명조끼 착용 충분한', 0.761)]"
2023/08/24 23:14:52,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",204427,오늘 23시 청주지역 호우주의보 해제,cbs,청주시,,,"[('오늘 23시', 0.5919)]"
2023/08/24 21:36:45,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",204423,"오늘 21시30분 청주지역 호우주의보 발효. 저지대, 침수 우려지역 등 위험지역에서는 가족, 이웃과 정보를 공유하고 안전한 곳으로 대피하시기 바랍니다.",cbs,청주시,,,"[('공유하고 안전한', 0.6597)]"
2023/08/23 10:38:50,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",204120,2023.8.23. 08:34경 청주시 흥덕구 비하동 614-4 번지 탱크로리(과산화수소) 전도로 인한 사고조치 완료(과산화수소 누출 없음),cbs,청주시,과산화수소,,"[('번지 탱크로리', 0.5435)]"
2023/08/23 09:38:20,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",204091,"08:34경 흥덕구 비하동 614-4 번지 서청주교 사거리에서 탱크로리(과산화수소) 전복, 과산화수소 누출 우려, 인근 주민은 안전에 유의바랍니다.",cbs,청주시,과산화수소,,"[('서청주교 사거리에서', 0.6085)]"
2023/08/23 09:21:30,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",204085,"08:34경 흥덕구 비하동 614-4 번지 서청주교 사거리에서 탱크로리(과산화수소) 전복, 과산화수소 누출 우려,차량은 우회 바랍니다.",cbs,청주시,과산화수소,,"[('서청주교 사거리에서', 0.5764)]"
2023/08/22 10:09:19,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",203937,물놀이 안전수칙 준수 ▲구명조끼 착용 ▲충분한 준비운동 ▲음주수영 금지 ▲야간수영 금지 ▲어린이는 보호자와 함께 물놀이,cbs,청주시,,,"[('준수 구명조끼 착용 충분한', 0.761)]"
2023/08/21 10:00:51,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",203855,물놀이 안전수칙 준수 ▲구명조끼 착용 ▲충분한 준비운동 ▲음주수영 금지 ▲야간수영 금지 ▲어린이는 보호자와 함께 물놀이,cbs,청주시,,,"[('준수 구명조끼 착용 충분한', 0.761)]"
2023/08/20 10:00:05,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",203743,물놀이 안전수칙 준수 ▲구명조끼 착용 ▲충분한 준비운동 ▲음주수영 금지 ▲야간수영 금지 ▲어린이는 보호자와 함께 물놀이,cbs,청주시,,,"[('준수 구명조끼 착용 충분한', 0.761)]"
2023/08/19 10:01:10,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",203672,물놀이 안전수칙 준수 ▲구명조끼 착용 ▲충분한 준비운동 ▲음주수영 금지 ▲야간수영 금지 ▲어린이는 보호자와 함께 물놀이,cbs,청주시,,,"[('준수 구명조끼 착용 충분한', 0.761)]"
2023/08/18 10:03:10,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",203583,물놀이 안전수칙 준수 ▲구명조끼 착용 ▲충분한 준비운동 ▲음주수영 금지 ▲야간수영 금지 ▲어린이는 보호자와 함께 물놀이,cbs,청주시,,,"[('준수 구명조끼 착용 충분한', 0.761)]"
2023/08/17 10:01:10,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",203493,물놀이 안전수칙 준수 ▲구명조끼 착용 ▲충분한 준비운동 ▲음주수영 금지 ▲야간수영 금지 ▲어린이는 보호자와 함께 물놀이,cbs,청주시,,,"[('준수 구명조끼 착용 충분한', 0.761)]"
2023/08/16 10:02:23,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",203409,물놀이 안전수칙 준수 ▲구명조끼 착용 ▲충분한 준비운동 ▲음주수영 금지 ▲야간수영 금지 ▲어린이는 보호자와 함께 물놀이,cbs,청주시,,,"[('준수 구명조끼 착용 충분한', 0.761)]"
2023/08/15 10:00:53,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",203302,물놀이 안전수칙 준수 ▲구명조끼 착용 ▲충분한 준비운동 ▲음주수영 금지 ▲야간수영 금지 ▲어린이는 보호자와 함께 물놀이,cbs,청주시,,,"[('준수 구명조끼 착용 충분한', 0.761)]"
2023/08/14 10:01:18,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",203205,물놀이 안전수칙 준수 ▲구명조끼 착용 ▲충분한 준비운동 ▲음주수영 금지 ▲야간수영 금지 ▲어린이는 보호자와 함께 물놀이,cbs,청주시,,,"[('준수 구명조끼 착용 충분한', 0.761)]"
2023/08/13 11:01:37,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",203130,물놀이 안전수칙 준수 ▲구명조끼 착용 ▲충분한 준비운동 ▲음주수영 금지 ▲야간수영 금지 ▲어린이는 보호자와 함께 물놀이,cbs,청주시,,,"[('준수 구명조끼 착용 충분한', 0.761)]"
2023/08/10 17:43:53,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",202973,오송지하차도(오송1산단~오송역) 17:20부로 통행 제한 해제하였음을 알려드립니다,cbs,청주시,오송1산단~오송역,,"[('통행 제한', 0.4957)]"
2023/08/10 14:35:43,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",202859,"태풍 북상중, 강풍에 대비하여 간판,베란다 창문 등은 고정, 나뭇가지,낙하물 등에 따른 2차피해 없도록 안전에 주의 바랍니다.",cbs,청주시,,,"[('등에 따른 2차피해 없도록', 0.6778)]"
2023/08/10 11:05:27,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",202657,태풍 경보 발효에 따라 석남천1교 하부도로(서촌동 707-2)를 10:20부로 사전 통제중이니 우회하여 주시기 바랍니다.,cbs,청주시,서촌동 707-2,,"[('사전 통제중이니', 0.5811)]"
2023/08/10 11:02:56,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",202651,태풍 경보 발효에 따라 오송지하차도(오송1산단~오송역)를 10:10부로 사전통제중이니 우회하여 주시기 바랍니다.,cbs,청주시,오송1산단~오송역,,"[('사전통제중이니 우회하여', 0.6119)]"
2023/08/09 15:57:24,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",202053,"08.09.(수) 16:00~ 태풍 북상중,선제적으로 하상도로 통제 하오니 차량은 우회하여 주시기 바랍니다.",cbs,청주시,수,,"[('00 태풍 북상중 선제적으로', 0.4994)]"
2023/08/09 10:03:01,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",201873,물놀이 안전수칙 준수 ▲구명조끼 착용 ▲충분한 준비운동 ▲음주수영 금지 ▲야간수영 금지 ▲어린이는 보호자와 함께 물놀이,cbs,청주시,,,"[('준수 구명조끼 착용 충분한', 0.761)]"
