create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/16 09:20:49,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",205143,"상당구 월오~가덕 구간 집중호우로 인한 통제중이니 남일면,낭성면 방면으로 우회하시기 바랍니다.",cbs,청주시청,,,"[('집중호우로 인한 통제중이니 남일면', 0.6439)]"
2023/08/24 21:05:38,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",204421,"오늘 20시30분 충북(청주) 호우경보 발효. 산사태ㆍ상습침수 등 위험지역 대피, 외출자제 등 안전에 주의바랍니다.",cbs,청주시청,청주,,"[('위험지역 대피 외출자제 안전에', 0.6429)]"
2023/08/09 20:45:05,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",202218,상당구 문의면 문의대교~현도면 오가삼거리 구간 태풍 피해 예방을 위해 선제적으로 통제예정(22:00)이오니 우회하시기 바랍니다.,cbs,청주시청,22:00,,"[('22 00 이오니', 0.5982)]"
2023/08/09 20:44:35,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",202217,상당구 월오~가덕 구간 태풍 피해 예방을 위해 선제적으로 통제예정(22:00)이오니 우회하시기 바랍니다.,cbs,청주시청,22:00,,"[('선제적으로 통제예정', 0.5484)]"
2023/08/09 17:44:15,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",202130,"08.09.(수) 태풍 북상중,현재 선제적으로 무심천 하상도로 통제중이니 차량은 우회하여 주시기 바랍니다.",cbs,청주시청,수,,"[('선제적으로 무심천', 0.4737)]"
2023/08/09 16:08:19,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",202064,"태풍 북상중,배수로 막힘 등 사고 예방을 위해 8.9.(수)~8.10.(목) 폐기물(쓰레기봉투, 재활용품 등)배출을 자제하여 주시기 바랍니다",cbs,청주시청,수,,"[('막힘 사고 예방을 위해', 0.522)]"
2023/08/09 12:11:29,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",201939,"청주시 폭염주의보 발효중. 낮시간대 야외활동 자제하여 주시고, 충분한 수분섭취와 그늘에서 휴식을 취하시기 바랍니다.",cbs,청주시청,,,"[('수분섭취와 그늘에서 휴식을', 0.7006)]"
2023/08/08 12:37:56,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",201718,"청주시 폭염경보 발효중. 낮시간대 야외활동 자제하여 주시고, 충분한 수분섭취와 그늘에서 휴식을 취하시기 바랍니다.",cbs,청주시청,,,"[('수분섭취와 그늘에서 휴식을 취하시기', 0.6983)]"
2023/08/07 12:01:35,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",201567,청주시 폭염경보 발효중. 논밭작업 및 공사장 등 야외활동을 자제하여 주시고 충분한 휴식과 수분섭취로 안전에 유의하시기 바랍니다.,cbs,청주시청,,,"[('논밭작업 공사장 야외활동을 자제하여', 0.786)]"
2023/08/06 12:00:40,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",201407,청주시 폭염경보 발효중. 논밭작업 및 공사장 등 야외활동을 자제하여 주시고 충분한 휴식과 수분섭취로 안전에 유의하시기 바랍니다.,cbs,청주시청,,,"[('논밭작업 공사장 야외활동을 자제하여', 0.786)]"
