create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/07/23 07:44:52,15,강원특별자치도 춘천시,199428,춘천댐 입구 삼거리 도로 임시복구완료 1차선 운행가능 합니다.,cbs,춘천시청,,,"[('삼거리 도로', 0.558)]"
2023/07/22 15:53:10,15,강원특별자치도 춘천시,199337,"춘천댐 입구 삼거리 도로 붕괴로 인해 5번국도 전면통제하오니, 이용차량은407지방도로 우회하여 주시기 바랍니다.",cbs,춘천시청,,,"[('입구 삼거리', 0.6427)]"
2023/07/13 13:26:11,15,강원특별자치도 춘천시,197075,"금일 집중호우가 예상됩니다. 퇴계천, 공지천, 만천천 등 수변 산책로 접근을 금지하여 주시기 바랍니다.",cbs,춘천시청,,,"[('금일 집중호우가', 0.7995)]"
2023/07/01 11:41:28,15,강원특별자치도 춘천시,196273,"폭염특보가 발효중입니다. 야외활동 자제, 물충분히 마시기, 그늘 실내에서 휴식 등 건강에 유의바랍니다.",cbs,춘천시청,,,"[('그늘 실내에서 휴식 건강에', 0.6839)]"
2023/06/29 15:44:19,15,강원특별자치도 춘천시,196153,"호우경보 발효중입니다. 19시부터 의암댐, 춘천댐 방류량이 증가하니 댐 하류지역 주민분들께서는 피해 없도록 대비하시기 바랍니다.",cbs,춘천시청,,,"[('발효중입니다 19시부터', 0.6573)]"
2023/06/17 12:23:06,15,강원특별자치도 춘천시,195671,"금일 폭염주의보 발효중으로 야외활동을 자제해 주시고 물 충분히 마시기, 그늘·실내에서 휴식 등 안전관리에 유의하여 주시기 바랍니다.",cbs,춘천시청,,,"[('금일 폭염주의보 발효중으로 야외활동을', 0.6858)]"
2023/02/03 10:03:58,15,강원도 춘천시,192591,02.03.(금) 0시 기준 확진자 52명 ▲코로나19 검사 및 진료 의료기관 안내 covid.chuncheon.go.kr ☎033-250-4688,cbs,춘천시청,금,,"[('기준 확진자 52명', 0.467)]"
2023/02/02 10:02:14,15,강원도 춘천시,192543,02.02.(목) 0시 기준 확진자 73명 ▲12세이상 동절기 추가접종 ▲사전예약 ncvr.kdca.go.kr ☎033-245-5900,cbs,춘천시청,목,12세,"[('사전예약 ncvr', 0.4629)]"
2023/02/01 10:18:47,15,강원도 춘천시,192478,02.01.(수) 0시 기준 확진자 109명 ▲코로나19 검사 및 진료 의료기관 안내 covid.chuncheon.go.kr ☎033-250-4688,cbs,춘천시청,수,,"[('기준 확진자 109명 코로나19', 0.4526)]"
2023/01/31 10:06:34,15,강원도 춘천시,192403,01.31.(화) 0시 기준 확진자 92명 ▲12세이상 동절기 추가접종 ▲사전예약 ncvr.kdca.go.kr ☎033-245-5900,cbs,춘천시청,화,12세,"[('0시 기준 확진자', 0.475)]"
2023/01/30 10:12:54,15,강원도 춘천시,192337,01.30.(월) 0시 기준 확진자 60명 ▲코로나19 검사 및 진료 의료기관 안내 covid.chuncheon.go.kr ☎033-250-4688,cbs,춘천시청,월,,"[('0시 기준', 0.5001)]"
2023/01/29 10:22:37,15,강원도 춘천시,192254,01.29.(일) 0시 기준 확진자 71명 ▲12세이상 동절기 추가접종 ▲사전예약 ncvr.kdca.go.kr ☎033-245-5900,cbs,춘천시청,일,12세,"[('01 29 0시', 0.4711)]"
2023/01/28 10:11:31,15,강원도 춘천시,192178,01.28.(토) 0시 기준 확진자 128명 ▲코로나19 검사 및 진료 의료기관 안내 covid.chuncheon.go.kr ☎033-250-4688,cbs,춘천시청,토,,"[('확진자 128명', 0.4713)]"
2023/01/27 10:11:21,15,강원도 춘천시,192052,01.27.(금) 0시 기준 확진자 177명 ▲12세이상 동절기 추가접종 ▲사전예약 ncvr.kdca.go.kr ☎033-245-5900,cbs,춘천시청,금,12세,"[('kr 033 245', 0.5147)]"
2023/01/26 10:14:00,15,강원도 춘천시,191934,01.26.(목) 0시 기준 확진자 189명 ▲코로나19 검사 및 진료 의료기관 안내 covid.chuncheon.go.kr ☎033-250-4688,cbs,춘천시청,목,,"[('189명 코로나19', 0.5156)]"
2023/01/25 10:08:30,15,강원도 춘천시,191793,01.25.(수) 0시 기준 확진자 78명 ▲12세이상 동절기 추가접종 ▲사전예약 ncvr.kdca.go.kr ☎033-245-5900,cbs,춘천시청,수,12세,"[('사전예약 ncvr', 0.4539)]"
2023/01/24 10:04:53,15,강원도 춘천시,191596,01.24.(화) 0시 기준 확진자 51명 ▲코로나19 검사 및 진료 의료기관 안내 covid.chuncheon.go.kr ☎033-250-4688,cbs,춘천시청,화,,"[('chuncheon kr 033 250', 0.4708)]"
2023/01/23 10:14:35,15,강원도 춘천시,191347,01.23.(월) 0시 기준 확진자 77명 ▲12세이상 동절기 추가접종 ▲사전예약 ncvr.kdca.go.kr ☎033-245-5900,cbs,춘천시청,월,12세,"[('23 0시 기준', 0.456)]"
2023/01/22 10:29:52,15,강원도 춘천시,191256,01.22.(일) 0시 기준 확진자 94명 ▲코로나19 검사 및 진료 의료기관 안내 covid.chuncheon.go.kr ☎033-250-4688,cbs,춘천시청,일,,"[('기준 확진자 94명', 0.468)]"
2023/01/21 10:10:06,15,강원도 춘천시,191148,01.21.(토) 0시 기준 확진자 142명 ▲12세이상 동절기 추가접종 ▲사전예약 ncvr.kdca.go.kr ☎033-245-5900,cbs,춘천시청,토,12세,"[('21 0시 기준', 0.4432)]"
2023/01/20 10:28:07,15,강원도 춘천시,191007,01.20.(금) 0시 기준 확진자 144명 ▲코로나19 검사 및 진료 의료기관 안내 covid.chuncheon.go.kr ☎033-250-4688,cbs,춘천시청,금,,"[('0시 기준', 0.4835)]"
2023/01/19 10:14:18,15,강원도 춘천시,190887,01.19.(목) 0시 기준 확진자 192명 ▲12세이상 동절기 추가접종 ▲사전예약 ncvr.kdca.go.kr ☎033-245-5900,cbs,춘천시청,목,12세,"[('확진자 192명', 0.4996)]"
2023/01/18 10:04:20,15,강원도 춘천시,190755,01.18.(수) 0시 기준 확진자 248명 ▲코로나19 검사 및 진료 의료기관 안내 covid.chuncheon.go.kr ☎033-250-4688,cbs,춘천시청,수,,"[('248명 코로나19', 0.529)]"
2023/01/17 10:02:34,15,강원도 춘천시,190626,01.17.(화) 0시 기준 확진자 178명 ▲12세이상 동절기 추가접종 ▲사전예약 ncvr.kdca.go.kr ☎033-245-5900,cbs,춘천시청,화,12세,"[('0시 기준 확진자', 0.4694)]"
2023/01/16 10:03:34,15,강원도 춘천시,190493,01.16.(월) 0시 기준 확진자 145명 ▲코로나19 검사 및 진료 의료기관 안내 covid.chuncheon.go.kr ☎033-250-4688,cbs,춘천시청,월,,"[('145명 코로나19', 0.4896)]"
