create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/24 17:15:04,231,충청남도 아산시,206982,"아산시에서 배회중인 박양기씨(남, 72세)를 찾습니다 -170cm,60kg, 파랑패딩,카키색등산바지,검정운동화 vo.la/taKBe / ☎182",cbs,충남경찰청,"남, 72세",72세,"[('파랑패딩 카키색등산바지 검정운동화', 0.4721)]"
2023/11/24 17:14:15,"7586,7615","충청남도 천안시 동남구,충청남도 천안시 서북구",206981,"천안시에서 실종된 박양기씨(남, 72세)를 찾습니다 -170cm,60kg, 파랑패딩, 카키색등산바지, 검정운동화 vo.la/taKBe / ☎182",cbs,충남경찰청,"남, 72세",72세,"[('천안시에서 실종된 박양기씨', 0.4969)]"
2023/11/24 08:43:41,229,충청남도 서산시,206967,"서산시에서 목격된 김계현씨(남,60세)를 찾습니다 -180cm,85kg,파란패딩,밀리터리회색바지,회색모자,지팡이 vo.la/ZchnC / ☎182",cbs,충남경찰청,"남,60세",60세,"[('서산시에서 목격된 김계현씨', 0.5751)]"
2023/11/23 20:00:40,236,충청남도 태안군,206951,"태안군에서 실종된 김계현씨(남,60세)를 찾습니다 -180cm,85kg,파란패딩,밀리터리회색바지,회색모자,지팡이 vo.la/ZchnC / ☎182",cbs,충남경찰청,"남,60세",60세,"[('회색모자 지팡이 vo la', 0.5486)]"
2023/11/21 19:25:38,"7586,7615","충청남도 천안시 동남구,충청남도 천안시 서북구",206901,"천안시에서 실종된 이시우씨(남, 73세)를 찾습니다- 175cm, 63kg, 파랑후드패딩점퍼,검정바지,검정운동화 vo.la/grXyQ / ☎182",cbs,충남경찰청,"남, 73세",73세,"[('파랑후드패딩점퍼 검정바지', 0.427)]"
2023/11/21 16:27:24,"7586,7615","충청남도 천안시 동남구,충청남도 천안시 서북구",206899,"경찰은 천안시에서 실종된 이관복씨(남, 51세)를 찾습니다- 170cm, 65kg, 검정점퍼,검정바지,검정신발 vo.la/PJWOE / ☎182",cbs,충남경찰청,"남, 51세",51세,"[('170cm 65kg', 0.5467)]"
2023/11/20 19:44:35,231,충청남도 아산시,206892,"아산시에서 실종된 최청길씨(남,57세)를 찾습니다 -170cm,80kg,파란색겨울점퍼,검정바지,운동화,절름걸이 vo.la/kbYyz / ☎182",cbs,충남경찰청,"남,57세",57세,"[('검정바지 운동화', 0.4688)]"
2023/11/19 16:15:11,226,충청남도 당진시,206873,"당진시에서 실종된 주옥수씨(남,78세)를 찾습니다-160cm,60kg,체격왜소,회색상하의,검정신발(분홍색끈) vo.la/rtsjk / ☎182",cbs,충남경찰청,"남,78세",78세,"[('160cm 60kg', 0.5224)]"
2023/11/18 18:49:25,229,충청남도 서산시,206865,"서산시에서 실종된 박신숙씨(여, 81세)를 찾습니다 -156cm, 45kg, 보라색모자, 회색계열잠바, 검정단화 vo.la/yxmhX / ☎182",cbs,충남경찰청,"여, 81세",81세,"[('찾습니다 156cm', 0.5252)]"
2023/11/11 16:36:27,"7586,7615","충청남도 천안시 동남구,충청남도 천안시 서북구",206684,"천안시에서 실종된 노영은씨(여,38세)를 찾습니다 -168cm,50kg,검정패딩,검정바지,흰운동화,노란색가방 vo.la/EGPzo / ☎182",cbs,충남경찰청,"여,38세",38세,"[('흰운동화 노란색가방 vo', 0.4843)]"
2023/11/08 19:58:06,233,충청남도 예산군,206626,"예산군에서 배회중인 김태훈씨(남,22세)를 찾습니다-175cm,90kg,건장한체격,노란색긴팔티,검정바지,짧은머리 vo.la/XkVTH / ☎182",cbs,충남경찰청,"남,22세",22세,"[('90kg 건장한체격 노란색긴팔티 검정바지', 0.4528)]"
2023/11/08 19:57:36,231,충청남도 아산시,206625,"아산시에서 실종된 김태훈씨(남,22세)를 찾습니다 -175cm,90kg,건장한체격,노란색긴팔티,검정바지,짧은머리 vo.la/XkVTH / ☎182",cbs,충남경찰청,"남,22세",22세,"[('노란색긴팔티 검정바지', 0.4981)]"
2023/11/01 19:13:40,"7586,7615","충청남도 천안시 동남구,충청남도 천안시 서북구",206406,"천안시에서 실종된 유택수씨(남,69세)를 찾습니다-173cm,70kg,검정점퍼,회색바지,흰색운동화,검정백팩 vo.la/6suMp / ☎182",cbs,충남경찰청,"남,69세",69세,"[('검정점퍼 회색바지 흰색운동화 검정백팩', 0.441)]"
2023/10/30 17:40:04,235,충청남도 청양군,206371,"청양군에서 배회중인 노재복씨(여,59세)를 찾습니다-148cm,마름,흰색후드자켓,핑크바지,아이보리벙거지,빨강허리가방 vo.la/9KQ1D/ ☎182",cbs,충남경찰청,"여,59세",59세,"[('148cm 마름 흰색후드자켓', 0.5093)]"
2023/10/30 17:36:01,227,충청남도 보령시,206370,"보령시에서 실종된 노재복씨(여,59세)를 찾습니다-148cm,43kg,흰색후드자켓,핑크바지,아이보리벙거지,빨강허리가방 vo.la/9KQ1D/ ☎182",cbs,충남경찰청,"여,59세",59세,"[('흰색후드자켓 핑크바지 아이보리벙거지', 0.5105)]"
2023/10/29 17:12:59,231,충청남도 아산시,206355,"아산시에서 실종된 이진희씨(여, 44세)를 찾습니다- 158cm,55kg,남색줄무늬티,회색바지,분홍슬리퍼,검정양말 vo.la/cfpNy / ☎182",cbs,충남경찰청,"여, 44세",44세,"[('남색줄무늬티 회색바지 분홍슬리퍼', 0.4892)]"
2023/10/28 10:05:05,231,충청남도 아산시,206325,"아산시에서 배회중인 우은채(여, 15세)를 찾습니다 -178cm,75kg, 검정잠바, 하늘색체육복바지, 검정슬리퍼 vo.la/eCsKA / ☎182",cbs,충남경찰청,"여, 15세",15세,"[('하늘색체육복바지 검정슬리퍼 vo', 0.5409)]"
2023/10/28 10:04:06,"7586,7615","충청남도 천안시 동남구,충청남도 천안시 서북구",206324,"천안시에서 실종된 우은채(여, 15세)를 찾습니다 -178cm, 75kg, 검정잠바, 하늘색체육복바지, 검정슬리퍼 vo.la/eCsKA / ☎182",cbs,충남경찰청,"여, 15세",15세,"[('하늘색체육복바지 검정슬리퍼', 0.5412)]"
2023/10/27 19:01:36,"7586,7615","충청남도 천안시 동남구,충청남도 천안시 서북구",206313,"천안시에서 실종된 박예정씨(여,20세)를 찾습니다-168cm,54kg,마른체격,짧은커트머리,검정바람막이,청바지 vo.la/e81uj / ☎182",cbs,충남경찰청,"여,20세",20세,"[('168cm 54kg', 0.5285)]"
2023/10/25 18:31:19,233,충청남도 예산군,206257,"예산군에서 배회중인 전성록씨(남, 75세)를 찾습니다 - 150cm, 회색상의, 쥐색바지, 흰신발, 뒷짐지고 걸음 vo.la/UJ7C6 / ☎182",cbs,충남경찰청,"남, 75세",75세,"[('흰신발 뒷짐지고 걸음 vo', 0.3933)]"
2023/10/25 18:30:49,231,충청남도 아산시,206256,"아산시에서 실종된 전성록씨(남, 75세)를 찾습니다 - 150cm, 회색상의, 쥐색바지, 흰신발, 뒷짐지고 걸음 vo.la/UJ7C6 / ☎182",cbs,충남경찰청,"남, 75세",75세,"[('쥐색바지 흰신발 뒷짐지고 걸음', 0.4243)]"
2023/10/23 17:56:52,231,충청남도 아산시,206209,"아산시에서 실종된 이병옥씨(남, 70세)를 찾습니다- 164cm,53kg,남색티,검정바지,검정운동화,뒷짐걸음,백발 vo.la/7FhSM / ☎182",cbs,충남경찰청,"남, 70세",70세,"[('찾습니다 164cm', 0.4348)]"
2023/10/22 19:57:47,231,충청남도 아산시,206195,"아산시에서 배회중인 신현기씨(남, 54세)를 찾습니다 - 168cm, 50kg, 체크남방셔츠, 청바지, 흰색운동화 vo.la/dOOW7 / ☎182",cbs,충남경찰청,"남, 54세",54세,"[('배회중인 신현기씨', 0.5461)]"
2023/10/22 17:03:55,237,충청남도 홍성군,206184,"홍성군에서 배회중인 신현기씨(남, 54세)를 찾습니다 - 168cm, 50kg, 체크남방셔츠, 청바지, 흰색운동화 vo.la/dOOW7 / ☎182",cbs,충남경찰청,"남, 54세",54세,"[('청바지 흰색운동화 vo la', 0.5304)]"
2023/10/22 17:03:18,"7586,7615","충청남도 천안시 동남구,충청남도 천안시 서북구",206183,"천안시에서 실종된 신현기씨(남, 54세)를 찾습니다 - 168cm, 50kg, 체크남방셔츠, 청바지, 흰색운동화 vo.la/dOOW7 / ☎182",cbs,충남경찰청,"남, 54세",54세,"[('실종된 신현기씨', 0.552)]"
2023/10/17 14:51:09,"7586,7615","충청남도 천안시 동남구,충청남도 천안시 서북구",206106,"천안시에서 배회중인 송승연(여, 17세)을 찾습니다 -164cm,핑크색가디건,흰색긴바지,흰크록스,왼쪽쇄골장미문신 vo.la/PXtfw / ☎182",cbs,충남경찰청,"여, 17세",17세,"[('흰크록스 왼쪽쇄골장미문신 vo', 0.5314)]"
2023/10/16 15:24:14,231,충청남도 아산시,206088,"아산시에서 배회중인 김원세씨(남, 27세)를 찾습니다 -175cm,60kg, 아디다스체육복상의, 청바지,검정운동화 vo.la/om9oK / ☎182",cbs,충남경찰청,"남, 27세",27세,"[('검정운동화 vo la om9ok', 0.4705)]"
2023/10/15 15:26:17,"7586,7615","충청남도 천안시 동남구,충청남도 천안시 서북구",206067,"천안시에서 실종된 이용재씨(남, 49세)를 찾습니다 - 163cm, 75kg, 병원환자복 상하의, 흰색운동화 vo.la/JGLTC / ☎182",cbs,충남경찰청,"남, 49세",49세,"[('병원환자복 상하의 흰색운동화 vo', 0.5096)]"
2023/10/15 09:45:01,225,충청남도 논산시,206056,"논산시에서 실종된 김옥태씨(남,62세)를 찾습니다 -157cm,53kg,회색계통점퍼,초록색계통바지,노란색자전거 vo.la/5dwsQ / ☎182",cbs,충남경찰청,"남,62세",62세,"[('초록색계통바지 노란색자전거 vo', 0.5017)]"
2023/10/11 19:47:23,231,충청남도 아산시,206006,"아산시에서 실종된 나종승씨(남, 94세)를 찾습니다- 160cm, 50kg, 밤색체크무늬상의,검정바지,지팡이 vo.la/L8LZF / ☎182",cbs,충남경찰청,"남, 94세",94세,"[('실종된 나종승씨 94세 찾습니다', 0.478)]"
2023/10/08 19:26:00,250,충청남도 계룡시,205947,"경찰은 계룡시에서 실종된 진영석씨(남, 26세)를 찾습니다- 183cm, 90kg, 검정반팔상의, 검정반바지 vo.la/SBQB1 / ☎182",cbs,충남경찰청,"남, 26세",26세,"[('검정반팔상의 검정반바지 vo la', 0.4891)]"
2023/09/22 18:34:08,225,충청남도 논산시,205651,"논산시에서 실종된 이종옥씨(여,65세)를 찾습니다-147cm,46kg,하늘색조끼,파란색바지,흰색운동화,파란색가방 vo.la/69Moa / ☎182",cbs,충남경찰청,"여,65세",65세,"[('하늘색조끼 파란색바지 흰색운동화 파란색가방', 0.4913)]"
2023/09/20 18:32:20,226,충청남도 당진시,205481,"당진시에서 실종된 박철우씨(남, 58세)를 찾습니다 -180cm,90kg,검정가로줄무늬티,검정긴바지,캐리어 vo.la/LVsPT / ☎182",cbs,충남경찰청,"남, 58세",58세,"[('검정긴바지 캐리어', 0.514)]"
2023/09/19 14:13:16,237,충청남도 홍성군,205362,"홍성군에서 배회중인 김옥임씨(여, 61세)를 찾습니다 - 158cm, 65kg, 베이지색 원피스 vo.la/bS1c9 / ☎182",cbs,충남경찰청,"여, 61세",61세,"[('la bs1c9', 0.4068)]"
2023/09/19 14:08:53,235,충청남도 청양군,205361,"청양군에서 실종된 김옥임씨(여, 61세)를 찾습니다 - 158cm, 65kg, 베이지색 원피스 vo.la/bS1c9 / ☎182",cbs,충남경찰청,"여, 61세",61세,"[('베이지색 원피스', 0.4131)]"
2023/09/18 11:21:30,237,충청남도 홍성군,205336,"경찰은 홍성군에서 실종된 김용자씨(여, 81세)를 찾습니다- 150cm, 42kg, 곱슬머리,보청기,틀니착용 vo.la/AQUPL / ☎182",cbs,충남경찰청,"여, 81세",81세,"[('찾습니다 150cm 42kg', 0.5086)]"
2023/09/18 09:36:48,226,충청남도 당진시,205329,"당진시에서 실종된 김형순씨(남, 46세)를 찾습니다-170cm,80kg,보라색반팔티셔츠,어두운색상긴바지,스포츠머리 vo.la/qCrCf / ☎182",cbs,충남경찰청,"남, 46세",46세,"[('170cm 80kg', 0.5359)]"
2023/09/15 08:36:26,226,충청남도 당진시,205109,"면천면에서 실종된 이석필씨(남, 66세)를 찾습니다 -167cm,안경,모자,꽃무늬반팔, 푸른색체크바지,카키색운동화 vo.la/hKe4m / ☎182",cbs,충남경찰청,"남, 66세",66세,"[('꽃무늬반팔 푸른색체크바지', 0.5611)]"
2023/09/07 09:55:11,227,충청남도 보령시,204952,"보령시에서 실종된 강민영씨(여,25세)를 찾습니다-165cm,50kg,검정반팔,2선검정추리닝바지,노란색캐리어 vo.la/xZiRx / ☎182",cbs,충남경찰청,"여,25세",25세,"[('2선검정추리닝바지 노란색캐리어', 0.5059)]"
2023/09/05 16:00:32,227,충청남도 보령시,204912,"보령시에서 실종된 고호봉씨(여,73세)를 찾습니다 -168cm,반백단발,흰색긴상하의,흰색운동화,검정색핸드백 vo.la/Uxp8b / ☎182",cbs,충남경찰청,"여,73세",73세,"[('반백단발 흰색긴상하의', 0.4493)]"
2023/09/03 09:32:41,226,충청남도 당진시,204844,"당진시에서 실종된 김형순씨(남, 46세)를 찾습니다 -170cm,90kg,녹색반팔,알록달록긴바지,흰신발,스포츠머리 vo.la/fbq3z / ☎182",cbs,충남경찰청,"남, 46세",46세,"[('알록달록긴바지 흰신발 스포츠머리', 0.5418)]"
2023/08/29 20:01:22,231,충청남도 아산시,204582,"아산시에서 배회중인 송태을씨(여, 78세)를 찾습니다 -155cm,44kg, 왜소, 주황색브라우스, 청바지, 모자 vo.la/V0xdL / ☎182",cbs,충남경찰청,"여, 78세",78세,"[('왜소 주황색브라우스 청바지', 0.4278)]"
2023/08/29 20:00:52,"7586,7615","충청남도 천안시 동남구,충청남도 천안시 서북구",204581,"천안시에서 실종된 송태을씨(여, 78세)를 찾습니다 -155cm, 44kg, 왜소, 주황색브라우스, 청바지, 모자 vo.la/V0xdL / ☎182",cbs,충남경찰청,"여, 78세",78세,"[('주황색브라우스 청바지', 0.4445)]"
2023/08/28 18:02:25,225,충청남도 논산시,204526,"논산시에서 실종된 김진국씨(남, 93세)를 찾습니다 -158cm, 회색상의, 검정하의, 머리숱 없는 짧은백발머리 vo.la/XEjjP / ☎182",cbs,충남경찰청,"남, 93세",93세,"[('검정하의 머리숱 없는', 0.5048)]"
2023/08/28 14:03:44,225,충청남도 논산시,204517,"논산시에서 실종된 김진국씨(남, 93세)를 찾습니다 -158cm, 회색상의, 검정하의, 머리숱 없는 짧은 백발 vo.la/XEjjP / ☎182",cbs,충남경찰청,"남, 93세",93세,"[('검정하의 머리숱 없는', 0.5029)]"
