create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/08/09 10:57:14,222,충청남도 전체,201902,"태풍 카눈이 북상 중이며 강한 바람과 많은 비가 예상되오니 해수욕장, 방파제, 하천, 계곡, 야영장 등 위험지역의 출입을 금지하여 주시기 바랍니다.",cbs,충남도청,,,"[('비가 예상되오니 해수욕장 방파제', 0.6784)]"
2023/07/23 10:19:34,222,충청남도 전체,199470,충남 전역에 많은 비가 예상됩니다. 하천 주변이나 저지대에 주차된 차량은 높은 지역으로 이동하고 집주변 배수구는 미리 점검해 두시기 바랍니다.,cbs,충남도청,,,"[('미리 점검해 두시기', 0.6958)]"
2023/04/12 08:32:01,"226,227,229,230,231,233,234,236,237","충청남도 당진시,충청남도 보령시,충청남도 서산시,충청남도 서천군,충청남도 아산시,충청남도 예산군,충청남도 천안시,충청남도 태안군,충청남도 홍성군",194386,"금일 02시 미세먼지 경보 발령 중. 어린이, 노약자 실외활동 금지, 대중교통 이용하기, 보건용 마스크 착용하기 등 건강관리에 유의 바랍니다.",cbs,충남도청,,,"[('금지 대중교통 이용하기', 0.7231)]"
2023/03/21 09:42:47,222,충청남도 전체,193696,"계속되는 건조한 날씨에 도 내 많은 산불 발생 ▲산에서 흡연 금지 ▲논·밭두렁, 영농부산물 소각금지 ▲산림 주변 불씨 취급 금지해 주시기 바랍니다.",cbs,충남도청,,,"[('산불 발생 산에서', 0.4649)]"
2023/01/26 06:30:05,222,충청남도 전체,191873,"많은 눈과 추운 날씨로 도로결빙이 우려되니 출근 시 가급적 대중교통을 이용해 주시고 운전 시 감속 운행, 보행 시 미끄럼 사고에 주의하시기 바랍니다.",cbs,충남도청,,,"[('대중교통을 이용해 주시고', 0.5331)]"
2022/12/21 20:48:35,222,충청남도 전체,186479,오늘 밤부터 내일 새벽까지 충남 전역에 짙은 안개와 도로 결빙으로 차량 운행시 차간거리를 충분히 유지하고 감속운행하여 교통안전에 주의하시기 바랍니다.,cbs,충남도청,,,"[('유지하고 감속운행하여', 0.6095)]"
2022/12/17 20:31:48,222,충청남도 전체,185713,"밤사이 찬바람이 강하고 내일 기온 급감(한파) ▲난방 및 체온유지, 빙판길 주의 ▲수도계량기, 보일러 보온상태 점검 ▲온열기구 화재방지등 주의바랍니다",cbs,충남도청,한파,,"[('기온 급감 한파', 0.698)]"
2022/12/17 08:47:19,222,충청남도 전체,185515,"충청남도 전 지역에 많은 눈이 예상되니 차량 감속 운행, 내 집 앞 눈치우기, 취약 시설물 및 취약계층 돌봄 등 안전관리에 만전을 기하시기 바랍니다.",cbs,충남도청,,,"[('시설물 취약계층 돌봄 안전관리에', 0.6821)]"
2022/12/14 07:08:06,222,충청남도 전체,184989,밤사이 많은 눈이 내려 도로결빙이 우려됩니다. 출근 시 대중교통을 이용해 주시고 운전 시 감속 운행 및 보행자 안전에 유의해주시기 바랍니다.,cbs,충남도청,,,"[('이용해 주시고', 0.7462)]"
2022/09/05 20:06:59,222,충청남도 전체,171356,"오늘밤 충남지역 태풍영향 / 저지대, 상습침수지역, 해안가, 산간·계곡 등 위험지역에 있거나 대피권고를 받을 경우 즉시 안전한 지역으로 대피바랍니다.",cbs,충남도청,,,"[('받을 경우 즉시', 0.6022)]"
