create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/18 19:50:41,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",206868,"경찰은 청주시에서 실종된 송대호씨(남, 74세)를 찾습니다 - 163cm, 60kg, 백발, 국방색모자 vo.la/WHkEH / ☎182",cbs,충북경찰청,"남, 74세",74세,"[('경찰은 청주시에서 실종된', 0.4722)]"
2023/11/16 16:29:40,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",206741,"청주시에서 실종된 신동미씨(여, 28세)를 찾습니다 - 170cm,70kg,갈색점퍼,검정바지,흰색운동화 vo.la/ZLAKZ / ☎182",cbs,충북경찰청,"여, 28세",28세,"[('찾습니다 170cm 70kg', 0.5039)]"
2023/10/29 17:29:49,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",206356,"청주시에서 실종된 오명자씨(여, 81세)를 찾습니다- 153cm,40kg, 분홍점퍼,노랑별무늬잠옷상하의,걸음이느림 vo.la/C6Bjf / ☎182",cbs,충북경찰청,"여, 81세",81세,"[('청주시에서 실종된', 0.4656)]"
2023/10/08 18:40:12,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",205945,"청주시에서 실종된 김명현씨(남, 40세)를 찾습니다- 160cm, 60kg, 회색점퍼, 청바지, 검정운동화, 명찰 vo.la/sgfrt / ☎182",cbs,충북경찰청,"남, 40세",40세,"[('청바지 검정운동화 명찰', 0.493)]"
2023/09/29 13:50:52,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",205788,"청주시에서 실종된 이갑식씨(남, 75세)를 찾습니다 - 158cm,60kg,회색반팔,검정반바지,회색운동화 vo.la/NPLHz / ☎182",cbs,충북경찰청,"남, 75세",75세,"[('검정반바지 회색운동화', 0.4849)]"
2023/09/13 16:20:52,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",205080,"경찰은 청주시에서 실종된 손경운씨(남, 37세)를 찾습니다 -160cm,60kg,나이키검정반팔티,환자복하의 vo.la/Y5AeC / ☎182",cbs,충북경찰청,"남, 37세",37세,"[('37세 찾습니다 160cm 60kg', 0.4945)]"
2023/09/06 09:29:34,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",204926,"경찰은 청주시에서 실종된 이범성씨(남, 69세)를 찾습니다 -175cm, 100kg, 노란색잠바 vo.la/iAJ4h / ☎182",cbs,충북경찰청,"남, 69세",69세,"[('경찰은 청주시에서', 0.5341)]"
2023/08/20 14:43:49,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",203802,"청주시에서 실종된 최순남씨(여, 77세)를 찾습니다 -150cm, 줄무늬티셔츠,파란색바지, 검정운동화,보라색손가방 vo.la/uYeQo / ☎182",cbs,충북경찰청,"여, 77세",77세,"[('보라색손가방 vo la uyeqo', 0.5116)]"
2023/08/16 09:21:44,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",203403,"청주시에서 실종된 최만수씨(남,69세)를 찾습니다-170cm,국방색조끼,검정반팔,검정계열칠부바지,모자,검정운동화 vo.la/YdOkL / ☎182",cbs,충북경찰청,"남,69세",69세,"[('모자 검정운동화 vo', 0.4702)]"
2023/08/10 10:37:34,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",202622,"청주시에서 실종된 이선순씨(여, 70세)를 찾습니다 -155cm,40kg, 보라색모자, 지팡이, 검정장화, 가방 vo.la/iyM9q / ☎182",cbs,충북경찰청,"여, 70세",70세,"[('보라색모자 지팡이', 0.4231)]"
