create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/10 17:55:39,249,충청북도 충주시,206668,찬공기가 남하하면서 당분간 아침기온 영하권의 추위 지속. ①농작물 저온피해 없도록 보온에 유의 ②야외활동 시 체온유지 ③운전시 도로결빙에 유의바랍니다.,cbs,충주시,,,"[('③운전시 도로결빙에 유의바랍니다', 0.7268)]"
2023/09/16 17:42:20,249,충청북도 충주시,205239,모레까지 우리 시에 많은 비. 산사태 발생이 우려되므로 산림 주변 야외활동을 자제하시고 산에 있을 경우 즉시 산림 밖으로 피하시기 바랍니다.,cbs,충주시,,,"[('발생이 우려되므로', 0.7172)]"
2023/08/23 17:59:50,"11441,11442","충청북도 충주시,충청북도 충주시",204270,"충주시 산사태주의보 발령. 산림,급경사지 등 위험지역 접근 및 통행을 자제하여 주시고, 위기징후 발견시에는 즉시 안전지대로 대피하여 주시기 바랍니다.",cbs,충주시,,,"[('산사태주의보 발령', 0.7393)]"
2023/08/10 15:02:11,249,충청북도 충주시,202880,"달천 인근(대소원면,살미면,중앙탑면,달천) 지역주민께서는 유의하시고, 홍수상황을 확인하시기 바랍니다.",cbs,충주시,"대소원면,살미면,중앙탑면,달천",,"[('홍수상황을 확인하시기', 0.5531)]"
2023/08/10 15:01:11,249,충청북도 충주시,202878,14:10분부 괴산군 목도교 수위 상승으로 충주 지역 홍수주의보 발령,cbs,충주시,,,"[('충주 지역', 0.3713)]"
2023/07/30 10:43:07,249,충청북도 충주시,200262,"시내전역 폭염특보 발효로 체감온도 35도 이상, 무리한 야외활동 자제 및 충분한 수분섭취로 건강에 유의하여 주시기 바랍니다.",cbs,충주시,,,"[('건강에 유의하여', 0.6825)]"
2023/07/24 08:39:53,249,충청북도 충주시,199643,"해외발송 수상한 소포 발견시 열지 말고 112로 신고바랍니다.(노란색 또는 검은색봉투,이중포장,CHUNGHWA POST, 발신Taipei Taiwan)",cbs,충주시,"노란색 또는 검은색봉투,이중포장,CHUNGHWA POST, 발신Taipei Taiwan",,"[('chunghwa post 발신taipei taiwan', 0.6025)]"
2023/07/22 09:02:40,249,충청북도 충주시,199249,"해외발송 기체독극물 의심 소포 발견시 112또는119신고바랍니다(노란색 또는 검은색봉투,이중포장,CHUNGHWA POST, 발신Taipei Taiwan)",cbs,충주시,"노란색 또는 검은색봉투,이중포장,CHUNGHWA POST, 발신Taipei Taiwan",,"[('소포 발견시 112또는119신고바랍니다', 0.6561)]"
2023/07/18 10:49:21,249,충청북도 충주시,198597,"산사태 위험 지역에서는 집 근처 잡목과 배수로 등을 정리하고 최신기상정보를 확인하여 주시기 바라며, 위험징후 발견시 안전한 곳으로 신속하게 대피바랍니다",cbs,충주시,,,"[('확인하여 주시기 바라며', 0.7577)]"
2023/07/16 10:14:07,249,충청북도 충주시,198190,"괴산댐 월류 및 달천강 범람에 따른 대피명령 해제. 대피자분들께서는 복귀하여 주시고,18일까지 많은 비가 예보되어 있으니, 최신 기상정보를 확인바랍니다",cbs,충주시,,,"[('달천강 범람에 따른 대피명령', 0.7)]"
2023/07/15 10:07:30,249,충청북도 충주시,197805,"충주댐 방류량증가, 괴산댐 월류로 인한 하천 수위상승으로 저지대 침수지역 주민대피 중. 시민분들은 외출을 자제하고 위험지역 접근을 자제하기 바랍니다.",cbs,충주시,,,"[('접근을 자제하기', 0.7196)]"
2023/07/15 06:38:51,249,충청북도 충주시,197715,"괴산댐 월류 및 달천강 범람 위험. 위험구역 거주민께서는 대피명령에 따라 즉시 안전지대로 대피해주시고, 시민 여러분께서는 위험구역 접근 자제바랍니다",cbs,충주시,,,"[('따라 즉시 안전지대로', 0.7468)]"
2023/07/15 03:53:41,"11418,11423,11425,11437,11439","충청북도 충주시,충청북도 충주시,충청북도 충주시,충청북도 충주시,충청북도 충주시",197667,"괴산댐 방류량 증가로 달천강 범람 및 침수 우려가 높으니, 지역 주민분들께서는 피해에 대비하고, 위험상황시 즉시 대피하여 주시기 바랍니다.",cbs,충주시,,,"[('주민분들께서는 피해에 대비하고 위험상황시', 0.7522)]"
2023/07/14 23:34:33,11440,충청북도 충주시,197621,신니면 용당저수지 홍수위 도달로 수문 개방(23:30분경부터). 인근 주민분들께서는 접근을 자제하고 위험시 안전한 곳으로 대피바랍니다.,cbs,충주시,23:30분경부터,,"[('위험시 안전한 곳으로', 0.6109)]"
2023/07/14 23:15:38,"11440,11442,11447,11448","충청북도 충주시,충청북도 충주시,충청북도 충주시,충청북도 충주시",197617,"14일 23시. 충주시 신니면, 앙성면, 엄정면, 소태면에 산사태주의보 발령. 산림 주변 야외활동 자제와 입산금지 등 안전에 유의하시기 바랍니다.",cbs,충주시,,,"[('앙성면 엄정면 소태면에 산사태주의보', 0.53)]"
2023/06/26 20:00:19,249,충청북도 충주시,195911,"오늘 밤 20시~03시 사이 강한비가 집중됩니다. 저지대 도로,굴다리,지하차도 등 침수취약도로 운행을 자제하고, 반지하주택 거주자는 각별히 주의바랍니다",cbs,충주시,,,"[('사이 강한비가 집중됩니다', 0.6667)]"
2022/12/17 12:13:52,249,충청북도 충주시,185616,"12월 17일 12시 기준 확진자 41명▲한파 지속▲노약자,어린이 야외활동 자제▲수도계량기,노출수도관,보일러 등 동파 대비▲부동액,배터리 등 자동차점검",cbs,충주시,,,"[('수도계량기 노출수도관 보일러', 0.5283)]"
2022/12/16 17:20:30,249,충청북도 충주시,185473,12월16일 확진자238명▲모레까지 급격한 기온 하강▲가정 내 난방에 유의▲수도계량기 등 보온조치▲도로결빙 대비 가급적 대중교통 이용 및 저속운행 권고,cbs,충주시,,,"[('대중교통 이용', 0.5579)]"
2017/07/16 07:40:49,249,충청북도 충주시,2682,"안전안내.오늘 07:33 충주지역 산사태 주의보, 산사태 위험지역 주민들은 안전에 유의하시기 바랍니다.",cbs,충주시,,,"[('주의보 산사태', 0.5485)]"
