create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/01/17 17:51:15,249,충청북도 충주시,190689,"1월 17일 확진자 150명▲밤~새벽사이 1cm미만 눈날림▲도로 살얼음과 이면도로,골목길,그늘진 도로 등 빙판길 우려▲보행자 안전과 교통안전에 유의",cbs,충주시청,,,"[('이면도로 골목길 그늘진', 0.6916)]"
2023/01/16 17:53:21,249,충청북도 충주시,190557,1월16일 확진자 151명▲2가백신 동절기 추가접종 방법 안내 ①의료기관에 전화로 확인후 바로 접종②'코로나19 예방접종 사전예약시스템'에서 예약접종,cbs,충주시청,,,"[('접종② 코로나19 예방접종', 0.6425)]"
2023/01/15 16:16:35,249,충청북도 충주시,190402,"1월15일 확진자 41명▲낮동안 내린 눈과 비가 기온 하강으로 얼어 빙판길 및 도로 살얼음이 나타나는 곳이 있겠으니, 통행에 각별히 유의하기 바랍니다",cbs,충주시청,,,"[('낮동안 내린 눈과', 0.5984)]"
2023/01/14 09:00:06,249,충청북도 충주시,190138,"1월14일 9시 기준 확진자24명▲늦은밤부터 무겁고 많은 눈▲비닐하우스,축사,가건물 등 붕괴우려시설 사전점검 및 눈 쓸어내리기▲내집 앞 눈치우기 실천",cbs,충주시청,,,"[('가건물 붕괴우려시설 사전점검', 0.5931)]"
2023/01/13 17:44:55,249,충청북도 충주시,190108,"1월13일 확진자130명▲내일 밤~모레까지 습설 전망▲무거운 눈이 긴 시간 이어지며 비닐하우스,약한 구조물 붕괴,나뭇가지 부러짐 등 시설물 피해 유의",cbs,충주시청,,,"[('습설 전망 무거운', 0.6681)]"
2023/01/12 18:03:43,249,충청북도 충주시,189952,"1월 12일 확진자 149명.동절기 환기 3원칙①1일 최소3회(10분)이상 자연환기②맞통풍이 일어나도록 문,창문 동시에 열기③난방 중에도 주기적 환기",cbs,충주시청,10분,,"[('자연환기②맞통풍이 일어나도록 창문 동시에', 0.6778)]"
2023/01/11 18:04:09,249,충청북도 충주시,189825,1월 11일 확진자 191명▲불요불급한 모임·외출 최소화▲유증상시 진료받기▲모임장소 환기▲올바른 마스크 착용▲30초 이상 손씻기▲기침예절 지키기,cbs,충주시청,,,"[('외출 최소화 유증상시', 0.5994)]"
2023/01/10 18:00:27,249,충청북도 충주시,189694,1월 10일 확진자 237명▲불요불급한 모임·외출 최소화▲유증상시 진료받기▲모임장소 환기▲올바른 마스크 착용▲30초 이상 손씻기▲기침예절 지키기,cbs,충주시청,,,"[('237명 불요불급한 모임 외출', 0.7163)]"
2023/01/09 17:46:49,249,충청북도 충주시,189561,1월 9일 확진자 231명▲동절기 2가백신 추가접종으로 건강한 겨울나기▲기초접종 완료한 12세 이상 대상▲마지막 접종일로부터 3개월 이후 접종 가능,cbs,충주시청,,12세,"[('대상 마지막 접종일로부터 3개월', 0.6542)]"
2023/01/08 09:40:47,249,충청북도 충주시,189335,1월8일 9시 기준 확진자 42명▲2가백신 추가접종으로 건강한 겨울나기▲기초접종 완료한 12세 이상 대상▲마지막 접종일로부터 3개월 이후 접종 가능,cbs,충주시청,,12세,"[('12세 이상 대상 마지막', 0.6163)]"
2023/01/07 09:23:23,249,충청북도 충주시,189180,"1월 7일 9시 기준 확진자 53명▲오늘 오전까지 곳에 따라 비 또는 눈날림▲도로 살얼음 및 빙판길 안전에 유의▲내 집, 내 점포 앞 눈치우기 동참",cbs,충주시청,,,"[('점포 눈치우기 동참', 0.5674)]"
2023/01/07 07:02:32,249,충청북도 충주시,189146,"밤 사이 내린 눈과 비로 이면도로,응달지,골목길 살얼음 및 빙판길 주의▲우리 이웃이 안전하게 통행할 수 있도록 내 집,내 점포 앞 눈치우기 실천 협조",cbs,충주시청,,,"[('있도록 점포 눈치우기', 0.7288)]"
2023/01/06 18:01:18,249,충청북도 충주시,189113,"1월 6일 확진자 225명▲늦은 밤부터 내일 새벽사이 많은 눈▲차량 운행시 각별히 주의▲내 가족과 이웃을 위해 내 집, 내 점포 앞 눈치우기 실천",cbs,충주시청,,,"[('위해 점포 눈치우기', 0.6835)]"
2023/01/05 17:50:01,249,충청북도 충주시,188956,"1월5일 확진자215명▲내일 밤~모레 새벽까지 많은 눈▲스노체인,염화칼슘,삽 등 월동용품 준비▲차량운행시 저속운행,안전거리 확보▲붕괴우려시설 사전점검",cbs,충주시청,,,"[('스노체인 염화칼슘', 0.6777)]"
2023/01/04 18:04:12,249,충청북도 충주시,188819,"1월4일 확진자 287명▲동절기 2가백신 추가접종으로 건강한 겨울나기▲기초접종 완료한 12세 이상 전시민, 마지막 접종일로부터 3개월 이후 접종 가능",cbs,충주시청,,12세,"[('건강한 겨울나기 기초접종', 0.6796)]"
2023/01/03 18:02:23,249,충청북도 충주시,188677,1월 3일 확진자 327명▲한파주의보 발효 중▲모레(5일) 낮부터 평년기온 회복▲추운 시간대 외출 및 야외활동 자제▲전기장판 등 난방기 화재 유의,cbs,충주시청,5일,,"[('자제 전기장판', 0.6634)]"
2023/01/02 18:03:25,249,충청북도 충주시,188542,"1월 2일 확진자 359명▲모레(4일)까지 아침기온이 -10도 내외로 매우 추운 날씨▲보온에 유의하고 야외활동 자제▲계량기,수도관,보일러 동파에 대비",cbs,충주시청,4일,,"[('2일 확진자', 0.6516)]"
2023/01/01 09:16:28,249,충청북도 충주시,188298,1월1일 9시 기준 확진자 47명▲3밀(밀폐·밀집·밀접)지역 방문 자제▲마스크 착용▲증상 있을시 신속히 검사받기▲2가백신 동절기 추가접종 동참하기,cbs,충주시청,밀폐·밀집·밀접,,"[('밀집 밀접 지역', 0.578)]"
2023/01/01 07:16:02,249,충청북도 충주시,188268,해맞이명소 방문시 ▲코로나19 예방을 위한 마스크 착용▲방한용품 구비▲다중이 밀집하지 않도록 질서 유지▲보행시 낙상주의 등 안전사고에 유의바랍니다,cbs,충주시청,,,"[('착용 방한용품 구비', 0.7437)]"
2023/01/01 06:03:37,249,충청북도 충주시,188264,'23충주시민 해맞이행사 교통통제 안내(6시~9시사이)▲마즈막재→충주댐 방향 일방통행(충주댐 충원교→마즈막재까지 진입통제)▲셔틀운행(대원고↔마즈막재),cbs,충주시청,6시~9시사이,,"[('충주댐 충원교 마즈막재까지 진입통제', 0.6802)]"
2022/12/31 17:05:21,249,충청북도 충주시,188231,12월31일 확진자 219명▲연말연시 해넘이·해돋이 명소 인파사고 유의▲이동시 발을 헛디디거나 미끄러지지 않도록 주의▲타 일행과 자발적 거리두기 실천,cbs,충주시청,,,"[('219명 연말연시', 0.5938)]"
2022/12/31 16:00:59,249,충청북도 충주시,188216,'23충주시민 해맞이행사 교통통제 안내(1일6시~9시)▲마즈막재→충주댐 방향 일방통행(충주댐 충원교→마즈막재까지 진입통제)▲셔틀운행(대원고↔마즈막재),cbs,충주시청,1일6시~9시,,"[('교통통제 안내 1일6시 9시', 0.6639)]"
2022/12/30 16:56:48,249,충청북도 충주시,188075,"12월30일 확진자 249명▲최근 추위가 이어지면서 수도관,계량기,보일러 동파와 한랭질환 발생 가능성이 높으니 보온에 유의하고 건강관리에 유의바랍니다",cbs,충주시청,,,"[('동파와 한랭질환', 0.6375)]"
2022/12/29 17:27:45,249,충청북도 충주시,187943,"12월29일 확진자 281명▲내일 새벽 곳에 따라 0.1cm미만 눈날림, 모레까지 아침기온 -10도 이하▲수도관,계량기,보일러 동파와 한랭질환에 유의",cbs,충주시청,,,"[('계량기 보일러 동파와 한랭질환에', 0.5437)]"
2022/12/28 17:14:57,249,충청북도 충주시,187800,"12월28일 확진자 328명▲모레까지 아침기온 -10도 이하 강추위▲수도관,계량기,보일러 동파와 농축산물 냉해 유의▲보온에 유의하고 장시간 외출 자제",cbs,충주시청,,,"[('농축산물 냉해 유의', 0.6274)]"
2022/12/27 17:20:54,249,충청북도 충주시,187651,12월27일 확진자 388명▲오미크론 대응 2가백신 3종 집중접종기간 연장(12월 31일까지)▲사전예약없이 의료기관의 백신보유 여부 확인 후 접종가능,cbs,충주시청,12월 31일까지,,"[('집중접종기간 연장', 0.6338)]"
2022/12/26 17:27:48,249,충청북도 충주시,187515,"12월26일 확진자 365명▲내일 아침기온 -15도 안팎의 강추위▲수도관,계량기,보일러 동파와 농축산물 냉해 유의▲보온에 유의하고 장시간 외출 자제",cbs,충주시청,,,"[('내일 아침기온 15도 안팎의', 0.6064)]"
2022/12/25 10:01:33,249,충청북도 충주시,187309,"12월 25일 10시 기준 확진자 17명▲내일까지 아침기온 -15도 내외 강추위▲수도관,계량기,보일러 동파와 농축산물 냉해 유의▲장시간 외출 자제",cbs,충주시청,,,"[('냉해 유의 장시간', 0.5915)]"
2022/12/24 09:00:59,249,충청북도 충주시,187117,"12월 24일 9시 기준 확진자 65명▲당분간 추위 지속▲수도 계량기, 보일러 등 동파와 농축산물 냉해 피해예방▲한랭질환 예방 등 건강관리에 유의",cbs,충주시청,,,"[('9시 기준 확진자', 0.5131)]"
