create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/25 12:09:55,233,충청남도 예산군,207001,"11월 25일 11:53경 예산군 북서쪽 2km 지역 규모 2.6 지진발생, 여진 등 추가 지진 발생상황에 유의 바랍니다.",cbs,충청남도,,,"[('예산군 북서쪽 2km', 0.428)]"
2023/11/24 06:32:26,222,충청남도 전체,206961,"밤사이 기온 강하로 터널 앞, 교량 위, 그늘진 곳 등 도로결빙 사고발생이 우려되오니 차량 운행 및 보행자안전에 각별히 유의하시기 바랍니다.",cbs,충청남도,,,"[('사고발생이 우려되오니 차량', 0.6696)]"
2023/11/18 07:08:31,222,충청남도 전체,206830,"새벽에 내린 눈이 기온 강하로 인해 결빙이 우려되니, 외출 시 가급적 대중교통 이용, 운전 시 감속 운행, 미끄럼 사고 등 안전에 주의 바랍니다.",cbs,충청남도,,,"[('강하로 인해', 0.7107)]"
2023/11/17 21:47:35,"226,227,229,230,236,237","충청남도 당진시,충청남도 보령시,충청남도 서산시,충청남도 서천군,충청남도 태안군,충청남도 홍성군",206807,"풍랑 및 강풍으로 인한 높은 파도로 해양사고가 우려되오니 해안가, 방파제 출입 자제 및 어선 결박, 시설물 정비 등 안전관리에 주의하시기 바랍니다.",cbs,충청남도,,,"[('어선 결박 시설물 정비', 0.7013)]"
2023/11/11 21:04:22,11382,충청남도 당진시,206689,"오늘 20:28 합덕읍 운산리 276-10 인근 목재공장 화재 발생, 주변 차량은 이 지역을 우회하여 주시고 인근 주민은 안전사고에 유의 바랍니다.",cbs,충청남도,,,"[('주민은 안전사고에', 0.5524)]"
2023/11/06 07:43:11,"226,227,229,230,236,237","충청남도 당진시,충청남도 보령시,충청남도 서산시,충청남도 서천군,충청남도 태안군,충청남도 홍성군",206508,"간판, 부착물 고정, 선박 결박, 비닐하우스 등 시설물 피해에 대비 바라며, 해안 및 위험지역 접근금지 등 안전에 유의 바랍니다.",cbs,충청남도,,,"[('대비 바라며 해안 위험지역', 0.6943)]"
2023/10/31 07:03:00,222,충청남도 전체,206375,"도내 가시거리 200m 미만 짙은안개로 인해 교량, 터널, 지하차도 등 운전시 감속주행 및 비상등 점등 등 교통안전에 각별히 유의하시기 바랍니다.",cbs,충청남도,,,"[('운전시 감속주행 비상등 점등', 0.5899)]"
2023/10/30 07:09:37,"228,237","충청남도 부여군,충청남도 홍성군",206362,"도내 10시까지 짙은 안개가 예상되오니 교량, 터널, 지하차도등 운전시 감속, 비상등 점멸 등 교통안전에 유의하기 바랍니다.",cbs,충청남도,,,"[('짙은 안개가 예상되오니 교량', 0.6073)]"
2023/10/29 07:27:12,"224,233,237","충청남도 금산군,충청남도 예산군,충청남도 홍성군",206344,도내 가시거리 200m 미만 짙은안개로 인해 교통사고 발생 위험. 운전시 감속주행 및 비상등 점등 등 교통안전에 각별히 유의하시기 바랍니다.,cbs,충청남도,,,"[('감속주행 비상등 점등', 0.6074)]"
2023/10/28 08:25:47,"223,225,230,7586,7615","충청남도 공주시,충청남도 논산시,충청남도 서천군,충청남도 천안시 동남구,충청남도 천안시 서북구",206320,도내 가시거리 200m 미만 짙은안개로 인해 교통사고 발생 위험. 운전시 감속주행 및 비상등 점등 등 교통안전에 각별히 유의하시기 바랍니다.,cbs,충청남도,,,"[('감속주행 비상등 점등', 0.6074)]"
2023/10/26 07:57:35,"223,224,228","충청남도 공주시,충청남도 금산군,충청남도 부여군",206271,도내 가시거리 200m 미만 짙은안개로 인해 차량운행 시 감속 운행하여 추돌사고가 발생하지 않도록 교통안전의 각별히 유의하시기 바랍니다,cbs,충청남도,,,"[('감속 운행하여 추돌사고가', 0.6387)]"
2023/10/25 22:18:02,222,충청남도 전체,206263,10월 25일 21:46시 충남 공주시 남남서쪽 12km지역 규모 3.4 지진발생/추가 지진 발생에 유의하시길 바랍니다.,cbs,충청남도,,,"[('규모 지진발생', 0.5641)]"
