create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/10/14 20:08:59,238,충청북도 전체,206055,"도내 15일 00시~09시까지 짙은 안개가 예상되오니, 교량, 터널, 지하차도 등 운전시 감속, 비상등 점멸 등 교통안전에 유의하기 바랍니다.",cbs,충청북도,,,"[('점멸 교통안전에 유의하기 바랍니다', 0.6044)]"
2023/09/20 19:49:41,238,충청북도 전체,205514,지방도508호선 오창과학단지지하차도(청주시 청원구 오창읍 각리 661) 19:40분부로 사전통제중이니 우회하시기 바랍니다.,cbs,충청북도,청주시 청원구 오창읍 각리 661,,"[('각리 661 19 40분부로', 0.5044)]"
2023/09/20 19:46:54,238,충청북도 전체,205512,지방도533호선 마송지하차도(음성군 원남면 마송리 462-4) 19:30분부로 사전통제중이니 우회하시기 바랍니다.,cbs,충청북도,음성군 원남면 마송리 462-4,,"[('지방도533호선 마송지하차도', 0.5776)]"
2023/09/20 19:46:24,238,충청북도 전체,205511,지방도592호선 묵방지하차도(청주시 청원구 내수읍 묵방리 410-13) 19:30분부로 사전통제중이니 우회하시기바랍니다.,cbs,충청북도,청주시 청원구 내수읍 묵방리 410-13,,"[('묵방리 410 13 19', 0.5553)]"
2023/08/20 14:00:05,238,충청북도 전체,203792,"현재 폭염주의보 발효 중으로 야외활동 자제와 충분한 물 섭취, 온열질환 예방 등 건강 및 안전관리에 유의하시기 바랍니다.",cbs,충청북도,,,"[('발효 중으로 야외활동 자제와', 0.7198)]"
2023/08/20 13:29:52,238,충청북도 전체,203786,"계곡·하천 등에서 물놀이 시 음주한 상태에서 수영하거나, 다슬기를 채취하는 등 안전사고로 이어질 수 있는 위험한 행동은 금지하여 주시기 바랍니다.",cbs,충청북도,,,"[('행동은 금지하여 주시기', 0.6655)]"
2023/08/20 10:17:48,238,충청북도 전체,203749,"국지성호우(소나기)가 내릴때에는 하천변 산책로, 계곡, 저지대, 산사태 우려지역 등 위험지역 접근금지 및 외출자재 등 안전에 유의해 주시기 바랍니다",cbs,충청북도,소나기,,"[('산사태 우려지역', 0.6932)]"
2023/08/19 17:00:13,238,충청북도 전체,203725,"다슬기 채취 안전수칙 준수 ▲ 미끄럼방지 신발 및 구명조끼 착용 ▲ 혼자 물에 들어가는 행동, 낯선 곳 및 어두워진 뒤에는 다슬기 채취 금지",cbs,충청북도,,,"[('행동 낯선 어두워진', 0.7832)]"
2023/08/19 14:41:35,238,충청북도 전체,203716,"국지성호우(소나기)가 내릴때에는 하천변 산책로, 계곡, 저지대, 산사태 우려지역 등 위험지역 접근금지 및 외출자재 등 안전에 유의해 주시기 바랍니다",cbs,충청북도,소나기,,"[('산사태 우려지역', 0.6932)]"
2023/08/19 14:00:10,238,충청북도 전체,203706,"도내 전 지역 폭염특보 발효 중 ▲외출 및 야외 작업 자제 ▲무더위쉼터 이용 ▲폭염안전수칙(물, 그늘, 휴식) 준수 등 안전관리에 유의바랍니다.",cbs,충청북도,"물, 그늘, 휴식",,"[('야외 작업 자제', 0.5572)]"
2023/08/19 13:30:06,238,충청북도 전체,203704,"여름철 물놀이 안전수칙 준수▶물놀이 전 준비운동▶구명조끼 등 안전장비 착용▶수심이 깊거나, 유속이 빠른 곳 피하기▶입수금지 등 위험구역 물놀이 금지",cbs,충청북도,,,"[('안전수칙 준수', 0.7416)]"
2023/08/18 10:00:02,238,충청북도 전체,203581,"도내 전 지역 폭염주의보 발효 중 ▲외출 및 야외 작업 자제 ▲무더위쉼터 이용 ▲폭염안전수칙(물, 그늘, 휴식) 준수 등 안전관리에 유의바랍니다.",cbs,충청북도,"물, 그늘, 휴식",,"[('지역 폭염주의보 발효 외출', 0.5815)]"
2023/08/16 10:00:15,238,충청북도 전체,203408,"도내 전 지역 폭염주의보 발효 중 ▲외출 및 야외 작업 자제 ▲무더위쉼터 이용 ▲폭염안전수칙(물, 그늘, 휴식) 준수 등 안전관리에 유의바랍니다.",cbs,충청북도,"물, 그늘, 휴식",,"[('지역 폭염주의보 발효 외출', 0.5815)]"
2023/08/15 16:01:14,238,충청북도 전체,203380,"계곡·하천 등에서 물놀이 시 음주한 상태에서 수영하거나, 다슬기를 채취하는 등 안전사고로 이어질 수 있는 위험한 행동은 금지하여 주시기 바랍니다.",cbs,충청북도,,,"[('행동은 금지하여 주시기', 0.6655)]"
2023/08/15 14:00:04,238,충청북도 전체,203359,"여름철 물놀이 안전수칙 준수▶물놀이 전 준비운동▶구명조끼 등 안전장비 착용▶수심이 깊거나, 유속이 빠른 곳 피하기▶입수금지 등 위험구역 물놀이 금지",cbs,충청북도,,,"[('안전수칙 준수', 0.7416)]"
2023/08/15 10:01:53,238,충청북도 전체,203304,도내 전 지역 폭염주의보 발효 중 ▲야외활동을 자제하여 주시기 바라며 ▲충분한 물 마시기와 시원하게 지내기 등 건강에 유의해 주시기 바랍니다.,cbs,충청북도,,,"[('유의해 주시기', 0.6538)]"
2023/08/14 14:01:21,238,충청북도 전체,203253,"여름철 물놀이 안전수칙 준수▶물놀이 전 준비운동▶구명조끼 등 안전장비 착용▶수심이 깊거나, 유속이 빠른 곳 피하기▶입수금지 등 위험구역 물놀이 금지",cbs,충청북도,,,"[('안전수칙 준수', 0.7416)]"
2023/08/14 11:06:05,238,충청북도 전체,203222,"도내 전 지역 폭염주의보 발효 중 ▲외출 및 야외 작업 자제 ▲무더위쉼터 이용 ▲폭염안전수칙(물, 그늘, 휴식) 준수 등 안전관리에 유의바랍니다.",cbs,충청북도,"물, 그늘, 휴식",,"[('지역 폭염주의보 발효 외출', 0.5815)]"
2023/08/13 14:30:03,238,충청북도 전체,203163,"계곡·하천 등에서 물놀이 시 음주한 상태에서 수영하거나, 다슬기를 채취하는 등 안전사고로 이어질 수 있는 위험한 행동은 금지하여 주시기 바랍니다.",cbs,충청북도,,,"[('행동은 금지하여 주시기', 0.6655)]"
2023/08/13 13:52:23,"241,243,6922,6954,6969,11393","충청북도 보은군,충청북도 옥천군,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",203154,"지난 7월 집중호우와 태풍으로 인해 낙석이 빈번히 발생하고 있어, 보은군 내북면 일원 도로를 이용하시는 운전자께서는 안전운전에 유의하시기 바랍니다.",cbs,충청북도,,,"[('낙석이 빈번히 발생하고 있어', 0.6211)]"
2023/08/13 10:37:53,"241,243,6922,6954,6969,11393","충청북도 보은군,충청북도 옥천군,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",203123,"청주→보은방면 차량은 산외면.수한면 방향으로, 보은→청주방면 차량은 산외면 방향으로 우회해 주시기 바랍니다.(8.13. 12시경 봉황터널 이용가능)",cbs,충청북도,8.13. 12시경 봉황터널 이용가능,,"[('봉황터널 이용가능', 0.674)]"
2023/08/13 10:26:56,"241,243,6922,6954,6969,11393","충청북도 보은군,충청북도 옥천군,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",203120,"청주→보은방면 차량은 산외면.수한면 방향으로, 보은→청주방면 차량은 산외면 방향으로 우회해 주시기 바랍니다.(봉황터널 이용가능)",cbs,충청북도,봉황터널 이용가능,,"[('주시기 바랍니다 봉황터널 이용가능', 0.6988)]"
2023/08/13 10:25:51,"241,243,6922,6954,6969,11393","충청북도 보은군,충청북도 옥천군,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",203119,국도19호선 봉계터널 통제로 운영중인 우회노선(내북면) 내 낙석붕괴 사고로 인하여 우회노선 변경,cbs,충청북도,내북면,,"[('내북면 낙석붕괴 사고로', 0.5262)]"
2023/08/12 18:59:29,238,충청북도 전체,203100,"그간 많은 비로, 지반이 약화되어 낙석 및 사면 붕괴우려가 있으니 급경사지 주변 접근을 자제하여 주시고 도로비탈면 주변은 주의하여 통행하시기 바랍니다.",cbs,충청북도,,,"[('주시고 도로비탈면 주변은', 0.7257)]"
2023/08/12 18:14:39,"243,6922,6954,6969,11393","충청북도 옥천군,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",203098,"지방도 575호선 보은군 내북면 이원리 낙석발생으로 도로통제 중, 청주방면은 산외면으로, 보은읍 방면은 내북면 상궁리로 우회바랍니다.",cbs,충청북도,,,"[('내북면 상궁리로 우회바랍니다', 0.7762)]"
2023/08/10 13:03:25,238,충청북도 전체,202771,"제6호 태풍 '카눈' 북상에 따라 119신고전화 폭주가 예상되오니, 비긴급신고는 110(민원콜센터)를 이용하여 주시기 바랍니다",cbs,충청북도,민원콜센터,,"[('이용하여 주시기', 0.4851)]"
2023/08/10 10:15:27,238,충청북도 전체,202593,지방도 533호선 마송지하차도(충북 음성군 원남면 마송리 462-4) 10:00부로 사전통제중이니 우회바랍니다,cbs,충청북도,충북 음성군 원남면 마송리 462-4,,"[('마송리 462 10', 0.6571)]"
2023/08/10 10:10:54,"239,241,6922,6954,6969,11393","충청북도 괴산군,충청북도 보은군,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",202584,지방도 575호선 금관교 위험교량으로 사전통제하오니 창리 방향으로 우회하여 주시기바랍니다.,cbs,충청북도,,,"[('금관교 위험교량으로', 0.4379)]"
2023/08/10 09:26:13,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",202527,지방도 592호선 청주시 내수읍 묵방리 묵방지하차도 09:00부로 사전통제중이니 우회바랍니다.,cbs,충청북도,,,"[('묵방지하차도 09', 0.5969)]"
2023/08/10 09:25:43,"6922,6954,6969,11393","충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구",202526,지방도 508호선 오창과학단지 지하차도 09:10부로 사전통제중이니 우회바랍니다,cbs,충청북도,,,"[('09 10부로', 0.451)]"
2023/08/10 09:01:00,238,충청북도 전체,202496,"제 6호 '카눈' 북상에 따라 119 신고전화 폭주가 예상되오니, 비긴급신고는 110(민원콜센터)를 이용하여 주시기 바랍니다.",cbs,충청북도,민원콜센터,,"[('따라 119 신고전화', 0.4347)]"
2023/08/09 10:01:11,238,충청북도 전체,201871,"도내 전 지역 폭염특보 발효 중 외출 및 야외작업 자제, 수분섭취 등 충분한 휴식을 취하여 건강 및 안전관리에 유의하시기 바랍니다.",cbs,충청북도,,,"[('지역 폭염특보 발효', 0.6858)]"
2023/08/08 17:39:45,238,충청북도 전체,201803,태풍 카눈 북상. 10일 충북 관통 예상. 강풍 및 호우에 대비하여 ▲시설물고정 ▲배수로정비 ▲야외활동 자제 ▲위험지역 사전대피에 적극 협조 부탁.,cbs,충청북도,,,"[('관통 예상 강풍 호우에', 0.7563)]"
2023/08/08 14:30:09,238,충청북도 전체,201763,"도내 전 지역 폭염경보 발효 중 ▲외출 및 야외 작업 자제 ▲무더위쉼터 이용 ▲폭염안전수칙(물, 그늘, 휴식) 준수 등 안전관리에 유의바랍니다.",cbs,충청북도,"물, 그늘, 휴식",,"[('야외 작업 자제', 0.5578)]"
2023/08/07 10:11:26,238,충청북도 전체,201535,"도내 전 지역 폭염경보 발효 중 ▲외출 및 야외 작업 자제 ▲무더위쉼터 이용 ▲폭염안전수칙(물, 그늘, 휴식) 준수 등 안전관리에 유의바랍니다.",cbs,충청북도,"물, 그늘, 휴식",,"[('야외 작업 자제', 0.5578)]"
2023/08/06 16:00:01,238,충청북도 전체,201485,"다슬기 채취 안전수칙 준수 ▲ 미끄럼방지 신발 및 구명조끼 착용 ▲ 혼자 물에 들어가는 행동, 낯선 곳 및 어두워진 뒤에는 다슬기 채취 금지",cbs,충청북도,,,"[('행동 낯선 어두워진', 0.7832)]"
2023/08/06 14:00:50,238,충청북도 전체,201447,"폭염경보 발효 중. 건설근로자, 논밭 작업자 등 야외 작업을 자제하여 주시고 충분한 수분 섭취 등 온열질환 건강관리에 유의하시기 바랍니다.",cbs,충청북도,,,"[('주시고 충분한', 0.7287)]"
2023/08/06 13:35:46,238,충청북도 전체,201438,"계곡·하천 등에서 물놀이 시 음주한 상태에서 수영하거나, 다슬기를 채취하는 등 안전사고로 이어질 수 있는 위험한 행동은 금지하여 주시기 바랍니다.",cbs,충청북도,,,"[('행동은 금지하여 주시기', 0.6655)]"
2023/08/06 10:14:49,238,충청북도 전체,201361,도내 온열환자가 지속적 발생 중 ▲농작업 및 야외근로자 충분한 휴식과 수분섭취 ▲나홀로 농작업 자제 ▲야외활동 자제 등 안전에 유의하시기 바랍니다.,cbs,충청북도,,,"[('발생 농작업 야외근로자 충분한', 0.6826)]"
2023/08/05 18:00:23,238,충청북도 전체,201311,"다슬기 채취 안전수칙 준수 ▲ 미끄럼방지 신발 및 구명조끼 착용 ▲ 혼자 물에 들어가는 행동, 낯선 곳 및 어두워진 뒤에는 다슬기 채취 금지",cbs,충청북도,,,"[('행동 낯선 어두워진', 0.7832)]"
2023/08/05 15:42:14,238,충청북도 전체,201300,"계곡·하천 등에서 물놀이 시 음주한 상태에서 수영하거나, 다슬기를 채취하는 등 안전사고로 이어질 수 있는 위험한 행동은 금지하여 주시기 바랍니다.",cbs,충청북도,,,"[('행동은 금지하여 주시기', 0.6655)]"
