create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2022/12/18 07:00:07,238,충청북도 전체,185739,"12월18일(일) 강한 한파가 예상됩니다. 야외활동자제, 보온관리, 농축산물관리 등 한파에 대비하여 주시기 바랍니다.",cbs,충청북도청,일,,"[('대비하여 주시기 바랍니다', 0.5589)]"
2022/12/17 07:13:13,238,충청북도 전체,185500,"오늘 낮 동안 눈,강추위가 예상됩니다. 야외활동자제, 보온유의, 미끄럼주의, 대중교통이용, 저속운행 및 안전거리확보 등 안전에 유의하시기 바랍니다.",cbs,충청북도청,,,"[('미끄럼주의 대중교통이용 저속운행', 0.5124)]"
2022/12/15 17:11:30,238,충청북도 전체,185300,"오늘 퇴근 시간 때 많은 눈이 예상되오니, 빙판길 운전주의, 가급적 대중교통 이용, 보행 시 낙상 주의, 외출 자제 등 안전에 유의 바랍니다.",cbs,충청북도청,,,"[('안전에 유의', 0.6466)]"
2020/08/27 15:32:44,238,충청북도 전체,50437,②마스크 상시 착용을 적극 권장합니다. 이것이 내 가족과 도민안전의 최선의 길입니다. https://bit.ly/2QvrzSE,cbs,충청북도청,,,"[('상시 착용을', 0.6249)]"
2020/08/27 15:32:12,238,충청북도 전체,50436,"도민 여러분! 코로나19가 진정 될 때까지 ①수도권 등 외지 방문이나 외지인 초청을 자제해 주시고,",cbs,충청북도청,,,"[('초청을 자제해 주시고', 0.6697)]"
2020/04/04 09:01:06,238,충청북도 전체,32542,충북도민중 4.1.이후 해외입국자는 코로나19 전수 무료검사 의무대상입니다. 자세한 사항은 거주지 보건소로 문의 바랍니다.,cbs,충청북도청,,,"[('의무대상입니다 자세한 사항은 거주지', 0.6064)]"
2020/04/03 18:32:31,238,충청북도 전체,32519,4.1.이후 해외에서 입국하는 충북도민은 코로나19 무료검사를 의무적으로 받아야 합니다. 자세한 사항은 거주지 보건소로 문의 바랍니다.,cbs,충청북도청,,,"[('코로나19 무료검사를', 0.6433)]"
2020/04/01 18:28:30,238,충청북도 전체,32241,4월 1일부터 모든 해외입국자는 2주간 자가격리 의무대상자로 자가격리 준수사항을 반드시 이행하여 주시기 바랍니다.,cbs,충청북도청,,,"[('이행하여 주시기 바랍니다', 0.6827)]"
2020/03/30 13:19:39,238,충청북도 전체,31908,"코로나19 예방을 위해 해외여행을 자제하여 주시고, 사회적 거리두기(외출,모임,행사,다중이용시설 방문 등)에 적극 동참하여 주시기 바랍니다.",cbs,충청북도청,"외출,모임,행사,다중이용시설 방문 등",,"[('외출 모임 행사', 0.6093)]"
2020/03/30 12:04:21,238,충청북도 전체,31902,"충북도민 중 3.16일 이후 해외 입국자에 대하여 코로나19 진단검사를 무료로 실시하니 거주지 시군 보건소에 문의바랍니다.(여권, 신분증 지참)",cbs,충청북도청,"여권, 신분증 지참",,"[('입국자에 대하여 코로나19', 0.6958)]"
2020/03/29 14:54:31,238,충청북도 전체,31820,"코로나19 대응을 위해 특히, 해외여행(출국 등)은 자제하시고, 해외입국자는 입국일로부터 14일간 자가격리 및 거주지 보건소로 신고하시기 바랍니다",cbs,충청북도청,출국 등,,"[('입국일로부터 14일간', 0.6364)]"
2020/03/29 09:01:14,238,충청북도 전체,31754,"유럽(3.1~21) 및 미국(3.1~26)입국자에 대하여 코로나19 전수검사를 무료로 실시하니 거주지 시군 보건소에 문의바랍니다.(여권,신분증 지참)",cbs,충청북도청,3.1~21,,"[('유럽 21 미국 26', 0.6763)]"
