create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/07/18 17:59:17,96,경상북도 칠곡군,198771,많은 비가 내려 산사태 위험이 높으니 산주변 주민과 방문객은 산에서 떨어진 안전한 곳으로 대피해 주시기 바랍니다.,cbs,칠곡군청,,,"[('많은 비가 내려 산사태', 0.7307)]"
2023/01/27 07:39:26,96,경상북도 칠곡군,192011,"새벽에 내린 눈과 추운 날씨로 인해 도로결빙이 우려되오니 대중교통 이용, 미끄럼 사고에 주의 바랍니다.",cbs,칠곡군청,,,"[('우려되오니 대중교통 이용', 0.6064)]"
2023/01/23 21:19:59,96,경상북도 칠곡군,191518,"현재 한파경보가 발효중이오니, 야외활동 자제, 온열기 화재예방, 수도계량기 및 농작물 보온조치 등 한파로 인한 피해가 발생하지 않도록 주의 바랍니다.",cbs,칠곡군청,,,"[('농작물 보온조치 한파로', 0.6797)]"
2022/12/22 23:40:55,96,경상북도 칠곡군,186778,"강하고 많은 눈이 오는 곳이 있겠습니다. 이동 시 가급적 대중교통을 이용하시고, 도로 살얼음이 우려되므로 차량 운행 시 유의 바랍니다.",cbs,칠곡군청,,,"[('오는 곳이', 0.5996)]"
2022/11/25 10:01:32,96,경상북도 칠곡군,182296,18세이상(04년생 이전출생)은 마지막 접종일기준 3개월 경과시 중증 및 사망예방을 위하여 코로나19개량백신 추가접종에 적극 동참하여 주시기 바랍니다,cbs,칠곡군청,04년생 이전출생,18세,"[('18세이상 04년생 이전출생', 0.7187)]"
2022/04/12 09:57:30,96,경상북도 칠곡군,151632,"(군위,양구)대형 산불 3일째 진화 중▲입산객은 담뱃불 등 불씨 취급금지▲산림 주변에서 쓰레기,영농부산물,논·밭두렁 소각을 금지하여 주시기 바랍니다.",cbs,칠곡군청,"군위,양구",,"[('진화 입산객은 담뱃불', 0.6355)]"
2022/02/21 13:08:31,96,경상북도 칠곡군,144075,오늘 12:17경 칠곡군 지천면 금호리 67-10 공장 화재 발생. 이 지역을 우회하여 주시고 인근 주민은 안전에 유의 바랍니다.,cbs,칠곡군청,,,"[('인근 주민은 안전에 유의', 0.5185)]"
2022/01/08 14:17:44,96,경상북도 칠곡군,137402,"18세 이상은 2차접종 3개월 후 보건소, 읍면사무소(ncvr.kdca.go.kr) 사전예약후 병의원에서 접종받으시기 바랍니다. 054-979-8193",cbs,칠곡군청,ncvr.kdca.go.kr,18세,"[('병의원에서 접종받으시기 바랍니다 054', 0.569)]"
2022/01/05 09:34:45,96,경상북도 칠곡군,136929,"1월 5일 00시기준 14명발생(내국인7명, 태국인7명)태국인 확진자 발생. 사업장,농장 등 소속 외국인(태국인등)은 코로나 검사를 받으시기 바랍니다.",cbs,칠곡군청,"내국인7명, 태국인7명",,"[('코로나 검사를 받으시기 바랍니다', 0.6234)]"
2022/01/02 11:44:01,96,경상북도 칠곡군,136598,"12월25일~12월29일 라이브클럽(외국인전용클럽, 왜관읍 석전로 140-1)방문하신 분은 코로나19 검사 받으시기 바랍니다.",cbs,칠곡군청,"외국인전용클럽, 왜관읍 석전로 140-1",,"[('방문하신 분은 코로나19', 0.5509)]"
2022/01/02 11:16:38,96,경상북도 칠곡군,136595,"1.2.(일)확진자 9명 발생(타지역접촉6, 외국인3)▶타지역 방문, 클럽방문 자제▶유증상시 선별진료소(평일 09~16시, 주말 09~15시)검사바람",cbs,칠곡군청,일,,"[('클럽방문 자제 유증상시', 0.4536)]"
2021/11/28 09:58:25,96,경상북도 칠곡군,131284,11. 21.(일) 14시40분~15시20분 진땡이국밥(왜관읍 시장1길 3)방문자는 가까운 선별진료소에서 코로나19검사를 받으시기 바랍니다.,cbs,칠곡군청,일,,"[('코로나19검사를 받으시기', 0.5687)]"
2021/11/25 10:27:19,96,경상북도 칠곡군,130878,"금일 확진자10명(동아섬유,윤창섬유 관련 9,기타1)감기의심 증상(기침,열) 발생시 출근자제, 외출자제. 가까운 선별진료소에서 검사 받으시기 바랍니다.",cbs,칠곡군청,"동아섬유,윤창섬유 관련 9,기타1",,"[('관련 기타1 감기의심', 0.617)]"
2021/11/23 14:13:01,96,경상북도 칠곡군,130636,"11.14.(일)~11.21.(일) 언콴타이레스토랑(석적읍 북중리12길 7-1,덕산상가201호)방문자는 선별진료소에서 코로나19검사 받으시기 바랍니다.",cbs,칠곡군청,일,,"[('석적읍 북중리12길 덕산상가201호', 0.4868)]"
2021/11/23 11:10:13,96,경상북도 칠곡군,130612,11.17.(수) ~ 11.22.(월) 세븐일레븐 왜관센터점(왜관읍 전원3길 1) 방문자는 가까운 선별진료소에서 검사 받으시기 바랍니다.,cbs,칠곡군청,수,,"[('세븐일레븐 왜관센터점', 0.5103)]"
2021/11/04 14:50:41,96,경상북도 칠곡군,128367,"11.4. 0시 확진자 10명발생 중 내국인8명(생명길교회 왜관읍 중앙로 10길16·학교관련),태국인2명,유증상시 선별진료소에서 검사받으시기 바랍니다.",cbs,칠곡군청,생명길교회 왜관읍 중앙로 10길16·학교관련,,"[('중앙로 10길16', 0.5059)]"
2021/10/30 11:25:35,96,경상북도 칠곡군,127803,"10.30.0시 기준 확진자 12명 중 외국인9명. 파키스탄 확진자 다수 발생. 사업장, 농장 등 소속외국인은 코로나 검사를 꼭 받으시기 바랍니다.",cbs,칠곡군청,,,"[('확진자 12명 외국인9명', 0.651)]"
2021/10/30 11:25:16,96,경상북도 칠곡군,127802,10.20(수)~10.27(수) 삼부사우나(왜관읍 자조1길 9) 여탕 방문자는 증상유무 상관없이 선별진료소에서 필히 검사 받으시기 바랍니다.,cbs,칠곡군청,수,,"[('여탕 방문자는 증상유무 상관없이', 0.4729)]"
2021/10/26 11:52:38,96,경상북도 칠곡군,127377,"10.22.(금)~10.25.(월) 산호장여관(왜관읍 중앙로5길 10, 왜관역 부근) 방문자는 가까운 선별진료소에서 검사 받으시기 바랍니다.",cbs,칠곡군청,금,,"[('받으시기 바랍니다', 0.5828)]"
2021/10/26 11:52:08,96,경상북도 칠곡군,127376,10.12.(화)~10.24.(일) 삼부사우나(왜관읍 자조1길 9) 여탕 방문자는 가까운 선별진료소에서 검사 받으시기 바랍니다.,cbs,칠곡군청,화,,"[('방문자는 가까운 선별진료소에서', 0.4607)]"
2021/10/24 11:17:54,96,경상북도 칠곡군,127186,"10.4.(월) ~ 10.22.(금) 만남카페(칠곡군 왜관읍 중앙로5길 5-1, 왜관역 부근) 방문자는 가까운 선별진료소에서 코로나19 검사바랍니다.",cbs,칠곡군청,월,,"[('중앙로5길 왜관역 부근 방문자는', 0.5388)]"
2021/10/12 17:55:34,96,경상북도 칠곡군,125993,"늘행복한교회 내 카페'그의 이야기'(왜관), 사랑의교회(달성군), 늘행복한교회(대구북구) 10월 중 방문하신 분은 선별진료소에서 검사받으시기 바랍니다.",cbs,칠곡군청,왜관,,"[('이야기 왜관 사랑의교회 달성군', 0.572)]"
2021/10/12 16:11:20,96,경상북도 칠곡군,125976,"금일 16시기준 코로나19 신규확진자346번~357번 총12명 발생(종교시설관련다수)▲고열,기침 등 증상 시 선별진료소 방문하여 검사받으시기 바랍니다.",cbs,칠곡군청,종교시설관련다수,,"[('357번 총12명 발생', 0.7414)]"
2021/10/07 14:25:15,96,경상북도 칠곡군,125430,9.29(수)~10.6(수) 장안식품(약목면 약목로1길2) 방문자는 10.7(목) 오후 2~3시 약목초등학교 임시선별진료소에서 검사 받으시기 바랍니다.,cbs,칠곡군청,수,,"[('10 오후', 0.5902)]"
2021/10/04 10:50:57,96,경상북도 칠곡군,125034,10.4.~10.17. 거리두기 3단계 연장. 5인이상 사적모임 금지(접종완료자포함 최대8인 가능). 상세지침 홈페이지 참조(chilgok.go.kr),cbs,칠곡군청,접종완료자포함 최대8인 가능,,"[('3단계 연장 5인이상 사적모임', 0.5868)]"
2021/10/01 16:30:08,96,경상북도 칠곡군,124709,"10월 1일 0시 기준 확진자305번~313번(총9명 중 베트남6명)발생 베트남근로자 사업장, 농장등 소속외국인은 코로나 검사를 받으시기 바랍니다.",cbs,칠곡군청,총9명 중 베트남6명,,"[('베트남근로자 사업장 농장등', 0.5761)]"
2021/09/28 13:50:44,96,경상북도 칠곡군,124244,9월28일 0시기준 관내 확진자 7명 중 베트남인(5명)다수발생▲베트남인 고용사업장에서는 예방접종 여부 상관없이 선별진료소로 검사 받으시기 바랍니다.,cbs,칠곡군청,5명,,"[('베트남인 고용사업장에서는', 0.4894)]"
2021/09/26 12:02:28,96,경상북도 칠곡군,123897,"9월26일 0시기준 14명발생(내국인2명, 타지역접촉 베트남12명) 베트남확진자 다수발생. 사업장, 농장등 소속외국인은 코로나검사를 받으시기 바랍니다.",cbs,칠곡군청,"내국인2명, 타지역접촉 베트남12명",,"[('14명발생 내국인2명 타지역접촉 베트남12명', 0.5783)]"
2021/09/25 11:54:30,96,경상북도 칠곡군,123740,"9월25일0시기준 8명발생(내국인1명, 타지역접촉 베트남7명)베트남확진자 다수발생.사업장, 농장등 소속 외국인은 코로나검사를 반드시 받으시기 바랍니다.",cbs,칠곡군청,"내국인1명, 타지역접촉 베트남7명",,"[('베트남확진자 다수발생 사업장 농장등', 0.5481)]"
2021/09/24 11:57:24,96,경상북도 칠곡군,123566,"9.11.~9.20. 베트남 관련 노래연습장, 유흥주점, 음식점, 개업식, 결혼식 및 피로연 방문자는 가까운 선별진료소에서 검사받으시기 바랍니다.",cbs,칠곡군청,,,"[('가까운 선별진료소에서 검사받으시기', 0.2334)]"
2021/09/16 14:23:53,96,경상북도 칠곡군,122414,최근확진자 다수발생과 건강한 추석나기를 위해 코로나 19검사 희망하시는 분은 선별진료소에 검사(무료)받으시기 바랍니다.(운영시간:09:00~16:00),cbs,칠곡군청,무료,,"[('최근확진자 다수발생과 건강한 추석나기를', 0.7109)]"
2021/09/16 13:36:07,96,경상북도 칠곡군,122406,"18~49세 코로나19백신접종예약 9월18일 18시마감 서둘러예약바랍니다▲콜센터(☎1339,보건소)누리집(https://ncvr2.kdca.go.kr)",cbs,칠곡군청,"☎1339,보건소",49세,"[('콜센터 1339', 0.5431)]"
2021/09/15 15:07:31,96,경상북도 칠곡군,122290,9.9(목)~9.14(화)삼부식자재마트내 하루베이커리(왜관읍중앙로73)방문자는 가까운 선별진료소에서 검사받으시길 바랍니다(운영시간09:00~16:00),cbs,칠곡군청,목,,"[('14 삼부식자재마트내', 0.601)]"
2021/09/12 10:28:02,96,경상북도 칠곡군,121911,9.1.~9.7. 삼부사우나(왜관읍 자조1길 9) 남탕방문자 중 코로나19 미검사자는 가까운 선별진료소에서 검사 바랍니다.(운영시간: 09시~15시),cbs,칠곡군청,왜관읍 자조1길 9,,"[('자조1길 남탕방문자 코로나19 미검사자는', 0.5586)]"
2021/09/07 15:06:58,96,경상북도 칠곡군,121320,9.5(일)08:30~10:00 세강사우나(왜관읍 관문로 46)남탕방문자는 가까운 선별진료소에서 검사받으시길 바랍니다.(운영시간:09:00~16:00),cbs,칠곡군청,일,,"[('관문로 46 남탕방문자는 가까운', 0.593)]"
2021/09/07 15:06:31,96,경상북도 칠곡군,121319,9.1(수) ~ 9.6(월) 삼부사우나(왜관읍 자조 1길 9)남탕방문자는 가까운 선별진료소에서 검사 받으시길 바랍니다.(운영시간:09:00~16:00),cbs,칠곡군청,수,,"[('1길 남탕방문자는 가까운', 0.5614)]"
2021/09/06 17:37:26,96,경상북도 칠곡군,121218,"9/3(금)~9/5(일)나드리김밥관호점(약목면 관호8길20)방문자는 가까운 검사소, 선별진료소에 검사 받으시길 바랍니다.(운영시간09:00~16:00)",cbs,칠곡군청,금,,"[('방문자는 가까운', 0.3852)]"
2021/09/06 10:35:46,96,경상북도 칠곡군,121137,"9.6.~10.3.거리두기3단계연장▶5인이상사적모임금지(예방접종완료자포함시최대8인까지가능)▶시설,업종별 상세지침 홈페이지참조 chilgok.go.kr",cbs,칠곡군청,예방접종완료자포함시최대8인까지가능,,"[('시설 업종별 상세지침', 0.3588)]"
2021/09/06 10:03:49,96,경상북도 칠곡군,121123,9/1(수) ~ 9/3(금) 브라더노래연습장(석적읍 남율로15길 23-4) 방문자는 가까운 검사소 또는 선별진료소에서 검사를 받으시기 바랍니다.,cbs,칠곡군청,수,,"[('가까운 검사소', 0.3103)]"
2021/09/05 09:53:18,96,경상북도 칠곡군,121006,삼부사우나(왜관읍 자조 1길 9) 방문일 8.27(금) ~ 8.31(화) 남탕 방문자는 가까운 검사소 및 선별진료소에서 검사받으시기 바랍니다.,cbs,칠곡군청,왜관읍 자조 1길 9,,"[('1길 방문일 27', 0.5151)]"
2021/08/23 10:40:23,96,경상북도 칠곡군,118930,"8.23.~9.5. 사회적 거리두기 3단계 연장 ▲5인 이상 사적 모임 금지 ▲식당, 카페(편의점 및 야외테이블 포함) 22시 이후 음주·취식 금지",cbs,칠곡군청,편의점 및 야외테이블 포함,,"[('식당 카페 편의점', 0.5118)]"
2021/08/09 10:08:34,96,경상북도 칠곡군,116657,"8.9.~8.22.거리두기 3단계연장▶5인이상사적모임금지(직계가족예외없음)▶유흥시설,노래방,목욕장 22시까지▶식당,카페 22시이후 포장,배달만 허용",cbs,칠곡군청,직계가족예외없음,,"[('직계가족예외없음 유흥시설', 0.5174)]"
2021/08/04 14:05:36,96,경상북도 칠곡군,115853,"폭염경보 지속 발효 중, 낮 시간대 외출 자제, 양산 쓰기, 물 마시기, 무더위 쉼터 등 시원한 장소 이용으로 온열질환을 예방 바랍니다.",cbs,칠곡군청,,,"[('지속 발효', 0.67)]"
2021/07/26 16:24:00,96,경상북도 칠곡군,114608,"7.27.~8.8.까지 사회적거리두기 3단계시행▶5인이상사적모임금지▶유흥시설,노래방,목욕장 22시까지 운영▶식당, 카페 22시이후 포장,배달만 허용",cbs,칠곡군청,,,"[('목욕장 22시까지 운영', 0.4788)]"
2021/07/24 15:34:43,96,경상북도 칠곡군,114319,코로나19 예방접종 사전예약 마지막날(금일 18시) 대상:50세-59세(71년-62년생) 온라인 ncvr.kdca.go.kr 979-8255~8256,cbs,칠곡군청,금일 18시,50세,"[('사전예약 마지막날 금일', 0.5685)]"
2021/07/24 11:51:36,96,경상북도 칠곡군,114284,50~59세(71년~62년생) 코로나19 예방접종 사전예약 마지막날입니다. 서둘러 예약해 주시기바랍니다. 온라인예약 (ncvr.kdca.go.kr),cbs,칠곡군청,71년~62년생,59세,"[('59세 71년 62년생', 0.6428)]"
