create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/06 16:15:46,236,충청남도 태안군,206557,"내일까지 강한 바람이 지속되오니 시설물 고정 및 유리 파손 주의, 선박 묶기, 해안가 접근 금지 등 안전에 유의하시기 바랍니다.",cbs,태안군,,,"[('지속되오니 시설물 고정', 0.6867)]"
2023/11/05 19:37:05,236,충청남도 태안군,206472,"태안군 18시 강풍주의보 발효, 외출자제 및 시설물 등 안전 유의/ 집중호우에 따른 침수우려지역 등 위험지역 사전대피",cbs,태안군,,,"[('따른 침수우려지역 위험지역 사전대피', 0.6538)]"
2023/09/20 14:09:12,236,충청남도 태안군,205398,"오늘 14시 호우주의보 발효▲산사태, 하천변, 상습침수지역 등 위험지역 접근을 금지하고 안전에 유의하여 주시기 바랍니다.",cbs,태안군,,,"[('상습침수지역 위험지역 접근을', 0.6593)]"
2023/09/01 18:06:19,236,충청남도 태안군,204786,"9.2.(토)새벽~아침 바닷물수위가 높아질 것으로 예상(대조기)▲항포구,저지대등 침수우려지역 안전관리(차량주차금지 등) 철저▲해안가저지대 접근자제등 주의",cbs,태안군,토,,"[('저지대등 침수우려지역', 0.568)]"
2023/09/01 14:02:37,236,충청남도 태안군,204772,"9.2.(토)새벽~아침 바닷물수위가 높아질 것으로 예상(대조기)▲항포구,저지대등 침수우려지역 안전관리(차량주차금지 등) 철저▲해안가저지대 접근자제등 주의",cbs,태안군,토,,"[('저지대등 침수우려지역', 0.568)]"
2023/08/31 17:50:02,236,충청남도 태안군,204726,"9.1.~9.2.새벽~아침 바닷물 수위가 높아질 것으로 예상(대조기)▲항포구,저지대등 침수우려지역 안전관리(차량주차금지 등)▲해안가저지대 접근자제등 주의",cbs,태안군,대조기,,"[('항포구 저지대등 침수우려지역', 0.6362)]"
2023/08/31 13:56:04,236,충청남도 태안군,204722,"9.1.~9.2.새벽~아침 바닷물수위가 높아질 것으로 예상(대조기)▲항포구,저지대등 침수우려지역 안전관리(차량주차금지 등)▲해안가저지대 접근자제등 주의",cbs,태안군,대조기,,"[('항포구 저지대등 침수우려지역', 0.6475)]"
2023/08/30 17:32:20,236,충청남도 태안군,204684,"8.31.~9.2.새벽~아침 바닷물수위가 높아질 것으로 예상(대조기)▲항포구,저지대등 침수우려지역 안전관리(차량주차금지 등)▲해안가저지대 접근자제등 주의",cbs,태안군,대조기,,"[('항포구 저지대등 침수우려지역', 0.6407)]"
2023/08/30 13:52:22,236,충청남도 태안군,204661,"8.31.~9.2.새벽~아침 바닷물수위가 높아질 것으로 예상(대조기)▲항포구,저지대등 침수우려지역 안전관리(차량주차금지 등)▲해안가저지대 접근자제등 주의",cbs,태안군,대조기,,"[('항포구 저지대등 침수우려지역', 0.6407)]"
2023/08/28 18:08:42,236,충청남도 태안군,204527,"강풍예비특보(29일 새벽00시~06시)▲간판 등 부착물 고정, 선박 결박, 비닐하우스 등 시설물 피해 주의, 해안 접근 금지 등 안전에 주의 바랍니다.",cbs,태안군,29일 새벽00시~06시,,"[('간판 부착물 고정 선박', 0.6625)]"
2023/08/23 13:48:44,236,충청남도 태안군,204202,"우리군 호우경보(산사태주의보)발효/ 돌풍과 함께 천둥,번개를 동반한 시간당 30~60mm의 강한 비예상/호우및낙뢰주의/저지대,산사태위험지역등 즉시대피",cbs,태안군,산사태주의보,,"[('번개를 동반한', 0.5917)]"
2023/08/23 12:24:56,236,충청남도 태안군,204169,"집중호우로 인한 안전사고 유의▲평천교 침수우려로 11:30 부로 출입 통제 중▲저지대, 침수 우려지역 진입 자제▲붕괴, 낙석 등 위험지역 즉시 대피",cbs,태안군,,,"[('저지대 침수 우려지역 진입', 0.5068)]"
2023/08/23 11:30:37,236,충청남도 태안군,204154,오늘 태안군 지역에 많은 비로 산사태 주의보 발령. 산림 주변 야외활동 자제와 입산금지 등 안전에 유의하시기 바랍니다.,cbs,태안군,,,"[('산림 주변 야외활동 자제와', 0.6242)]"
2023/08/23 11:28:13,236,충청남도 태안군,204151,"태안,소원,근흥, 원북,이원 등 시간당60~100mm 호우, 낙뢰예상/해안가,저지대,산사태,침수우려지역 등 위험지역 사전대피/야외활동자제/낙뢰주의",cbs,태안군,,,"[('해안가 저지대 산사태 침수우려지역', 0.5893)]"
2023/08/23 10:32:36,236,충청남도 태안군,204115,"태안,소원,근흥, 원북,이원 등 시간당60~100mm(10~12시) 호우 예상, 해안가,저지대,산사태,침수우려지역 등 위험지역에서는 사전대피 바랍니다.",cbs,태안군,10~12시,,"[('태안 소원', 0.5773)]"
