create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/14 06:25:51,17,강원특별자치도 평창군,206710,금당계곡로(유포리~개수교차로) 도로절개면 낙석으로 통행이 불가하니 안전에 유의하시고 우회하여 주시기 바랍니다.,cbs,평창군,유포리~개수교차로,,"[('안전에 유의하시고', 0.55)]"
2023/11/14 06:08:53,17,강원특별자치도 평창군,206709,평창군 대화면 개수리 산265-3번지 일원에 산사태로 도로 통제가 필요하니 주민여러분께서는 통행을 금하여 주시기 바랍니다.,cbs,평창군,,,"[('통행을 금하여 주시기 바랍니다', 0.4976)]"
2023/09/20 19:34:28,17,강원특별자치도 평창군,205504,"오늘 많은 비가 내리고 있습니다. 하천변 산책로, 계곡, 급경사지 등 위험지역은 출입을 금지하여 주시고 안전사고에 유의하여 주시기 바랍니다.",cbs,평창군,,,"[('비가 내리고 있습니다', 0.6706)]"
2023/08/20 14:38:21,17,강원특별자치도 평창군,203801,20일 14시20분 강원중부산지에 호우주의보가 발효되었습니다. 인근 주민과 행락객들은 피해 대비에 철저를 기하여 주시기 바랍니다.,cbs,평창군,,,"[('행락객들은 피해 대비에', 0.7316)]"
2023/08/10 17:17:27,17,강원특별자치도 평창군,202963,"오늘 16시 평창군(용평, 진부, 대관령)산사태주의보 발령.지속된 강우로 지반이 약한 상태이니 산사태 취약지역 주민분들께서는 안전에 유의하시기 바랍니다.",cbs,평창군,"용평, 진부, 대관령",,"[('산사태주의보 발령 지속된', 0.5787)]"
2023/08/09 16:48:10,17,강원특별자치도 평창군,202093,"태풍 북상중, 강풍 및 집중호우 예상, 간판, 비닐하우스 등 고정, 하천저지대 출입통제중 차량이동 바라며, 외출자제, 태풍 국민행동요령 준수 안전에 유의",cbs,평창군,,,"[('간판 비닐하우스 고정 하천저지대', 0.737)]"
2023/08/06 15:28:41,17,강원특별자치도 평창군,201479,"15시 10분 강원중부산지 호우주의보 발효. 하천변 및 계곡 야영객들은 안전지대로 대피 바라며, 외출 자제 등 안전에 주의하세요.",cbs,평창군,,,"[('야영객들은 안전지대로 대피', 0.6873)]"
2023/08/04 13:45:52,17,강원특별자치도 평창군,201072,"온열질환자가 급증하고 있습니다. 야외활동 자제, 충분한 휴식 및 물 마시기, 무더위쉼터 및 양산 이용 등을 하여 온열질환과 안전사고에 유의 바랍니다.",cbs,평창군,,,"[('야외활동 자제 충분한', 0.7136)]"
2023/07/31 16:58:20,17,강원특별자치도 평창군,200527,"현재 호우주의보 발효, 저지대, 하천변, 하천산책로, 계곡, 산사태 등 위험지역 접근금지, 가족, 이웃과 정보를 공유하는 등 안전에 주의 바랍니다.",cbs,평창군,,,"[('하천변 하천산책로', 0.7012)]"
2023/07/24 15:42:30,17,강원특별자치도 평창군,199702,"최근 우리 군에 미상의 국제우편물이 신고되어 조사 중, 출처가 불분명한 우편물은 개봉하지 마시고 112, 119에 즉시 신고하여 주시기 바랍니다.",cbs,평창군,,,"[('불분명한 우편물은 개봉하지 마시고', 0.7523)]"
2023/07/11 11:26:01,17,강원특별자치도 평창군,196773,"오늘(11일) 평창지역 호우주의보 발효 하천, 계곡, 산사태, 침수우려지역 등 위험지역에 대해서는 접근을 금지하고, 안전에 각별히 유의하시기 바랍니다.",cbs,평창군,11일,,"[('위험지역에 대해서는 접근을', 0.5867)]"
2023/02/06 18:26:29,17,강원도 평창군,192764,"2. 7(화) 06 ~ 21시 평창군 비상저감조치시행. 외출자제, 5등급차량 운행제한, 차량2부제자율동참.,보건용마스크착용 등 건강관리에 유의바랍니다.",cbs,평창군,화,,"[('운행제한 차량2부제자율동참', 0.6565)]"
