create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/08/10 16:43:39,49,경기도 평택시,202943,"금일 평택시 포승읍 지역에 많은 비로 산사태 주의보 발령. 산림 주변 야외활동을 자제하시고, 입산금지 등 안전에 유의하시기 바랍니다.",cbs,평택시,,,"[('평택시 포승읍 지역에', 0.7336)]"
2023/08/10 14:22:04,49,경기도 평택시,202849,"태풍(카눈)북상 중. 가급적 외출을 자제하시기 바라며, 해안가,하천변,세월교 등 위험지역 출입을 자제하고, 낙하물 피해에 유의하시기 바랍니다.",cbs,평택시,카눈,,"[('가급적 외출을 자제하시기 바라며', 0.6283)]"
2023/07/23 15:16:22,49,경기도 평택시,199525,"그동안 내린 비로 지반이 약해져 산사태,비탈면,축대,제방 등 붕괴 징후가 있는 곳에서는 즉시 안전한 곳으로 대피하시고 하천변 산책로 출입을 통제합니다.",cbs,평택시,,,"[('약해져 산사태 비탈면 축대', 0.7027)]"
2023/07/17 16:27:19,49,경기도 평택시,198431,"오늘 자정부터 많은 비가 예상되오니 하천변산책로, 산사태 지역 등 위험 지대에 접근 하지 마시고, 호우 피해가 없도록 안전에 유의하여 주시기 바랍니다.",cbs,평택시,,,"[('유의하여 주시기', 0.7233)]"
2023/07/14 17:09:40,49,경기도 평택시,197493,"현재 호우경보 발효중으로, 많은 비가 예상되오니 하천변, 세월교, 둔치주차장 등 위험지대에 접근 하지마시고, 가급적 외출을 자제하여 주시기 바랍니다.",cbs,평택시,,,"[('가급적 외출을 자제하여 주시기', 0.7673)]"
2023/07/13 17:01:26,49,경기도 평택시,197107,"현재 호우주의보 발효중으로, 많은 비가 예상되오니 하천변, 세월교, 둔치주차장 등 위험지대에 접근 하지마시고, 가급적 외출을 자제하여 주시기 바랍니다.",cbs,평택시,,,"[('가급적 외출을 자제하여 주시기', 0.765)]"
2023/07/04 19:29:38,49,경기도 평택시,196464,금일 dk케미칼(내천리206)에서 발생한 화학사고 대응이 19:18분에 완료되어 실내대피 상황종료. 인근 주민들께서는 일상생활로 복귀하시기 바랍니다.,cbs,평택시,내천리206,,"[('18분에 완료되어 실내대피', 0.5519)]"
2023/07/04 17:42:08,49,경기도 평택시,196444,금일 16시경 서탄면소재 dk케미칼(내천리206)에서 폐질산 탱크에서 노란연기 발생. 인근주민은 외출을 자제하고 창문은 닫아주시고 인근차량은 우회바랍니다,cbs,평택시,내천리206,,"[('노란연기 발생 인근주민은 외출을', 0.621)]"
2023/07/01 12:26:11,49,경기도 평택시,196285,폭염주의보 발효중으로 논밭 및 야외작업자는 수분 섭취와 휴식을 취하여 주시고 노약자분들께서는 외출자제 및 수분 섭취 등 건강관리에 유의바랍니다.,cbs,평택시,,,"[('휴식을 취하여', 0.5303)]"
2023/01/27 12:35:22,49,경기도 평택시,192078,오늘 11:35경 고덕면 해창리 1272-3번지 지하 1층 식당 화재 발생. 이 지역 근처 차량은 우회하여 주시고 인근주민은 신속히 대피바랍니다.,cbs,평택시,,,"[('1층 식당 화재 발생', 0.4692)]"
2023/01/24 10:00:58,49,경기도 평택시,191593,"확진자(평택시민148명)발생/설연휴기간(21~24일) 선별진료소 및 병의원, 약국 운영시간안내 www.pyeongtaek.go.kr/holiday.jsp",cbs,평택시,평택시민148명,,"[('약국 운영시간안내', 0.5234)]"
2023/01/23 10:01:06,49,경기도 평택시,191338,"확진자(평택시민78명)발생/설연휴기간(21~24일) 선별진료소 및 병의원, 약국 운영시간 안내 www.pyeongtaek.go.kr/holiday.jsp",cbs,평택시,평택시민78명,,"[('약국 운영시간 안내', 0.5393)]"
2023/01/22 11:34:12,49,경기도 평택시,191271,"확진자(평택시민155명)발생/설연휴기간(21~24일) 선별진료소 및 병의원, 약국 운영시간안내 www.pyeongtaek.go.kr/holiday.jsp",cbs,평택시,평택시민155명,,"[('발생 설연휴기간 21', 0.5165)]"
2023/01/21 10:06:36,49,경기도 평택시,191145,"확진자(평택시민239명)발생/설연휴기간(21~24일) 선별진료소 및 병의원, 약국 운영시간안내 www.pyeongtaek.go.kr/holiday.jsp",cbs,평택시,평택시민239명,,"[('운영시간안내 www', 0.5008)]"
2023/01/20 09:58:23,49,경기도 평택시,190986,확진자(평택시민284명)발생/코로나19동절기추가접종(2가백신)12세이상 최종접종(2차이상)후 3개월 경과 시 https://ncvr.kdca.go.kr,cbs,평택시,평택시민284명,12세,"[('12세이상 최종접종', 0.5609)]"
2023/01/19 09:57:06,49,경기도 평택시,190866,확진자(평택시민305명)발생/코로나19동절기추가접종(2가백신)12세이상 최종접종(2차이상)후 3개월 경과 시 https://ncvr.kdca.go.kr,cbs,평택시,평택시민305명,12세,"[('12세이상 최종접종', 0.5568)]"
2023/01/18 09:57:37,49,경기도 평택시,190739,확진자(평택시민346명)발생/코로나19동절기추가접종(2가백신)12세이상 최종접종(2차이상)후 3개월 경과 시 https://ncvr.kdca.go.kr,cbs,평택시,평택시민346명,12세,"[('12세이상 최종접종', 0.553)]"
