create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/10/11 08:46:24,49,경기도 평택시,205987,오늘 08:10경 평택시 소사동 235-1 농장화재 발생. 인근 주민은 창문을 닫고 주변 통행 자제 및 우회하시기 바랍니다.,cbs,평택시청,,,"[('주변 통행 자제 우회하시기', 0.4808)]"
2023/08/23 10:57:43,49,경기도 평택시,204127,<민방위 훈련에 따른 차량통제 안내> 금일(23일) 14시부터 청북읍 어연리 동연교차로를 15분간 차량통제하오니 적극 협조 바랍니다.,cbs,평택시청,23일,,"[('금일 23일 14시부터 청북읍', 0.6428)]"
2023/07/30 10:36:07,49,경기도 평택시,200258,"현재 폭염경보 발효중. 고령농업인 및 옥외노동자 야외작업 자제, 예방수칙(수분섭취, 휴식 등) 지키기, 모자나 양산 사용 등 건강에 유의 바랍니다.",cbs,평택시청,"수분섭취, 휴식 등",,"[('모자나 양산', 0.6271)]"
2023/07/21 19:03:14,49,경기도 평택시,199173,대만 등 해외발송 유해물질로 의심되는 우편물을 수령하였을 경우 개봉하지 마시고 즉시 112나 119로 신고하여주시기 바랍니다.,cbs,평택시청,,,"[('우편물을 수령하였을 경우', 0.678)]"
2023/07/15 20:52:26,49,경기도 평택시,198070,통복천 자전거도로 및 산책로 일부 구간이 여전히 침수된 상황으로 사고발생 예방을 위해 통복천 진입을 통제하고자 하오니 협조하여 주시기 바랍니다.,cbs,평택시청,,,"[('구간이 여전히', 0.7317)]"
2022/10/30 12:31:59,49,경기도 평택시,178929,10.29.(토) 이태원 참사 관련 애도를 표합니다. 평택시 거주 실종시민 접수처 안내 드립니다. 재난안전상황실(031-8024-4967~8),cbs,평택시청,토,,"[('29 이태원 참사 관련', 0.5572)]"
2022/08/01 10:11:58,49,경기도 평택시,165854,확진자(평택시민530명)발생/만50세이상(1972년 이전 출생) 및 성인 기저질환자는 코로나19 3차접종 후 4개월 경과시 4차접종 가능합니다.,cbs,평택시청,평택시민530명,50세,"[('발생 만50세이상 1972년 이전', 0.6112)]"
2022/07/30 10:17:52,49,경기도 평택시,165592,확진자(평택시민838명)발생/만50세이상(1972년 이전 출생) 및 성인 기저질환자는 코로나19 3차접종 후 4개월 경과시 4차접종 가능합니다.,cbs,평택시청,평택시민838명,50세,"[('만50세이상 1972년 이전 출생', 0.6156)]"
2022/06/14 17:24:28,49,경기도 평택시,159915,"금일 14:34경 25톤 탱크로리 전복사고발생, 평택시도6호선(송담택지-대반리간)에서 크레인 작업중이오니 이지점을 경유하는 차량은 우회하시기 바랍니다.",cbs,평택시청,송담택지-대반리간,,"[('대반리간 에서', 0.5694)]"
2022/04/03 09:53:52,49,경기도 평택시,150242,"확진자(평택시민2,345명)발생 / 동네병의원 지정 의료기관에서 전화상담 및 처방이 가능하니 평택시 블로그를 참고하시기 바랍니다.",cbs,평택시청,"평택시민2,345명",,"[('블로그를 참고하시기', 0.6274)]"
2022/04/02 11:45:53,49,경기도 평택시,150148,"확진자(평택시민2,761명)발생/동네병의원 지정 의료기관에서 전화상담 및 처방이 가능하니 평택시 블로그를 참고하시기 바랍니다.",cbs,평택시청,"평택시민2,761명",,"[('블로그를 참고하시기', 0.625)]"
2022/01/05 11:23:01,49,경기도 평택시,136967,"3차 접종시 코로나19 감염확률이 대폭낮아집니다. 백신접종에 적극참여해주시고, 사적모임이나 행사자제, 마스크착용 등 방역수칙을 철저히 지켜주시기바랍니다",cbs,평택시청,,,"[('접종시 코로나19 감염확률이', 0.6677)]"
2021/11/13 13:04:53,49,경기도 평택시,129359,"11.10(수)~11.12(금) 고덕삼성AI지식산업센터(고덕중앙로294,SAC센터)방문자 및 근무자는 가까운 선별진료소에서 검사를 받아주시기 바랍니다.",cbs,평택시청,수,,"[('근무자는 가까운 선별진료소에서 검사를', 0.4813)]"
2021/11/05 02:41:10,49,경기도 평택시,128410,11월 05일 0시 경 평택지역 도로공사 중 단선사고로 인하여 SK브로드밴드사의 통신장애 발생 가능성이 있으므로 유의하시기 바랍니다.,cbs,평택시청,,,"[('0시 평택지역 도로공사', 0.5912)]"
2021/08/13 16:43:50,49,경기도 평택시,117426,"우리가 이동하지 않으면 코로나도 이동 할 수 없습니다. 광복절 연휴, 휴가는 집에서 안전하게 보내세요!",cbs,평택시청,,,"[('연휴 휴가는', 0.6697)]"
2021/08/13 16:38:21,49,경기도 평택시,117425,"휴가철 타지역 방문 시 코로나19 전파차단을 위해 고속도로휴게소 선별진료소(안성,이천,화성,용인 상행선)나 평택시보건소에서 검사 받으시기 권고드립니다.",cbs,평택시청,"안성,이천,화성,용인 상행선",,"[('위해 고속도로휴게소 선별진료소', 0.6)]"
2021/06/25 17:15:04,49,경기도 평택시,110005,확진자 1명(관내접촉1)발생. 상세한 사항은 평택시 홈페이지를 참고하세요☞ www.pyeongtaek.go.kr/route,cbs,평택시청,관내접촉1,,"[('1명 관내접촉1', 0.4419)]"
2021/06/12 17:15:05,49,경기도 평택시,108965,"확진자 2명(관내접촉1, 화성시민1)발생. 상세한 사항은 평택시 홈페이지를 참고하세요☞ www.pyeongtaek.go.kr/route",cbs,평택시청,"관내접촉1, 화성시민1",,"[('상세한 사항은 평택시', 0.4141)]"
2021/03/13 10:41:53,49,경기도 평택시,97468,"산불방지와 깨끗한 대기환경을 위해 쓰레기 및 영농부산물 소각, 논·밭두렁 소각행위 금지 바랍니다.",cbs,평택시청,,,"[('영농부산물 소각', 0.644)]"
2021/01/28 14:44:47,49,경기도 평택시,87996,"강풍주의보 발효 중. 공사장 시설물, 건물외부 부착 광고물 낙하주의/비닐하우스 등 농업시설물 결박 / 항포구 접근금지 / 불필요한 외출자제 당부드림",cbs,평택시청,,,"[('발효 공사장 시설물', 0.6953)]"
2021/01/28 10:48:14,49,경기도 평택시,87884,"강풍/풍랑주의보 발효중! ▲공사장 시설물, 간판등 부착물 고정 ▲비닐하우스등 취약시설 점검 고정 ▲선박 어선 결박 등 조치 ▲외출자제등 안전 유의당부",cbs,평택시청,,,"[('시설물 간판등', 0.6944)]"
2021/01/18 06:04:23,49,경기도 평택시,85249,우리시 전역에 5cm정도 강설 ▲출근은 대중교통 이용 ▲눈길 감속운전 ▲노약자 외출자제 ▲빙판길 미끄럼주의 ▲내집앞눈치우기 등 안전에 유의바랍니다.,cbs,평택시청,,,"[('출근은 대중교통', 0.676)]"
