create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/07 09:17:39,50,경기도 포천시,206604,"한파주의보 발효 중. 농작물 냉해 피해 예방조치, 노약자 야외 외출 자제 및 건강 관리 등 안전 수칙을 준수 바랍니다.",cbs,포천시,,,"[('수칙을 준수', 0.6683)]"
2023/08/23 12:05:14,50,경기도 포천시,204166,"금일 11시 40분부로 호우경보 발효. 많은 비가 예상되오니 하천변 산책로,계곡 등 위험지역 접근을 금지하고 안전에 유의하여 주시기 바랍니다.",cbs,포천시,,,"[('호우경보 발효', 0.6644)]"
2023/08/22 15:02:52,50,경기도 포천시,203977,"금일부터 많은 비가 예보되어 있으니 하천, 계곡 등 위험지역 야영 및 접근금지. 반지하 주택 등 저지대 침수우려지역은 안전에 유의하시기 바랍니다.",cbs,포천시,,,"[('야영 접근금지', 0.7325)]"
2023/08/16 11:01:09,50,경기도 포천시,203424,"폭염주의보 발효중입니다. 논밭 밑 옥외노동자 야외작업 자제, 폭염 안전수칙(물, 그늘, 휴식)지키기 등 건강에 유의바랍니다.",cbs,포천시,"물, 그늘, 휴식",,"[('그늘 휴식', 0.5985)]"
2023/08/15 09:31:42,50,경기도 포천시,203294,오늘 09:25경 내촌면 내리 232-3 인근 공장 화재 발생. 이 지역을 우회하여 주시고 인근 주민은 안전사고 발생에 유의 바랍니다.,cbs,포천시,,,"[('인근 주민은 안전사고 발생에', 0.5919)]"
2023/08/10 17:10:26,50,경기도 포천시,202959,"태풍주의보 발효중. 강풍을 동반한 많은 비가 내리고 있으니 외출자제,하천변,산간계곡 등 위험지역 출입금지,옥외시설물 고정 등 안전에 유의하시기 바랍니다.",cbs,포천시,,,"[('동반한 많은 비가', 0.5915)]"
2023/08/09 15:31:04,50,경기도 포천시,202037,"태풍 북상으로 많은 비와 강풍이 예상 되오니, 하천변,산간계곡 등 위험지역 접근 금지, 비닐하우스,간판 등 위험시설물 사전 고정 등 안전에 유의 바랍니다",cbs,포천시,,,"[('위험지역 접근 금지 비닐하우스', 0.6885)]"
2023/08/08 18:01:28,50,경기도 포천시,201807,"태풍 북상으로 인해 9~11일 많은 비와 강풍이 예상되오니, 주변 배수로정비, 옥외시설물 및 농업시설물 고정 등 태풍 대비에 철저를 기해주시기 바랍니다.",cbs,포천시,,,"[('고정 태풍 대비에 철저를', 0.333)]"
2023/08/08 13:01:39,50,경기도 포천시,201726,"포천시 폭염경보 발효중. 물 충분히 마시기, 가족 안부전화, 야외활동 자제, 충분한 휴식 등 건강관리에 유의하시기 바랍니다.",cbs,포천시,,,"[('마시기 가족 안부전화 야외활동', 0.7568)]"
2023/07/30 09:30:09,50,경기도 포천시,200226,연일 폭염으로 무더위 지속. 외출 및 야외활동 자제하여 주시고 충분한 수분 섭취 및 폭염 안전수칙 준수 등 건강관리에 유의바랍니다.,cbs,포천시,,,"[('지속 외출 야외활동 자제하여', 0.7621)]"
2023/07/28 10:56:43,50,경기도 포천시,200033,"포천시 전역 폭염특보 발효중. 낮시간 야외활동(논,밭,공사장 등)자제, 충분한 수분섭취 및 휴식 등 건강관리에 유의하시기 바랍니다.",cbs,포천시,"논,밭,공사장 등",,"[('휴식 건강관리에 유의하시기 바랍니다', 0.5897)]"
2023/07/26 08:48:40,50,경기도 포천시,199796,오늘 포천시 지역에 많은 비로 산사태 주의보 발령. 산림 주변 야외활동 자제와 입산금지 등 안전에 유의하시기 바랍니다.,cbs,포천시,,,"[('포천시 지역에', 0.6279)]"
2023/07/21 16:15:25,50,경기도 포천시,199118,"22일 밤 많은비가 예보되어 금일 호우예비특보가 발표되었으니 하천, 세월교 등 위험지역 접근금지 및 반지하 등 침수위험 지역은 안전에 유의바랍니다.",cbs,포천시,,,"[('하천 세월교 위험지역', 0.5092)]"
2023/07/20 10:08:06,50,경기도 포천시,199033,"폭염경보 발효중. 충분한 수분보충 및 휴식, 장시간 야외활동 자제 등 건강관리에 유의하여 주시기 바랍니다.",cbs,포천시,,,"[('유의하여 주시기', 0.7515)]"
2023/07/14 05:04:30,50,경기도 포천시,197237,"군내면, 화현면 지역에 많은 비로 산사태 주의보 발령. 산림주변 야외활동 자제 및 입산금지 등 안전에 유의하시기 바랍니다.",cbs,포천시,,,"[('발령 산림주변', 0.5791)]"
2023/07/13 19:18:09,50,경기도 포천시,197139,"오늘 21시 호우경보 발효. 밤사이 많은 비가 예상되오니 하천변에 접근하지 마시고, 침수대비 배수시설 점검 등 안전에 유의하시기 바랍니다.",cbs,포천시,,,"[('침수대비 배수시설', 0.6104)]"
2023/07/13 11:36:39,50,경기도 포천시,197054,"금일11시30분부로 호우주의보 발효되었으니 하천, 세월교 등 위험지역 접근을 금지하고 반지하 등 저지대 침수위험 지역 침수시 즉시 대피하시기 바랍니다.",cbs,포천시,,,"[('침수위험 지역 침수시 즉시', 0.6779)]"
2023/07/13 09:38:55,50,경기도 포천시,196993,"오늘부터 많은 비가 예상됩니다. 하천변 산책로, 세월교 등 위험지역 접근 금지 및 외출을 자제하시고, 반지하주택 등 침수 시 즉시 대피 바랍니다.",cbs,포천시,,,"[('자제하시고 반지하주택 침수', 0.6958)]"
2023/07/11 13:04:02,50,경기도 포천시,196786,"오늘 12시 40분부로 호우주의보 발효. 하천 등 위험지역 출입금지 및 반지하,저지대,산사태 위험지역 인근주민은 주의하여 주시기 바랍니다.",cbs,포천시,,,"[('출입금지 반지하 저지대', 0.6343)]"
2023/07/09 09:02:27,50,경기도 포천시,196632,"오늘 08시부로 호우주의보 발효. 하천 등 위험지역 출입금지 및 반지하,저지대,산사태 위험지역 인근주민은 주의하여 주시기 바랍니다.",cbs,포천시,,,"[('반지하 저지대', 0.6908)]"
