create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/24 09:56:43,"8705,8730","경상북도 포항시 남구,경상북도 포항시 북구",206968,"강한 바람 지속 중, 간판 등 부착물 고정, 비닐하우스 등 피해 주의, 낙하물 조심, 선박 결속, 해안 접근 금지, 외출자제 등 안전에 유의 바랍니다",cbs,포항시,,,"[('고정 비닐하우스 피해', 0.667)]"
2023/11/23 17:38:49,"8705,8730","경상북도 포항시 남구,경상북도 포항시 북구",206933,"오늘 밤부터 한파가 예상되오니 농축수산물 피해 예방, 한랭질환 예방, 불필요한 외출 자제, 방한용품착용 등 안전에 유의하여 주시기 바랍니다.",cbs,포항시,,,"[('외출 자제 방한용품착용 안전에', 0.6648)]"
2023/11/18 16:58:57,"8705,8730","경상북도 포항시 남구,경상북도 포항시 북구",206864,"강한 바람 지속 중, 간판 등 부착물 고정, 비닐하우스 등 피해 주의, 낙하물 조심, 선박 결속, 해안 접근 금지, 외출자제 등 안전에 유의 바랍니다",cbs,포항시,,,"[('고정 비닐하우스 피해', 0.667)]"
2023/11/18 11:18:32,"8705,8730","경상북도 포항시 남구,경상북도 포항시 북구",206854,"강한 바람 지속 중, 간판 등 부착물 고정, 비닐하우스 등 피해 유의, 낙하물 주의, 선박 결속, 해안 접근 금지, 외출자제 등 안전에 주의 바랍니다",cbs,포항시,,,"[('강한 바람 지속', 0.6868)]"
2023/11/17 17:07:41,"8705,8730","경상북도 포항시 남구,경상북도 포항시 북구",206779,"11.17.(금)~11.20.(월) 연안사고주의보 발령. 경북 동해안 높은 파도가 예상되어 방파제,갯바위,해안가 등 접근자제 및 안전사고 주의 바랍니다",cbs,포항시,금,,"[('해안가 접근자제 안전사고', 0.6764)]"
2023/11/17 15:44:05,"8705,8730","경상북도 포항시 남구,경상북도 포항시 북구",206773,"강한 바람이 내일 밤까지 지속되니 간판 등 부착물 고정, 선박 묶기, 비닐하우스 등 시설물 피해 주의, 해안 접근 금지 등 안전에 주의 바랍니다.",cbs,포항시,,,"[('부착물 고정 선박', 0.6805)]"
2023/11/10 16:50:09,"8705,8730","경상북도 포항시 남구,경상북도 포항시 북구",206660,"11.10.(금)~11.14.(화) 연안사고 주의보 발령, 경북 동해안 높은 파도 예상, 방파제·갯바위·해안가 등 접근 자제 및 안전사고 주의바랍니다",cbs,포항시,금,,"[('파도 예상 방파제', 0.6486)]"
2023/11/10 14:09:43,"8705,8730","경상북도 포항시 남구,경상북도 포항시 북구",206651,"오늘 밤부터 한파가 예상되오니 농축수산물 피해 예방, 한랭질환 예방, 불필요한 외출 자제, 목도리 등 방한용품착용 등 안전에 유의하여 주시기 바랍니다.",cbs,포항시,,,"[('피해 예방 한랭질환', 0.6928)]"
2023/11/06 09:14:49,"8705,8730","경상북도 포항시 남구,경상북도 포항시 북구",206528,"경북 동해안 풍랑주의보 발효에 따라 해안가 높은 파도가 예상됩니다. 방파제,갯바위,해안가 등 접근을 자제하여 주시고 안전사고에 각별히 주의하시기 바랍니다",cbs,포항시,,,"[('갯바위 해안가 접근을 자제하여', 0.7667)]"
2023/11/05 16:40:09,"8705,8730","경상북도 포항시 남구,경상북도 포항시 북구",206464,"금일 늦은 밤부터 강한 바람이 예상되오니 간판 등 부착물 고정, 선박 묶기, 비닐하우스 등 시설물 피해 주의, 해안 접근 금지 등 안전에 주의 바랍니다.",cbs,포항시,,,"[('강한 바람이 예상되오니 간판', 0.7077)]"
