create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/08/10 14:11:00,"239,249","충청북도 괴산군,충청북도 충주시",202835,"오늘 14:10 달천 괴산군(목도교) 홍수주의보 발령, 방송 등을 통해 홍수상황을 확인하시고, 하천변 이용을 자제하시기 바랍니다.",cbs,한강홍수통제소,목도교,,"[('하천변 이용을', 0.528)]"
2023/07/15 06:17:25,"11,26,40,41,249","강원특별자치도 원주시,경기도 광주시,경기도 양평군,경기도 여주시,충청북도 충주시",197700,"오늘 06:10 한강 여주시(여주대교) 홍수주의보 발령, 방송 등을 통해 홍수상황을 확인하시고, 하천변 이용을 자제하시기 바랍니다.",cbs,한강홍수통제소,여주대교,,"[('통해 홍수상황을 확인하시고', 0.6099)]"
2023/07/15 00:25:28,"37,49,231,234","경기도 안성시,경기도 평택시,충청남도 아산시,충청남도 천안시",197626,"오늘 00:20 안성천 평택시(군문교) 홍수주의보 발령, 방송 등을 통해 홍수상황을 확인하시고, 하천변 이용을 자제하시기 바랍니다.",cbs,한강홍수통제소,군문교,,"[('군문교 홍수주의보 발령 방송', 0.6082)]"
2023/07/14 21:08:12,"37,41,44,47,244","경기도 안성시,경기도 여주시,경기도 용인시,경기도 이천시,충청북도 음성군",197595,"오늘 21:00 청미천 여주시(원부교) 홍수주의보 발령, 방송 등을 통해 홍수상황을 확인하시고, 하천변 이용을 자제하시기 바랍니다.",cbs,한강홍수통제소,원부교,,"[('통해 홍수상황을 확인하시고', 0.6072)]"
2023/07/14 15:57:34,"239,249","충청북도 괴산군,충청북도 충주시",197469,"오늘 15:50 달천 괴산군(목도교) 홍수경보 변경발령, 저지대 침수 및 하천범람 등의 우려가 있으니 피해에 대비 바랍니다.",cbs,한강홍수통제소,목도교,,"[('변경발령 저지대 침수 하천범람', 0.6066)]"
2023/07/14 11:24:23,"239,249","충청북도 괴산군,충청북도 충주시",197378,"오늘 11:20 달천 괴산군(목도교) 홍수주의보 발령, 방송 등을 통해 홍수상황을 확인하시고, 하천변 이용을 자제하시기 바랍니다.",cbs,한강홍수통제소,목도교,,"[('홍수상황을 확인하시고', 0.4222)]"
2023/07/14 05:00:16,"33,44,137,154","경기도 성남시,경기도 용인시,서울특별시 강남구,서울특별시 송파구",197234,"오늘 05:00 탄천 서울시(대곡교) 홍수주의보 발령, 방송 등을 통해 홍수상황을 확인하시고, 하천변 이용을 자제하시기 바랍니다.",cbs,한강홍수통제소,대곡교,,"[('대곡교 홍수주의보', 0.6616)]"
2022/09/05 21:31:36,"15,18,22","강원도 춘천시,강원도 홍천군,경기도 가평군",171409,"오늘 21:30 홍천강 홍천군(홍천교) 홍수주의보 발령, 방송 등을 통해 홍수상황을 확인하시고, 하천변 이용을 자제하시기 바랍니다.",cbs,한강홍수통제소,홍천교,,"[('홍천강 홍천군 홍천교 홍수주의보', 0.5623)]"
2022/09/05 16:57:04,"42,50","경기도 연천군,경기도 포천시",171232,"오늘 17:00 영평천 포천시(영평교) 홍수주의보 발령, 방송 등을 통해 홍수상황을 확인하시고, 하천변 이용을 자제하시기 바랍니다.",cbs,한강홍수통제소,영평교,,"[('방송 등을 통해 홍수상황을', 0.6269)]"
2022/08/11 09:13:28,"10,17","강원도 영월군,강원도 평창군",167404,"오늘 09:10 평창강 평창군(평창교) 홍수주의보 발령, 방송 등을 통해 홍수상황을 확인하시고, 하천변 이용을 자제하시기 바랍니다.",cbs,한강홍수통제소,평창교,,"[('평창군 평창교', 0.6858)]"
