create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/26 10:01:10,80,경상북도 김천시,205728,26일 13시부터 김천부항댐 초당 30톤 이내 수문방류 실시로 하천수위 상승예상. 하천주변에 계신 경우 안전한 곳으로 대피 바랍니다.,cbs,한국수자원공사,,,"[('하천주변에 계신 경우', 0.5395)]"
2023/09/21 15:11:37,"81,83,85,88,90","경상북도 문경시,경상북도 상주시,경상북도 안동시,경상북도 영주시,경상북도 예천군",205621,9월 21일 23시부터 영주댐 초당100톤 이내 수문방류 실시로 하천수위 상승 예상. 하천주변에 계신 경우 안전한 곳으로 대피 바랍니다.,cbs,한국수자원공사,,,"[('안전한 곳으로 대피 바랍니다', 0.575)]"
2023/09/21 05:00:27,"81,83,85,90","경상북도 문경시,경상북도 상주시,경상북도 안동시,경상북도 예천군",205603,9월21일 08시부터 임하댐 최대 초당 500톤이내 수문방류 실시로 하천수위 상승예상. 하천주변에 계신 경우 안전한 곳으로 대피 바랍니다.,cbs,한국수자원공사,,,"[('초당 500톤이내', 0.5944)]"
2023/09/20 18:57:08,"70,182,183,184,190","경상남도 하동군,전라남도 곡성군,전라남도 광양시,전라남도 구례군,전라남도 순천시",205488,9월 21일 10시부터 주암댐 초당 200톤 이내 수문방류로 하류지역 하천수위 상승 예상. 하천주변에 계신 경우 안전한 곳으로 대피 바랍니다.,cbs,한국수자원공사,,,"[('200톤 이내 수문방류로', 0.5854)]"
2023/09/17 08:38:20,"61,64,65,71","경상남도 사천시,경상남도 의령군,경상남도 진주시,경상남도 함안군",205288,"9월 17일(일) 12시부터 남강댐 최대 초당900톤(남강본류 최대 300, 가화천 최대 600) 이내 수문방류 예정. 하천변 출입 자제 요망",cbs,한국수자원공사,일,,"[('9월 17일', 0.569)]"
2023/09/16 18:02:58,"70,182,183,184,190","경상남도 하동군,전라남도 곡성군,전라남도 광양시,전라남도 구례군,전라남도 순천시",205243,9월 16일 21시부터 주암댐 초당 700톤 이내 수문방류로 하류지역 하천수위 상승 예상. 하천주변에 계신 경우 안전한 곳으로 대피 바랍니다.,cbs,한국수자원공사,,,"[('21시부터 주암댐 초당', 0.5491)]"
2023/09/16 11:25:08,"70,182,183,184,190","경상남도 하동군,전라남도 곡성군,전라남도 광양시,전라남도 구례군,전라남도 순천시",205168,9월 16일 15시부터 주암댐 초당 200톤 이내 수문방류로 하류지역 하천수위 상승 예상. 하천주변에 계신 경우 안전한 곳으로 대피 바랍니다.,cbs,한국수자원공사,,,"[('이내 수문방류로 하류지역', 0.5761)]"
2023/09/16 08:37:30,"11,20","강원특별자치도 원주시,강원특별자치도 횡성군",205138,9월 16일 13시부터 횡성댐 초당 80톤 이내 수문방류로 하류지역 하천수위 상승 예상. 하천 주변에 계신 경우 안전한 곳으로 대피바랍니다.,cbs,한국수자원공사,,,"[('하류지역 하천수위 상승', 0.5683)]"
2023/08/30 14:32:52,"64,67,73","경상남도 의령군,경상남도 창녕군,경상남도 합천군",204669,8월 30일 18시부터 합천댐 초당 300톤 이내 수문방류로 하류지역 하천수위 상승 예상. 하천주변에 계신 경우 안전한 곳으로 대피 바랍니다.,cbs,한국수자원공사,,,"[('예상 하천주변에 계신 경우', 0.5889)]"
2023/08/30 14:07:07,80,경상북도 김천시,204664,30일 17시부터 김천부항댐 초당 100톤 이내 수문방류 실시로 하천수위 상승예상. 하천주변에 계신 경우 안전한 곳으로 대피 바랍니다.,cbs,한국수자원공사,,,"[('하천주변에 계신 경우', 0.5586)]"
2023/08/30 13:52:34,60,경상남도 밀양시,204662,8월 30일 17시부터 밀양댐 초당 100톤 이내 수문방류로 하류지역 하천수위 상승 예상. 하천주변에 계신 경우 안전한 곳으로 대피 바랍니다.,cbs,한국수자원공사,,,"[('예상 하천주변에 계신 경우', 0.6054)]"
2023/08/30 13:29:10,"81,83,85,88,90","경상북도 문경시,경상북도 상주시,경상북도 안동시,경상북도 영주시,경상북도 예천군",204657,8월 30일 17시부터 영주댐 초당 200톤 이내 수문방류 실시로 하천수위 상승 예상. 하천주변에 계신 경우 안전한 곳으로 대피 바랍니다.,cbs,한국수자원공사,,,"[('예상 하천주변에 계신 경우', 0.5992)]"
2023/08/30 11:59:41,"70,182,183,184,190","경상남도 하동군,전라남도 곡성군,전라남도 광양시,전라남도 구례군,전라남도 순천시",204653,8월 30일 16시부터 주암댐 초당 200톤 이내 수문방류로 하류지역 하천수위 상승예상. 하천주변에 계신 경우 안전한 곳으로 대피 바랍니다.,cbs,한국수자원공사,,,"[('16시부터 주암댐', 0.599)]"
2023/08/30 10:31:12,"61,64,65,71","경상남도 사천시,경상남도 의령군,경상남도 진주시,경상남도 함안군",204643,"8월30일(수) 14시부터 남강댐 최대 초당2500톤(남강본류 최대 500, 가화천 최대 2000) 이내 수문방류 예정. 하천변 출입 자제 요망",cbs,한국수자원공사,수,,"[('2000 이내 수문방류', 0.577)]"
2023/08/29 14:20:06,"61,65","경상남도 사천시,경상남도 진주시",204549,8월 29일(화) 17시 30분부터 남강댐 가화천 최대 초당 900톤 이내 수문방류 실시로 하천수위 상승예상. 하천변 출입 자제 요망,cbs,한국수자원공사,화,,"[('하천변 출입 자제', 0.5896)]"
2023/08/24 13:59:17,"81,83,85,90","경상북도 문경시,경상북도 상주시,경상북도 안동시,경상북도 예천군",204354,8월24일 17시부터 임하댐 최대 초당 300톤이내 수문방류 실시로 하천수위 상승예상. 하천주변에 계신 경우 안전한 곳으로 대피 바랍니다.,cbs,한국수자원공사,,,"[('계신 경우 안전한 곳으로', 0.6022)]"
2023/08/24 13:27:11,60,경상남도 밀양시,204352,8월 24일 17시부터 밀양댐 초당 100톤 이내 수문방류로 하류지역 하천수위 상승 예상. 하천주변에 계신 경우 안전한 곳으로 대피 바랍니다.,cbs,한국수자원공사,,,"[('이내 수문방류로 하류지역', 0.5924)]"
