create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/08/10 15:28:51,"119,162","부산광역시 전체,울산광역시 전체",202899,동해선(부전~태화강) 전동열차는 안전점검을 마치고 금일 16시부터 운행 예정입니다. 이용에 참고하시기 바랍니다.,cbs,한국철도공사,부전~태화강,,"[('참고하시기 바랍니다', 0.6476)]"
2023/08/10 10:21:32,88,경상북도 영주시,202602,태풍 카눈의 영향으로 안전운행을 위하여 일부열차의 운행이 중지되거나 변경되었습니다. 사전에 열차 운행사항을 확인하여 주시기 바랍니다.,cbs,한국철도공사,,,"[('열차 운행사항을', 0.7226)]"
2023/08/09 19:06:58,"119,162","부산광역시 전체,울산광역시 전체",202179,태풍 카눈의 영향으로 8월 10일 첫차부터 동해선 전동열차 운행이 중지됩니다. 안전이 확보되어 운행이 재개될 경우 안내해 드리겠습니다.,cbs,한국철도공사,,,"[('안전이 확보되어 운행이', 0.551)]"
2023/07/21 09:19:42,88,경상북도 영주시,199081,"오늘부터 중앙선 KTX-이음 및 일반 열차 정상 운행하오니, 열차 이용에 참고하시기 바랍니다.(영동선 및 경북선 열차는 당분간 운행 중지)",cbs,한국철도공사,영동선 및 경북선 열차는 당분간 운행 중지,,"[('영동선 경북선 열차는', 0.5424)]"
2023/05/25 13:47:27,"21,136,168","경기도 전체,서울특별시 전체,인천광역시 전체",195205,"오늘 13:26분부터 수인분당선 열차 운행(서행)을 재개하오니, 열차 이용에 참고하시기 바랍니다.",cbs,한국철도공사,서행,,"[('26분부터 수인분당선 열차', 0.5079)]"
2023/05/25 13:16:56,"21,136,168","경기도 전체,서울특별시 전체,인천광역시 전체",195203,"오늘 11:08분경 수인분당선 선로 침수로 왕십리~선릉역 간 열차 운행이 일시 중지되었으니, 타 교통 수단을 이용하시기 바랍니다.",cbs,한국철도공사,,,"[('08분경 수인분당선 선로 침수로', 0.5963)]"
2020/12/01 07:54:03,"204,211,227,229,230,231,233,234,237","전라북도 군산시,전라북도 익산시,충청남도 보령시,충청남도 서산시,충청남도 서천군,충청남도 아산시,충청남도 예산군,충청남도 천안시,충청남도 홍성군",68967,철도노조 태업으로 새마을호/무궁화열차 운행이 중지 또는 지연되고 있습니다. 철도이용 계획이 있으신 바쁜 주민께서는 타교통편을 이용하시기 바랍니다.,cbs,한국철도공사,,,"[('지연되고 있습니다 철도이용 계획이', 0.6387)]"
2020/11/30 07:30:31,"204,211,227,229,230,231,233,234,237","전라북도 군산시,전라북도 익산시,충청남도 보령시,충청남도 서산시,충청남도 서천군,충청남도 아산시,충청남도 예산군,충청남도 천안시,충청남도 홍성군",68709,철도노조 태업으로 새마을호/무궁화열차 운행이 중지 또는 지연되고 있습니다. 철도이용 계획이 있으신 바쁜 주민께서는 타교통편을 이용하시기 바랍니다.,cbs,한국철도공사,,,"[('지연되고 있습니다 철도이용 계획이', 0.6387)]"
2020/11/29 08:23:10,"204,211,227,229,230,231,233,234,237","전라북도 군산시,전라북도 익산시,충청남도 보령시,충청남도 서산시,충청남도 서천군,충청남도 아산시,충청남도 예산군,충청남도 천안시,충청남도 홍성군",68482,철도노조 태업으로 새마을호/무궁화열차 운행이 중지 또는 지연되고 있습니다. 철도이용 계획이 있으신 바쁜 주민께서는 타교통편을 이용하시기 바랍니다.,cbs,한국철도공사,,,"[('지연되고 있습니다 철도이용 계획이', 0.6387)]"
2020/11/28 08:25:34,"204,211,227,229,230,231,233,234,237","전라북도 군산시,전라북도 익산시,충청남도 보령시,충청남도 서산시,충청남도 서천군,충청남도 아산시,충청남도 예산군,충청남도 천안시,충청남도 홍성군",68175,철도노조 태업으로 새마을호/무궁화열차 운행이 중지 또는 지연되고 있습니다. 철도이용 계획이 있으신 바쁜 주민께서는 타교통편을 이용하시기 바랍니다.,cbs,한국철도공사,,,"[('지연되고 있습니다 철도이용 계획이', 0.6387)]"
