create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/18 09:46:26,71,경상남도 함안군,206852,산인면 신당고개 염화칼슘 살포하였으나 결빙구간 차량 서행으로 정체중. 안전사고에 유의바랍니다.,cbs,함안군,,,"[('결빙구간 차량', 0.6814)]"
2023/10/04 08:02:14,71,경상남도 함안군,205844,"오늘 06:51경 중부내륙고속도로(창녕→창원 방향) 칠원 JC부근 교통사고 발생으로 1,2차로 전면 차단. 칠서 IC 진출 후 국도 우회 바랍니다.",cbs,함안군,창녕→창원 방향,,"[('중부내륙고속도로 창녕', 0.6605)]"
2023/09/03 13:34:54,71,경상남도 함안군,204848,"가야읍에서 배회중인 강덕봉씨(남,91세 치매)를 찾습니다-155cm, 청록반팔, 검정바지, 하얀중절모, 지팡이소지 함안군청(055-580-2222)",cbs,함안군,"남,91세 치매",91세,"[('91세 치매 찾습니다 155cm', 0.5238)]"
2023/08/29 11:19:38,71,경상남도 함안군,204539,"오늘 11:03경 남해고속도로(부산방향) 산인톨게이트 부근 5중추돌사고 발생, 양뱡향 교통정체 중이니 우회도로를 이용하여주시기 바랍니다.",cbs,함안군,부산방향,,"[('남해고속도로 부산방향 산인톨게이트', 0.566)]"
2023/08/24 18:21:30,71,경상남도 함안군,204401,"내일 오전까지 많은 비가 예상되므로 하천변 저지대, 급경사지 등 위험지역 출입을 삼가하여 주시고, 퇴근길 차량 운행에 유의 바랍니다.",cbs,함안군,,,"[('주시고 퇴근길 차량 운행에', 0.7212)]"
2023/08/23 11:54:32,71,경상남도 함안군,204163,"오늘23일 14시 민방위 대피훈련 실시, 경보 시 가까운 대피로소 대피, 군청~가야초등학교 구간 15분간 차량통제 예정, 훈련에 적극 협조 바랍니다.",cbs,함안군,,,"[('15분간 차량통제 예정 훈련에', 0.6061)]"
2023/08/15 16:35:53,71,경상남도 함안군,203387,"현재 우리군에 폭염주의보가 발효중이니, 야외활동 및 작업을 자제하여 주시고 충분한 수분섭취와 그늘 및 무더위 쉼터를 이용하여 주시기 바랍니다.",cbs,함안군,,,"[('발효중이니 야외활동 작업을 자제하여', 0.6339)]"
2023/08/14 11:31:10,71,경상남도 함안군,203230,"폭염주의보 발효 중, 온열질환 예방을 위해 낮시간 야외활동 자제, 충분한 수분섭취와 휴식, 주변 노약자분들께 안부전화 등 안전수칙을 준수바랍니다.",cbs,함안군,,,"[('자제 충분한 수분섭취와', 0.6848)]"
2023/08/13 12:16:46,71,경상남도 함안군,203142,"함안지역 폭염주의보가 지속 중입니다. 가장 무더운 낮에는 가급적 야외활동을 자제하시고, 충분한 휴식으로 건강에 유의 바랍니다.",cbs,함안군,,,"[('유의 바랍니다', 0.658)]"
2023/08/12 13:34:04,71,경상남도 함안군,203086,"폭염주의보 발효중, 온열질환 발생 가능성이 높으니 야외 활동자제(논밭, 공사장, 비닐하우스), 충분한 물 마시기, 양산착용 등 건강에 유의하시기 바랍니다",cbs,함안군,"논밭, 공사장, 비닐하우스",,"[('활동자제 논밭 공사장', 0.6137)]"
2023/08/11 09:15:03,71,경상남도 함안군,203043,"낙동강 홍수주의보 발령 중. 낙동강 수위 상승에 따라 주변 침수위험이 있으니, 인근 주민들께서는 저지대 등 출입하지 마시기 바라며 안전에 유의바랍니다.",cbs,함안군,,,"[('상승에 따라 주변 침수위험이', 0.7123)]"
2023/08/10 22:05:17,71,경상남도 함안군,203021,함안군 낙동강 하류 홍수 주의보 발령으로 하천변 산책로 등 이용을 자제하여 주시고 저지대 및 지하시설 침수 및 하천 범람 등에 유의 바랍니다.,cbs,함안군,,,"[('발령으로 하천변 산책로', 0.6969)]"
2023/08/10 09:57:25,71,경상남도 함안군,202557,"함안군 하천변 등 위험지역 접근금지 등 안전에 주의 바라며, 중검교, 상검교 교통통제 및 인근 거주민 대피에 협조 바랍니다.",cbs,함안군,,,"[('바라며 중검교 상검교 교통통제', 0.6961)]"
2023/08/10 09:10:47,71,경상남도 함안군,202508,현재 저수지 방류중으로 하류부 주민들의 통행 및 안전에 유의하여 주시기 바랍니다.,cbs,함안군,,,"[('방류중으로 하류부', 0.6843)]"
2023/08/10 08:38:28,71,경상남도 함안군,202468,도로 침수로 인하여 8월10일 08:30시부터 검암지하차도 통제하오니 안전에 유의하여 주시기 바랍니다.,cbs,함안군,,,"[('인하여 8월10일', 0.6704)]"
2023/08/10 08:11:37,71,경상남도 함안군,202438,"함안군 집중호우로 인해 도로 일부 구간 침수로 서행하여 안전 운전 바라며, 산지 인근, 하천변 등 위험지역 접근금지 등 외출 자제 바랍니다.",cbs,함안군,,,"[('침수로 서행하여 안전', 0.7508)]"
2023/08/10 06:57:23,71,경상남도 함안군,202338,"현재 태풍 근접으로 강한 비와 강풍이 예상됩니다. 외출자제, 낙하물 2차피해 주의, 하천산책로, 계곡, 산간위험지역 출입금지 등 안전에 유의 바랍니다.",cbs,함안군,,,"[('비와 강풍이', 0.6854)]"
2023/08/09 22:02:33,71,경상남도 함안군,202247,함안군 산사태 주의보 발령. 산림 주변 위험지역 통행 금지 및 산지 부근 거주민께서는 안전에 유의바라며 대피명령 시 즉각 대피 바랍니다.,cbs,함안군,,,"[('거주민께서는 안전에 유의바라며', 0.6986)]"
2023/08/09 20:36:34,71,경상남도 함안군,202214,"태풍 북상에 따라 하천변 등 위험지역 접근금지, 논밭 관리행위 자제, 야외 활동 자제, 산림 주변 거주민 사전 대피 등 안전에 주의 바랍니다.",cbs,함안군,,,"[('안전에 주의 바랍니다', 0.7088)]"
2023/08/09 15:00:20,71,경상남도 함안군,202013,"태풍(집중호우, 강풍 등) 관련 정보를 공유하고, 하천변 산책로 등 위험지역 접근금지, 논밭 관리행위 자제 등 안전에 주의 바랍니다.",cbs,함안군,"집중호우, 강풍 등",,"[('강풍 관련', 0.7062)]"
2023/08/09 10:21:01,71,경상남도 함안군,201886,"태풍 북상으로 인한 강풍에 대비해 비닐하우스, 간판 및 임시가설물 등을 미리 고정·결박하시고 집 주변 배수로를 미리 점검해주시길 바랍니다.",cbs,함안군,,,"[('미리 점검해주시길', 0.6654)]"
2023/08/08 14:03:03,71,경상남도 함안군,201752,"8일 16시부터 남강댐 최대 초당3,000톤(남강본류 최대 600, 가화천 최대 2400)이내 수문방류 예정. 하천변 출입 자제 요망",cbs,함안군,"남강본류 최대 600, 가화천 최대 2400",,"[('600 가화천', 0.6003)]"
2023/08/08 13:52:54,71,경상남도 함안군,201744,8일 16시부터 합천댐 초당300톤이내 수문방류 실시로 하천수위 상승예상. 하천주변에 계신 경우 안전한 곳으로 대피 바랍니다.,cbs,함안군,,,"[('경우 안전한 곳으로', 0.5456)]"
2023/08/07 11:13:43,71,경상남도 함안군,201552,"경남내 온열질환 사망자 4명 발생. 낮시간 대에는 외출 및 야외활동을 삼가주시고, 물 많이 마시기/그늘에서 충분한 휴식하기 등 안전에 유의바랍니다.",cbs,함안군,,,"[('사망자 4명 발생', 0.5918)]"
2023/08/06 15:11:14,71,경상남도 함안군,201474,"폭염 경보 발효 중, 온열질환 발생 가능성이 매우 높겠으니 무더위 시간대(2~5시) 야외 작업, 장시간 농사일, 나홀로 비닐하우스 작업 금지 바랍니다.",cbs,함안군,2~5시,,"[('발생 가능성이 매우 높겠으니', 0.5584)]"
2023/08/06 11:38:33,71,경상남도 함안군,201404,"폭염 경보 발효 중, 온열질환 발생 가능성이 매우 높겠으니 무더위 시간대 야위 작업피하기, 장시간 농사일 나홀로 비닐하우스 작업을 금지하시기 바랍니다",cbs,함안군,,,"[('가능성이 매우', 0.6397)]"
2023/08/05 13:04:33,71,경상남도 함안군,201237,"경남 내 온열질환자 110명, 사망자 4명 발생. 가족 안부전화, 양산쓰기, 10시~16시 야외활동 중지, 충분한 휴식 등 폭염 건강관리에 유의바랍니다.",cbs,함안군,,,"[('사망자 4명 발생', 0.7008)]"
2023/08/03 15:09:09,71,경상남도 함안군,200956,"폭염 경보 발효 중, 온열질환 발생 가능성이 매우 높겠으니 무더위 시간대(2~5시) 야외 작업, 장시간 농사일, 나 홀로 비닐하우스 작업 금지 바랍니다",cbs,함안군,2~5시,,"[('홀로 비닐하우스 작업 금지', 0.5748)]"
2023/08/03 10:22:49,71,경상남도 함안군,200853,"폭염 경보 발효 중, 온열질환 발생 가능성이 매우 높겠으니 무더위 시간대 야외 작업 피하기, 장시간 농사일, 나 홀로 비닐하우스 작업 금지 바랍니다",cbs,함안군,,,"[('발효 온열질환 발생 가능성이', 0.7368)]"
2023/08/02 15:26:58,71,경상남도 함안군,200811,폭염 지속 중 ▲경남 내 온열질환 사망자 4명 발생▲임산부 및 노약자 야외활동 자제 ▲충분한 수분섭취 ▲휴식시간 자주 가지기 등 건강에 유의바랍니다.,cbs,함안군,,,"[('건강에 유의바랍니다', 0.7081)]"
2023/08/02 11:14:10,71,경상남도 함안군,200746,"폭염경보 발효중. 최고35도 이상. 경남내 온열질환자 4명발생. 고령농업인 및 옥외노동자 등 야외활동 자제, 수분섭취 및 그늘휴식등 건강에 유의바랍니다.",cbs,함안군,,,"[('수분섭취 그늘휴식등 건강에', 0.5475)]"
2023/07/31 16:34:50,71,경상남도 함안군,200524,"폭염경보가 계속되고 있으니 고령농업인(논,밭,온실 등), 건설야외근로자, 야외활동자 등 폭염 안전수칙(물, 그늘, 휴식) 준수하여 건강에 유의 바랍니다.",cbs,함안군,"논,밭,온실 등",,"[('계속되고 있으니 고령농업인 온실', 0.6488)]"
2023/07/29 14:29:32,71,경상남도 함안군,200175,"함안 폭염경보 발효. 낮시간 야외활동 자제, 물 자주 마시기(외출 시 생수 지참), 작업자 휴식취하기, 부모님 안부전화 등 건강관리에 유의바랍니다.",cbs,함안군,외출 시 생수 지참,,"[('생수 지참 작업자', 0.727)]"
2023/07/28 15:41:46,71,경상남도 함안군,200076,"현재 폭염경보 발효 중. 온실, 비닐하우스 등 농작업 주의, 충분한 물 섭취, 그늘 및 휴식 등 건강에 유의하시기 바랍니다.",cbs,함안군,,,"[('농작업 주의', 0.6889)]"
2023/07/24 13:39:50,71,경상남도 함안군,199677,"오늘 13시 호우주의보 발효. 저지대, 침수 우려지역 등 위험지역 출입을 자제하시고 빗길 안전에 유의하시기 바랍니다.",cbs,함안군,,,"[('자제하시고 빗길 안전에 유의하시기', 0.5726)]"
2023/07/18 14:21:05,71,경상남도 함안군,198669,"산사태 주의보 지역 확대(법수,대산,칠서,칠북,산인,여항,가야,칠원,함안), 산림지역 접근 자제 등 안전에 유의바랍니다.",cbs,함안군,"법수,대산,칠서,칠북,산인,여항,가야,칠원,함안",,"[('칠원 함안 산림지역 접근', 0.685)]"
2023/07/18 10:55:34,71,경상남도 함안군,198601,"금일 함안군(대산,칠서,군북) 11:00 산사태 주의보 발령. 산림 주변 위험지역 통행 금지 및 대피명령 있을 시 대피장소나 안전지대로 대피 바랍니다.",cbs,함안군,"대산,칠서,군북",,"[('산림 주변 위험지역 통행', 0.5926)]"
2023/07/18 07:25:23,71,경상남도 함안군,198543,"그동안 내린 비로 지반이 약해져 있어 산사태, 낙석 등이 우려되니 경사가 가파른 위험지역에 접근을 자제해주시고 출근길 빗길 안전에 유의하시기 바랍니다.",cbs,함안군,,,"[('산사태 낙석 등이', 0.7344)]"
2023/07/17 14:06:21,71,경상남도 함안군,198406,"현재 낙동강, 남강 상류지역의 많은 비로 함안군 지류하천의 수위가 계속 상승 중이므로 저지대 및 하천변 이용 자제 바라며 안전에 유의하시기 바랍니다.",cbs,함안군,,,"[('상승 중이므로 저지대 하천변', 0.7351)]"
2023/07/17 11:15:33,71,경상남도 함안군,198395,7월 17일 10:37 경남 함안군 동북동쪽 16km 지역 규모2.4 지진발생/추가 지진 발생상황에 대비하여 안전에 유의 바랍니다.,cbs,함안군,,,"[('37 경남', 0.4579)]"
2023/07/17 07:19:50,71,경상남도 함안군,198368,"계속된 장맛비로 산사태 위험이 매우 높습니다. 옹벽 및 축대 붕괴, 낙석 등이 우려되니 경사가 가파른 위험지역 접근을 삼가주시기 바랍니다.",cbs,함안군,,,"[('우려되니 경사가', 0.7174)]"
2023/07/16 15:49:55,71,경상남도 함안군,198255,"현재 홍수주의보(칠서면 계내리) 발령중으로 하천변 산책로, 산사태 취약지역, 농수로 등 위험지역은 접근하지 마시고, 외출 자제 등 안전에 유의바랍니다.",cbs,함안군,칠서면 계내리,,"[('취약지역 농수로 위험지역은 접근하지', 0.7331)]"
