create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/02/10 06:41:35,71,경상남도 함안군,192877,"계속된 눈으로 도로상황이 악화되어 가야, 칠원-합성동, 남마산 방면 노선 외에는 대중교통 운행을 별도 통보시까지 중단합니다.",cbs,함안군청,,,"[('남마산 방면 노선', 0.7162)]"
2023/02/10 05:59:56,71,경상남도 함안군,192870,"대설주의보로 인한 적설로 도로 결빙 및 미끄럼 사고가 우려되오니, 출근 시 사고가 발생 하지 않도록 서행 운전 및 안전에 유의하여 주시기 바랍니다.",cbs,함안군청,,,"[('서행 운전', 0.7361)]"
2023/02/06 09:16:21,71,경상남도 함안군,192725,"▲1월30일부터 실내 마스크 착용의무 권고로 전환▲단,감염취약시설, 의료기관, 약국 및 대중교통수단 실내 착용의무 유지▲동절기 코로나19 추가접종 참여",cbs,함안군청,,,"[('전환 감염취약시설 의료기관 약국', 0.705)]"
2023/02/01 15:34:34,71,경상남도 함안군,192505,오늘 14:00경 함안군 대산면 장암리 산8 산불 발생. 입산을 자제하고 인근 주민과 등산객은 안전사고 발생에 주의하시기 바랍니다.,cbs,함안군청,,,"[('산8 산불 발생', 0.6657)]"
2023/01/30 09:12:47,71,경상남도 함안군,192317,"▲1월 30일부터 실내 마스크 착용의무 권고로 전환▲단, 감염취약시설,의료기관,약국 및 대중교통수단 실내 착용의무 유지▲동절기 코로나19 추가접종 참여",cbs,함안군청,,,"[('착용의무 유지', 0.6671)]"
2023/01/29 09:32:45,71,경상남도 함안군,192242,"▲1월 30일부터 실내 마스크 착용 권고로 조정▲감염취약시설, 의료기관, 약국 및 대중교통수단 실내 착용 의무 유지 ▲동절기 코로나19 추가접종 참여",cbs,함안군청,,,"[('약국 대중교통수단 실내 착용', 0.6255)]"
2023/01/27 18:36:25,71,경상남도 함안군,192129,"▲1월30일 부터 실내 마스크 착용 권고로 조정▲감염취약시설, 의료기관, 약국 및 대중교통수단의 실내 착용 의무 유지▲동절기 코로나19 추가접종 참여",cbs,함안군청,,,"[('조정 감염취약시설 의료기관', 0.7221)]"
2023/01/25 09:01:24,71,경상남도 함안군,191764,1월25일0시 기준 확진자 13명 발생 ▲12세이상 동절기 코로나19 추가접종(2가 백신) 실시 ▲예약 ncvr.kdca.go.kr ☎1339,cbs,함안군청,2가 백신,12세,"[('12세이상 동절기', 0.5245)]"
2023/01/25 07:00:45,71,경상남도 함안군,191740,"올 겨울 최고의 한파로 날씨가 매우 춥겠습니다. 외출 시 목도리, 모자 등 보온에 신경쓰시기 바라며 출근길 빙판길 등 안전에 유의하시기 바랍니다.",cbs,함안군청,,,"[('목도리 모자 보온에', 0.5974)]"
2023/01/24 09:01:44,71,경상남도 함안군,191552,"1월24일0시 기준 확진자 19명 발생▲동절기 코로나19 추가접종 실시▲설연휴 문 여는 병·의원, 약국 안내https://buly.kr/1c47ZmG",cbs,함안군청,,,"[('여는 의원 약국', 0.6826)]"
2023/01/23 09:14:00,71,경상남도 함안군,191320,"1월23일0시 기준 확진자 1명 발생 ▲동절기 코로나19 추가접종 실시▲설연휴 문 여는 병·의원, 약국 안내https://buly.kr/1c47ZmG",cbs,함안군청,,,"[('여는 의원', 0.6458)]"
2023/01/22 09:05:56,71,경상남도 함안군,191219,"1월22일0시 기준 확진자 8명 발생 ▲동절기 코로나19 추가접종 실시▲설연휴 문 여는 병·의원, 약국 안내https://buly.kr/1c47ZmG",cbs,함안군청,,,"[('발생 동절기', 0.6361)]"
2023/01/21 09:06:28,71,경상남도 함안군,191115,"1월21일0시 기준 확진자 9명 발생 ▲동절기 코로나19 추가접종 실시▲설연휴 문 여는 병·의원, 약국 안내https://buly.kr/1c47ZmG",cbs,함안군청,,,"[('의원 약국 안내https', 0.6255)]"
