create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/03/10 17:20:07,72,경상남도 함양군,193425,날씨가 건조하여 산불위험이 매우 높습니다. ▲ 산림연접지 불법소각 절대 금지 ▲ 입산시 화기소지 금지 꼭 지켜주시기 바랍니다.,cbs,함양군청,,,"[('금지 지켜주시기 바랍니다', 0.6446)]"
2023/02/10 06:39:37,72,경상남도 함양군,192876,"대설주의보 발효중. 대설로 인한 도로결빙, 낙상사고에 주의바라며 내 집앞·점포 앞 눈치우기, 농·축산 시설물 피해예방조치 바랍니다",cbs,함양군청,,,"[('대설로 인한 도로결빙 낙상사고에', 0.7332)]"
2023/01/24 09:10:26,72,경상남도 함양군,191560,"1. 24(화)확진자 9명 발생 ▶동절기 추가접종 참여 ▶설연휴 문여는 병의원,약국현황 https://www.hygn.go.kr/main.web 참조",cbs,함양군청,화,,"[('9명 발생 동절기', 0.5445)]"
2023/01/23 08:49:34,72,경상남도 함양군,191309,"1. 23(월)확진자 11명 발생 ▶동절기 추가접종 참여 ▶설연휴 문여는 병의원,약국현황 https://www.hygn.go.kr/main.web참조",cbs,함양군청,월,,"[('동절기 추가접종', 0.5922)]"
2023/01/22 08:45:00,72,경상남도 함양군,191211,"1. 22(일)확진자 11명 발생 ▶동절기 추가접종 참여 ▶설연휴 문여는 병의원,약국현황 https://www.hygn.go.kr/main.web 참조",cbs,함양군청,일,,"[('설연휴 문여는', 0.5411)]"
2023/01/21 08:43:21,72,경상남도 함양군,191104,"1.21(토)확진자 12명 발생 ▶동절기 추가접종 참여 ▶설연휴 문여는 병의원,약국현황 https://www.hygn.go.kr/main.web 참조",cbs,함양군청,토,,"[('확진자 12명 발생', 0.5979)]"
2023/01/20 08:42:18,72,경상남도 함양군,190955,1. 20(금) 확진자 27명 발생 ▶동절기 추가접종 참여 당부 드립니다. ▶예약없이 당일 접종 가능 ▶(문의)☏ 055-960-8040,cbs,함양군청,금,,"[('접종 가능 문의', 0.5673)]"
2023/01/19 08:24:23,72,경상남도 함양군,190824,1. 19(목) 확진자 11명 발생 ▶동절기 추가접종 참여 당부 드립니다. ▶예약없이 당일 접종 가능 ▶(문의) ☏ 055-960-8040,cbs,함양군청,목,,"[('발생 동절기', 0.6217)]"
2023/01/18 08:45:16,72,경상남도 함양군,190704,1. 18(수) 확진자 15명 발생 ▶동절기 추가접종 참여 당부 드립니다. ▶예약없이 당일 접종 가능 ▶(문의)☏ 055-960-8040,cbs,함양군청,수,,"[('드립니다 예약없이 당일 접종', 0.5844)]"
2023/01/17 08:26:37,72,경상남도 함양군,190570,1. 17(화) 확진자 20명 발생 ▶동절기 추가접종 참여 당부 드립니다. ▶예약없이 당일 접종 가능 ▶(문의)☏ 055-960-8040,cbs,함양군청,화,,"[('추가접종 참여', 0.6233)]"
2023/01/16 08:12:16,72,경상남도 함양군,190436,1. 16(월) 확진자 11명 발생 ▶만12세이상 동절기 추가접종예약 https://ncvr.kdca.go.kr ☏055-960-8040,cbs,함양군청,월,12세,"[('발생 만12세이상', 0.4134)]"
2023/01/15 08:24:06,72,경상남도 함양군,190276,1. 15(일) 확진자 14명 발생 ▶만12세이상 동절기 추가접종예약 https://ncvr.kdca.go.kr ☏055-960-8040,cbs,함양군청,일,12세,"[('추가접종예약 https ncvr kdca', 0.4033)]"
2023/01/14 08:51:06,72,경상남도 함양군,190133,1. 14(토) 확진자 11명 발생 ▶만12세이상 동절기 추가접종예약 https://ncvr.kdca.go.kr ☏055-960-8040,cbs,함양군청,토,12세,"[('ncvr kdca', 0.4368)]"
2023/01/13 08:37:11,72,경상남도 함양군,189976,1. 13(금) 확진자 23명 발생 ▶만12세이상 동절기 추가접종예약 https://ncvr.kdca.go.kr ☏055-960-8040,cbs,함양군청,금,12세,"[('kdca kr 055 960', 0.391)]"
2023/01/12 08:52:49,72,경상남도 함양군,189841,1. 12(목) 확진자 16명 발생 ▶만12세이상 동절기 추가접종예약 https://ncvr.kdca.go.kr ☏055-960-8040,cbs,함양군청,목,12세,"[('kdca kr 055 960', 0.4244)]"
2023/01/11 08:46:50,72,경상남도 함양군,189709,1. 11(수) 확진자 25명 발생 ▶만12세이상 동절기 추가접종예약 https://ncvr.kdca.go.kr ☏055-960-8040,cbs,함양군청,수,12세,"[('kr 055', 0.3835)]"
2023/01/10 08:42:34,72,경상남도 함양군,189580,1. 10(화) 확진자 27명 발생 ▶만12세이상 동절기 추가접종예약 https://ncvr.kdca.go.kr ☏055-960-8040,cbs,함양군청,화,12세,"[('kr 055', 0.3658)]"
2023/01/09 08:32:32,72,경상남도 함양군,189442,1. 9(월) 확진자 14명 발생 ▶만12세이상 동절기 추가접종예약 https://ncvr.kdca.go.kr ☏055-960-8040,cbs,함양군청,월,12세,"[('https ncvr kdca kr', 0.3817)]"
2023/01/08 09:04:13,72,경상남도 함양군,189315,1. 8(일) 확진자 24명 발생 ▶만12세이상 동절기 추가접종예약 https://ncvr.kdca.go.kr ☏055-960-8040,cbs,함양군청,일,12세,"[('추가접종예약 https ncvr kdca', 0.3825)]"
2023/01/07 09:05:07,72,경상남도 함양군,189168,1. 7(토) 확진자 17명 발생 ▶만12세이상 동절기 추가접종예약 https://ncvr.kdca.go.kr ☏055-960-8040,cbs,함양군청,토,12세,"[('발생 만12세이상 동절기 추가접종예약', 0.3939)]"
2023/01/06 08:52:59,72,경상남도 함양군,188986,1. 6(금) 확진자 28명 발생 ▶만12세이상 동절기 추가접종예약 https://ncvr.kdca.go.kr ☏055-960-8040,cbs,함양군청,금,12세,"[('추가접종예약 https ncvr kdca', 0.3876)]"
2023/01/05 08:52:55,72,경상남도 함양군,188842,1. 5(목) 확진자 37명 발생 ▶만12세이상 동절기 추가접종예약 https://ncvr.kdca.go.kr ☏055-960-8040,cbs,함양군청,목,12세,"[('추가접종예약 https ncvr kdca', 0.3839)]"
2023/01/04 08:42:56,72,경상남도 함양군,188699,1. 4(수) 확진자 24명 발생 ▶만12세이상 동절기 추가접종예약 https://ncvr.kdca.go.kr ☏055-960-8040,cbs,함양군청,수,12세,"[('ncvr kdca', 0.35)]"
2023/01/03 08:44:51,72,경상남도 함양군,188567,1. 3(화) 확진자 51명 발생 ▶만12세이상 동절기 추가접종예약 https://ncvr.kdca.go.kr ☏1339 / 055-960-8050,cbs,함양군청,화,12세,"[('kr 1339', 0.2393)]"
2023/01/02 08:56:30,72,경상남도 함양군,188422,1. 2(월) 확진자 49명 발생 ▶만12세이상 동절기 추가접종예약 https://ncvr.kdca.go.kr ☏1339 / 055-960-8050,cbs,함양군청,월,12세,"[('ncvr kdca', 0.3013)]"
2023/01/01 08:48:10,72,경상남도 함양군,188277,1. 1(일) 확진자 6명 발생 ▶만12세이상 동절기 추가접종예약 https://ncvr.kdca.go.kr ☏1339 / 055-960-8050,cbs,함양군청,일,12세,"[('ncvr kdca', 0.2981)]"
2022/12/31 09:00:36,72,경상남도 함양군,188113,12. 31(토) 확진자 33명 발생 ▶만12세이상 동절기 추가접종예약 https://ncvr.kdca.go.kr ☏1339/055-960-8050,cbs,함양군청,토,12세,"[('kdca kr 1339 055', 0.4457)]"
2022/12/30 08:44:50,72,경상남도 함양군,187976,12.30(금) 확진자 28명 발생 ▶만12세이상 동절기 추가접종예약 https://ncvr.kdca.go.kr ☏1339 / 055-960-8050,cbs,함양군청,금,12세,"[('kdca kr 1339', 0.4038)]"
2022/12/29 08:51:30,72,경상남도 함양군,187828,12.29(목) 확진자 33명 발생 ▶만12세이상 동절기 추가접종예약 https://ncvr.kdca.go.kr ☏1339 / 055-960-8050,cbs,함양군청,목,12세,"[('kdca kr 1339 055', 0.4628)]"
2022/12/28 08:50:04,72,경상남도 함양군,187686,12.28(수) 확진자 63명 발생 ▶만12세이상 동절기 추가접종예약 https://ncvr.kdca.go.kr ☏1339 / 055-960-8050,cbs,함양군청,수,12세,"[('kdca kr 1339 055', 0.4648)]"
2022/12/26 08:55:49,72,경상남도 함양군,187399,12.26(월) 확진자 37명 발생 ▶만12세이상 동절기 추가접종예약 https://ncvr.kdca.go.kr ☏1339 / 055-960-8050,cbs,함양군청,월,12세,"[('kdca kr 1339 055', 0.4638)]"
2022/12/25 09:00:35,72,경상남도 함양군,187266,12.25(일) 확진자 39명 발생 ▶만12세이상 동절기 추가접종예약 https://ncvr.kdca.go.kr ☏1339 / 055-960-8050,cbs,함양군청,일,12세,"[('동절기 추가접종예약 https ncvr', 0.4238)]"
2022/12/24 08:52:28,72,경상남도 함양군,187110,12.24(토) 확진자 35명 발생 ▶만12세이상 동절기 추가접종예약 https://ncvr.kdca.go.kr ☏1339 / 055-960-8050,cbs,함양군청,토,12세,"[('kdca kr 1339 055', 0.4337)]"
2022/12/23 08:51:19,72,경상남도 함양군,186869,12.23(금) 확진자 59명 발생 ▶만12세이상 동절기 추가접종예약 https://ncvr.kdca.go.kr ☏1339 / 055-960-8050,cbs,함양군청,금,12세,"[('23 확진자', 0.4286)]"
2022/12/23 06:29:01,72,경상남도 함양군,186800,"많은 눈과 기온 강하로 도로 결빙이 우려되오니 출근길 서행운전 및 낙상사고 유의/내 집 앞, 점포 앞 제설작업에 적극 참여하여 주시기 바랍니다.",cbs,함양군청,,,"[('점포 제설작업에 적극 참여하여', 0.6876)]"
2022/12/22 20:29:00,72,경상남도 함양군,186763,야간 기온 하강으로 시내 곳곳이 얼었습니다. 외출을 자제하여 주시고 외출시에는 미끄러지지 않도록 유의하시기 바랍니다.,cbs,함양군청,,,"[('외출을 자제하여 주시고', 0.671)]"
2022/12/22 09:04:32,72,경상남도 함양군,186566,12.22(목) 확진자 42명 발생 ▶만12세이상 동절기 추가접종예약 https://ncvr.kdca.go.kr ☏1339 / 055-960-8050,cbs,함양군청,목,12세,"[('동절기 추가접종예약 https ncvr', 0.4351)]"
2022/12/22 08:59:24,72,경상남도 함양군,186558,"오도재(함양 조동마을~마천 촉동마을), 원통재(서하 옥환마을~백전 대방마을) 도로 결빙으로 교통통제 중입니다.",cbs,함양군청,함양 조동마을~마천 촉동마을,,"[('촉동마을 원통재 서하 옥환마을', 0.7577)]"
2022/12/21 09:09:30,72,경상남도 함양군,186295,"08:30 대설주의보 발효/대중교통 이용, 내집앞, 내점포앞 눈치우기/제설작업 적극 실시/눈길 미끄럼에 따른 안전사고에 유의하시기 바랍니다.",cbs,함양군청,,,"[('제설작업 적극 실시', 0.6411)]"
2022/12/21 08:49:41,72,경상남도 함양군,186277,12.21(수) 확진자 66명 발생 ▶만18세이상 동절기 추가접종예약 https://ncvr.kdca.go.kr ☏1339 / 055-960-8050,cbs,함양군청,수,18세,"[('kdca kr 1339 055', 0.4531)]"
2022/12/20 08:50:56,72,경상남도 함양군,186047,12.20(화) 확진자 52명 발생 ▶만18세이상 동절기 추가접종예약 https://ncvr.kdca.go.kr ☏1339 / 055-960-8050,cbs,함양군청,화,18세,"[('kdca kr 1339', 0.3619)]"
2022/12/19 09:20:43,72,경상남도 함양군,185933,12. 19(월) 확진자 21명 발생 ▶만18세이상 동절기 추가접종예약 https://ncvr.kdca.go.kr ☏1339/055-960-8050,cbs,함양군청,월,18세,"[('19 확진자', 0.4651)]"
2022/12/18 08:49:51,72,경상남도 함양군,185751,12.18(일) 확진자 33명 발생 ▶만18세이상 동절기 추가접종예약 https://ncvr.kdca.go.kr ☏1339 / 055-960-8050,cbs,함양군청,일,18세,"[('동절기 추가접종예약 https ncvr', 0.4406)]"
