create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2022/12/23 22:04:41,199,전라남도 함평군,187086,"신해선(함평국군통합병원~신광면 원산리 덕동마을)구간 22시부터 대설특보 해제 시까지 폭설로 인한 도로 통제, 진입하지 마시고 우회하시기 바랍니다.",cbs,함평군청,함평국군통합병원~신광면 원산리 덕동마을,,"[('신해선 함평국군통합병원', 0.5952)]"
2022/12/23 08:41:05,199,전라남도 함평군,186863,"대설과 한파로 도로가 얼어 위험하니 미끄럼 사고에 주의하시고, 시설물(비닐하우스, 축사) 관리 및 수도계량기 동파에 각별히 유의바랍니다.",cbs,함평군청,"비닐하우스, 축사",,"[('한파로 도로가 얼어 위험하니', 0.7039)]"
2022/12/18 19:55:29,199,전라남도 함평군,185891,"대설주의보 발효 중, 19일까지 많은 눈 예상 ▲비닐하우스, 축사 등 시설물 관리 ▲집 앞 눈 치우기 ▲외출 자제 ▲눈길 미끄럼 등 주의 바랍니다.",cbs,함평군청,,,"[('치우기 외출 자제', 0.7024)]"
2022/11/29 17:00:21,199,전라남도 함평군,182928,"오늘 21시 함평군 한파경보 발효 예정. 노약자 보온 유지, 동상·낙상 방지 위해 야외활동 자제, 수도관 보온조치 등 주의 바랍니다.",cbs,함평군청,,,"[('주의 바랍니다', 0.5697)]"
2022/09/29 09:03:39,199,전라남도 함평군,174897,"9. 29. (목) 0시 기준 확진자 11명 발생▲생활방역 실천(실내 마스크 착용, 손씻기, 주기적 환기)▲증상 발생 시 만남 자제 및 진료 바랍니다",cbs,함평군청,목,,"[('11명 발생', 0.5813)]"
2022/09/22 08:47:30,199,전라남도 함평군,173987,"9. 22. (목) 0시 기준 확진자 12명 발생 ▲일상방역 생활화 실천(올바른 마스크 착용, 환절기 감기 증상시 검사받기, 실내환기 자주하기)",cbs,함평군청,목,,"[('일상방역 생활화', 0.4985)]"
2022/09/15 09:26:28,199,전라남도 함평군,172955,"9. 15. (목) 0시 기준 확진자 38명 발생 ▲일상방역 생활화 실천(올바른 마스크 착용, 손씻기, 실내환기 자주하기)",cbs,함평군청,목,,"[('일상방역 생활화', 0.536)]"
2022/09/08 09:58:34,199,전라남도 함평군,172028,"9. 8. 0시 기준 확진자 38명 발생 / 추석명절 생활 방역수칙(마스크 착용, 손소독, 주기적 환기 등) 준수하여 주시기 바랍니다.",cbs,함평군청,"마스크 착용, 손소독, 주기적 환기 등",,"[('확진자 38명', 0.5523)]"
2022/09/03 12:30:20,199,전라남도 함평군,170644,"태풍 '힌남노' 북상중, 강풍과 호우에 대비하여 √농축산시설 결박 √배수시설 정비 √농산물 피해 대비 √태풍특보 시 외출 자제 바랍니다",cbs,함평군청,,,"[('강풍과 호우에 대비하여 농축산시설', 0.4948)]"
2022/09/01 11:11:16,199,전라남도 함평군,170350,"9월 1일 0시 기준 확진자 63명 발생 ▶ 실내 1일 3회 주기적 환기, 올바른 실내마스크 착용, 손 씻기 등 생활방역수칙 준수",cbs,함평군청,,,"[('1일 0시 기준', 0.4952)]"
2022/08/25 09:17:19,199,전라남도 함평군,169393,"8. 25. (목) 0시 기준 확진자 64명 발생. 마스크 착용, 손씻기, 주기적 환기 소독 등 방역수칙을 이행하여 주시기 바랍니다.",cbs,함평군청,목,,"[('이행하여 주시기', 0.5033)]"
2022/08/18 10:19:22,199,전라남도 함평군,168493,"8.18.(목) 0시 기준 77명 확진 코로나 확진자 증가 추세 마스크 착용, 손씻기, 실내환기 등 생활 방역수칙 준수",cbs,함평군청,목,,"[('기준 77명', 0.5163)]"
2022/08/07 13:29:59,199,전라남도 함평군,166727,"오늘 함평군 전지역 폭염경보. 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.",cbs,함평군청,"물, 그늘, 휴식",,"[('쉼터 이용 실외 작업장', 0.662)]"
