create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/04/11 10:19:47,73,경상남도 합천군,194329,"건조하고 강한 바람에 대형산불로 번질 위험이 높습니다. △ 산행 등 외출 시 불씨 취급금지 △논·밭두렁, 영농부산물 등 소각행위 일체 금지",cbs,합천군청,,,"[('산행 외출 불씨 취급금지', 0.5832)]"
2023/04/03 15:33:33,73,경상남도 합천군,194098,"건조한 날씨로 인한 산불우려가 높은 상황입니다. 모든 지역주민, 등산객은 산불이 발생하지 않도록 주의하시기 바랍니다.",cbs,합천군청,,,"[('지역주민 등산객은 산불이', 0.497)]"
2023/04/01 13:00:15,73,경상남도 합천군,193983,건조한 날씨와 부주의로 인한 산불발생 위험이 높으니▲생활쓰레기 및 논밭두렁 소각금지▲입산시 화기 소지금지 등 산불예방에 적극 참여하여 주시기 바랍니다,cbs,합천군청,,,"[('부주의로 인한 산불발생', 0.6049)]"
2023/03/31 13:05:27,73,경상남도 합천군,193952,"건조한 날씨로 우리지역 대형산불 발생 위험이 높습니다 △산행 등 외출시 불씨 취급금지 △담배불, 쓰레기 소각 행위 일체 금지 협조바랍니다.",cbs,합천군청,,,"[('행위 일체', 0.4923)]"
2023/03/29 13:02:38,73,경상남도 합천군,193885,"산불 발생 위험이 매우 높은 시기입니다. ▲논밭두렁, 영농부산물, 생활쓰레기 등 소각 일체 금지 ▲입산 시 화기 소지 금지 꼭 지켜주시기 바랍니다.",cbs,합천군청,,,"[('일체 금지 입산 화기', 0.6019)]"
2023/03/22 13:07:26,73,경상남도 합천군,193736,건조한 날씨로 산불 발생 위험이 높으니 ▲생활쓰레기 소각 금지 ▲논·밭두렁 소각금지▲입산시 화기 소지 금지 협조바랍니다.,cbs,합천군청,,,"[('소각금지 입산시 화기', 0.4958)]"
2023/03/20 13:02:45,73,경상남도 합천군,193668,날씨가 건조하여 산불 발생 위험이 매우 높습니다. 논밭두렁 소각금지! 입산 시 화기 소지 금지! 꼭 지켜 주시기 바랍니다,cbs,합천군청,,,"[('건조하여 산불 발생', 0.6543)]"
2023/03/19 15:52:37,73,경상남도 합천군,193650,"계속되는 건조한 날씨로 우리지역 대형산불 발생 위험이 높습니다 △ 산행 등 외출시 불씨 취급금지 △논·밭두렁, 영농부산물 등 소각행위 일체 금지",cbs,합천군청,,,"[('외출시 불씨 취급금지', 0.5156)]"
2023/03/12 11:27:14,73,경상남도 합천군,193472,"산불 발생 위험이 매우 높은 시기입니다. ▲논밭두렁, 영농부산물, 생활쓰레기 소각 일체 금지 ▲입산 시 화기 소지 금지 꼭 지켜주시기 바랍니다.",cbs,합천군청,,,"[('생활쓰레기 소각 일체', 0.5978)]"
2023/03/11 10:45:14,73,경상남도 합천군,193438,건조한 날씨로 산불 발생 위험이 높으니 ▲생활쓰레기 소각 금지 ▲논·밭두렁 소각금지 ▲입산시 화기 소지 금지 협조바랍니다.,cbs,합천군청,,,"[('화기 소지 금지 협조바랍니다', 0.5359)]"
2023/03/10 10:22:24,73,경상남도 합천군,193412,합천읍 상보림 위쪽에서 발생한 산불은 3.10.(금) 10시 현재 주불진화 완료되었습니다. 잔불정리 중에 있으며 인근 주민은 안전사고 유의바랍니다.,cbs,합천군청,금,,"[('10 10시 현재 주불진화', 0.6899)]"
2023/03/10 06:27:18,73,경상남도 합천군,193402,3. 10.(금) 06시20분 현재 합천읍 상보림 마을 위쪽 산불 확산이 우려되니 인근 주민은 산에서 멀리 떨어진 안전한 곳으로 대피하시기 바랍니다.,cbs,합천군청,금,,"[('산에서 멀리 떨어진', 0.6648)]"
2023/03/08 15:39:32,73,경상남도 합천군,193373,"오늘 13시59분 용주면 월평리 산불발생. 현재 합천읍 내안계, 장계육정, 관자 백자동 마을로 산불 확산중. 인근주민은 안전한 곳으로 대피바랍니다.",cbs,합천군청,,,"[('관자 백자동 마을로 산불', 0.6417)]"
2023/03/08 14:23:00,73,경상남도 합천군,193369,오늘 13:59경 용주면 월평리 산불 발생. 입산을 자제하고 인근 주민과 등산객은 안전사고 발생에 주의하시기 바랍니다.,cbs,합천군청,,,"[('인근 주민과', 0.5779)]"
2023/03/06 13:28:03,73,경상남도 합천군,193314,"산불 국가 위기경보 ""경계"" 발령에 따라 군민께서는 산불예방에 주의를 기울여 주시고, 특히 쓰레기 및 농산폐기물 소각 행위를 삼가하여 주시기 바랍니다",cbs,합천군청,,,"[('소각 행위를 삼가하여', 0.5998)]"
2023/02/10 06:27:31,73,경상남도 합천군,192875,"합천군 대설주의보 발효중. 새벽에 내린 눈으로 도로, 인도 결빙 우려. 출근길 안전에 유의. 내 집 앞 눈치우기에 동참바랍니다.",cbs,합천군청,,,"[('발효중 새벽에 내린', 0.6865)]"
2023/01/29 12:02:48,73,경상남도 합천군,192270,1.29.(일) 12시 기준 확진자 9명 발생 ▲코로나 확진자 재난문자 1. 30.(월)부터 발송중단 예정입니다,cbs,합천군청,일,,"[('확진자 9명', 0.5544)]"
2023/01/28 12:00:43,73,경상남도 합천군,192191,1.28.(토) 12시 기준 확진자 11명 발생 ▲코로나 확진자 재난문자 1. 30.(월)부터 발송중단 예정입니다,cbs,합천군청,토,,"[('재난문자 30', 0.5523)]"
2023/01/27 13:02:07,73,경상남도 합천군,192080,1.27.(금) 13시 기준 확진자 14명 발생 ▲코로나 확진자 재난문자 1. 30.(월)부터 발송중단 예정입니다,cbs,합천군청,금,,"[('14명 발생 코로나', 0.5604)]"
2023/01/26 13:06:42,73,경상남도 합천군,191955,1.26.(목) 13시 기준 확진자 26명 발생 ▲(18세이상)코로나19 동절기 추가접종 참여부탁드립니다(ncvr.kdca.go.kr),cbs,합천군청,목,18세,"[('확진자 26명', 0.5956)]"
2023/01/25 13:06:44,73,경상남도 합천군,191816,1.25.(수) 13시 기준 확진자 10명 발생 ▲(18세이상)코로나19 동절기 추가접종 참여부탁드립니다(ncvr.kdca.go.kr),cbs,합천군청,수,18세,"[('동절기 추가접종 참여부탁드립니다', 0.5673)]"
2023/01/24 12:01:55,73,경상남도 합천군,191632,1.24.(화) 12시 기준 확진자 8명 발생 ▲설연휴 병·의원 및 약국(www.hc.go.kr)▲동절기 추가접종 참여(ncvr.kdca.go.kr),cbs,합천군청,화,,"[('발생 설연휴 의원 약국', 0.4626)]"
2023/01/23 12:01:47,73,경상남도 합천군,191382,1.23(월) 12시 기준 확진자 12명 발생 ▲설연휴 병·의원 및 약국(www.hc.go.kr)▲동절기 추가접종 참여(ncvr.kdca.go.kr),cbs,합천군청,월,,"[('12명 발생 설연휴', 0.5163)]"
2023/01/22 12:31:17,73,경상남도 합천군,191273,1.22.(일) 12시 기준 확진자 7명 발생 ▲설연휴 병·의원 및 약국(www.hc.go.kr)▲동절기 추가접종 참여(ncvr.kdca.go.kr),cbs,합천군청,일,,"[('확진자 7명', 0.4493)]"
2023/01/21 12:18:32,73,경상남도 합천군,191167,1.21(토) 12시 기준 확진자 31명 발생 ▲설연휴 병·의원 및 약국(www.hc.go.kr)▲동절기 추가접종 참여(ncvr.kdca.go.kr),cbs,합천군청,토,,"[('동절기 추가접종 참여 ncvr', 0.4981)]"
2023/01/20 13:02:46,73,경상남도 합천군,191030,1.20.(금) 13시 기준 확진자 26명 발생 ▲(18세이상)코로나19 동절기 추가접종 참여부탁드립니다(ncvr.kdca.go.kr),cbs,합천군청,금,18세,"[('발생 18세이상', 0.5556)]"
2023/01/19 13:05:24,73,경상남도 합천군,190905,1.19.(목) 13시 기준 확진자 20명 발생 ▲(18세이상)코로나19 동절기 추가접종 참여부탁드립니다(ncvr.kdca.go.kr),cbs,합천군청,목,18세,"[('13시 기준', 0.594)]"
2023/01/18 13:01:59,73,경상남도 합천군,190785,1.18.(수) 13시 기준 확진자 21명 발생 ▲(18세이상)코로나19 동절기 추가접종 참여부탁드립니다(ncvr.kdca.go.kr),cbs,합천군청,수,18세,"[('추가접종 참여부탁드립니다 ncvr kdca', 0.6007)]"
2023/01/17 13:03:13,73,경상남도 합천군,190657,1.17.(화) 13시 기준 확진자 29명 발생 ▲(18세이상)코로나19 동절기 추가접종 참여부탁드립니다(ncvr.kdca.go.kr),cbs,합천군청,화,18세,"[('기준 확진자 29명', 0.6043)]"
2023/01/16 13:04:31,73,경상남도 합천군,190525,1.16.(월) 13시 기준 확진자 10명 발생 ▲(18세이상)코로나19 동절기 추가접종 참여부탁드립니다(ncvr.kdca.go.kr),cbs,합천군청,월,18세,"[('13시 기준 확진자', 0.5532)]"
2023/01/15 12:01:00,73,경상남도 합천군,190362,1.15.(일) 12시 기준 확진자 16명 발생 ▲(18세이상)코로나19 동절기 추가접종 참여부탁드립니다(ncvr.kdca.go.kr),cbs,합천군청,일,18세,"[('12시 기준', 0.5629)]"
