create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/10/18 20:21:20,10595,전라남도 해남군,206133,"문내면 일원 상수도 긴급 복구 중에 있으나, 지하 암반 및 지장물 등 현장 여건으로, 복구 시간이 지연되고 있습니다. 최대한 신속히 복구하겠습니다.",cbs,해남군청,,,"[('복구 시간이', 0.7643)]"
2023/10/09 09:49:31,"10592,10593,10594","전라남도 해남군,전라남도 해남군,전라남도 해남군",205956,"오늘 해남군 산이 배수지 수위 고갈로 산이, 마산, 황산 일부 지역이 단수되어 군 수자원공사에서 현장 조치 중임을 알려드립니다.",cbs,해남군청,,,"[('고갈로 산이 마산 황산', 0.6355)]"
2023/09/20 14:08:34,200,전라남도 해남군,205397,호우주의보 발효 중▲내일까지 많은 비가 예상됨▲산사태 우려지역 등 위험지역 사전대피 및 접근금지▲시설물 관리철저 등 안전에 유의하여 주시기 바랍니다,cbs,해남군청,,,"[('시설물 관리철저', 0.7156)]"
2023/09/16 13:47:21,200,전라남도 해남군,205197,호우경보 발효 ▲산사태 우려지역 등 위험지역 접근금지 및 사전대피 철저 ▲외출 자제 ▲시설물 관리철저 등 안전에 유의하시기 바랍니다,cbs,해남군청,,,"[('외출 자제 시설물 관리철저', 0.7168)]"
2023/09/16 10:06:41,200,전라남도 해남군,205154,호우주의보 발효 중▲우리지역에 내일까지 많은 비가 예상됨▲빗길 안전운전▲위험지역 사전대피 및 접근금지▲시설물 관리철저등 안전에 유의하여 주시기 바랍니다,cbs,해남군청,,,"[('발효 우리지역에 내일까지 많은', 0.7588)]"
2023/09/09 14:01:13,"10593,10595,10596","전라남도 해남군,전라남도 해남군,전라남도 해남군",204999,2023명량대첩축제 공군블랙이글스 축하비행으로 오늘 9. 9.(토) 14시 30분경 비행소음 발생이 우려되오니 양지하시기 바랍니다.,cbs,해남군청,토,,"[('30분경 비행소음 발생이 우려되오니', 0.529)]"
2023/09/08 13:58:00,"10593,10595,10596","전라남도 해남군,전라남도 해남군,전라남도 해남군",204984,2023명량대첩축제 공군블랙이글스 축하비행으로 오늘 9. 8.(금) 15시경 비행소음 발생이 우려되오니 양지하시기 바랍니다.,cbs,해남군청,금,,"[('2023명량대첩축제 공군블랙이글스', 0.4922)]"
2023/08/23 15:26:25,200,전라남도 해남군,204227,호우주의보 발효 중▲우리 군 일부지역에 강한 비가 내리고 있습니다▲빗길 안전운전▲위험지역 접근금지▲시설물 관리철저 등 안전에 유의하여 주시기 바랍니다,cbs,해남군청,,,"[('유의하여 주시기', 0.7445)]"
2023/08/23 08:22:47,200,전라남도 해남군,204072,"오늘 14시부터 20분간 민방위 대피훈련 실시, 차량통제는 보건소-버스터미널-농협주유소-평남교차로까지 15분간 실시하니 적극 협조바랍니다.",cbs,해남군청,,,"[('실시 차량통제는 보건소 버스터미널', 0.616)]"
2023/08/10 07:27:34,200,전라남도 해남군,202377,"태풍으로 인해 국지적으로 강한 바람과 비가 내리고 있습니다▲외출자제▲시설물 낙하주의▲상습침수지역, 산사태 위험지역 등 접근금지, 안전에 유의 바랍니다",cbs,해남군청,,,"[('강한 바람과 비가 내리고', 0.7337)]"
2023/08/09 17:33:30,200,전라남도 해남군,202125,"태풍주의보 발효 ▲산사태 우려지역, 해안가 등 위험지역 접근금지 및 사전대피▲비닐하우스, 간판 등 위험시설물 고정ㆍ결박▲선박 대피 및 인양 바랍니다",cbs,해남군청,,,"[('산사태 우려지역', 0.6482)]"
2023/08/09 10:46:36,200,전라남도 해남군,201897,"태풍 북상 중▲금일 밤부터 강한 바람과 호우 예상▲배수로 점검 등 사전대비 철저▲비닐하우스, 간판 등 위험시설물 고정ㆍ결박▲위험지역 방문 자제 바랍니다",cbs,해남군청,,,"[('태풍 북상', 0.6764)]"
2023/08/08 15:29:37,200,전라남도 해남군,201785,"태풍 카눈 북상 중▲9~10일 강한 바람과 호우 예상▲산사태 우려지역, 해안가등 위험지역 접근금지 및 사전대피▲시설물 관리철저 등 안전에 유의 바랍니다",cbs,해남군청,,,"[('안전에 유의', 0.7176)]"
2023/08/07 14:36:45,200,전라남도 해남군,201607,호우주의보 발효 중▲우리 군 일부지역에 강한 비가 내리고 있습니다▲빗길 안전운전▲위험지역 접근금지▲시설물 관리철저 등 안전에 유의하여 주시기 바랍니다,cbs,해남군청,,,"[('유의하여 주시기', 0.7445)]"
