create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2021/08/06 14:02:13,200,전라남도 해남군,116194,타지역(서울 광진구) 확진자 동선안내▶8.1(일)17:00~17:50 목포→화원정류장(군내버스 탑승객) ▶18:05~18:45세븐일레븐 해남화원점,cbs,해남군청①,서울 광진구,45세,"[('50 목포 화원정류장 군내버스', 0.5806)]"
2021/07/25 17:44:09,200,전라남도 해남군,114483,"7.27.~8.8.까지 사회적거리두기 3단계시행▶사적모임4인까지▶유흥시설,노래연습장22시이후운영제한▶식당,카페22시이후포장.배달만허용",cbs,해남군청①,,,"[('사회적거리두기 3단계시행 사적모임4인까지', 0.2828)]"
2021/07/09 13:38:52,200,전라남도 해남군,111744,"서초구 확진자 관내 동선▶7.4.(일)12:10~14:30 해남종합병원 장례식장(제2분향소),",cbs,해남군청①,일,,"[('30 해남종합병원', 0.539)]"
2021/07/07 12:41:53,200,전라남도 해남군,111395,"강서구2467번 확진자 관내동선 ▶7.2.(금)11:00~11:30 화원면 진아네먹거리, 12:00~18:00 화원면파인비치CC,",cbs,해남군청①,금,,"[('관내동선 11 00', 0.5533)]"
2021/07/06 17:46:10,200,전라남도 해남군,111273,"해남25번 확진자 동선정정 및 추가안내▶7.2.(금)21:25~미니스톱해남땅끝점 동선취소▶7.2.(금)22:05~22:10세븐일레븐송지산정점,",cbs,해남군청①,금,10세,"[('미니스톱해남땅끝점 동선취소 22 05', 0.4117)]"
2021/07/06 11:33:34,200,전라남도 해남군,111208,"7월 6일 확진자 1명 발생.▶관내동선 7. 1.(목)18:00~20:00 송지면보스치킨호프, 20:10~20:30 송지산정점 세븐일레븐",cbs,해남군청①,목,,"[('20 30 송지산정점 세븐일레븐', 0.4498)]"
2021/06/29 11:00:21,200,전라남도 해남군,110309,"강남구 확진자 관내 동선관련 ▷6.27.(10:30~17:00) 산이면 서남해안 기업도시 현장사무실, (12:30~13:30) 화원면 전주횟집",cbs,해남군청①,10:30~17:00,,"[('산이면 서남해안 기업도시 현장사무실', 0.586)]"
2021/06/28 11:02:56,200,전라남도 해남군,110212,"용산구1377번 관내 동선관련 ▷6.20.(12:00~13:00)화원면 진아네먹거리 ▷6.21.(07:00~12:00)파인비치(락커룸,스타트하우스)",cbs,해남군청①,12:00~13:00,,"[('00 파인비치 락커룸', 0.5962)]"
2021/06/21 15:48:46,200,전라남도 해남군,109610,부평구1339번 확진자 관내 동선 ▶6.16.(13:00~18:30) 화원면 파인비치CC ▶6.18.(12:30~14:30) 문내면 트윈브릿지카페,cbs,해남군청①,13:00~18:30,,"[('14 30 문내면 트윈브릿지카페', 0.6216)]"
2021/05/29 14:01:10,200,전라남도 해남군,107419,"확진자 동선 추가 알림 ▶5.26. 11:50~12:00 김종수내과, 12:00~12:10 농민약국 ▶5. 27. 08:30~08:40 김종수내과",cbs,해남군청①,,,"[('추가 알림', 0.5176)]"
2021/05/29 13:27:27,200,전라남도 해남군,107410,"해남군 확진자 관내동선▶5.26.~5.28. 신일카센터 ▶5.26.(수)09시경 일신상사, 10시경 남광폐차장, 15시경 땅끝기계공구,16시경 부농원",cbs,해남군청①,수,,"[('10시경 남광폐차장 15시경', 0.6255)]"
2021/05/22 10:31:38,200,전라남도 해남군,106432,"해남17번 동선 안내▶5.19(12:00~13:00)마산면이모네식당,19:00~20:00)해남읍진솔통닭▶5.21(10:00~11:00)해남읍국제상사",cbs,해남군청①,12:00~13:00,,"[('00 마산면이모네식당', 0.6112)]"
2021/05/11 17:52:17,200,전라남도 해남군,105019,코로나19 예방접종 사전예약 안내 ▲70~74세(5.6.~6.3.) ▲65~69세(5.10.~6.3.) ▲60~64세(5.13.~6.3.),cbs,해남군청①,5.6.~6.3.,74세,"[('74세 65', 0.485)]"
2021/05/08 15:16:10,200,전라남도 해남군,104632,"고흥군 확진자 관내 동선 관련 ▶ 5.5(수) 12:00~13:00 해남읍 해물밭에 노는 닭(식당), 13:20~15:00 동다실(대흥사 경내)",cbs,해남군청①,수,,"[('식당 13', 0.5938)]"
2021/03/30 10:21:45,200,전라남도 해남군,100819,강화된 기본방역수칙 주요내용 안내▶다중이용시설·사업장 등에서 마스크 상시 착용▶모든 다중이용시설 출입자명부 작성 및 주기적 환기와 소독 의무화,cbs,해남군청①,,,"[('다중이용시설 사업장 등에서 마스크', 0.698)]"
2021/03/28 11:07:42,200,전라남도 해남군,100372,"현행 사회적 거리두기 1.5단계 2주간(3.29~4.11)연장/5인이상 사적모임 금지 유지(동거·직계가족,상견례,영유아동반은 8인까지 허용)",cbs,해남군청①,3.29~4.11,,"[('직계가족 상견례 영유아동반은', 0.6773)]"
2021/03/14 12:26:37,200,전라남도 해남군,97665,사회적거리두기 1.5단계 3월15일부터 3월28일까지 2주간 연장▶5인부터 사적모임 금지 유지(직계가족·상견례·6세미만 영유아 포함 8인까지 허용),cbs,해남군청①,직계가족·상견례·6세미만 영유아 포함 8인까지 허용,6세,"[('연장 5인부터 사적모임 금지', 0.5907)]"
2021/02/26 22:39:03,200,전라남도 해남군,94929,"관내 확진자 동선 관련▶2.23.(화) 15:00~15:20 해남종합병원 2내과, 15:20~15:40 해남읍 금강약국",cbs,해남군청①,화,,"[('40 해남읍 금강약국', 0.6058)]"
