create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/16 18:32:38,237,충청남도 홍성군,206755,"금일 밤 늦게까지 비가 내리고 비가 그친 후 도로결빙이 예상되오니, 운전 시 차량 감속운행 및 안전거리 유지 등 미끄럼 사고에 주의 바랍니다.",cbs,홍성군,,,"[('예상되오니 운전 차량 감속운행', 0.7295)]"
2023/11/06 15:46:02,237,충청남도 홍성군,206553,"내일까지 강한 바람이 지속되오니 시설물 고정 및 유리 파손 주의, 선박 묶기, 헤안가 접근 금지 등 안전에 유의 바랍니다.",cbs,홍성군,,,"[('시설물 고정', 0.6885)]"
2023/09/20 17:21:27,237,충청남도 홍성군,205447,"현재 많은 비가 내리고 있으니, 붕괴가 우려되는 가파른 경사지 접근을 삼가시고, 하천변산책로, 둔치주차장을 통제중이니 출입을 금하여 주시기 바랍니다.",cbs,홍성군,,,"[('가파른 경사지', 0.6969)]"
2023/09/20 14:40:05,237,충청남도 홍성군,205403,"현재 많은 비가 내리고 있으니, 가급적 외출을 자제하시고 하천변, 농배수로, 비탈면, 산사태위험지역 인근 접근 금지 등 안전에 유의하시기 바랍니다.",cbs,홍성군,,,"[('농배수로 비탈면 산사태위험지역', 0.7438)]"
2023/08/22 21:00:50,237,충청남도 홍성군,204039,"내일 새벽부터 많은 비가 내릴 것으로 예상되오니, 하천변 산책로, 농배수로, 비탈면 등 위험지역 접근을 자제하시고 안전에 유의하시기 바랍니다.",cbs,홍성군,,,"[('위험지역 접근을 자제하시고 안전에', 0.7511)]"
2023/08/21 09:58:44,237,충청남도 홍성군,203853,"폭염주의보 지속 중, 낮 시간 야외활동 자제와 수분섭취, 무더위쉼터에서 충분한 휴식등 온열질환 예방과 건강관리에 유의하여주시기 바랍니다.",cbs,홍성군,,,"[('자제와 수분섭취 무더위쉼터에서 충분한', 0.6934)]"
2023/08/20 09:55:31,237,충청남도 홍성군,203742,"무더위가 지속되고 있습니다. 오후시간 야외활동을 자제하시고 무더위쉼터 이용과 폭염안전수칙(물, 그늘, 휴식) 준수 등 건강 관리에 유의하시기 바랍니다.",cbs,홍성군,"물, 그늘, 휴식",,"[('이용과 폭염안전수칙', 0.6931)]"
2023/08/19 10:00:09,237,충청남도 홍성군,203670,"무더위가 지속되고 있습니다. 오후시간 야외활동을 자제하시고 무더위쉼터 이용과 폭염안전수칙(물, 그늘, 휴식) 준수 등 건강 관리에 유의하시기 바랍니다.",cbs,홍성군,"물, 그늘, 휴식",,"[('이용과 폭염안전수칙', 0.6931)]"
2023/08/18 10:13:57,237,충청남도 홍성군,203587,"무더위가 지속되고 있습니다. 온열질환 예방을 위해 야외활동 자제와 충분한 물 마시기, 작업 시 휴식시간 확보 등 여름철 건강관리에 유의하시기 바랍니다.",cbs,홍성군,,,"[('충분한 마시기 작업', 0.7066)]"
2023/08/16 09:45:36,237,충청남도 홍성군,203407,"무더위가 지속되고 있습니다. 온열질환 예방을 위해 야외활동 자제와 충분한 물 마시기, 작업 시 휴식시간 확보 등 여름철 건강관리에 유의 바랍니다.",cbs,홍성군,,,"[('건강관리에 유의', 0.6896)]"
2023/08/15 11:00:19,237,충청남도 홍성군,203319,"무더위가 지속되고 있습니다. 낮시간 외출 및 야외활동을 자제하시고 무더위쉼터 이용과 폭염안전수칙(물, 그늘, 휴식) 준수 등 건강 관리에 유의바랍니다.",cbs,홍성군,"물, 그늘, 휴식",,"[('휴식 준수 건강 관리에', 0.66)]"
2023/08/10 07:05:46,237,충청남도 홍성군,202349,"태풍 접근 중으로 많은 비와 강한 바람이 예상되오니 ▲외출 자제▲낙하물 피해 주의▲해안가, 하천변 접근 자제 등 안전에 유의하시기 바랍니다.",cbs,홍성군,,,"[('주의 해안가 하천변 접근', 0.6637)]"
2023/08/09 18:01:35,237,충청남도 홍성군,202144,"태풍 카눈 북상에 따라 하천변 산책로, 둔치주차장 통제를 실시하오니, 하천 주변 야외 활동 자제 및 출입 금지 등 안전에 유의하시기 바랍니다.",cbs,홍성군,,,"[('금지 안전에 유의하시기', 0.7032)]"
2023/08/09 09:45:49,237,충청남도 홍성군,201857,"태풍의 영향으로 많은 비와 강풍이 예상되오니 ▲옥외간판·낙하물 등 위험시설물 고정·결박▲하우스시설, 배수로 점검 등 안전 관리에 유의하시기 바랍니다.",cbs,홍성군,,,"[('결박 하우스시설 배수로 점검', 0.59)]"
2023/08/08 14:01:32,237,충청남도 홍성군,201749,폭염 경보 발효 중으로 온열질환 등 건강 유의 / 9일부터 태풍 영향권으로 많은 비와 강한 바람이 예상되오니 안전관리에 유의하시기 바랍니다,cbs,홍성군,,,"[('안전관리에 유의하시기 바랍니다', 0.6251)]"
2023/08/08 11:02:42,237,충청남도 홍성군,201701,"태풍 북상에 따라 많은 비와 강풍이 예상되니, 집주변 배수로 정비, 옥외시설물과 농업시설하우스, 어선 고정 등 태풍 대비에 철저를 기해주시기 바랍니다.",cbs,홍성군,,,"[('고정 태풍 대비에', 0.738)]"
2023/08/08 09:10:14,237,충청남도 홍성군,201670,"폭염 지속 중으로 외출 시 양산과 물병 휴대, 논·밭 등 야외 활동 자제, 실외작업장 안전수칙(물,그늘,휴식) 지키기 등 건강에 유의하시기 바랍니다.",cbs,홍성군,"물,그늘,휴식",,"[('중으로 외출 양산과 물병', 0.6609)]"
2023/08/07 09:45:40,237,충청남도 홍성군,201523,"폭염경보 발효 중으로 외출 자제, 논밭, 공사장 등 야외 작업 시 충분한 수분섭취와 휴식시간 확보, 무더위쉼터 이용 등 건강에 유의하시기 바랍니다.",cbs,홍성군,,,"[('공사장 야외 작업', 0.7132)]"
2023/08/06 13:15:19,237,충청남도 홍성군,201428,연일 무더운 날씨가 지속되고 있습니다. 가급적 오후시간 외출을 자제하시고 충분한 물마시기와 휴식시간 확보로 여름철 건강관리에 유의하시기 바랍니다,cbs,홍성군,,,"[('휴식시간 확보로 여름철', 0.6878)]"
2023/08/06 09:35:32,237,충청남도 홍성군,201337,"폭염경보 발효 중으로 외출 자제, 논밭, 공사장 등 야외 작업 시 충분한 수분섭취와 휴식시간 확보, 무더위쉼터 이용 등 건강에 유의하시기 바랍니다.",cbs,홍성군,,,"[('공사장 야외 작업', 0.7132)]"
2023/08/05 13:00:22,237,충청남도 홍성군,201233,"폭염 지속 중으로 외출 시 양산과 물병 휴대, 논ㆍ밭 등 야외 활동 자제, 실외작업장 안전수칙(물,그늘,휴식) 지키기 등 건강에 유의하시기 바랍니다.",cbs,홍성군,"물,그늘,휴식",,"[('중으로 외출 양산과 물병', 0.6704)]"
2023/08/05 10:30:16,237,충청남도 홍성군,201182,"폭염경보 발효 중. 낮시간대 논밭, 건설현장 등 실외작업 자제. 충분한 물 마시기와 휴식, 무더위쉼터 이용 등 건강관리에 유의하시기 바랍니다.",cbs,홍성군,,,"[('논밭 건설현장 실외작업', 0.6987)]"
2023/08/04 10:17:14,237,충청남도 홍성군,201008,"폭염경보 발효 중으로 오후시간 외출자제, 논밭, 공사장 등 야외 작업 시 충분한 수분섭취와 휴식, 무더위쉼터 이용 등 건강에 유의하시기 바랍니다.",cbs,홍성군,,,"[('중으로 오후시간 외출자제 논밭', 0.702)]"
2023/08/03 14:46:10,237,충청남도 홍성군,200947,"무더운 날씨가 지속되고 있습니다. 온열질환 예방을 위해 야외활동 자제와 충분한 물 마시기, 작업 시 휴식시간 확보 등 여름철 건강관리에 유의 바랍니다.",cbs,홍성군,,,"[('충분한 마시기 작업', 0.5987)]"
2023/08/03 10:10:18,237,충청남도 홍성군,200851,"폭염 지속 중으로 외출 시 양산과 물병 휴대, 논ㆍ밭 등 야외 활동 자제, 실외작업장 안전수칙(물,그늘,휴식) 지키기 등 건강에 유의하시기 바랍니다.",cbs,홍성군,"물,그늘,휴식",,"[('중으로 외출 양산과 물병', 0.6704)]"
2023/08/02 10:00:29,237,충청남도 홍성군,200706,"폭염경보 발효 중으로 오후 시간 외출 자제, 논밭, 공사장 등 야외 작업 시 충분한 수분섭취와 휴식, 무더위쉼터 이용 등 건강에 유의하시기 바랍니다.",cbs,홍성군,,,"[('수분섭취와 휴식 무더위쉼터 이용', 0.7026)]"
2023/08/01 10:00:52,237,충청남도 홍성군,200561,"연일 무더운 날씨가 지속되고 있습니다. 외출 자제와 야외작업 시 폭염안전수칙(물, 그늘, 휴식) 준수, 무더위쉼터 이용 등 안전관리에 유의바랍니다.",cbs,홍성군,"물, 그늘, 휴식",,"[('자제와 야외작업 폭염안전수칙', 0.5694)]"
2023/07/31 13:15:56,237,충청남도 홍성군,200482,"무더위가 지속되고 있으니 외출 시 양산과 물병 휴대, 논ㆍ밭 등 야외 활동 자제, 실외작업장 안전수칙(물,그늘,휴식) 지키기 등 건강에 유의바랍니다.",cbs,홍성군,"물,그늘,휴식",,"[('물병 휴대', 0.6688)]"
2023/07/30 12:00:22,237,충청남도 홍성군,200301,"폭염 지속 중으로 가급적 외출을 자제하시고 논밭, 공사장 등 야외작업 시 충분한 수분 섭취와 휴식으로 온열질환이 발생하지 않도록 건강에 유의바랍니다.",cbs,홍성군,,,"[('않도록 건강에 유의바랍니다', 0.7351)]"
2023/07/23 17:01:04,237,충청남도 홍성군,199541,"지속된 강우로 인해 산사태 우려가 있으니, 경사가 가파른 비탈면, 산지 등 위험지역 접근금지 및 위험징후 발견 즉시 안전한 곳으로 대피 바랍니다.",cbs,홍성군,,,"[('강우로 인해 산사태', 0.7678)]"
2023/07/23 16:13:34,237,충청남도 홍성군,199534,"홍성군에 많은 비가 내리고 있으니, 가급적 외출을 자제하시고 하천변, 농배수로, 비탈면, 산사태위험지역 인근 접근 금지 등 안전에 유의하시기 바랍니다.",cbs,홍성군,,,"[('농배수로 비탈면 산사태위험지역', 0.7677)]"
2023/07/23 10:27:14,237,충청남도 홍성군,199473,"지속 강우로 인해 산사태 위험이 높으므로 산지 인근 주민들은 위험징후 발견 즉시 대피하시고, 입산금지 및 산림주변 야외활동을 자제하여 주시기 바랍니다.",cbs,홍성군,,,"[('주민들은 위험징후 발견', 0.7406)]"
2023/07/23 08:25:21,237,충청남도 홍성군,199438,"오늘 많은 비가 예상되니, 하천변, 저지대, 산사태 위험지역 접근을 자제하시고 위험 감지 시 안전한 마을회관 등으로 대피하시기 바랍니다.",cbs,홍성군,,,"[('마을회관 등으로 대피하시기', 0.6588)]"
2023/07/22 20:30:31,237,충청남도 홍성군,199390,"많은 양의 선행 강우로 인해 산사태 위험이 높으니, 입산 금지 및 산지 인근 거주민께서는 위험 징후 발견 즉시 대피하여 주시기 바랍니다.",cbs,홍성군,,,"[('산지 인근 거주민께서는 위험', 0.7064)]"
2023/07/22 19:20:13,237,충청남도 홍성군,199377,"내일까지 많은 비가 예상되니 가급적 외출을 자제하시고 하천변, 농배수로, 비탈면, 산사태위험지역 접근 금지 등 안전에 유의하시기 바랍니다.",cbs,홍성군,,,"[('농배수로 비탈면', 0.7508)]"
2023/07/22 12:00:38,237,충청남도 홍성군,199296,"많은 비가 내릴 것으로 예상되오니 붕괴가 우려되는 가파른 경사지 접근을 삼가시고, 하천변산책로, 둔치주차장을 통제중이니 출입을 금하여 주시기 바랍니다.",cbs,홍성군,,,"[('가파른 경사지', 0.6947)]"
2023/07/18 08:27:40,237,충청남도 홍성군,198556,"지속된 강우로 인해 산사태 우려가 있으니, 경사가 가파른 비탈면, 산지 등 위험지역 접근을 삼가시고, 위험징후 발견 시 안전한 곳으로 대피 바랍니다.",cbs,홍성군,,,"[('강우로 인해 산사태', 0.7733)]"
