create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/05 21:00:53,18,강원특별자치도 홍천군,206478,6일 오전까지 많은 비가 예상되오니 하천변 산책로 및 산림인근 출입을 금하시고 안전에 유의하시기 바랍니다.,cbs,홍천군,,,"[('산림인근 출입을', 0.6098)]"
2023/10/10 00:02:16,18,강원특별자치도 홍천군,205966,"내촌면 서곡리에서 실종된 안병국(65세,남)을 찾습니다 키170, K2파란점퍼, 체크갈색체육복, 장화착용, 마른체형 스포츠머리 긴얼굴형",cbs,홍천군,"65세,남",65세,"[('체크갈색체육복 장화착용', 0.6207)]"
2023/09/28 19:09:36,18,강원특별자치도 홍천군,205780,"홍천군에서 실종된 박경례(90세)를 찾습니다 키150Cm미만,형광색점퍼,주황색모자착용",cbs,홍천군,90세,90세,"[('실종된 박경례', 0.2061)]"
2023/08/23 15:58:49,18,강원특별자치도 홍천군,204236,"호우주의보 발령중. 많은 비가 예상되므로 하천변 산책로, 야영장, 산간계곡 등 위험지역 출입금지 등 안전사고에 유의하시기 바랍니다.",cbs,홍천군,,,"[('비가 예상되므로 하천변', 0.699)]"
2023/08/23 14:20:25,18,강원특별자치도 홍천군,204216,14:20 훈련경보 해제. 군민 여러분들께서는 일상으로 돌아가시기 바랍니다.,cbs,홍천군,,,"[('해제 군민', 0.3851)]"
2023/08/23 14:16:05,18,강원특별자치도 홍천군,204213,14:15 훈련 경계경보 발령. 현 시간부로 차량 및 주민이동 가능합니다.,cbs,홍천군,,,"[('발령 시간부로 차량 주민이동', 0.4302)]"
2023/08/23 14:01:36,18,강원특별자치도 홍천군,204209,"오늘 14:00시 공습경보 발령, 군민여러분들께서는 가까운 민방위 대피시설로 대피하시고 차량은 도로 우측차선에 정차한 후 라디오를 청취하여 주시기 바랍니",cbs,홍천군,,,"[('대피시설로 대피하시고 차량은 도로', 0.6558)]"
2023/08/23 13:01:50,18,강원특별자치도 홍천군,204181,오늘 14:00시 민방위 훈련이 실시됩니다. 오후2시부터 15분간 차량이동이 통제되며 군민여러분들께서는 인근 민방위 대피시설로 대피하여 주시기 바랍니다.,cbs,홍천군,,,"[('대피시설로 대피하여', 0.6321)]"
2023/08/17 13:16:42,18,강원특별자치도 홍천군,203525,폭염경보 발효 ▲고령농작업 및 야외근로자 수분섭취 및 그늘휴식 ▲고령농업인 논밭일 중단 ▲무더위쉼터 방문 ▲야외활동 자제 등 건강관리에 유의바랍니다.,cbs,홍천군,,,"[('발효 고령농작업', 0.692)]"
2023/08/16 13:30:09,18,강원특별자치도 홍천군,203445,폭염경보 발효 ▲고령농작업 및 야외근로자 수분섭취 및 그늘휴식 ▲고령농업인 논밭일 중단 ▲무더위쉼터 방문 ▲야외활동 자제 등 안전 및 건강에 유의바람,cbs,홍천군,,,"[('고령농작업 야외근로자 수분섭취', 0.6942)]"
2023/08/10 16:47:13,18,강원특별자치도 홍천군,202946,오늘 홍천군 지역에 많은 비로 산사태 주의보 발령. 산림 주변 야외활동 자제와 입산금지 등 안전에 유의하시기 바랍니다.,cbs,홍천군,,,"[('주의보 발령 산림', 0.6682)]"
2023/08/10 06:52:44,18,강원특별자치도 홍천군,202332,"오늘 7시 홍천지역 태풍 특보. 태풍 관련 정보를 공유하고, 하천, 계곡, 산림인접 등 위험지역 접근금지, 논밭 관리행위 자제 등 안전에 주의 바랍니다.",cbs,홍천군,,,"[('산림인접 위험지역 접근금지', 0.5668)]"
2023/08/09 17:00:21,18,강원특별자치도 홍천군,202101,"태풍 북상으로 강한 비바람 예상 ▲하천, 계곡, 산림 등 위험지역 접근금지 ▲비닐하우스, 시설물 고정 등 사전대비 철저 ▲안전에 유의하시기 바랍니다.",cbs,홍천군,,,"[('비닐하우스 시설물 고정', 0.722)]"
2023/08/09 11:24:17,9896,강원특별자치도 홍천군,201922,"9일 밤~10일 태풍으로 강한 비바람 예상 ▲하천, 산사태 위험지역 접근금지 ▲배수로정비, 비닐하우스, 시설물 고정 등 사전대비",cbs,홍천군,,,"[('산사태 위험지역 접근금지', 0.6014)]"
2023/07/26 15:24:11,18,강원특별자치도 홍천군,199854,"오늘 15시 호우경보. 저지대, 침수 우려지역 등 위험지역 접근자제. 가족, 이웃과 정보를 공유하고 안전에 유의하시기 바랍니다.",cbs,홍천군,,,"[('접근자제 가족 이웃과', 0.5584)]"
2023/07/24 13:05:03,18,강원특별자치도 홍천군,199671,오늘 홍천군 해외에서 배송된 우편물 3건의 신고가 있었습니다. 출처가 불명확한 우편물은 개봉하지 마시고 즉시 112나 119에 신고해 주시기 바랍니다.,cbs,홍천군,,,"[('오늘 홍천군 해외에서', 0.6824)]"
2023/07/23 10:47:58,18,강원특별자치도 홍천군,199481,"23일 오후부터 많은비가 예상됨. 하천변, 산책로, 계곡, 농수로, 등산로 등 위험지역에 접근하지 마시고, 산림 인근주민은 주의하여 주시기 바랍니다.",cbs,홍천군,,,"[('오후부터 많은비가 예상됨 하천변', 0.6504)]"
2023/07/22 18:03:06,18,강원특별자치도 홍천군,199361,"23일 새벽부터 많은 비 예상. 하천변 산책로, 계곡, 야영지, 농수로 등 폭우 취약지대에 접근금지. 산림 인근 주민께서는 안전에 주의하시기 바랍니다.",cbs,홍천군,,,"[('산책로 계곡 야영지 농수로', 0.6772)]"
2023/07/14 02:46:12,9894,강원특별자치도 홍천군,197219,오늘 서면 지역에 많은 비로 산사태 주의보 발령. 산림 주변 야외활동 자제와 입산금지 등 안전에 유의하시기 바랍니다.,cbs,홍천군,,,"[('서면 지역에', 0.6472)]"
