create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/23 21:06:58,52,경기도 화성시,206957,"경진여객 광역버스 11. 24.(금) 16시 이후 파업 예정으로 대체수단 이용 권장, 버스정보시스템 및 시홈페이지 참고",cbs,화성시,금,,"[('대체수단 이용 권장', 0.5694)]"
2023/11/23 17:19:03,52,경기도 화성시,206928,"23일 (목) 21시부터 주말까지 영하권 지속, 수도관 동파 예방 조치, 농작물 냉해피해 예방조치, 취약계층(독거노인 등) 외출 자제 및 안전수칙 준수",cbs,화성시,목,,"[('안전수칙 준수', 0.5881)]"
2023/11/21 21:00:06,52,경기도 화성시,206902,경진여객 광역버스 전 노선 11. 22.(수) 총 파업. 대체수단 이용 권장.(홈페이지 참고: https://url.kr/at4oxs),cbs,화성시,수,,"[('권장 홈페이지', 0.4694)]"
2023/11/19 18:00:13,52,경기도 화성시,206877,경진여객 광역버스 11. 20.(월) 출근 시간대 게릴라성 파업 예정으로 대체수단 이용 권장,cbs,화성시,월,,"[('이용 권장', 0.58)]"
2023/11/17 18:29:13,52,경기도 화성시,206791,"금일 저녁 강설 후 급격한 기온 하락이 예상되오니, 저녁 퇴근길 및 내일 새벽 도로주행 시 서행운전 및 안전거리를 확보하여 도로결빙 미끄럼 사고에 유의",cbs,화성시,,,"[('서행운전 안전거리를', 0.7548)]"
2023/11/16 22:43:49,52,경기도 화성시,206759,경진여객 광역버스 11.17.(금) 출근 시간대 게릴라성 파업 예정으로 대체수단 이용 권장,cbs,화성시,금,,"[('게릴라성 파업', 0.6182)]"
2023/11/15 11:15:17,52,경기도 화성시,206730,경진여객 광역버스 11.15.(수) 퇴근 시간대 게릴라성 파업 예정으로 대체수단 이용 권장,cbs,화성시,수,,"[('예정으로 대체수단 이용', 0.565)]"
2023/11/14 07:06:51,52,경기도 화성시,206711,경진여객 광역버스 11.14(화) 게릴라성 파업으로 출퇴근 시간대 대체수단 이용 권장,cbs,화성시,화,,"[('대체수단 이용', 0.5949)]"
2023/11/06 08:21:19,52,경기도 화성시,206518,"강풍·풍랑 경보 발효, 간판, 부착물 고정, 선박 결박, 비닐하우스 등 시설물 피해에 대비 바라며,해안 및 위험지역 접근금지 등 안전에 유의 바랍니다.",cbs,화성시,,,"[('바라며 해안 위험지역 접근금지', 0.6096)]"
2023/11/05 15:12:18,52,경기도 화성시,206459,"오늘 밤, 이른 새벽 많은 비와 강풍 예보. 하천변 산책로, 산사태 취약 지역 등 위험지역에 접근하지 마시고, 간판, 낙하물 등 안전사고에 주의바랍니다.",cbs,화성시,,,"[('위험지역에 접근하지 마시고 간판', 0.6608)]"
