create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/10/25 12:04:18,52,경기도 화성시,206243,"경기도 광역, 시내버스 총파업 예정 10.26.(목) 첫차부터. 마을버스 정상운행. 세부사항은 화성시 홈페이지를 참조 바랍니다.",cbs,화성시청,목,,"[('10 26 첫차부터 마을버스', 0.6015)]"
2023/08/17 10:33:38,52,경기도 화성시,203501,"폭염주의보 발효 중, 옥외노동자 및 농.축.어업인분들께서는 장시간 야외활동을 자제하여 주시고 충분한 수분섭취와 실내 휴식을 통해 건강에 유의바랍니다.",cbs,화성시청,,,"[('발효 옥외노동자 어업인분들께서는 장시간', 0.6897)]"
2023/08/15 14:55:55,52,경기도 화성시,203371,"8.14.(월) 22:00부터 성남시 분당구 수내교가 긴급사용제한(전면통제)중, 수내교를 이용하실 화성시민께서는 불편함이 없도록 우회하시기 바랍니다.",cbs,화성시청,월,,"[('없도록 우회하시기 바랍니다', 0.5307)]"
2023/08/10 12:21:39,52,경기도 화성시,202742,"태풍주의보 발효중, 많은 비와 강풍이 예상되므로 창문, 간판, 임시시설물 등 고정 및 낙하물로 인해 피해가 발생하지 않도록 안전에 유의바랍니다.",cbs,화성시청,,,"[('비와 강풍이 예상되므로', 0.6672)]"
2023/08/05 15:12:33,52,경기도 화성시,201289,"화성시 내 폭염경보 발효 중, 논밭작업자, 옥외노동자 등의 야외활동 자제, 충분한 수분 섭취 및 충분한 휴식으로 개인 건강관리에 유의 바랍니다.",cbs,화성시청,,,"[('개인 건강관리에', 0.7155)]"
2023/07/31 11:13:31,52,경기도 화성시,200458,"현재 폭염 경보 발효 중▲낮 시간대 야외활동 자제(농,축,어업, 공사장 등)▲폭염 안전수칙(물, 그늘, 휴식) 지키기▲폭염 취약계층 안부 전화하기",cbs,화성시청,"농,축,어업, 공사장 등",,"[('지키기 폭염 취약계층 안부', 0.6967)]"
2023/07/29 10:04:31,52,경기도 화성시,200117,"현재 화성시 내 폭염경보 발효중, 취약시간(14~17시) 논밭,건설현장 등 실외 작업 자제, 폭염 안전수칙(물,그늘,휴식) 지키기등 안전에 유의바랍니다",cbs,화성시청,14~17시,,"[('현재 화성시 폭염경보 발효중', 0.6383)]"
2023/07/26 11:59:23,52,경기도 화성시,199823,"현재 폭염주의보 발효중, 낮시간대(14~17시)에는 야외활동 자제.건설현장근로자 등 야외근로자분들은 수분섭취 및 휴식등을 통해 건강에 유의바랍니다",cbs,화성시청,14~17시,,"[('휴식등을 통해', 0.7179)]"
2023/07/23 21:44:00,52,경기도 화성시,199578,"현재 지속된 강우로 지반이 약해져 있으니 산사태,급경사지,축대 등의 취약지역에 거주하시는 주민들께서는 안전에 유의하시기 바랍니다.",cbs,화성시청,,,"[('취약지역에 거주하시는', 0.7441)]"
2023/07/23 06:17:56,52,경기도 화성시,199411,"현재 호우주의보 발효로 많은 비가 내리고 있으니, 하천변 산책로,세월교,저지대 및 산사태우려지역 등 위험지역에 접근하지 마시고 안전사고의 주의 바랍니다",cbs,화성시청,,,"[('저지대 산사태우려지역 위험지역에 접근하지', 0.7284)]"
